DATE,CLOSE
11/1/2016,46.48
11/2/2016,46.23
11/3/2016,46.24
11/4/2016,46.4
11/7/2016,47.11
11/8/2016,47.26
11/9/2016,48.26
11/10/2016,48.82
11/11/2016,48.15
11/14/2016,48.26
11/15/2016,48.46
11/16/2016,48.37
11/17/2016,48.39
11/18/2016,48.32
11/21/2016,48.89
11/22/2016,49.19
11/23/2016,49.41
11/25/2016,49.56
11/28/2016,49.36
11/29/2016,49.41
11/30/2016,49.94
12/1/2016,49.96
12/2/2016,49.98
12/5/2016,50.37
12/6/2016,50.43
12/7/2016,51.15
12/8/2016,51.49
12/9/2016,51.5
12/12/2016,51.27
12/13/2016,51.19
12/14/2016,50.58
12/15/2016,50.91
12/16/2016,50.42
12/19/2016,50.32
12/20/2016,50.36
12/21/2016,50.38
12/22/2016,50.17
12/23/2016,50.27
12/27/2016,50.54
12/28/2016,50.03
12/29/2016,50.03
12/30/2016,49.7
1/3/2017,49.99
1/4/2017,50.72
1/5/2017,50.57
1/6/2017,50.62
1/9/2017,50.61
1/10/2017,50.64
1/11/2017,51.05
1/12/2017,50.95
1/13/2017,50.87
1/17/2017,50.64
1/18/2017,50.96
1/19/2017,50.64
1/20/2017,51.09
1/23/2017,51.19
1/24/2017,52.51
1/25/2017,52.86
1/26/2017,53
1/27/2017,52.81
1/30/2017,52.27
1/31/2017,51.96
2/1/2017,52.22
2/2/2017,51.99
2/3/2017,52.08
2/6/2017,51.94
2/7/2017,51.53
2/8/2017,51.65
2/9/2017,51.63
2/10/2017,52.1
2/13/2017,52.53
2/14/2017,52.52
2/15/2017,52.45
2/16/2017,52.45
2/17/2017,52.3
2/21/2017,52.47
2/22/2017,52.61
2/23/2017,52.32
2/24/2017,52.43
2/27/2017,52.3
2/28/2017,52.25
3/1/2017,53.27
3/2/2017,52.7
3/3/2017,52.66
3/6/2017,52.32
3/7/2017,52.03
3/8/2017,52.03
3/9/2017,51.87
3/10/2017,52.11
3/13/2017,52.26
3/14/2017,51.81
3/15/2017,52.64
3/16/2017,52.28
3/17/2017,52.34
3/20/2017,52.6217
3/21/2017,51.75
3/22/2017,51.9
3/23/2017,52.12
3/24/2017,51.66
3/27/2017,51.77
3/28/2017,52.37
3/29/2017,52.41
3/30/2017,52.42
3/31/2017,52.41
4/3/2017,52.21
4/4/2017,52.4
4/5/2017,52.36
4/6/2017,52.64
4/7/2017,52.59
4/10/2017,52.6
4/11/2017,52.46
4/12/2017,51.81
4/13/2017,51.31
4/17/2017,51.68
4/18/2017,51.62
4/19/2017,51.69
4/20/2017,52.26
4/21/2017,52.2
4/24/2017,52.8
4/25/2017,53.65
4/26/2017,53.64
4/27/2017,53.52
4/28/2017,53.07
5/1/2017,53.1
5/2/2017,53.19
5/3/2017,52.67
5/4/2017,52.73
5/5/2017,53.48
5/8/2017,53.05
5/9/2017,52.65
5/10/2017,52.82
5/11/2017,52.74
5/12/2017,52.61
5/15/2017,53.07
5/16/2017,53.08
5/17/2017,51.96
5/18/2017,51.99
5/19/2017,52.44
5/22/2017,52.5
5/23/2017,52.54
5/24/2017,52.89
5/25/2017,52.83
5/26/2017,52.93
5/30/2017,52.92
5/31/2017,53.08
6/1/2017,53.72
6/2/2017,53.85
6/5/2017,53.68
6/6/2017,53.71
6/7/2017,53.78
6/8/2017,53.94
6/9/2017,54.63
6/12/2017,54.42
6/13/2017,55.1
6/14/2017,54.52
6/15/2017,54.04
6/16/2017,54.02
6/19/2017,54.45
6/20/2017,54.15
6/21/2017,53.58
6/22/2017,53.64
6/23/2017,53.85
6/26/2017,54.01
6/27/2017,53.68
6/28/2017,54.17
6/29/2017,53.52
