DATE,DATE,CLOSE
2016-11-01,2016-11-01,47.01
2016-11-02,2016-11-02,46.71
2016-11-03,2016-11-03,46.26
2016-11-04,2016-11-04,46.18
2016-11-07,2016-11-07,47.18
2016-11-08,2016-11-08,47.41
2016-11-09,2016-11-09,47.35
2016-11-10,2016-11-10,46.59
2016-11-11,2016-11-11,46.73
2016-11-14,2016-11-14,46.02
2016-11-15,2016-11-15,46.67
2016-11-16,2016-11-16,47.1
2016-11-17,2016-11-17,47.4
2016-11-18,2016-11-18,47.36
2016-11-21,2016-11-21,47.84
2016-11-22,2016-11-22,47.99
2016-11-23,2016-11-23,47.8
2016-11-25,2016-11-25,48.0
2016-11-28,2016-11-28,48.04
2016-11-29,2016-11-29,48.07
2016-11-30,2016-11-30,47.5
2016-12-01,2016-12-01,46.52
2016-12-02,2016-12-02,46.69
2016-12-05,2016-12-05,47.14
2016-12-06,2016-12-06,47.28
2016-12-07,2016-12-07,48.18
2016-12-08,2016-12-08,48.3
2016-12-09,2016-12-09,48.65
2016-12-12,2016-12-12,48.5
2016-12-13,2016-12-13,49.11
2016-12-14,2016-12-14,48.94
2016-12-15,2016-12-15,49.16
2016-12-16,2016-12-16,48.59
2016-12-19,2016-12-19,48.94
2016-12-20,2016-12-20,49.12
2016-12-21,2016-12-21,49.02
2016-12-22,2016-12-22,48.92
2016-12-23,2016-12-23,48.97
2016-12-27,2016-12-27,49.17
2016-12-28,2016-12-28,48.73
2016-12-29,2016-12-29,48.74
2016-12-30,2016-12-30,48.36
2017-01-03,2017-01-03,48.79
2017-01-04,2017-01-04,48.96
2017-01-05,2017-01-05,49.04
2017-01-06,2017-01-06,49.4
2017-01-09,2017-01-09,49.39
2017-01-10,2017-01-10,49.4
2017-01-11,2017-01-11,49.63
2017-01-12,2017-01-12,49.51
2017-01-13,2017-01-13,49.66
2017-01-17,2017-01-17,49.47
2017-01-18,2017-01-18,49.6
2017-01-19,2017-01-19,49.53
2017-01-20,2017-01-20,49.8
2017-01-23,2017-01-23,49.89
2017-01-24,2017-01-24,50.2
2017-01-25,2017-01-25,50.68
2017-01-26,2017-01-26,50.54
2017-01-27,2017-01-27,50.74
2017-01-30,2017-01-30,50.33
2017-01-31,2017-01-31,50.08
2017-02-01,2017-02-01,50.46
2017-02-02,2017-02-02,50.36
2017-02-03,2017-02-03,50.69
2017-02-06,2017-02-06,50.72
2017-02-07,2017-02-07,50.92
2017-02-08,2017-02-08,51.01
2017-02-09,2017-02-09,51.17
2017-02-10,2017-02-10,51.32
2017-02-13,2017-02-13,51.55
2017-02-14,2017-02-14,51.72
2017-02-15,2017-02-15,51.89
2017-02-16,2017-02-16,52.01
2017-02-17,2017-02-17,52.19
2017-02-21,2017-02-21,52.46
2017-02-22,2017-02-22,52.52
2017-02-23,2017-02-23,52.51
2017-02-24,2017-02-24,52.63
2017-02-27,2017-02-27,52.6
2017-02-28,2017-02-28,52.35
2017-03-01,2017-03-01,53.09
2017-03-02,2017-03-02,52.74
2017-03-03,2017-03-03,52.86
2017-03-06,2017-03-06,52.78
2017-03-07,2017-03-07,52.78
2017-03-08,2017-03-08,52.84
2017-03-09,2017-03-09,52.83
2017-03-10,2017-03-10,53.11
2017-03-13,2017-03-13,53.16
2017-03-14,2017-03-14,53.04
2017-03-15,2017-03-15,53.4
2017-03-16,2017-03-16,53.43
2017-03-17,2017-03-17,53.34
2017-03-20,2017-03-20,53.3706
2017-03-21,2017-03-21,52.61
2017-03-22,2017-03-22,52.94
2017-03-23,2017-03-23,52.8
2017-03-24,2017-03-24,52.84
2017-03-27,2017-03-27,52.84
2017-03-28,2017-03-28,53.22
2017-03-29,2017-03-29,53.31
2017-03-30,2017-03-30,53.41
2017-03-31,2017-03-31,53.31
2017-04-03,2017-04-03,53.26
2017-04-04,2017-04-04,53.3
2017-04-05,2017-04-05,53.08
2017-04-06,2017-04-06,53.09
2017-04-07,2017-04-07,53.06
2017-04-10,2017-04-10,52.96
2017-04-11,2017-04-11,52.76
2017-04-12,2017-04-12,52.58
2017-04-13,2017-04-13,52.37
2017-04-17,2017-04-17,52.85
2017-04-18,2017-04-18,52.84
2017-04-19,2017-04-19,52.8
2017-04-20,2017-04-20,53.28
2017-04-21,2017-04-21,53.17
2017-04-24,2017-04-24,53.8
2017-04-25,2017-04-25,54.08
2017-04-26,2017-04-26,54.02
2017-04-27,2017-04-27,54.24
2017-04-28,2017-04-28,54.38
2017-05-01,2017-05-01,54.79
2017-05-02,2017-05-02,54.91
2017-05-03,2017-05-03,54.81
2017-05-04,2017-05-04,54.77
2017-05-05,2017-05-05,54.97
2017-05-08,2017-05-08,55.21
2017-05-09,2017-05-09,55.28
2017-05-10,2017-05-10,55.49
2017-05-11,2017-05-11,55.42
2017-05-12,2017-05-12,55.56
2017-05-15,2017-05-15,55.87
2017-05-16,2017-05-16,56.13
2017-05-17,2017-05-17,54.6
2017-05-18,2017-05-18,54.92
2017-05-19,2017-05-19,55.24
2017-05-22,2017-05-22,55.68
2017-05-23,2017-05-23,55.78
2017-05-24,2017-05-24,56.01
2017-05-25,2017-05-25,56.41
2017-05-26,2017-05-26,56.38
2017-05-30,2017-05-30,56.62
2017-05-31,2017-05-31,56.53
2017-06-01,2017-06-01,56.67
2017-06-02,2017-06-02,57.19
2017-06-05,2017-06-05,57.24
2017-06-06,2017-06-06,57.13
2017-06-07,2017-06-07,57.31
2017-06-08,2017-06-08,57.44
2017-06-09,2017-06-09,56.02
2017-06-12,2017-06-12,55.69
2017-06-13,2017-06-13,56.09
2017-06-14,2017-06-14,55.82
2017-06-15,2017-06-15,55.57
2017-06-16,2017-06-16,55.25
2017-06-19,2017-06-19,56.07
2017-06-20,2017-06-20,55.62
2017-06-21,2017-06-21,55.93
2017-06-22,2017-06-22,55.95
2017-06-23,2017-06-23,56.3
2017-06-26,2017-06-26,56.0
2017-06-27,2017-06-27,55.08
2017-06-28,2017-06-28,55.77
2017-06-29,2017-06-29,54.77
2017-06-30,2017-06-30,54.72
2017-07-03,2017-07-03,54.34
2017-07-05,2017-07-05,54.88
2017-07-06,2017-07-06,54.38
2017-07-07,2017-07-07,55.01
2017-07-10,2017-07-10,55.41
2017-07-11,2017-07-11,55.53
2017-07-12,2017-07-12,56.25
2017-07-13,2017-07-13,56.36
2017-07-14,2017-07-14,56.86
2017-07-17,2017-07-17,56.87
2017-07-18,2017-07-18,57.13
2017-07-19,2017-07-19,57.42
