DATE,DATE,CLOSE
2016-11-01,2016-11-01,67.0
2016-11-02,2016-11-02,66.65
2016-11-03,2016-11-03,66.02
2016-11-04,2016-11-04,66.48
2016-11-07,2016-11-07,68.18
2016-11-08,2016-11-08,68.37
2016-11-09,2016-11-09,70.78
2016-11-10,2016-11-10,71.56
2016-11-11,2016-11-11,70.49
2016-11-14,2016-11-14,70.27
2016-11-15,2016-11-15,70.47
2016-11-16,2016-11-16,70.17
2016-11-17,2016-11-17,70.45
2016-11-18,2016-11-18,69.7
2016-11-21,2016-11-21,69.95
2016-11-22,2016-11-22,68.94
2016-11-23,2016-11-23,69.21
2016-11-25,2016-11-25,69.48
2016-11-28,2016-11-28,68.96
2016-11-29,2016-11-29,69.41
2016-11-30,2016-11-30,68.75
2016-12-01,2016-12-01,68.25
2016-12-02,2016-12-02,68.41
2016-12-05,2016-12-05,68.29
2016-12-06,2016-12-06,68.48
2016-12-07,2016-12-07,67.89
2016-12-08,2016-12-08,68.02
2016-12-09,2016-12-09,68.85
2016-12-12,2016-12-12,69.18
2016-12-13,2016-12-13,69.74
2016-12-14,2016-12-14,69.38
2016-12-15,2016-12-15,69.83
2016-12-16,2016-12-16,69.58
2016-12-19,2016-12-19,69.29
2016-12-20,2016-12-20,69.24
2016-12-21,2016-12-21,68.85
2016-12-22,2016-12-22,68.94
2016-12-23,2016-12-23,69.46
2016-12-27,2016-12-27,69.6
2016-12-28,2016-12-28,69.07
2016-12-29,2016-12-29,69.19
2016-12-30,2016-12-30,68.94
2017-01-03,2017-01-03,69.84
2017-01-04,2017-01-04,70.39
2017-01-05,2017-01-05,70.75
2017-01-06,2017-01-06,70.95
2017-01-09,2017-01-09,71.25
2017-01-10,2017-01-10,71.5
2017-01-11,2017-01-11,70.78
2017-01-12,2017-01-12,70.85
2017-01-13,2017-01-13,70.92
2017-01-17,2017-01-17,70.56
2017-01-18,2017-01-18,70.47
2017-01-19,2017-01-19,70.02
2017-01-20,2017-01-20,69.84
2017-01-23,2017-01-23,69.55
2017-01-24,2017-01-24,69.07
2017-01-25,2017-01-25,69.72
2017-01-26,2017-01-26,69.18
2017-01-27,2017-01-27,69.75
2017-01-30,2017-01-30,69.41
2017-01-31,2017-01-31,70.52
2017-02-01,2017-02-01,71.13
2017-02-02,2017-02-02,71.11
2017-02-03,2017-02-03,71.42
2017-02-06,2017-02-06,71.5
2017-02-07,2017-02-07,71.57
2017-02-08,2017-02-08,71.46
2017-02-09,2017-02-09,71.72
2017-02-10,2017-02-10,71.86
2017-02-13,2017-02-13,72.3
2017-02-14,2017-02-14,72.87
2017-02-15,2017-02-15,73.66
2017-02-16,2017-02-16,73.56
2017-02-17,2017-02-17,73.66
2017-02-21,2017-02-21,73.99
2017-02-22,2017-02-22,73.88
2017-02-23,2017-02-23,74.42
2017-02-24,2017-02-24,74.78
2017-02-27,2017-02-27,75.14
2017-02-28,2017-02-28,74.99
2017-03-01,2017-03-01,75.74
2017-03-02,2017-03-02,75.5
2017-03-03,2017-03-03,75.8
2017-03-06,2017-03-06,75.51
2017-03-07,2017-03-07,74.98
2017-03-08,2017-03-08,75.28
2017-03-09,2017-03-09,75.69
2017-03-10,2017-03-10,75.98
2017-03-13,2017-03-13,75.92
2017-03-14,2017-03-14,75.64
2017-03-15,2017-03-15,76.59
2017-03-16,2017-03-16,75.85
2017-03-17,2017-03-17,75.16
2017-03-20,2017-03-20,75.0359
2017-03-21,2017-03-21,74.46
2017-03-22,2017-03-22,74.48
2017-03-23,2017-03-23,74.25
2017-03-24,2017-03-24,74.29
2017-03-27,2017-03-27,74.49
2017-03-28,2017-03-28,74.54
2017-03-29,2017-03-29,74.56
2017-03-30,2017-03-30,74.57
2017-03-31,2017-03-31,74.36
2017-04-03,2017-04-03,74.42
2017-04-04,2017-04-04,74.38
2017-04-05,2017-04-05,74.15
2017-04-06,2017-04-06,74.28
2017-04-07,2017-04-07,74.41
2017-04-10,2017-04-10,74.27
2017-04-11,2017-04-11,74.17
2017-04-12,2017-04-12,74.17
2017-04-13,2017-04-13,73.98
2017-04-17,2017-04-17,74.25
2017-04-18,2017-04-18,73.44
2017-04-19,2017-04-19,73.66
2017-04-20,2017-04-20,74.12
2017-04-21,2017-04-21,73.68
2017-04-24,2017-04-24,74.41
2017-04-25,2017-04-25,74.73
2017-04-26,2017-04-26,75.14
2017-04-27,2017-04-27,75.3
2017-04-28,2017-04-28,75.5
2017-05-01,2017-05-01,75.67
2017-05-02,2017-05-02,75.88
2017-05-03,2017-05-03,75.51
2017-05-04,2017-05-04,76.01
2017-05-05,2017-05-05,75.97
2017-05-08,2017-05-08,75.5
2017-05-09,2017-05-09,75.59
2017-05-10,2017-05-10,75.37
2017-05-11,2017-05-11,75.41
2017-05-12,2017-05-12,75.28
2017-05-15,2017-05-15,75.77
2017-05-16,2017-05-16,75.48
2017-05-17,2017-05-17,74.49
2017-05-18,2017-05-18,74.82
2017-05-19,2017-05-19,75.03
2017-05-22,2017-05-22,75.23
2017-05-23,2017-05-23,75.48
2017-05-24,2017-05-24,75.67
2017-05-25,2017-05-25,76.03
2017-05-26,2017-05-26,75.89
2017-05-30,2017-05-30,75.78
2017-05-31,2017-05-31,76.08
2017-06-01,2017-06-01,76.92
2017-06-02,2017-06-02,77.42
2017-06-05,2017-06-05,77.2
2017-06-06,2017-06-06,77.01
2017-06-07,2017-06-07,77.22
2017-06-08,2017-06-08,77.0
2017-06-09,2017-06-09,77.52
2017-06-12,2017-06-12,77.42
2017-06-13,2017-06-13,77.58
2017-06-14,2017-06-14,77.95
2017-06-15,2017-06-15,77.87
2017-06-16,2017-06-16,77.69
2017-06-19,2017-06-19,78.5
2017-06-20,2017-06-20,78.76
2017-06-21,2017-06-21,79.76
2017-06-22,2017-06-22,80.59
2017-06-23,2017-06-23,80.47
2017-06-26,2017-06-26,80.39
2017-06-27,2017-06-27,79.66
2017-06-28,2017-06-28,80.08
2017-06-29,2017-06-29,79.35
2017-06-30,2017-06-30,79.24
2017-07-03,2017-07-03,79.38
2017-07-05,2017-07-05,79.85
2017-07-06,2017-07-06,78.82
2017-07-07,2017-07-07,79.22
2017-07-10,2017-07-10,79.07
2017-07-11,2017-07-11,78.98
2017-07-12,2017-07-12,79.52
2017-07-13,2017-07-13,79.59
2017-07-14,2017-07-14,80.13
2017-07-17,2017-07-17,79.84
2017-07-18,2017-07-18,79.9
2017-07-19,2017-07-19,80.55
2017-07-20,2017-07-20,81.08
2017-07-21,2017-07-21,80.99
2017-07-24,2017-07-24,80.96
2017-07-25,2017-07-25,80.38
2017-07-26,2017-07-26,80.11
2017-07-27,2017-07-27,79.56
2017-07-28,2017-07-28,79.96
2017-07-31,2017-07-31,79.89
2017-08-01,2017-08-01,79.71
2017-08-02,2017-08-02,79.53
2017-08-03,2017-08-03,79.66
2017-08-04,2017-08-04,79.48
2017-08-07,2017-08-07,79.65
2017-08-08,2017-08-08,79.28
2017-08-09,2017-08-09,79.37
2017-08-10,2017-08-10,78.38
2017-08-11,2017-08-11,78.6
2017-08-14,2017-08-14,79.13
2017-08-15,2017-08-15,79.13
2017-08-16,2017-08-16,79.35
2017-08-17,2017-08-17,78.36
2017-08-18,2017-08-18,78.0
2017-08-21,2017-08-21,78.35
2017-08-22,2017-08-22,79.3
2017-08-23,2017-08-23,78.7
2017-08-24,2017-08-24,78.93
2017-08-25,2017-08-25,78.95
2017-08-28,2017-08-28,79.37
2017-08-29,2017-08-29,79.52
2017-08-30,2017-08-30,79.93
2017-08-31,2017-08-31,81.29
2017-09-01,2017-09-01,81.23
2017-09-05,2017-09-05,80.88
2017-09-06,2017-09-06,81.27
2017-09-07,2017-09-07,82.17
2017-09-08,2017-09-08,82.54
2017-09-11,2017-09-11,83.18
2017-09-12,2017-09-12,83.36
2017-09-13,2017-09-13,83.05
2017-09-14,2017-09-14,83.16
2017-09-15,2017-09-15,82.59
2017-09-18,2017-09-18,82.57
2017-09-19,2017-09-19,81.92
2017-09-20,2017-09-20,82.0
2017-09-21,2017-09-21,81.58
2017-09-22,2017-09-22,81.58
2017-09-25,2017-09-25,81.34
2017-09-26,2017-09-26,81.21
2017-09-27,2017-09-27,81.18
2017-09-28,2017-09-28,81.25
2017-09-29,2017-09-29,81.73
2017-10-02,2017-10-02,82.56
2017-10-03,2017-10-03,82.54
2017-10-04,2017-10-04,82.94
2017-10-05,2017-10-05,83.0
2017-10-06,2017-10-06,82.89
2017-10-09,2017-10-09,82.37
2017-10-10,2017-10-10,82.56
2017-10-11,2017-10-11,82.72
2017-10-12,2017-10-12,82.63
2017-10-13,2017-10-13,82.42
2017-10-16,2017-10-16,82.06
2017-10-17,2017-10-17,83.16
2017-10-18,2017-10-18,83.28
2017-10-19,2017-10-19,83.79
2017-10-20,2017-10-20,83.88
2017-10-23,2017-10-23,83.67
2017-10-24,2017-10-24,83.11
2017-10-25,2017-10-25,82.99
2017-10-26,2017-10-26,82.16
2017-10-27,2017-10-27,82.14
2017-10-30,2017-10-30,81.26
2017-10-31,2017-10-31,81.11
2017-11-01,2017-11-01,81.31
2017-11-02,2017-11-02,80.94
2017-11-03,2017-11-03,81.61
2017-11-06,2017-11-06,81.36
2017-11-07,2017-11-07,81.53
2017-11-08,2017-11-08,81.72
2017-11-09,2017-11-09,81.73
2017-11-10,2017-11-10,81.2
2017-11-13,2017-11-13,81.28
2017-11-14,2017-11-14,80.95
2017-11-15,2017-11-15,80.72
2017-11-16,2017-11-16,81.56
2017-11-17,2017-11-17,81.24
2017-11-20,2017-11-20,80.9
2017-11-21,2017-11-21,81.61
2017-11-22,2017-11-22,81.58
2017-11-24,2017-11-24,81.77
2017-11-27,2017-11-27,81.84
2017-11-28,2017-11-28,82.44
2017-11-29,2017-11-29,82.85
2017-11-30,2017-11-30,83.47
2017-12-01,2017-12-01,83.3
2017-12-04,2017-12-04,82.28
2017-12-05,2017-12-05,82.14
2017-12-06,2017-12-06,82.07
2017-12-07,2017-12-07,82.09
2017-12-08,2017-12-08,83.01
2017-12-11,2017-12-11,83.36
2017-12-12,2017-12-12,83.69
2017-12-13,2017-12-13,83.98
2017-12-14,2017-12-14,83.13
2017-12-15,2017-12-15,83.71
2017-12-18,2017-12-18,83.74
2017-12-19,2017-12-19,83.64
2017-12-20,2017-12-20,83.37
2017-12-21,2017-12-21,83.18
2017-12-22,2017-12-22,82.91
2017-12-26,2017-12-26,82.93
2017-12-27,2017-12-27,83.07
2017-12-28,2017-12-28,83.19
2017-12-29,2017-12-29,82.68
2018-01-02,2018-01-02,83.61
2018-01-03,2018-01-03,84.41
2018-01-04,2018-01-04,84.53
2018-01-05,2018-01-05,85.25
2018-01-08,2018-01-08,84.94
2018-01-09,2018-01-09,85.94
2018-01-10,2018-01-10,85.79
2018-01-11,2018-01-11,86.16
2018-01-12,2018-01-12,86.82
2018-01-16,2018-01-16,87.25
2018-01-17,2018-01-17,88.09
2018-01-18,2018-01-18,88.11
2018-01-19,2018-01-19,88.44
2018-01-22,2018-01-22,89.02
2018-01-23,2018-01-23,88.59
2018-01-24,2018-01-24,88.85
2018-01-25,2018-01-25,89.61
2018-01-26,2018-01-26,91.54
2018-01-29,2018-01-29,91.29
2018-01-30,2018-01-30,89.37
2018-01-31,2018-01-31,88.1
2018-02-01,2018-02-01,88.13
2018-02-02,2018-02-02,86.89
2018-02-05,2018-02-05,83.04
2018-02-06,2018-02-06,83.96
2018-02-07,2018-02-07,83.86
