DATE,DATE,CLOSE
2016-11-01,2016-11-01,77.55
2016-11-02,2016-11-02,77.08
2016-11-03,2016-11-03,76.88
2016-11-04,2016-11-04,76.73
2016-11-07,2016-11-07,78.5
2016-11-08,2016-11-08,78.82
2016-11-09,2016-11-09,78.98
2016-11-10,2016-11-10,79.27
2016-11-11,2016-11-11,79.72
2016-11-14,2016-11-14,79.73
2016-11-15,2016-11-15,80.04
2016-11-16,2016-11-16,80.48
2016-11-17,2016-11-17,81.45
2016-11-18,2016-11-18,81.2
2016-11-21,2016-11-21,81.73
2016-11-22,2016-11-22,82.7
2016-11-23,2016-11-23,82.78
2016-11-25,2016-11-25,82.98
2016-11-28,2016-11-28,82.32
2016-11-29,2016-11-29,82.54
2016-11-30,2016-11-30,81.85
2016-12-01,2016-12-01,81.89
2016-12-02,2016-12-02,81.44
2016-12-05,2016-12-05,82.33
2016-12-06,2016-12-06,82.52
2016-12-07,2016-12-07,84.12
2016-12-08,2016-12-08,84.12
2016-12-09,2016-12-09,84.31
2016-12-12,2016-12-12,83.61
2016-12-13,2016-12-13,84.36
2016-12-14,2016-12-14,83.79
2016-12-15,2016-12-15,83.59
2016-12-16,2016-12-16,82.69
2016-12-19,2016-12-19,82.91
2016-12-20,2016-12-20,83.57
2016-12-21,2016-12-21,83.53
2016-12-22,2016-12-22,82.63
2016-12-23,2016-12-23,82.45
2016-12-27,2016-12-27,82.77
2016-12-28,2016-12-28,82.2
2016-12-29,2016-12-29,82.09
2016-12-30,2016-12-30,81.4
2017-01-03,2017-01-03,81.88
2017-01-04,2017-01-04,82.97
2017-01-05,2017-01-05,82.91
2017-01-06,2017-01-06,83.32
2017-01-09,2017-01-09,83.25
2017-01-10,2017-01-10,83.55
2017-01-11,2017-01-11,83.73
2017-01-12,2017-01-12,83.65
2017-01-13,2017-01-13,83.96
2017-01-17,2017-01-17,84.1
2017-01-18,2017-01-18,83.95
2017-01-19,2017-01-19,83.69
2017-01-20,2017-01-20,83.93
2017-01-23,2017-01-23,83.99
2017-01-24,2017-01-24,84.68
2017-01-25,2017-01-25,85.2
2017-01-26,2017-01-26,85.33
2017-01-27,2017-01-27,85.06
2017-01-30,2017-01-30,84.96
2017-01-31,2017-01-31,84.83
2017-02-01,2017-02-01,84.67
2017-02-02,2017-02-02,84.6
2017-02-03,2017-02-03,84.49
2017-02-06,2017-02-06,84.24
2017-02-07,2017-02-07,84.16
2017-02-08,2017-02-08,84.68
2017-02-09,2017-02-09,85.21
2017-02-10,2017-02-10,85.73
2017-02-13,2017-02-13,85.83
2017-02-14,2017-02-14,86.32
2017-02-15,2017-02-15,86.77
2017-02-16,2017-02-16,86.33
2017-02-17,2017-02-17,86.61
2017-02-21,2017-02-21,87.11
2017-02-22,2017-02-22,87.11
2017-02-23,2017-02-23,86.52
2017-02-24,2017-02-24,86.92
2017-02-27,2017-02-27,87.02
2017-02-28,2017-02-28,86.37
2017-03-01,2017-03-01,87.34
2017-03-02,2017-03-02,87.13
2017-03-03,2017-03-03,87.0
2017-03-06,2017-03-06,86.72
2017-03-07,2017-03-07,86.44
2017-03-08,2017-03-08,86.8
2017-03-09,2017-03-09,86.72
2017-03-10,2017-03-10,86.85
2017-03-13,2017-03-13,87.08
2017-03-14,2017-03-14,87.06
2017-03-15,2017-03-15,87.52
2017-03-16,2017-03-16,87.51
2017-03-17,2017-03-17,87.36
2017-03-20,2017-03-20,87.154
2017-03-21,2017-03-21,86.05
2017-03-22,2017-03-22,86.15
2017-03-23,2017-03-23,86.35
2017-03-24,2017-03-24,86.56
2017-03-27,2017-03-27,86.53
2017-03-28,2017-03-28,87.19
2017-03-29,2017-03-29,87.71
2017-03-30,2017-03-30,87.94
2017-03-31,2017-03-31,87.95
2017-04-03,2017-04-03,87.6
2017-04-04,2017-04-04,87.46
2017-04-05,2017-04-05,87.25
2017-04-06,2017-04-06,87.52
2017-04-07,2017-04-07,87.26
2017-04-10,2017-04-10,87.58
2017-04-11,2017-04-11,87.51
2017-04-12,2017-04-12,87.16
2017-04-13,2017-04-13,86.55
2017-04-17,2017-04-17,87.44
2017-04-18,2017-04-18,87.45
2017-04-19,2017-04-19,87.53
2017-04-20,2017-04-20,88.45
2017-04-21,2017-04-21,88.25
2017-04-24,2017-04-24,88.82
2017-04-25,2017-04-25,89.52
2017-04-26,2017-04-26,89.94
2017-04-27,2017-04-27,90.42
2017-04-28,2017-04-28,90.06
2017-05-01,2017-05-01,90.18
2017-05-02,2017-05-02,90.28
2017-05-03,2017-05-03,89.75
2017-05-04,2017-05-04,89.61
2017-05-05,2017-05-05,90.17
2017-05-08,2017-05-08,90.34
2017-05-09,2017-05-09,90.86
2017-05-10,2017-05-10,90.55
2017-05-11,2017-05-11,90.01
2017-05-12,2017-05-12,89.88
2017-05-15,2017-05-15,89.9
2017-05-16,2017-05-16,89.59
2017-05-17,2017-05-17,88.14
2017-05-18,2017-05-18,88.65
2017-05-19,2017-05-19,89.25
2017-05-22,2017-05-22,89.7
2017-05-23,2017-05-23,89.36
2017-05-24,2017-05-24,89.68
2017-05-25,2017-05-25,90.47
2017-05-26,2017-05-26,90.74
2017-05-30,2017-05-30,90.81
2017-05-31,2017-05-31,91.05
2017-06-01,2017-06-01,91.91
2017-06-02,2017-06-02,92.24
2017-06-05,2017-06-05,91.99
2017-06-06,2017-06-06,91.2
2017-06-07,2017-06-07,91.36
2017-06-08,2017-06-08,90.77
2017-06-09,2017-06-09,90.37
2017-06-12,2017-06-12,90.32
2017-06-13,2017-06-13,90.88
2017-06-14,2017-06-14,90.83
2017-06-15,2017-06-15,90.45
