DATE,DATE,CLOSE
2016-11-01,2016-11-01,39.8
2016-11-02,2016-11-02,39.71
2016-11-03,2016-11-03,39.38
2016-11-04,2016-11-04,39.74
2016-11-07,2016-11-07,41.49
2016-11-08,2016-11-08,41.7
2016-11-09,2016-11-09,42.41
2016-11-10,2016-11-10,42.3
2016-11-11,2016-11-11,42.93
2016-11-14,2016-11-14,43.4
2016-11-15,2016-11-15,44.76
2016-11-16,2016-11-16,44.45
2016-11-17,2016-11-17,45.83
2016-11-18,2016-11-18,46.26
2016-11-21,2016-11-21,46.08
2016-11-22,2016-11-22,46.08
2016-11-23,2016-11-23,46.34
2016-11-25,2016-11-25,46.82
2016-11-28,2016-11-28,46.5
2016-11-29,2016-11-29,46.89
2016-11-30,2016-11-30,46.44
2016-12-01,2016-12-01,45.75
2016-12-02,2016-12-02,46.1
2016-12-05,2016-12-05,45.72
2016-12-06,2016-12-06,46.43
2016-12-07,2016-12-07,48.65
2016-12-08,2016-12-08,48.05
2016-12-09,2016-12-09,49.64
2016-12-12,2016-12-12,47.59
2016-12-13,2016-12-13,47.84
2016-12-14,2016-12-14,47.92
2016-12-15,2016-12-15,48.3
2016-12-16,2016-12-16,47.63
2016-12-19,2016-12-19,48.58
2016-12-20,2016-12-20,49.22
2016-12-21,2016-12-21,49.47
2016-12-22,2016-12-22,48.69
2016-12-23,2016-12-23,48.48
2016-12-27,2016-12-27,48.61
2016-12-28,2016-12-28,47.67
2016-12-29,2016-12-29,47.25
2016-12-30,2016-12-30,46.69
2017-01-03,2017-01-03,46.3
2017-01-04,2017-01-04,46.7
2017-01-05,2017-01-05,45.89
2017-01-06,2017-01-06,46.21
2017-01-09,2017-01-09,47.08
2017-01-10,2017-01-10,48.48
2017-01-11,2017-01-11,48.64
2017-01-12,2017-01-12,48.1
2017-01-13,2017-01-13,47.65
2017-01-17,2017-01-17,46.75
2017-01-18,2017-01-18,47.64
2017-01-19,2017-01-19,47.26
2017-01-20,2017-01-20,48.0
2017-01-23,2017-01-23,46.94
2017-01-24,2017-01-24,47.54
2017-01-25,2017-01-25,47.91
2017-01-26,2017-01-26,49.59
2017-01-27,2017-01-27,46.95
2017-01-30,2017-01-30,44.9
2017-01-31,2017-01-31,44.25
2017-02-01,2017-02-01,44.05
2017-02-02,2017-02-02,44.01
2017-02-03,2017-02-03,44.2
2017-02-06,2017-02-06,45.3
2017-02-07,2017-02-07,45.17
2017-02-08,2017-02-08,45.06
2017-02-09,2017-02-09,46.3
2017-02-10,2017-02-10,46.45
2017-02-13,2017-02-13,47.41
2017-02-14,2017-02-14,46.57
2017-02-15,2017-02-15,47.54
2017-02-16,2017-02-16,46.97
2017-02-17,2017-02-17,46.91
2017-02-21,2017-02-21,46.81
2017-02-22,2017-02-22,46.32
2017-02-23,2017-02-23,46.1
2017-02-24,2017-02-24,46.28
2017-02-27,2017-02-27,46.32
2017-02-28,2017-02-28,46.36
2017-03-01,2017-03-01,47.09
2017-03-02,2017-03-02,45.72
2017-03-03,2017-03-03,46.82
2017-03-06,2017-03-06,45.31
2017-03-07,2017-03-07,44.84
2017-03-08,2017-03-08,44.89
2017-03-09,2017-03-09,43.33
2017-03-10,2017-03-10,43.9
2017-03-13,2017-03-13,42.37
2017-03-14,2017-03-14,41.21
2017-03-15,2017-03-15,42.09
2017-03-16,2017-03-16,42.13
2017-03-17,2017-03-17,41.72
2017-03-20,2017-03-20,41.7
2017-03-21,2017-03-21,40.42
2017-03-22,2017-03-22,40.35
2017-03-23,2017-03-23,41.41
2017-03-24,2017-03-24,41.73
2017-03-27,2017-03-27,41.74
2017-03-28,2017-03-28,42.6
2017-03-29,2017-03-29,41.96
2017-03-30,2017-03-30,42.54
2017-03-31,2017-03-31,42.3
2017-04-03,2017-04-03,42.45
2017-04-04,2017-04-04,40.9
2017-04-05,2017-04-05,41.31
2017-04-06,2017-04-06,41.72
2017-04-07,2017-04-07,41.81
2017-04-10,2017-04-10,42.32
2017-04-11,2017-04-11,43.93
2017-04-12,2017-04-12,43.96
2017-04-13,2017-04-13,43.35
2017-04-17,2017-04-17,44.23
2017-04-18,2017-04-18,43.81
2017-04-19,2017-04-19,44.4
2017-04-20,2017-04-20,45.22
2017-04-21,2017-04-21,45.15
2017-04-24,2017-04-24,46.44
2017-04-25,2017-04-25,46.61
2017-04-26,2017-04-26,46.4
2017-04-27,2017-04-27,43.98
2017-04-28,2017-04-28,42.62
2017-05-01,2017-05-01,42.08
2017-05-02,2017-05-02,43.87
2017-05-03,2017-05-03,43.92
2017-05-04,2017-05-04,43.91
2017-05-05,2017-05-05,44.51
2017-05-08,2017-05-08,44.94
2017-05-09,2017-05-09,47.08
2017-05-10,2017-05-10,47.3
2017-05-11,2017-05-11,46.54
2017-05-12,2017-05-12,45.83
2017-05-15,2017-05-15,46.68
2017-05-16,2017-05-16,46.94
2017-05-17,2017-05-17,44.92
2017-05-18,2017-05-18,44.65
2017-05-19,2017-05-19,45.22
2017-05-22,2017-05-22,46.21
2017-05-23,2017-05-23,46.66
2017-05-24,2017-05-24,46.77
2017-05-25,2017-05-25,48.02
2017-05-26,2017-05-26,48.74
2017-05-30,2017-05-30,47.96
2017-05-31,2017-05-31,48.41
2017-06-01,2017-06-01,49.05
2017-06-02,2017-06-02,49.52
2017-06-05,2017-06-05,49.74
2017-06-06,2017-06-06,49.74
2017-06-07,2017-06-07,50.86
2017-06-08,2017-06-08,51.43
2017-06-09,2017-06-09,50.27
2017-06-12,2017-06-12,49.48
2017-06-13,2017-06-13,49.45
2017-06-14,2017-06-14,49.39
2017-06-15,2017-06-15,49.11
2017-06-16,2017-06-16,48.79
2017-06-19,2017-06-19,49.66
2017-06-20,2017-06-20,48.03
2017-06-21,2017-06-21,48.43
2017-06-22,2017-06-22,48.97
2017-06-23,2017-06-23,48.63
2017-06-26,2017-06-26,48.78
2017-06-27,2017-06-27,48.5
2017-06-28,2017-06-28,49.25
2017-06-29,2017-06-29,49.62
2017-06-30,2017-06-30,50.32
2017-07-03,2017-07-03,50.39
2017-07-05,2017-07-05,51.26
2017-07-06,2017-07-06,52.05
2017-07-07,2017-07-07,53.03
2017-07-10,2017-07-10,52.66
2017-07-11,2017-07-11,51.61
2017-07-12,2017-07-12,53.8
2017-07-13,2017-07-13,53.81
2017-07-14,2017-07-14,54.22
2017-07-17,2017-07-17,53.87
2017-07-18,2017-07-18,53.15
2017-07-19,2017-07-19,52.61
2017-07-20,2017-07-20,52.34
2017-07-21,2017-07-21,51.91
2017-07-24,2017-07-24,51.28
2017-07-25,2017-07-25,50.61
2017-07-26,2017-07-26,51.01
2017-07-27,2017-07-27,50.0
2017-07-28,2017-07-28,50.49
2017-07-31,2017-07-31,50.44
2017-08-01,2017-08-01,51.06
2017-08-02,2017-08-02,50.45
2017-08-03,2017-08-03,50.55
2017-08-04,2017-08-04,50.8
2017-08-07,2017-08-07,50.58
2017-08-08,2017-08-08,50.0
2017-08-09,2017-08-09,49.4
2017-08-10,2017-08-10,48.55
2017-08-11,2017-08-11,48.35
2017-08-14,2017-08-14,48.81
2017-08-15,2017-08-15,48.52
2017-08-16,2017-08-16,48.41
2017-08-17,2017-08-17,46.03
2017-08-18,2017-08-18,45.55
2017-08-21,2017-08-21,45.71
2017-08-22,2017-08-22,45.41
2017-08-23,2017-08-23,43.97
2017-08-24,2017-08-24,42.92
2017-08-25,2017-08-25,45.25
2017-08-28,2017-08-28,44.95
2017-08-29,2017-08-29,44.56
2017-08-30,2017-08-30,44.32
2017-08-31,2017-08-31,44.74
2017-09-01,2017-09-01,45.31
2017-09-05,2017-09-05,43.92
2017-09-06,2017-09-06,44.31
2017-09-07,2017-09-07,43.84
2017-09-08,2017-09-08,43.6
2017-09-11,2017-09-11,45.86
2017-09-12,2017-09-12,46.29
2017-09-13,2017-09-13,47.0
2017-09-14,2017-09-14,46.19
2017-09-15,2017-09-15,46.0
2017-09-18,2017-09-18,45.31
2017-09-19,2017-09-19,44.38
2017-09-20,2017-09-20,45.42
2017-09-21,2017-09-21,46.29
2017-09-22,2017-09-22,47.06
2017-09-25,2017-09-25,47.7
2017-09-26,2017-09-26,47.58
2017-09-27,2017-09-27,46.85
2017-09-28,2017-09-28,47.49
2017-09-29,2017-09-29,47.49
2017-10-02,2017-10-02,47.73
2017-10-03,2017-10-03,50.51
2017-10-04,2017-10-04,50.73
2017-10-05,2017-10-05,50.56
2017-10-06,2017-10-06,51.3
2017-10-09,2017-10-09,50.6
2017-10-10,2017-10-10,53.03
2017-10-11,2017-10-11,52.83
2017-10-12,2017-10-12,52.65
2017-10-13,2017-10-13,52.7
2017-10-16,2017-10-16,52.27
2017-10-17,2017-10-17,52.07
2017-10-18,2017-10-18,52.03
2017-10-19,2017-10-19,51.51
2017-10-20,2017-10-20,51.93
2017-10-23,2017-10-23,50.98
2017-10-24,2017-10-24,51.95
2017-10-25,2017-10-25,51.02
2017-10-26,2017-10-26,48.61
2017-10-27,2017-10-27,47.56
2017-10-30,2017-10-30,47.25
2017-10-31,2017-10-31,46.82
2017-11-01,2017-11-01,47.84
2017-11-02,2017-11-02,47.36
2017-11-03,2017-11-03,47.45
2017-11-06,2017-11-06,47.51
2017-11-07,2017-11-07,46.46
2017-11-08,2017-11-08,46.37
2017-11-09,2017-11-09,45.77
2017-11-10,2017-11-10,45.82
2017-11-13,2017-11-13,45.74
2017-11-14,2017-11-14,45.81
2017-11-15,2017-11-15,47.19
2017-11-16,2017-11-16,47.68
2017-11-17,2017-11-17,47.39
2017-11-20,2017-11-20,47.69
2017-11-21,2017-11-21,48.65
2017-11-22,2017-11-22,48.66
2017-11-24,2017-11-24,48.56
2017-11-27,2017-11-27,48.42
2017-11-28,2017-11-28,49.22
2017-11-29,2017-11-29,49.25
2017-11-30,2017-11-30,50.49
2017-12-01,2017-12-01,49.0
2017-12-04,2017-12-04,49.93
2017-12-05,2017-12-05,49.47
2017-12-06,2017-12-06,49.61
2017-12-07,2017-12-07,50.88
2017-12-08,2017-12-08,51.02
2017-12-11,2017-12-11,51.3
2017-12-12,2017-12-12,50.47
2017-12-13,2017-12-13,50.09
2017-12-14,2017-12-14,50.21
2017-12-15,2017-12-15,51.06
2017-12-18,2017-12-18,51.49
2017-12-19,2017-12-19,51.44
2017-12-20,2017-12-20,51.92
2017-12-21,2017-12-21,52.79
2017-12-22,2017-12-22,52.59
2017-12-26,2017-12-26,52.85
2017-12-27,2017-12-27,52.4
2017-12-28,2017-12-28,52.46
2017-12-29,2017-12-29,52.03
2018-01-02,2018-01-02,52.99
2018-01-03,2018-01-03,52.34
2018-01-04,2018-01-04,52.67
2018-01-05,2018-01-05,52.65
2018-01-08,2018-01-08,52.13
2018-01-09,2018-01-09,52.08
2018-01-10,2018-01-10,53.78
2018-01-11,2018-01-11,56.42
2018-01-12,2018-01-12,58.47
2018-01-16,2018-01-16,57.98
2018-01-17,2018-01-17,58.16
2018-01-18,2018-01-18,58.34
2018-01-19,2018-01-19,58.06
2018-01-22,2018-01-22,58.1
2018-01-23,2018-01-23,58.29
2018-01-24,2018-01-24,54.79
2018-01-25,2018-01-25,53.05
2018-01-26,2018-01-26,53.07
2018-01-29,2018-01-29,52.68
2018-01-30,2018-01-30,52.59
2018-01-31,2018-01-31,54.32
2018-02-01,2018-02-01,53.88
2018-02-02,2018-02-02,52.1
2018-02-05,2018-02-05,49.76
2018-02-06,2018-02-06,51.18
2018-02-07,2018-02-07,51.4
2018-02-08,2018-02-08,48.6
2018-02-09,2018-02-09,48.36
2018-02-12,2018-02-12,50.09
2018-02-13,2018-02-13,50.87
2018-02-14,2018-02-14,51.07
2018-02-15,2018-02-15,51.67
2018-02-16,2018-02-16,51.58
2018-02-20,2018-02-20,51.72
2018-02-21,2018-02-21,52.78
2018-02-22,2018-02-22,52.98
2018-02-23,2018-02-23,53.39
2018-02-26,2018-02-26,55.0
2018-02-27,2018-02-27,54.26
2018-02-28,2018-02-28,54.25
2018-03-01,2018-03-01,53.48
2018-03-02,2018-03-02,53.18
2018-03-05,2018-03-05,53.19
2018-03-06,2018-03-06,53.57
2018-03-07,2018-03-07,54.11
2018-03-08,2018-03-08,54.79
2018-03-09,2018-03-09,56.07
2018-03-12,2018-03-12,56.5
2018-03-13,2018-03-13,56.23
2018-03-14,2018-03-14,55.28
2018-03-15,2018-03-15,55.17
2018-03-16,2018-03-16,55.4
2018-03-19,2018-03-19,54.62
2018-03-20,2018-03-20,55.32
2018-03-21,2018-03-21,54.09
2018-03-22,2018-03-22,52.31
2018-03-23,2018-03-23,51.01
2018-03-26,2018-03-26,51.86
2018-03-27,2018-03-27,50.9
2018-03-28,2018-03-28,50.85
2018-03-29,2018-03-29,51.96
2018-04-02,2018-04-02,49.78
2018-04-03,2018-04-03,51.47
2018-04-04,2018-04-04,52.04
2018-04-05,2018-04-05,52.14
2018-04-06,2018-04-06,50.29
2018-04-09,2018-04-09,49.82
2018-04-10,2018-04-10,47.46
2018-04-11,2018-04-11,45.4
2018-04-12,2018-04-12,46.57
2018-04-13,2018-04-13,45.87
2018-04-16,2018-04-16,46.4
