DATE,DATE,CLOSE
2016-11-01,2016-11-01,139.79
2016-11-02,2016-11-02,138.14
2016-11-03,2016-11-03,138.85
2016-11-04,2016-11-04,136.19
2016-11-07,2016-11-07,137.54
2016-11-08,2016-11-08,137.67
2016-11-09,2016-11-09,140.33
2016-11-10,2016-11-10,145.82
2016-11-11,2016-11-11,145.02
2016-11-14,2016-11-14,142.9
2016-11-15,2016-11-15,164.33
2016-11-16,2016-11-16,162.98
2016-11-17,2016-11-17,166.32
2016-11-18,2016-11-18,162.57
2016-11-21,2016-11-21,166.9
2016-11-22,2016-11-22,170.29
2016-11-23,2016-11-23,171.04
2016-11-25,2016-11-25,170.86
2016-11-28,2016-11-28,170.77
2016-11-29,2016-11-29,169.8
2016-11-30,2016-11-30,169.72
2016-12-01,2016-12-01,170.76
2016-12-02,2016-12-02,170.14
2016-12-05,2016-12-05,170.53
2016-12-06,2016-12-06,173.31
2016-12-07,2016-12-07,176.78
2016-12-08,2016-12-08,176.52
2016-12-09,2016-12-09,175.58
2016-12-12,2016-12-12,173.0
2016-12-13,2016-12-13,171.87
2016-12-14,2016-12-14,171.51
2016-12-15,2016-12-15,172.92
2016-12-16,2016-12-16,171.91
2016-12-19,2016-12-19,173.82
2016-12-20,2016-12-20,175.63
2016-12-21,2016-12-21,173.51
2016-12-22,2016-12-22,170.39
2016-12-23,2016-12-23,170.89
2016-12-27,2016-12-27,171.84
2016-12-28,2016-12-28,170.42
2016-12-29,2016-12-29,170.28
2016-12-30,2016-12-30,169.12
2017-01-03,2017-01-03,170.6
2017-01-04,2017-01-04,172.0
2017-01-05,2017-01-05,171.88
2017-01-06,2017-01-06,169.63
2017-01-09,2017-01-09,169.53
2017-01-10,2017-01-10,169.92
2017-01-11,2017-01-11,173.43
2017-01-12,2017-01-12,174.47
2017-01-13,2017-01-13,174.79
2017-01-17,2017-01-17,173.0
2017-01-18,2017-01-18,173.98
2017-01-19,2017-01-19,171.72
2017-01-20,2017-01-20,171.5
2017-01-23,2017-01-23,167.78
2017-01-24,2017-01-24,168.29
2017-01-25,2017-01-25,167.5
2017-01-26,2017-01-26,165.5
2017-01-27,2017-01-27,164.37
2017-01-30,2017-01-30,164.63
2017-01-31,2017-01-31,164.24
2017-02-01,2017-02-01,160.59
2017-02-02,2017-02-02,162.34
2017-02-03,2017-02-03,162.75
2017-02-06,2017-02-06,160.27
2017-02-07,2017-02-07,159.18
2017-02-08,2017-02-08,162.73
2017-02-09,2017-02-09,164.83
2017-02-10,2017-02-10,164.05
2017-02-13,2017-02-13,162.39
2017-02-14,2017-02-14,164.37
2017-02-15,2017-02-15,163.88
2017-02-16,2017-02-16,160.99
2017-02-17,2017-02-17,161.58
2017-02-21,2017-02-21,161.15
2017-02-22,2017-02-22,159.68
2017-02-23,2017-02-23,157.72
2017-02-24,2017-02-24,157.33
2017-02-27,2017-02-27,156.94
2017-02-28,2017-02-28,156.61
2017-03-01,2017-03-01,156.68
2017-03-02,2017-03-02,157.36
2017-03-03,2017-03-03,155.35
2017-03-06,2017-03-06,154.25
2017-03-07,2017-03-07,151.99
2017-03-08,2017-03-08,155.21
2017-03-09,2017-03-09,155.15
2017-03-10,2017-03-10,153.97
2017-03-13,2017-03-13,154.35
2017-03-14,2017-03-14,153.71
2017-03-15,2017-03-15,152.92
2017-03-16,2017-03-16,153.41
2017-03-17,2017-03-17,152.4
2017-03-20,2017-03-20,152.44
2017-03-21,2017-03-21,151.22
2017-03-22,2017-03-22,151.27
2017-03-23,2017-03-23,150.78
2017-03-24,2017-03-24,149.73
2017-03-27,2017-03-27,147.8
2017-03-28,2017-03-28,148.36
2017-03-29,2017-03-29,149.67
2017-03-30,2017-03-30,148.67
2017-03-31,2017-03-31,148.26
2017-04-03,2017-04-03,145.5
2017-04-04,2017-04-04,143.04
2017-04-05,2017-04-05,142.74
2017-04-06,2017-04-06,142.56
2017-04-07,2017-04-07,142.05
2017-04-10,2017-04-10,142.84
2017-04-11,2017-04-11,143.46
2017-04-12,2017-04-12,141.74
2017-04-13,2017-04-13,140.89
2017-04-17,2017-04-17,140.84
2017-04-18,2017-04-18,140.91
2017-04-19,2017-04-19,142.42
2017-04-20,2017-04-20,146.56
2017-04-21,2017-04-21,146.84
2017-04-24,2017-04-24,147.1
2017-04-25,2017-04-25,145.67
2017-04-26,2017-04-26,145.78
2017-04-27,2017-04-27,143.19
2017-04-28,2017-04-28,142.14
2017-05-01,2017-05-01,140.53
2017-05-02,2017-05-02,142.55
2017-05-03,2017-05-03,142.82
2017-05-04,2017-05-04,144.81
2017-05-05,2017-05-05,144.98
2017-05-08,2017-05-08,146.97
2017-05-09,2017-05-09,146.12
2017-05-10,2017-05-10,146.16
2017-05-11,2017-05-11,145.95
2017-05-12,2017-05-12,145.02
2017-05-15,2017-05-15,145.85
2017-05-16,2017-05-16,145.25
2017-05-17,2017-05-17,144.56
2017-05-18,2017-05-18,148.51
2017-05-19,2017-05-19,151.47
2017-05-22,2017-05-22,147.37
2017-05-23,2017-05-23,140.66
2017-05-24,2017-05-24,133.02
2017-05-25,2017-05-25,131.97
2017-05-26,2017-05-26,134.16
2017-05-30,2017-05-30,132.99
2017-05-31,2017-05-31,133.63
2017-06-01,2017-06-01,137.1
2017-06-02,2017-06-02,137.8
2017-06-05,2017-06-05,135.57
2017-06-06,2017-06-06,131.3
2017-06-07,2017-06-07,130.62
2017-06-08,2017-06-08,125.92
2017-06-09,2017-06-09,128.36
