DATE,DATE,CLOSE
2016-11-01,2016-11-01,106.87
2016-11-02,2016-11-02,105.89
2016-11-03,2016-11-03,107.17
2016-11-04,2016-11-04,106.2
2016-11-07,2016-11-07,108.66
2016-11-08,2016-11-08,108.39
2016-11-09,2016-11-09,107.86
2016-11-10,2016-11-10,104.08
2016-11-11,2016-11-11,103.68
2016-11-14,2016-11-14,102.42
2016-11-15,2016-11-15,103.66
2016-11-16,2016-11-16,104.08
2016-11-17,2016-11-17,105.81
2016-11-18,2016-11-18,105.02
2016-11-21,2016-11-21,105.65
2016-11-22,2016-11-22,105.21
2016-11-23,2016-11-23,104.21
2016-11-25,2016-11-25,105.02
2016-11-28,2016-11-28,104.5
2016-11-29,2016-11-29,104.95
2016-11-30,2016-11-30,102.81
2016-12-01,2016-12-01,99.51
2016-12-02,2016-12-02,99.73
2016-12-05,2016-12-05,101.95
2016-12-06,2016-12-06,101.55
2016-12-07,2016-12-07,103.36
2016-12-08,2016-12-08,103.5
2016-12-09,2016-12-09,104.31
2016-12-12,2016-12-12,105.16
2016-12-13,2016-12-13,106.15
2016-12-14,2016-12-14,105.81
2016-12-15,2016-12-15,105.1
2016-12-16,2016-12-16,103.55
2016-12-19,2016-12-19,105.29
2016-12-20,2016-12-20,105.77
2016-12-21,2016-12-21,105.51
2016-12-22,2016-12-22,104.72
2016-12-23,2016-12-23,105.02
2016-12-27,2016-12-27,104.98
2016-12-28,2016-12-28,103.77
2016-12-29,2016-12-29,103.68
2016-12-30,2016-12-30,102.95
2017-01-03,2017-01-03,103.48
2017-01-04,2017-01-04,104.14
2017-01-05,2017-01-05,105.91
2017-01-06,2017-01-06,108.3
2017-01-09,2017-01-09,108.57
2017-01-10,2017-01-10,108.26
2017-01-11,2017-01-11,108.99
2017-01-12,2017-01-12,108.59
2017-01-13,2017-01-13,108.53
2017-01-17,2017-01-17,108.0
2017-01-18,2017-01-18,108.79
2017-01-19,2017-01-19,109.79
2017-01-20,2017-01-20,110.71
2017-01-23,2017-01-23,110.97
2017-01-24,2017-01-24,113.72
2017-01-25,2017-01-25,114.25
2017-01-26,2017-01-26,112.88
2017-01-27,2017-01-27,113.99
2017-01-30,2017-01-30,113.82
2017-01-31,2017-01-31,113.38
