DATE,DATE,CLOSE
2016-11-01,2016-11-01,46.75
2016-11-02,2016-11-02,47.26
2016-11-03,2016-11-03,47.43
2016-11-04,2016-11-04,46.92
2016-11-07,2016-11-07,47.05
2016-11-08,2016-11-08,47.72
2016-11-09,2016-11-09,46.28
2016-11-10,2016-11-10,45.18
2016-11-11,2016-11-11,41.73
2016-11-14,2016-11-14,42.88
2016-11-15,2016-11-15,43.49
2016-11-16,2016-11-16,43.26
2016-11-17,2016-11-17,43.0
2016-11-18,2016-11-18,43.49
2016-11-21,2016-11-21,43.65
2016-11-22,2016-11-22,43.51
2016-11-23,2016-11-23,43.25
2016-11-25,2016-11-25,43.55
2016-11-28,2016-11-28,43.11
2016-11-29,2016-11-29,42.77
2016-11-30,2016-11-30,43.23
2016-12-01,2016-12-01,44.31
2016-12-02,2016-12-02,44.0
2016-12-05,2016-12-05,43.9
2016-12-06,2016-12-06,44.68
2016-12-07,2016-12-07,45.2
2016-12-08,2016-12-08,45.97
2016-12-09,2016-12-09,46.56
2016-12-12,2016-12-12,47.02
2016-12-13,2016-12-13,46.4
2016-12-14,2016-12-14,45.59
2016-12-15,2016-12-15,45.74
2016-12-16,2016-12-16,46.51
2016-12-19,2016-12-19,46.07
2016-12-20,2016-12-20,46.22
2016-12-21,2016-12-21,46.13
2016-12-22,2016-12-22,45.18
2016-12-23,2016-12-23,45.15
2016-12-27,2016-12-27,45.65
2016-12-28,2016-12-28,45.34
2016-12-29,2016-12-29,45.36
2016-12-30,2016-12-30,45.65
2017-01-03,2017-01-03,46.19
2017-01-04,2017-01-04,46.11
2017-01-05,2017-01-05,45.77
2017-01-06,2017-01-06,44.72
2017-01-09,2017-01-09,44.75
2017-01-10,2017-01-10,44.46
2017-01-11,2017-01-11,44.01
2017-01-12,2017-01-12,43.44
2017-01-13,2017-01-13,43.56
2017-01-17,2017-01-17,44.69
2017-01-18,2017-01-18,44.95
2017-01-19,2017-01-19,44.5
2017-01-20,2017-01-20,44.73
2017-01-23,2017-01-23,44.71
2017-01-24,2017-01-24,44.66
2017-01-25,2017-01-25,45.2
2017-01-26,2017-01-26,44.55
2017-01-27,2017-01-27,44.52
2017-01-30,2017-01-30,44.13
2017-01-31,2017-01-31,44.26
2017-02-01,2017-02-01,43.77
2017-02-02,2017-02-02,43.99
2017-02-03,2017-02-03,43.99
2017-02-06,2017-02-06,44.02
2017-02-07,2017-02-07,44.59
2017-02-08,2017-02-08,43.46
2017-02-09,2017-02-09,43.54
2017-02-10,2017-02-10,43.83
2017-02-13,2017-02-13,43.71
2017-02-14,2017-02-14,43.73
2017-02-15,2017-02-15,44.47
2017-02-16,2017-02-16,44.1
2017-02-17,2017-02-17,44.69
2017-02-21,2017-02-21,44.81
2017-02-22,2017-02-22,44.72
2017-02-23,2017-02-23,45.09
2017-02-24,2017-02-24,45.26
2017-02-27,2017-02-27,45.37
2017-02-28,2017-02-28,46.97
2017-03-01,2017-03-01,46.51
2017-03-02,2017-03-02,45.48
2017-03-03,2017-03-03,45.2
2017-03-06,2017-03-06,44.76
2017-03-07,2017-03-07,44.46
2017-03-08,2017-03-08,43.99
2017-03-09,2017-03-09,44.42
2017-03-10,2017-03-10,45.04
2017-03-13,2017-03-13,44.7
2017-03-14,2017-03-14,44.67
2017-03-15,2017-03-15,45.01
2017-03-16,2017-03-16,44.85
2017-03-17,2017-03-17,44.72
2017-03-20,2017-03-20,44.85
2017-03-21,2017-03-21,44.95
2017-03-22,2017-03-22,45.61
2017-03-23,2017-03-23,45.61
2017-03-24,2017-03-24,45.58
2017-03-27,2017-03-27,45.35
2017-03-28,2017-03-28,45.72
2017-03-29,2017-03-29,46.24
2017-03-30,2017-03-30,46.11
2017-03-31,2017-03-31,46.04
2017-04-03,2017-04-03,45.8
2017-04-04,2017-04-04,45.41
2017-04-05,2017-04-05,45.26
2017-04-06,2017-04-06,45.25
2017-04-07,2017-04-07,44.89
2017-04-10,2017-04-10,44.99
2017-04-11,2017-04-11,44.54
2017-04-12,2017-04-12,44.65
2017-04-13,2017-04-13,44.28
2017-04-17,2017-04-17,44.68
2017-04-18,2017-04-18,45.41
2017-04-19,2017-04-19,44.6
2017-04-20,2017-04-20,44.9
2017-04-21,2017-04-21,44.81
2017-04-24,2017-04-24,45.38
2017-04-25,2017-04-25,45.58
2017-04-26,2017-04-26,45.27
2017-04-27,2017-04-27,45.78
2017-04-28,2017-04-28,45.75
2017-05-01,2017-05-01,45.73
2017-05-02,2017-05-02,41.67
2017-05-03,2017-05-03,41.31
2017-05-04,2017-05-04,42.4
2017-05-05,2017-05-05,42.43
2017-05-08,2017-05-08,42.96
2017-05-09,2017-05-09,42.36
2017-05-10,2017-05-10,42.29
2017-05-11,2017-05-11,42.03
2017-05-12,2017-05-12,41.96
2017-05-15,2017-05-15,42.14
2017-05-16,2017-05-16,41.9
2017-05-17,2017-05-17,41.52
2017-05-18,2017-05-18,41.31
2017-05-19,2017-05-19,41.5
2017-05-22,2017-05-22,41.5
2017-05-23,2017-05-23,43.04
2017-05-24,2017-05-24,42.55
2017-05-25,2017-05-25,42.62
2017-05-26,2017-05-26,42.45
2017-05-30,2017-05-30,42.11
2017-05-31,2017-05-31,41.58
2017-06-01,2017-06-01,41.82
2017-06-02,2017-06-02,42.22
2017-06-05,2017-06-05,41.94
2017-06-06,2017-06-06,41.95
2017-06-07,2017-06-07,41.91
2017-06-08,2017-06-08,42.01
2017-06-09,2017-06-09,42.02
2017-06-12,2017-06-12,42.43
2017-06-13,2017-06-13,42.36
2017-06-14,2017-06-14,42.05
2017-06-15,2017-06-15,42.36
2017-06-16,2017-06-16,42.56
2017-06-19,2017-06-19,42.44
2017-06-20,2017-06-20,41.48
2017-06-21,2017-06-21,41.25
2017-06-22,2017-06-22,41.03
2017-06-23,2017-06-23,41.16
2017-06-26,2017-06-26,41.3
2017-06-27,2017-06-27,41.0
2017-06-28,2017-06-28,41.14
2017-06-29,2017-06-29,40.63
2017-06-30,2017-06-30,41.38
2017-07-03,2017-07-03,41.46
2017-07-05,2017-07-05,41.8
2017-07-06,2017-07-06,41.1
2017-07-07,2017-07-07,41.24
2017-07-10,2017-07-10,40.81
2017-07-11,2017-07-11,40.29
2017-07-12,2017-07-12,40.9
2017-07-13,2017-07-13,41.38
2017-07-14,2017-07-14,41.48
2017-07-17,2017-07-17,41.6
2017-07-18,2017-07-18,41.18
2017-07-19,2017-07-19,41.28
2017-07-20,2017-07-20,41.42
2017-07-21,2017-07-21,41.26
2017-07-24,2017-07-24,41.38
2017-07-25,2017-07-25,41.96
2017-07-26,2017-07-26,41.71
2017-07-27,2017-07-27,41.78
2017-07-28,2017-07-28,41.78
2017-07-31,2017-07-31,42.18
2017-08-01,2017-08-01,43.3
2017-08-02,2017-08-02,42.49
2017-08-03,2017-08-03,42.62
2017-08-04,2017-08-04,42.59
2017-08-07,2017-08-07,42.44
2017-08-08,2017-08-08,42.24
2017-08-09,2017-08-09,42.49
2017-08-10,2017-08-10,42.12
2017-08-11,2017-08-11,41.26
2017-08-14,2017-08-14,41.95
2017-08-15,2017-08-15,42.05
2017-08-16,2017-08-16,42.15
2017-08-17,2017-08-17,41.67
2017-08-18,2017-08-18,41.27
2017-08-21,2017-08-21,41.56
2017-08-22,2017-08-22,41.72
2017-08-23,2017-08-23,41.77
2017-08-24,2017-08-24,41.08
2017-08-25,2017-08-25,41.75
2017-08-28,2017-08-28,41.77
2017-08-29,2017-08-29,41.74
2017-08-30,2017-08-30,41.86
2017-08-31,2017-08-31,41.32
2017-09-01,2017-09-01,42.2
2017-09-05,2017-09-05,41.94
2017-09-06,2017-09-06,42.4
2017-09-07,2017-09-07,42.59
2017-09-08,2017-09-08,42.37
2017-09-11,2017-09-11,42.79
2017-09-12,2017-09-12,43.21
2017-09-13,2017-09-13,43.29
2017-09-14,2017-09-14,43.45
2017-09-15,2017-09-15,43.84
2017-09-18,2017-09-18,44.09
2017-09-19,2017-09-19,43.89
2017-09-20,2017-09-20,43.32
2017-09-21,2017-09-21,43.29
2017-09-22,2017-09-22,43.38
2017-09-25,2017-09-25,43.57
2017-09-26,2017-09-26,43.52
2017-09-27,2017-09-27,43.05
2017-09-28,2017-09-28,42.75
2017-09-29,2017-09-29,42.51
2017-10-02,2017-10-02,42.62
2017-10-03,2017-10-03,42.72
2017-10-04,2017-10-04,43.03
2017-10-05,2017-10-05,43.35
2017-10-06,2017-10-06,43.0
2017-10-09,2017-10-09,42.61
2017-10-10,2017-10-10,43.01
2017-10-11,2017-10-11,43.29
2017-10-12,2017-10-12,43.44
2017-10-13,2017-10-13,44.0
2017-10-16,2017-10-16,43.7
2017-10-17,2017-10-17,43.67
2017-10-18,2017-10-18,43.31
2017-10-19,2017-10-19,43.31
2017-10-20,2017-10-20,43.49
2017-10-23,2017-10-23,43.57
2017-10-24,2017-10-24,43.73
2017-10-25,2017-10-25,43.44
