DATE,DATE,CLOSE
2016-11-01,2016-11-01,201.74
2016-11-02,2016-11-02,200.03
2016-11-03,2016-11-03,200.05
2016-11-04,2016-11-04,199.8
2016-11-07,2016-11-07,203.79
2016-11-08,2016-11-08,201.55
2016-11-09,2016-11-09,207.32
2016-11-10,2016-11-10,209.79
2016-11-11,2016-11-11,211.72
2016-11-14,2016-11-14,210.8
2016-11-15,2016-11-15,210.14
2016-11-16,2016-11-16,210.71
2016-11-17,2016-11-17,217.55
2016-11-18,2016-11-18,217.6
2016-11-21,2016-11-21,228.66
2016-11-22,2016-11-22,233.12
2016-11-23,2016-11-23,235.05
2016-11-25,2016-11-25,234.69
2016-11-28,2016-11-28,232.04
2016-11-29,2016-11-29,228.71
2016-11-30,2016-11-30,228.78
2016-12-01,2016-12-01,228.18
2016-12-02,2016-12-02,218.71
2016-12-05,2016-12-05,223.39
2016-12-06,2016-12-06,227.16
2016-12-07,2016-12-07,233.5
2016-12-08,2016-12-08,239.87
2016-12-09,2016-12-09,232.2
2016-12-12,2016-12-12,230.6
2016-12-13,2016-12-13,232.68
2016-12-14,2016-12-14,229.99
2016-12-15,2016-12-15,231.38
2016-12-16,2016-12-16,228.83
2016-12-19,2016-12-19,230.96
2016-12-20,2016-12-20,231.34
2016-12-21,2016-12-21,233.68
2016-12-22,2016-12-22,231.66
2016-12-23,2016-12-23,233.64
2016-12-27,2016-12-27,233.71
2016-12-28,2016-12-28,228.57
2016-12-29,2016-12-29,229.25
2016-12-30,2016-12-30,228.5
2017-01-03,2017-01-03,233.01
2017-01-04,2017-01-04,237.78
2017-01-05,2017-01-05,235.82
2017-01-06,2017-01-06,236.32
2017-01-09,2017-01-09,237.59
2017-01-10,2017-01-10,235.26
2017-01-11,2017-01-11,234.6
2017-01-12,2017-01-12,235.67
2017-01-13,2017-01-13,237.55
2017-01-17,2017-01-17,230.0
2017-01-18,2017-01-18,231.62
2017-01-19,2017-01-19,230.22
2017-01-20,2017-01-20,230.55
2017-01-23,2017-01-23,228.55
2017-01-24,2017-01-24,226.21
2017-01-25,2017-01-25,227.26
2017-01-26,2017-01-26,221.7
2017-01-27,2017-01-27,222.35
2017-01-30,2017-01-30,228.18
2017-01-31,2017-01-31,228.38
2017-02-01,2017-02-01,230.39
2017-02-02,2017-02-02,225.98
2017-02-03,2017-02-03,228.14
2017-02-06,2017-02-06,226.49
2017-02-07,2017-02-07,225.11
2017-02-08,2017-02-08,225.76
2017-02-09,2017-02-09,228.64
2017-02-10,2017-02-10,227.03
2017-02-13,2017-02-13,227.81
2017-02-14,2017-02-14,229.39
2017-02-15,2017-02-15,230.57
2017-02-16,2017-02-16,231.41
2017-02-17,2017-02-17,235.04
2017-02-21,2017-02-21,239.46
2017-02-22,2017-02-22,239.87
2017-02-23,2017-02-23,242.42
2017-02-24,2017-02-24,244.81
2017-02-27,2017-02-27,246.77
2017-02-28,2017-02-28,242.98
2017-03-01,2017-03-01,247.62
2017-03-02,2017-03-02,243.94
2017-03-03,2017-03-03,244.63
2017-03-06,2017-03-06,245.45
2017-03-07,2017-03-07,245.05
2017-03-08,2017-03-08,246.19
2017-03-09,2017-03-09,247.93
2017-03-10,2017-03-10,248.2
2017-03-13,2017-03-13,247.82
2017-03-14,2017-03-14,245.53
2017-03-15,2017-03-15,245.55
2017-03-16,2017-03-16,245.09
2017-03-17,2017-03-17,245.01
2017-03-20,2017-03-20,244.54
2017-03-21,2017-03-21,239.29
2017-03-22,2017-03-22,240.87
2017-03-23,2017-03-23,242.92
2017-03-24,2017-03-24,243.79
2017-03-27,2017-03-27,243.43
2017-03-28,2017-03-28,244.7
2017-03-29,2017-03-29,245.33
2017-03-30,2017-03-30,248.88
2017-03-31,2017-03-31,249.0
2017-04-03,2017-04-03,250.33
2017-04-04,2017-04-04,250.97
2017-04-05,2017-04-05,250.26
2017-04-06,2017-04-06,253.36
2017-04-07,2017-04-07,251.04
2017-04-10,2017-04-10,247.66
2017-04-11,2017-04-11,238.34
2017-04-12,2017-04-12,238.9
2017-04-13,2017-04-13,234.91
2017-04-17,2017-04-17,238.51
2017-04-18,2017-04-18,238.0
2017-04-19,2017-04-19,240.64
2017-04-20,2017-04-20,260.62
2017-04-21,2017-04-21,259.51
2017-04-24,2017-04-24,260.87
2017-04-25,2017-04-25,263.01
2017-04-26,2017-04-26,262.33
2017-04-27,2017-04-27,260.54
2017-04-28,2017-04-28,249.63
2017-05-01,2017-05-01,253.48
2017-05-02,2017-05-02,255.9
2017-05-03,2017-05-03,254.27
2017-05-04,2017-05-04,253.68
2017-05-05,2017-05-05,255.49
2017-05-08,2017-05-08,257.36
2017-05-09,2017-05-09,260.21
2017-05-10,2017-05-10,258.56
2017-05-11,2017-05-11,251.1
2017-05-12,2017-05-12,243.47
2017-05-15,2017-05-15,244.85
2017-05-16,2017-05-16,245.06
2017-05-17,2017-05-17,238.19
2017-05-18,2017-05-18,234.66
2017-05-19,2017-05-19,235.17
2017-05-22,2017-05-22,238.27
2017-05-23,2017-05-23,236.21
2017-05-24,2017-05-24,237.71
2017-05-25,2017-05-25,245.62
2017-05-26,2017-05-26,244.04
2017-05-30,2017-05-30,242.15
2017-05-31,2017-05-31,241.13
2017-06-01,2017-06-01,241.65
2017-06-02,2017-06-02,237.84
2017-06-05,2017-06-05,236.51
2017-06-06,2017-06-06,240.26
2017-06-07,2017-06-07,238.24
2017-06-08,2017-06-08,242.01
2017-06-09,2017-06-09,241.36
2017-06-12,2017-06-12,244.39
2017-06-13,2017-06-13,246.29
2017-06-14,2017-06-14,243.31
2017-06-15,2017-06-15,250.04
2017-06-16,2017-06-16,254.9
2017-06-19,2017-06-19,257.41
2017-06-20,2017-06-20,258.1
2017-06-21,2017-06-21,258.94
2017-06-22,2017-06-22,259.67
2017-06-23,2017-06-23,261.25
