DATE,DATE,CLOSE
2016-11-01,2016-11-01,49.17
2016-11-02,2016-11-02,48.65
2016-11-03,2016-11-03,49.07
2016-11-04,2016-11-04,49.36
2016-11-07,2016-11-07,50.81
2016-11-08,2016-11-08,51.21
2016-11-09,2016-11-09,49.05
2016-11-10,2016-11-10,47.8
2016-11-11,2016-11-11,47.77
2016-11-14,2016-11-14,48.62
2016-11-15,2016-11-15,49.27
2016-11-16,2016-11-16,48.47
2016-11-17,2016-11-17,48.51
2016-11-18,2016-11-18,48.48
2016-11-21,2016-11-21,48.84
2016-11-22,2016-11-22,49.43
2016-11-23,2016-11-23,49.07
2016-11-25,2016-11-25,49.99
2016-11-28,2016-11-28,51.08
2016-11-29,2016-11-29,50.93
2016-11-30,2016-11-30,49.12
2016-12-01,2016-12-01,48.91
2016-12-02,2016-12-02,49.66
2016-12-05,2016-12-05,49.16
2016-12-06,2016-12-06,49.34
2016-12-07,2016-12-07,49.88
2016-12-08,2016-12-08,49.82
2016-12-09,2016-12-09,50.73
2016-12-12,2016-12-12,51.34
2016-12-13,2016-12-13,51.92
2016-12-14,2016-12-14,50.7
2016-12-15,2016-12-15,51.1
2016-12-16,2016-12-16,51.6
2016-12-19,2016-12-19,51.89
2016-12-20,2016-12-20,52.19
2016-12-21,2016-12-21,51.95
2016-12-22,2016-12-22,52.41
2016-12-23,2016-12-23,52.45
2016-12-27,2016-12-27,52.56
2016-12-28,2016-12-28,51.82
2016-12-29,2016-12-29,52.56
2016-12-30,2016-12-30,52.46
2017-01-03,2017-01-03,52.38
2017-01-04,2017-01-04,52.44
2017-01-05,2017-01-05,52.7
2017-01-06,2017-01-06,53.1
2017-01-09,2017-01-09,51.99
2017-01-10,2017-01-10,51.97
2017-01-11,2017-01-11,52.2
2017-01-12,2017-01-12,51.96
2017-01-13,2017-01-13,51.97
2017-01-17,2017-01-17,52.55
2017-01-18,2017-01-18,52.36
2017-01-19,2017-01-19,51.81
2017-01-20,2017-01-20,52.05
2017-01-23,2017-01-23,51.98
2017-01-24,2017-01-24,52.06
2017-01-25,2017-01-25,51.9
2017-01-26,2017-01-26,52.08
2017-01-27,2017-01-27,51.82
2017-01-30,2017-01-30,51.69
2017-01-31,2017-01-31,52.65
2017-02-01,2017-02-01,51.75
2017-02-02,2017-02-02,52.59
2017-02-03,2017-02-03,52.69
2017-02-06,2017-02-06,52.65
2017-02-07,2017-02-07,52.68
2017-02-08,2017-02-08,53.12
2017-02-09,2017-02-09,52.9
2017-02-10,2017-02-10,52.93
2017-02-13,2017-02-13,53.05
2017-02-14,2017-02-14,52.65
2017-02-15,2017-02-15,52.54
2017-02-16,2017-02-16,52.94
2017-02-17,2017-02-17,53.37
2017-02-21,2017-02-21,53.89
2017-02-22,2017-02-22,53.97
2017-02-23,2017-02-23,54.07
2017-02-24,2017-02-24,54.58
2017-02-27,2017-02-27,54.29
