DATE,DATE,CLOSE
2016-11-01,2016-11-01,47.65
2016-11-02,2016-11-02,47.35
2016-11-03,2016-11-03,47.67
2016-11-04,2016-11-04,47.48
2016-11-07,2016-11-07,48.57
2016-11-08,2016-11-08,48.93
2016-11-09,2016-11-09,49.9
2016-11-10,2016-11-10,51.2
2016-11-11,2016-11-11,51.54
2016-11-14,2016-11-14,52.12
2016-11-15,2016-11-15,51.07
2016-11-16,2016-11-16,50.86
2016-11-17,2016-11-17,51.63
2016-11-18,2016-11-18,51.52
2016-11-21,2016-11-21,51.4
2016-11-22,2016-11-22,51.19
2016-11-23,2016-11-23,51.66
2016-11-25,2016-11-25,51.86
2016-11-28,2016-11-28,51.22
2016-11-29,2016-11-29,51.25
2016-11-30,2016-11-30,50.35
2016-12-01,2016-12-01,49.73
2016-12-02,2016-12-02,49.16
2016-12-05,2016-12-05,49.32
2016-12-06,2016-12-06,49.82
2016-12-07,2016-12-07,50.44
2016-12-08,2016-12-08,50.15
2016-12-09,2016-12-09,50.76
2016-12-12,2016-12-12,50.69
2016-12-13,2016-12-13,51.05
2016-12-14,2016-12-14,50.23
2016-12-15,2016-12-15,50.82
2016-12-16,2016-12-16,51.55
2016-12-19,2016-12-19,51.67
2016-12-20,2016-12-20,51.87
2016-12-21,2016-12-21,51.73
2016-12-22,2016-12-22,51.98
2016-12-23,2016-12-23,52.01
2016-12-27,2016-12-27,51.95
2016-12-28,2016-12-28,51.62
2016-12-29,2016-12-29,51.84
2016-12-30,2016-12-30,51.96
2017-01-03,2017-01-03,52.24
2017-01-04,2017-01-04,52.9
2017-01-05,2017-01-05,53.02
2017-01-06,2017-01-06,53.14
2017-01-09,2017-01-09,52.4
2017-01-10,2017-01-10,52.42
2017-01-11,2017-01-11,52.48
2017-01-12,2017-01-12,52.58
2017-01-13,2017-01-13,52.81
2017-01-17,2017-01-17,52.57
2017-01-18,2017-01-18,52.93
2017-01-19,2017-01-19,52.67
2017-01-20,2017-01-20,52.84
2017-01-23,2017-01-23,52.74
2017-01-24,2017-01-24,53.23
2017-01-25,2017-01-25,53.79
2017-01-26,2017-01-26,53.79
2017-01-27,2017-01-27,54.62
2017-01-30,2017-01-30,53.87
2017-01-31,2017-01-31,53.83
2017-02-01,2017-02-01,53.44
2017-02-02,2017-02-02,53.95
2017-02-03,2017-02-03,54.01
2017-02-06,2017-02-06,54.02
2017-02-07,2017-02-07,53.93
2017-02-08,2017-02-08,54.06
2017-02-09,2017-02-09,54.71
2017-02-10,2017-02-10,55.17
2017-02-13,2017-02-13,55.55
2017-02-14,2017-02-14,55.56
2017-02-15,2017-02-15,55.82
2017-02-16,2017-02-16,56.47
2017-02-17,2017-02-17,56.94
2017-02-21,2017-02-21,56.15
2017-02-22,2017-02-22,56.22
2017-02-23,2017-02-23,56.47
2017-02-24,2017-02-24,56.86
2017-02-27,2017-02-27,56.98
2017-02-28,2017-02-28,56.95
2017-03-01,2017-03-01,57.76
2017-03-02,2017-03-02,56.78
2017-03-03,2017-03-03,56.86
2017-03-06,2017-03-06,56.4
2017-03-07,2017-03-07,56.32
2017-03-08,2017-03-08,56.15
2017-03-09,2017-03-09,56.24
2017-03-10,2017-03-10,56.66
2017-03-13,2017-03-13,56.99
2017-03-14,2017-03-14,56.85
2017-03-15,2017-03-15,57.07
2017-03-16,2017-03-16,56.86
2017-03-17,2017-03-17,56.93
2017-03-20,2017-03-20,56.88
2017-03-21,2017-03-21,56.01
2017-03-22,2017-03-22,56.12
2017-03-23,2017-03-23,56.28
2017-03-24,2017-03-24,56.44
2017-03-27,2017-03-27,56.54
2017-03-28,2017-03-28,57.01
2017-03-29,2017-03-29,56.79
2017-03-30,2017-03-30,56.77
2017-03-31,2017-03-31,56.54
2017-04-03,2017-04-03,56.02
2017-04-04,2017-04-04,56.38
2017-04-05,2017-04-05,56.0
2017-04-06,2017-04-06,56.4
2017-04-07,2017-04-07,56.33
2017-04-10,2017-04-10,56.34
2017-04-11,2017-04-11,56.3
2017-04-12,2017-04-12,55.79
2017-04-13,2017-04-13,55.51
2017-04-17,2017-04-17,56.28
2017-04-18,2017-04-18,56.04
2017-04-19,2017-04-19,55.82
2017-04-20,2017-04-20,56.25
2017-04-21,2017-04-21,55.61
2017-04-24,2017-04-24,56.05
2017-04-25,2017-04-25,56.44
2017-04-26,2017-04-26,56.35
2017-04-27,2017-04-27,56.73
2017-04-28,2017-04-28,55.81
2017-05-01,2017-05-01,55.94
2017-05-02,2017-05-02,55.07
2017-05-03,2017-05-03,55.01
2017-05-04,2017-05-04,55.36
2017-05-05,2017-05-05,55.71
2017-05-08,2017-05-08,55.48
2017-05-09,2017-05-09,55.22
2017-05-10,2017-05-10,55.48
2017-05-11,2017-05-11,55.13
2017-05-12,2017-05-12,54.73
2017-05-15,2017-05-15,55.19
2017-05-16,2017-05-16,55.31
2017-05-17,2017-05-17,54.96
2017-05-18,2017-05-18,55.38
2017-05-19,2017-05-19,55.76
2017-05-22,2017-05-22,56.27
2017-05-23,2017-05-23,56.69
2017-05-24,2017-05-24,56.84
2017-05-25,2017-05-25,57.55
2017-05-26,2017-05-26,57.12
2017-05-30,2017-05-30,56.97
2017-05-31,2017-05-31,56.73
2017-06-01,2017-06-01,57.46
2017-06-02,2017-06-02,57.35
2017-06-05,2017-06-05,56.91
2017-06-06,2017-06-06,56.25
2017-06-07,2017-06-07,56.93
2017-06-08,2017-06-08,57.39
2017-06-09,2017-06-09,57.88
2017-06-12,2017-06-12,58.05
2017-06-13,2017-06-13,58.13
2017-06-14,2017-06-14,57.97
