DATE,DATE,CLOSE
2016-11-01,2016-11-01,67.21
2016-11-02,2016-11-02,67.34
2016-11-03,2016-11-03,68.09
2016-11-04,2016-11-04,66.72
2016-11-07,2016-11-07,66.86
2016-11-08,2016-11-08,67.58
2016-11-09,2016-11-09,68.17
2016-11-10,2016-11-10,69.45
2016-11-11,2016-11-11,69.64
2016-11-14,2016-11-14,70.69
2016-11-15,2016-11-15,71.3
2016-11-16,2016-11-16,70.72
2016-11-17,2016-11-17,71.78
2016-11-18,2016-11-18,72.02
2016-11-21,2016-11-21,72.18
2016-11-22,2016-11-22,72.37
2016-11-23,2016-11-23,72.4
2016-11-25,2016-11-25,72.38
2016-11-28,2016-11-28,72.04
2016-11-29,2016-11-29,69.63
2016-11-30,2016-11-30,69.92
2016-12-01,2016-12-01,70.35
2016-12-02,2016-12-02,70.61
2016-12-05,2016-12-05,70.36
2016-12-06,2016-12-06,70.95
2016-12-07,2016-12-07,71.65
2016-12-08,2016-12-08,71.67
2016-12-09,2016-12-09,72.47
2016-12-12,2016-12-12,72.82
2016-12-13,2016-12-13,72.93
2016-12-14,2016-12-14,72.61
2016-12-15,2016-12-15,73.54
2016-12-16,2016-12-16,74.11
2016-12-19,2016-12-19,74.37
2016-12-20,2016-12-20,74.48
2016-12-21,2016-12-21,74.44
2016-12-22,2016-12-22,74.48
2016-12-23,2016-12-23,74.58
2016-12-27,2016-12-27,74.51
2016-12-28,2016-12-28,74.35
2016-12-29,2016-12-29,74.28
2016-12-30,2016-12-30,74.12
2017-01-03,2017-01-03,74.17
2017-01-04,2017-01-04,74.37
2017-01-05,2017-01-05,74.03
2017-01-06,2017-01-06,74.15
2017-01-09,2017-01-09,73.09
2017-01-10,2017-01-10,73.75
2017-01-11,2017-01-11,73.94
2017-01-12,2017-01-12,73.68
2017-01-13,2017-01-13,73.89
2017-01-17,2017-01-17,73.85
2017-01-18,2017-01-18,74.52
2017-01-19,2017-01-19,74.22
2017-01-20,2017-01-20,74.54
2017-01-23,2017-01-23,74.15
2017-01-24,2017-01-24,74.47
2017-01-25,2017-01-25,75.39
2017-01-26,2017-01-26,75.81
2017-01-27,2017-01-27,75.59
2017-01-30,2017-01-30,75.61
2017-01-31,2017-01-31,75.21
2017-02-01,2017-02-01,75.24
2017-02-02,2017-02-02,77.4
2017-02-03,2017-02-03,77.48
2017-02-06,2017-02-06,78.08
2017-02-07,2017-02-07,78.12
2017-02-08,2017-02-08,77.99
2017-02-09,2017-02-09,78.35
2017-02-10,2017-02-10,78.88
2017-02-13,2017-02-13,79.61
2017-02-14,2017-02-14,79.8
2017-02-15,2017-02-15,80.71
2017-02-16,2017-02-16,80.8
2017-02-17,2017-02-17,80.44
2017-02-21,2017-02-21,80.62
2017-02-22,2017-02-22,80.58
2017-02-23,2017-02-23,80.55
2017-02-24,2017-02-24,80.91
2017-02-27,2017-02-27,81.34
2017-02-28,2017-02-28,82.16
2017-03-01,2017-03-01,82.69
2017-03-02,2017-03-02,81.75
2017-03-03,2017-03-03,81.86
2017-03-06,2017-03-06,81.34
2017-03-07,2017-03-07,81.46
2017-03-08,2017-03-08,81.13
2017-03-09,2017-03-09,81.57
2017-03-10,2017-03-10,82.05
2017-03-13,2017-03-13,82.1
2017-03-14,2017-03-14,82.18
2017-03-15,2017-03-15,82.62
2017-03-16,2017-03-16,82.89
2017-03-17,2017-03-17,82.85
2017-03-20,2017-03-20,82.37
2017-03-21,2017-03-21,81.69
2017-03-22,2017-03-22,81.38
2017-03-23,2017-03-23,81.26
2017-03-24,2017-03-24,80.99
2017-03-27,2017-03-27,81.09
2017-03-28,2017-03-28,81.89
2017-03-29,2017-03-29,81.39
2017-03-30,2017-03-30,81.64
2017-03-31,2017-03-31,81.49
2017-04-03,2017-04-03,81.32
2017-04-04,2017-04-04,81.63
2017-04-05,2017-04-05,81.42
2017-04-06,2017-04-06,81.44
2017-04-07,2017-04-07,81.11
2017-04-10,2017-04-10,81.36
2017-04-11,2017-04-11,81.17
2017-04-12,2017-04-12,80.97
2017-04-13,2017-04-13,80.58
2017-04-17,2017-04-17,81.5
2017-04-18,2017-04-18,80.31
2017-04-19,2017-04-19,79.75
2017-04-20,2017-04-20,80.15
2017-04-21,2017-04-21,79.73
2017-04-24,2017-04-24,80.9
2017-04-25,2017-04-25,81.22
2017-04-26,2017-04-26,81.8
2017-04-27,2017-04-27,81.98
2017-04-28,2017-04-28,81.29
2017-05-01,2017-05-01,81.5
2017-05-02,2017-05-02,81.83
2017-05-03,2017-05-03,84.93
2017-05-04,2017-05-04,85.57
2017-05-05,2017-05-05,85.45
2017-05-08,2017-05-08,84.77
2017-05-09,2017-05-09,84.17
2017-05-10,2017-05-10,84.29
2017-05-11,2017-05-11,83.91
2017-05-12,2017-05-12,84.13
2017-05-15,2017-05-15,84.53
2017-05-16,2017-05-16,84.33
2017-05-17,2017-05-17,84.36
2017-05-18,2017-05-18,84.72
2017-05-19,2017-05-19,84.13
2017-05-22,2017-05-22,84.79
2017-05-23,2017-05-23,85.4
2017-05-24,2017-05-24,85.81
2017-05-25,2017-05-25,86.28
2017-05-26,2017-05-26,86.5
2017-05-30,2017-05-30,86.0
2017-05-31,2017-05-31,86.34
2017-06-01,2017-06-01,86.94
2017-06-02,2017-06-02,86.67
2017-06-05,2017-06-05,86.61
2017-06-06,2017-06-06,85.82
2017-06-07,2017-06-07,85.87
2017-06-08,2017-06-08,86.56
2017-06-09,2017-06-09,87.37
2017-06-12,2017-06-12,87.92
2017-06-13,2017-06-13,87.97
2017-06-14,2017-06-14,88.82
2017-06-15,2017-06-15,89.79
2017-06-16,2017-06-16,89.82
2017-06-19,2017-06-19,89.41
2017-06-20,2017-06-20,89.26
2017-06-21,2017-06-21,89.24
2017-06-22,2017-06-22,88.31
2017-06-23,2017-06-23,88.08
2017-06-26,2017-06-26,88.42
2017-06-27,2017-06-27,88.17
2017-06-28,2017-06-28,88.58
2017-06-29,2017-06-29,88.13
2017-06-30,2017-06-30,88.44
2017-07-03,2017-07-03,88.63
2017-07-05,2017-07-05,88.81
2017-07-06,2017-07-06,88.72
2017-07-07,2017-07-07,89.19
2017-07-10,2017-07-10,88.85
2017-07-11,2017-07-11,87.94
2017-07-12,2017-07-12,88.2
2017-07-13,2017-07-13,88.6
2017-07-14,2017-07-14,89.05
2017-07-17,2017-07-17,88.49
2017-07-18,2017-07-18,88.88
2017-07-19,2017-07-19,89.25
2017-07-20,2017-07-20,89.22
2017-07-21,2017-07-21,89.16
2017-07-24,2017-07-24,89.77
2017-07-25,2017-07-25,90.21
2017-07-26,2017-07-26,89.4
2017-07-27,2017-07-27,89.68
2017-07-28,2017-07-28,90.5
2017-07-31,2017-07-31,91.0
2017-08-01,2017-08-01,91.0
2017-08-02,2017-08-02,94.16
2017-08-03,2017-08-03,93.93
2017-08-04,2017-08-04,94.22
2017-08-07,2017-08-07,94.24
2017-08-08,2017-08-08,94.21
2017-08-09,2017-08-09,94.7
2017-08-10,2017-08-10,94.16
2017-08-11,2017-08-11,93.95
2017-08-14,2017-08-14,94.42
2017-08-15,2017-08-15,94.38
2017-08-16,2017-08-16,94.38
2017-08-17,2017-08-17,93.33
2017-08-18,2017-08-18,92.92
2017-08-21,2017-08-21,92.72
2017-08-22,2017-08-22,93.77
2017-08-23,2017-08-23,93.18
2017-08-24,2017-08-24,91.54
2017-08-25,2017-08-25,92.02
2017-08-28,2017-08-28,90.65
2017-08-29,2017-08-29,90.82
2017-08-30,2017-08-30,90.07
2017-08-31,2017-08-31,90.5
2017-09-01,2017-09-01,89.78
2017-09-05,2017-09-05,86.49
2017-09-06,2017-09-06,87.5
2017-09-07,2017-09-07,86.45
2017-09-08,2017-09-08,89.61
2017-09-11,2017-09-11,91.23
2017-09-12,2017-09-12,91.87
2017-09-13,2017-09-13,90.94
2017-09-14,2017-09-14,90.5
2017-09-15,2017-09-15,90.88
2017-09-18,2017-09-18,90.48
2017-09-19,2017-09-19,91.14
2017-09-20,2017-09-20,91.38
2017-09-21,2017-09-21,90.67
2017-09-22,2017-09-22,90.53
2017-09-25,2017-09-25,91.04
2017-09-26,2017-09-26,90.73
2017-09-27,2017-09-27,90.89
2017-09-28,2017-09-28,91.29
2017-09-29,2017-09-29,91.91
2017-10-02,2017-10-02,92.38
2017-10-03,2017-10-03,92.1
2017-10-04,2017-10-04,92.86
2017-10-05,2017-10-05,93.19
2017-10-06,2017-10-06,93.29
2017-10-09,2017-10-09,93.2
2017-10-10,2017-10-10,93.33
2017-10-11,2017-10-11,93.09
2017-10-12,2017-10-12,92.54
2017-10-13,2017-10-13,92.34
2017-10-16,2017-10-16,92.46
2017-10-17,2017-10-17,91.41
2017-10-18,2017-10-18,91.25
2017-10-19,2017-10-19,92.73
2017-10-20,2017-10-20,92.97
2017-10-23,2017-10-23,92.97
2017-10-24,2017-10-24,93.64
2017-10-25,2017-10-25,93.28
2017-10-26,2017-10-26,93.96
2017-10-27,2017-10-27,93.73
2017-10-30,2017-10-30,94.07
2017-10-31,2017-10-31,93.86
2017-11-01,2017-11-01,94.25
2017-11-02,2017-11-02,97.85
2017-11-03,2017-11-03,97.84
2017-11-06,2017-11-06,99.09
2017-11-07,2017-11-07,99.18
2017-11-08,2017-11-08,99.09
2017-11-09,2017-11-09,98.95
2017-11-10,2017-11-10,99.12
2017-11-13,2017-11-13,99.44
2017-11-14,2017-11-14,99.94
2017-11-15,2017-11-15,100.38
2017-11-16,2017-11-16,99.57
2017-11-17,2017-11-17,100.17
