DATE,DATE,CLOSE
2016-11-01,2016-11-01,7.09
2016-11-02,2016-11-02,6.76
2016-11-03,2016-11-03,6.7
2016-11-04,2016-11-04,6.56
2016-11-07,2016-11-07,6.96
2016-11-08,2016-11-08,7.0
2016-11-09,2016-11-09,6.94
2016-11-10,2016-11-10,6.295
2016-11-11,2016-11-11,6.685
2016-11-14,2016-11-14,6.79
2016-11-15,2016-11-15,6.97
2016-11-16,2016-11-16,7.67
2016-11-17,2016-11-17,8.46
2016-11-18,2016-11-18,8.71
2016-11-21,2016-11-21,8.94
2016-11-22,2016-11-22,8.69
2016-11-23,2016-11-23,8.8
2016-11-25,2016-11-25,8.77
2016-11-28,2016-11-28,8.83
2016-11-29,2016-11-29,8.93
2016-11-30,2016-11-30,8.91
2016-12-01,2016-12-01,8.39
2016-12-02,2016-12-02,8.53
2016-12-05,2016-12-05,8.68
2016-12-06,2016-12-06,9.45
2016-12-07,2016-12-07,9.56
2016-12-08,2016-12-08,10.34
2016-12-09,2016-12-09,10.34
2016-12-12,2016-12-12,10.68
2016-12-13,2016-12-13,10.54
2016-12-14,2016-12-14,10.55
2016-12-15,2016-12-15,10.86
2016-12-16,2016-12-16,10.66
2016-12-19,2016-12-19,10.95
2016-12-20,2016-12-20,11.51
2016-12-21,2016-12-21,11.47
2016-12-22,2016-12-22,11.6
2016-12-23,2016-12-23,11.58
2016-12-27,2016-12-27,12.07
2016-12-28,2016-12-28,11.55
2016-12-29,2016-12-29,11.59
2016-12-30,2016-12-30,11.34
2017-01-03,2017-01-03,11.43
2017-01-04,2017-01-04,11.43
2017-01-05,2017-01-05,11.24
2017-01-06,2017-01-06,11.32
2017-01-09,2017-01-09,11.49
2017-01-10,2017-01-10,11.44
2017-01-11,2017-01-11,11.2
2017-01-12,2017-01-12,10.76
2017-01-13,2017-01-13,10.58
2017-01-17,2017-01-17,9.82
2017-01-18,2017-01-18,9.88
2017-01-19,2017-01-19,9.77
2017-01-20,2017-01-20,9.75
2017-01-23,2017-01-23,9.91
2017-01-24,2017-01-24,10.44
2017-01-25,2017-01-25,10.35
2017-01-26,2017-01-26,10.52
2017-01-27,2017-01-27,10.67
2017-01-30,2017-01-30,10.61
2017-01-31,2017-01-31,10.37
2017-02-01,2017-02-01,12.06
2017-02-02,2017-02-02,12.28
2017-02-03,2017-02-03,12.24
2017-02-06,2017-02-06,13.63
2017-02-07,2017-02-07,13.29
2017-02-08,2017-02-08,13.56
2017-02-09,2017-02-09,13.42
2017-02-10,2017-02-10,13.58
2017-02-13,2017-02-13,13.49
2017-02-14,2017-02-14,13.26
2017-02-15,2017-02-15,13.3
2017-02-16,2017-02-16,12.97
2017-02-17,2017-02-17,13.13
2017-02-21,2017-02-21,14.0
2017-02-22,2017-02-22,14.28
2017-02-23,2017-02-23,14.32
2017-02-24,2017-02-24,14.12
2017-02-27,2017-02-27,15.2
2017-02-28,2017-02-28,14.46
2017-03-01,2017-03-01,14.96
2017-03-02,2017-03-02,13.9
2017-03-03,2017-03-03,13.03
2017-03-06,2017-03-06,13.04
2017-03-07,2017-03-07,13.05
2017-03-08,2017-03-08,13.22
2017-03-09,2017-03-09,13.33
2017-03-10,2017-03-10,13.91
2017-03-13,2017-03-13,14.28
2017-03-14,2017-03-14,14.1
2017-03-15,2017-03-15,13.98
2017-03-16,2017-03-16,13.65
2017-03-17,2017-03-17,13.49
2017-03-20,2017-03-20,14.4
2017-03-21,2017-03-21,13.82
2017-03-22,2017-03-22,14.1
2017-03-23,2017-03-23,13.79
2017-03-24,2017-03-24,13.7
2017-03-27,2017-03-27,13.7
2017-03-28,2017-03-28,13.69
2017-03-29,2017-03-29,13.71
2017-03-30,2017-03-30,14.05
2017-03-31,2017-03-31,14.55
2017-04-03,2017-04-03,14.64
2017-04-04,2017-04-04,14.16
2017-04-05,2017-04-05,14.17
2017-04-06,2017-04-06,13.27
2017-04-07,2017-04-07,13.52
2017-04-10,2017-04-10,13.1
2017-04-11,2017-04-11,13.1
2017-04-12,2017-04-12,12.76
2017-04-13,2017-04-13,12.31
2017-04-17,2017-04-17,12.79
2017-04-18,2017-04-18,12.95
2017-04-19,2017-04-19,12.84
2017-04-20,2017-04-20,13.11
2017-04-21,2017-04-21,13.0
2017-04-24,2017-04-24,13.13
2017-04-25,2017-04-25,13.49
2017-04-26,2017-04-26,13.41
2017-04-27,2017-04-27,13.62
2017-04-28,2017-04-28,13.3
2017-05-01,2017-05-01,13.62
2017-05-02,2017-05-02,10.32
2017-05-03,2017-05-03,10.39
2017-05-04,2017-05-04,10.1
2017-05-05,2017-05-05,10.19
2017-05-08,2017-05-08,10.04
2017-05-09,2017-05-09,10.18
2017-05-10,2017-05-10,10.79
2017-05-11,2017-05-11,11.07
2017-05-12,2017-05-12,11.26
2017-05-15,2017-05-15,11.42
