DATE,DATE,CLOSE
2016-11-01,2016-11-01,71.95
2016-11-02,2016-11-02,70.88
2016-11-03,2016-11-03,71.36
2016-11-04,2016-11-04,70.97
2016-11-07,2016-11-07,72.75
2016-11-08,2016-11-08,73.17
2016-11-09,2016-11-09,72.07
2016-11-10,2016-11-10,70.47
2016-11-11,2016-11-11,70.57
2016-11-14,2016-11-14,70.91
2016-11-15,2016-11-15,71.45
2016-11-16,2016-11-16,71.28
2016-11-17,2016-11-17,71.27
2016-11-18,2016-11-18,71.63
2016-11-21,2016-11-21,72.84
2016-11-22,2016-11-22,72.38
2016-11-23,2016-11-23,71.55
2016-11-25,2016-11-25,72.89
2016-11-28,2016-11-28,72.7
2016-11-29,2016-11-29,74.15
2016-11-30,2016-11-30,71.12
2016-12-01,2016-12-01,70.16
2016-12-02,2016-12-02,71.47
2016-12-05,2016-12-05,71.15
2016-12-06,2016-12-06,71.06
2016-12-07,2016-12-07,72.31
2016-12-08,2016-12-08,73.1
2016-12-09,2016-12-09,73.23
2016-12-12,2016-12-12,73.97
2016-12-13,2016-12-13,73.95
2016-12-14,2016-12-14,72.41
2016-12-15,2016-12-15,73.0
2016-12-16,2016-12-16,74.16
2016-12-19,2016-12-19,74.11
2016-12-20,2016-12-20,74.42
2016-12-21,2016-12-21,74.27
2016-12-22,2016-12-22,74.66
2016-12-23,2016-12-23,74.61
2016-12-27,2016-12-27,74.73
2016-12-28,2016-12-28,73.69
2016-12-29,2016-12-29,74.65
2016-12-30,2016-12-30,74.15
2017-01-03,2017-01-03,74.55
2017-01-04,2017-01-04,74.97
2017-01-05,2017-01-05,74.6
2017-01-06,2017-01-06,74.17
2017-01-09,2017-01-09,73.21
2017-01-10,2017-01-10,73.29
2017-01-11,2017-01-11,74.09
2017-01-12,2017-01-12,74.51
2017-01-13,2017-01-13,74.86
2017-01-17,2017-01-17,74.74
2017-01-18,2017-01-18,75.24
2017-01-19,2017-01-19,74.26
2017-01-20,2017-01-20,74.71
2017-01-23,2017-01-23,74.39
2017-01-24,2017-01-24,75.14
2017-01-25,2017-01-25,74.98
2017-01-26,2017-01-26,75.7
2017-01-27,2017-01-27,75.34
2017-01-30,2017-01-30,74.82
2017-01-31,2017-01-31,76.18
2017-02-01,2017-02-01,74.56
2017-02-02,2017-02-02,75.08
2017-02-03,2017-02-03,75.88
2017-02-06,2017-02-06,75.24
2017-02-07,2017-02-07,75.97
2017-02-08,2017-02-08,75.48
2017-02-09,2017-02-09,75.15
2017-02-10,2017-02-10,75.45
2017-02-13,2017-02-13,75.63
2017-02-14,2017-02-14,75.24
2017-02-15,2017-02-15,75.69
2017-02-16,2017-02-16,75.9
2017-02-17,2017-02-17,76.04
2017-02-21,2017-02-21,77.04
2017-02-22,2017-02-22,77.25
2017-02-23,2017-02-23,77.78
2017-02-24,2017-02-24,78.18
2017-02-27,2017-02-27,78.27
2017-02-28,2017-02-28,78.29
2017-03-01,2017-03-01,78.62
2017-03-02,2017-03-02,78.84
2017-03-03,2017-03-03,78.4
2017-03-06,2017-03-06,78.13
2017-03-07,2017-03-07,78.01
2017-03-08,2017-03-08,76.63
2017-03-09,2017-03-09,76.25
2017-03-10,2017-03-10,77.83
2017-03-13,2017-03-13,78.14
2017-03-14,2017-03-14,78.33
2017-03-15,2017-03-15,79.95
2017-03-16,2017-03-16,79.46
2017-03-17,2017-03-17,79.93
2017-03-20,2017-03-20,78.67
2017-03-21,2017-03-21,79.9
2017-03-22,2017-03-22,79.87
2017-03-23,2017-03-23,80.15
2017-03-24,2017-03-24,80.14
2017-03-27,2017-03-27,80.31
2017-03-28,2017-03-28,80.4
2017-03-29,2017-03-29,79.85
2017-03-30,2017-03-30,79.0
2017-03-31,2017-03-31,78.99
2017-04-03,2017-04-03,78.9
2017-04-04,2017-04-04,79.65
2017-04-05,2017-04-05,80.03
2017-04-06,2017-04-06,80.35
2017-04-07,2017-04-07,80.12
2017-04-10,2017-04-10,80.24
2017-04-11,2017-04-11,80.49
2017-04-12,2017-04-12,80.49
2017-04-13,2017-04-13,80.15
2017-04-17,2017-04-17,81.0
2017-04-18,2017-04-18,80.82
2017-04-19,2017-04-19,80.06
2017-04-20,2017-04-20,79.92
2017-04-21,2017-04-21,79.83
2017-04-24,2017-04-24,80.01
2017-04-25,2017-04-25,80.46
2017-04-26,2017-04-26,81.27
2017-04-27,2017-04-27,81.4
2017-04-28,2017-04-28,81.02
2017-05-01,2017-05-01,80.71
2017-05-02,2017-05-02,80.72
2017-05-03,2017-05-03,80.11
2017-05-04,2017-05-04,81.38
2017-05-05,2017-05-05,82.17
2017-05-08,2017-05-08,81.91
2017-05-09,2017-05-09,80.55
2017-05-10,2017-05-10,80.89
2017-05-11,2017-05-11,80.79
2017-05-12,2017-05-12,81.34
2017-05-15,2017-05-15,81.36
2017-05-16,2017-05-16,80.33
2017-05-17,2017-05-17,80.55
2017-05-18,2017-05-18,80.36
2017-05-19,2017-05-19,81.08
2017-05-22,2017-05-22,81.53
2017-05-23,2017-05-23,82.09
2017-05-24,2017-05-24,82.16
2017-05-25,2017-05-25,83.1
2017-05-26,2017-05-26,82.85
2017-05-30,2017-05-30,83.19
2017-05-31,2017-05-31,83.31
2017-06-01,2017-06-01,84.42
2017-06-02,2017-06-02,84.88
2017-06-05,2017-06-05,83.88
2017-06-06,2017-06-06,84.1
2017-06-07,2017-06-07,83.79
2017-06-08,2017-06-08,83.54
2017-06-09,2017-06-09,83.64
2017-06-12,2017-06-12,83.9
2017-06-13,2017-06-13,84.33
2017-06-14,2017-06-14,85.09
2017-06-15,2017-06-15,85.1
2017-06-16,2017-06-16,85.54
2017-06-19,2017-06-19,85.06
2017-06-20,2017-06-20,84.56
2017-06-21,2017-06-21,83.88
2017-06-22,2017-06-22,83.45
2017-06-23,2017-06-23,83.51
2017-06-26,2017-06-26,84.31
2017-06-27,2017-06-27,83.49
2017-06-28,2017-06-28,83.35
2017-06-29,2017-06-29,82.75
2017-06-30,2017-06-30,82.95
2017-07-03,2017-07-03,82.95
2017-07-05,2017-07-05,82.68
2017-07-06,2017-07-06,82.71
2017-07-07,2017-07-07,83.68
2017-07-10,2017-07-10,83.37
2017-07-11,2017-07-11,82.42
2017-07-12,2017-07-12,83.75
2017-07-13,2017-07-13,83.23
2017-07-14,2017-07-14,83.79
2017-07-17,2017-07-17,84.0
2017-07-18,2017-07-18,84.08
2017-07-19,2017-07-19,84.59
2017-07-20,2017-07-20,85.53
2017-07-21,2017-07-21,86.22
2017-07-24,2017-07-24,85.95
2017-07-25,2017-07-25,86.9
2017-07-26,2017-07-26,86.77
2017-07-27,2017-07-27,87.02
2017-07-28,2017-07-28,86.57
2017-07-31,2017-07-31,86.76
2017-08-01,2017-08-01,87.38
2017-08-02,2017-08-02,88.69
2017-08-03,2017-08-03,87.41
2017-08-04,2017-08-04,87.19
2017-08-07,2017-08-07,86.88
2017-08-08,2017-08-08,87.59
2017-08-09,2017-08-09,87.43
2017-08-10,2017-08-10,87.67
2017-08-11,2017-08-11,87.16
2017-08-14,2017-08-14,87.74
2017-08-15,2017-08-15,87.78
2017-08-16,2017-08-16,88.4
2017-08-17,2017-08-17,87.46
2017-08-18,2017-08-18,87.12
2017-08-21,2017-08-21,87.59
2017-08-22,2017-08-22,88.18
2017-08-23,2017-08-23,88.28
2017-08-24,2017-08-24,88.41
2017-08-25,2017-08-25,88.47
2017-08-28,2017-08-28,88.69
2017-08-29,2017-08-29,88.19
2017-08-30,2017-08-30,87.98
2017-08-31,2017-08-31,88.04
2017-09-01,2017-09-01,88.16
2017-09-05,2017-09-05,88.02
2017-09-06,2017-09-06,86.73
2017-09-07,2017-09-07,87.4
2017-09-08,2017-09-08,87.22
2017-09-11,2017-09-11,88.01
2017-09-12,2017-09-12,86.74
2017-09-13,2017-09-13,85.9
2017-09-14,2017-09-14,86.95
2017-09-15,2017-09-15,87.13
2017-09-18,2017-09-18,86.5
2017-09-19,2017-09-19,85.93
2017-09-20,2017-09-20,85.08
2017-09-21,2017-09-21,84.55
2017-09-22,2017-09-22,83.89
2017-09-25,2017-09-25,85.0
2017-09-26,2017-09-26,85.4
2017-09-27,2017-09-27,84.1
2017-09-28,2017-09-28,84.3
2017-09-29,2017-09-29,83.84
2017-10-02,2017-10-02,84.67
2017-10-03,2017-10-03,84.41
2017-10-04,2017-10-04,84.67
2017-10-05,2017-10-05,84.8
2017-10-06,2017-10-06,85.23
2017-10-09,2017-10-09,85.36
2017-10-10,2017-10-10,85.89
2017-10-11,2017-10-11,86.2
2017-10-12,2017-10-12,86.79
2017-10-13,2017-10-13,86.29
2017-10-16,2017-10-16,86.25
2017-10-17,2017-10-17,86.22
2017-10-18,2017-10-18,86.43
2017-10-19,2017-10-19,87.08
2017-10-20,2017-10-20,86.87
2017-10-23,2017-10-23,86.58
2017-10-24,2017-10-24,86.31
2017-10-25,2017-10-25,86.04
2017-10-26,2017-10-26,86.36
2017-10-27,2017-10-27,87.29
2017-10-30,2017-10-30,86.94
2017-10-31,2017-10-31,87.24
2017-11-01,2017-11-01,86.97
2017-11-02,2017-11-02,86.52
2017-11-03,2017-11-03,87.59
2017-11-06,2017-11-06,87.84
2017-11-07,2017-11-07,88.57
2017-11-08,2017-11-08,89.24
2017-11-09,2017-11-09,89.79
2017-11-10,2017-11-10,89.16
2017-11-13,2017-11-13,89.54
2017-11-14,2017-11-14,90.54
2017-11-15,2017-11-15,89.57
2017-11-16,2017-11-16,89.95
2017-11-17,2017-11-17,89.33
2017-11-20,2017-11-20,89.11
2017-11-21,2017-11-21,89.42
2017-11-22,2017-11-22,89.1
2017-11-24,2017-11-24,88.72
2017-11-27,2017-11-27,89.5
2017-11-28,2017-11-28,90.27
2017-11-29,2017-11-29,90.51
2017-11-30,2017-11-30,92.29
2017-12-01,2017-12-01,92.24
2017-12-04,2017-12-04,91.7
2017-12-05,2017-12-05,91.45
2017-12-06,2017-12-06,91.43
2017-12-07,2017-12-07,91.56
2017-12-08,2017-12-08,91.8
2017-12-11,2017-12-11,91.91
2017-12-12,2017-12-12,89.28
2017-12-13,2017-12-13,89.96
2017-12-14,2017-12-14,89.42
2017-12-15,2017-12-15,89.37
2017-12-18,2017-12-18,88.71
2017-12-19,2017-12-19,87.19
2017-12-20,2017-12-20,86.55
2017-12-21,2017-12-21,84.86
2017-12-22,2017-12-22,85.09
2017-12-26,2017-12-26,84.6
2017-12-27,2017-12-27,84.99
2017-12-28,2017-12-28,85.59
2017-12-29,2017-12-29,85.89
2018-01-02,2018-01-02,85.04
2018-01-03,2018-01-03,84.34
2018-01-04,2018-01-04,83.98
2018-01-05,2018-01-05,83.19
2018-01-08,2018-01-08,83.45
2018-01-09,2018-01-09,82.59
2018-01-10,2018-01-10,80.8
2018-01-11,2018-01-11,80.0
2018-01-12,2018-01-12,79.84
2018-01-16,2018-01-16,80.1
2018-01-17,2018-01-17,80.82
2018-01-18,2018-01-18,80.69
2018-01-19,2018-01-19,80.83
2018-01-22,2018-01-22,81.4
2018-01-23,2018-01-23,82.26
2018-01-24,2018-01-24,82.25
2018-01-25,2018-01-25,82.91
2018-01-26,2018-01-26,83.02
2018-01-29,2018-01-29,82.37
2018-01-30,2018-01-30,82.48
2018-01-31,2018-01-31,82.9
2018-02-01,2018-02-01,82.29
2018-02-02,2018-02-02,81.5
2018-02-05,2018-02-05,79.31
2018-02-06,2018-02-06,78.03
2018-02-07,2018-02-07,78.48
2018-02-08,2018-02-08,78.95
2018-02-09,2018-02-09,81.11
2018-02-12,2018-02-12,80.39
2018-02-13,2018-02-13,80.42
2018-02-14,2018-02-14,80.24
2018-02-15,2018-02-15,81.92
2018-02-16,2018-02-16,82.96
2018-02-20,2018-02-20,82.07
2018-02-21,2018-02-21,81.04
2018-02-22,2018-02-22,80.86
2018-02-23,2018-02-23,82.59
2018-02-26,2018-02-26,82.19
2018-02-27,2018-02-27,81.05
2018-02-28,2018-02-28,80.49
2018-03-01,2018-03-01,80.15
2018-03-02,2018-03-02,79.19
2018-03-05,2018-03-05,80.61
2018-03-06,2018-03-06,80.04
2018-03-07,2018-03-07,79.46
2018-03-08,2018-03-08,79.82
2018-03-09,2018-03-09,80.23
2018-03-12,2018-03-12,81.13
2018-03-13,2018-03-13,81.02
2018-03-14,2018-03-14,81.34
2018-03-15,2018-03-15,81.47
2018-03-16,2018-03-16,82.86
2018-03-19,2018-03-19,81.7
2018-03-20,2018-03-20,81.27
2018-03-21,2018-03-21,81.38
2018-03-22,2018-03-22,81.17
2018-03-23,2018-03-23,80.03
2018-03-26,2018-03-26,81.69
2018-03-27,2018-03-27,83.13
2018-03-28,2018-03-28,83.7
2018-03-29,2018-03-29,84.24
2018-04-02,2018-04-02,82.85
2018-04-03,2018-04-03,83.99
2018-04-04,2018-04-04,83.7
2018-04-05,2018-04-05,84.53
2018-04-06,2018-04-06,84.15
2018-04-09,2018-04-09,84.18
2018-04-10,2018-04-10,84.06
2018-04-11,2018-04-11,83.84
2018-04-12,2018-04-12,82.68
2018-04-13,2018-04-13,83.38
2018-04-16,2018-04-16,84.68
2018-04-17,2018-04-17,85.17
2018-04-18,2018-04-18,84.47
2018-04-19,2018-04-19,84.23
2018-04-20,2018-04-20,83.9
2018-04-23,2018-04-23,84.41
2018-04-24,2018-04-24,85.29
2018-04-25,2018-04-25,85.31
2018-04-26,2018-04-26,86.79
2018-04-27,2018-04-27,87.41
2018-04-30,2018-04-30,86.89
2018-05-01,2018-05-01,86.83
