DATE,DATE,CLOSE
2016-11-01,2016-11-01,69.19
2016-11-02,2016-11-02,68.99
2016-11-03,2016-11-03,70.45
2016-11-04,2016-11-04,70.68
2016-11-07,2016-11-07,71.61
2016-11-08,2016-11-08,71.26
2016-11-09,2016-11-09,71.04
2016-11-10,2016-11-10,70.28
2016-11-11,2016-11-11,69.55
2016-11-14,2016-11-14,70.75
2016-11-15,2016-11-15,71.17
2016-11-16,2016-11-16,71.38
2016-11-17,2016-11-17,71.94
2016-11-18,2016-11-18,70.58
2016-11-21,2016-11-21,70.25
2016-11-22,2016-11-22,71.68
2016-11-23,2016-11-23,71.22
2016-11-25,2016-11-25,71.71
2016-11-28,2016-11-28,72.57
2016-11-29,2016-11-29,72.95
2016-11-30,2016-11-30,72.06
2016-12-01,2016-12-01,71.18
2016-12-02,2016-12-02,71.72
2016-12-05,2016-12-05,72.71
2016-12-06,2016-12-06,73.21
2016-12-07,2016-12-07,73.31
2016-12-08,2016-12-08,73.68
2016-12-09,2016-12-09,72.62
2016-12-12,2016-12-12,72.71
2016-12-13,2016-12-13,72.55
2016-12-14,2016-12-14,71.78
2016-12-15,2016-12-15,71.73
2016-12-16,2016-12-16,71.94
2016-12-19,2016-12-19,71.28
2016-12-20,2016-12-20,71.52
2016-12-21,2016-12-21,71.57
2016-12-22,2016-12-22,71.37
2016-12-23,2016-12-23,71.43
2016-12-27,2016-12-27,71.69
2016-12-28,2016-12-28,70.79
2016-12-29,2016-12-29,70.62
2016-12-30,2016-12-30,70.22
2017-01-03,2017-01-03,70.14
2017-01-04,2017-01-04,72.14
2017-01-05,2017-01-05,71.43
2017-01-06,2017-01-06,72.4
2017-01-09,2017-01-09,72.56
2017-01-10,2017-01-10,72.73
2017-01-11,2017-01-11,72.7
2017-01-12,2017-01-12,72.13
2017-01-13,2017-01-13,72.15
2017-01-17,2017-01-17,72.45
2017-01-18,2017-01-18,73.17
2017-01-19,2017-01-19,72.49
2017-01-20,2017-01-20,72.41
2017-01-23,2017-01-23,72.89
2017-01-24,2017-01-24,73.83
2017-01-25,2017-01-25,74.49
2017-01-26,2017-01-26,73.34
2017-01-27,2017-01-27,73.77
2017-01-30,2017-01-30,72.91
2017-01-31,2017-01-31,73.02
2017-02-01,2017-02-01,79.65
2017-02-02,2017-02-02,80.01
2017-02-03,2017-02-03,79.05
2017-02-06,2017-02-06,79.51
2017-02-07,2017-02-07,79.14
2017-02-08,2017-02-08,79.41
2017-02-09,2017-02-09,78.9
2017-02-10,2017-02-10,79.27
2017-02-13,2017-02-13,79.45
2017-02-14,2017-02-14,79.29
2017-02-15,2017-02-15,79.54
2017-02-16,2017-02-16,80.16
2017-02-17,2017-02-17,79.41
2017-02-21,2017-02-21,80.35
2017-02-22,2017-02-22,79.81
2017-02-23,2017-02-23,80.65
2017-02-24,2017-02-24,80.25
2017-02-27,2017-02-27,80.7
2017-02-28,2017-02-28,80.71
2017-03-01,2017-03-01,81.85
2017-03-02,2017-03-02,81.77
2017-03-03,2017-03-03,81.76
2017-03-06,2017-03-06,81.14
2017-03-07,2017-03-07,80.4
2017-03-08,2017-03-08,79.97
2017-03-09,2017-03-09,79.89
2017-03-10,2017-03-10,80.5
2017-03-13,2017-03-13,80.3
2017-03-14,2017-03-14,79.88
2017-03-15,2017-03-15,80.57
2017-03-16,2017-03-16,79.78
2017-03-17,2017-03-17,80.39
2017-03-20,2017-03-20,79.78
2017-03-21,2017-03-21,78.8
2017-03-22,2017-03-22,78.91
2017-03-23,2017-03-23,79.67
2017-03-24,2017-03-24,79.61
2017-03-27,2017-03-27,79.61
2017-03-28,2017-03-28,80.4
2017-03-29,2017-03-29,80.34
2017-03-30,2017-03-30,80.48
2017-03-31,2017-03-31,80.6
2017-04-03,2017-04-03,80.97
2017-04-04,2017-04-04,80.66
2017-04-05,2017-04-05,80.08
2017-04-06,2017-04-06,79.85
2017-04-07,2017-04-07,79.54
2017-04-10,2017-04-10,79.83
2017-04-11,2017-04-11,79.67
2017-04-12,2017-04-12,79.64
2017-04-13,2017-04-13,79.48
2017-04-17,2017-04-17,80.29
2017-04-18,2017-04-18,80.74
2017-04-19,2017-04-19,81.48
2017-04-20,2017-04-20,82.2
2017-04-21,2017-04-21,81.69
2017-04-24,2017-04-24,82.44
2017-04-25,2017-04-25,82.41
2017-04-26,2017-04-26,83.2
2017-04-27,2017-04-27,83.54
2017-04-28,2017-04-28,83.21
2017-05-01,2017-05-01,83.6
2017-05-02,2017-05-02,83.45
2017-05-03,2017-05-03,83.34
2017-05-04,2017-05-04,83.7
2017-05-05,2017-05-05,84.17
2017-05-08,2017-05-08,83.76
2017-05-09,2017-05-09,83.01
2017-05-10,2017-05-10,83.54
