DATE,DATE,CLOSE
2016-11-01,2016-11-01,73.05
2016-11-02,2016-11-02,72.49
2016-11-03,2016-11-03,72.09
2016-11-04,2016-11-04,70.59
2016-11-07,2016-11-07,71.35
2016-11-08,2016-11-08,72.42
2016-11-09,2016-11-09,72.25
2016-11-10,2016-11-10,71.03
2016-11-11,2016-11-11,71.28
2016-11-14,2016-11-14,70.61
2016-11-15,2016-11-15,71.62
2016-11-16,2016-11-16,71.95
2016-11-17,2016-11-17,71.79
2016-11-18,2016-11-18,71.83
2016-11-21,2016-11-21,72.44
2016-11-22,2016-11-22,74.14
2016-11-23,2016-11-23,72.49
2016-11-25,2016-11-25,74.36
2016-11-28,2016-11-28,74.9
2016-11-29,2016-11-29,75.98
2016-11-30,2016-11-30,72.47
2016-12-01,2016-12-01,71.72
2016-12-02,2016-12-02,72.52
2016-12-05,2016-12-05,72.52
2016-12-06,2016-12-06,72.22
2016-12-07,2016-12-07,72.66
2016-12-08,2016-12-08,73.05
2016-12-09,2016-12-09,73.02
2016-12-12,2016-12-12,73.74
2016-12-13,2016-12-13,74.15
2016-12-14,2016-12-14,71.94
2016-12-15,2016-12-15,71.98
2016-12-16,2016-12-16,72.88
2016-12-19,2016-12-19,73.31
2016-12-20,2016-12-20,73.19
2016-12-21,2016-12-21,72.8
2016-12-22,2016-12-22,72.44
2016-12-23,2016-12-23,72.95
2016-12-27,2016-12-27,73.08
2016-12-28,2016-12-28,71.98
2016-12-29,2016-12-29,72.72
2016-12-30,2016-12-30,72.36
2017-01-03,2017-01-03,72.25
2017-01-04,2017-01-04,72.81
2017-01-05,2017-01-05,72.93
2017-01-06,2017-01-06,72.84
2017-01-09,2017-01-09,71.35
2017-01-10,2017-01-10,70.72
2017-01-11,2017-01-11,70.57
2017-01-12,2017-01-12,70.69
2017-01-13,2017-01-13,70.82
2017-01-17,2017-01-17,72.07
2017-01-18,2017-01-18,72.6
2017-01-19,2017-01-19,71.87
2017-01-20,2017-01-20,71.93
2017-01-23,2017-01-23,71.77
2017-01-24,2017-01-24,71.91
2017-01-25,2017-01-25,71.72
2017-01-26,2017-01-26,72.19
2017-01-27,2017-01-27,72.31
2017-01-30,2017-01-30,71.91
2017-01-31,2017-01-31,73.44
2017-02-01,2017-02-01,71.8
2017-02-02,2017-02-02,72.99
2017-02-03,2017-02-03,72.41
2017-02-06,2017-02-06,72.09
2017-02-07,2017-02-07,72.09
2017-02-08,2017-02-08,72.93
2017-02-09,2017-02-09,72.85
2017-02-10,2017-02-10,73.46
2017-02-13,2017-02-13,73.22
2017-02-14,2017-02-14,72.81
2017-02-15,2017-02-15,73.01
2017-02-16,2017-02-16,73.44
2017-02-17,2017-02-17,73.81
2017-02-21,2017-02-21,74.38
2017-02-22,2017-02-22,74.92
2017-02-23,2017-02-23,75.57
2017-02-24,2017-02-24,76.3
2017-02-27,2017-02-27,76.45
