DATE,DATE,CLOSE
2016-11-01,2016-11-01,734.45
2016-11-02,2016-11-02,738.03
2016-11-03,2016-11-03,738.87
2016-11-04,2016-11-04,731.65
2016-11-07,2016-11-07,732.87
2016-11-08,2016-11-08,731.88
2016-11-09,2016-11-09,740.85
2016-11-10,2016-11-10,746.28
2016-11-11,2016-11-11,750.35
2016-11-14,2016-11-14,729.36
2016-11-15,2016-11-15,744.8
2016-11-16,2016-11-16,751.95
2016-11-17,2016-11-17,773.12
2016-11-18,2016-11-18,755.24
2016-11-21,2016-11-21,777.9
2016-11-22,2016-11-22,793.79
2016-11-23,2016-11-23,798.05
2016-11-25,2016-11-25,797.96
2016-11-28,2016-11-28,793.9
2016-11-29,2016-11-29,790.24
2016-11-30,2016-11-30,783.18
2016-12-01,2016-12-01,780.76
2016-12-02,2016-12-02,783.74
2016-12-05,2016-12-05,776.42
2016-12-06,2016-12-06,779.81
2016-12-07,2016-12-07,809.87
2016-12-08,2016-12-08,807.71
2016-12-09,2016-12-09,803.1
2016-12-12,2016-12-12,802.37
2016-12-13,2016-12-13,803.0
2016-12-14,2016-12-14,788.96
2016-12-15,2016-12-15,795.57
2016-12-16,2016-12-16,794.72
2016-12-19,2016-12-19,798.69
2016-12-20,2016-12-20,807.32
2016-12-21,2016-12-21,803.62
2016-12-22,2016-12-22,799.61
2016-12-23,2016-12-23,795.82
2016-12-27,2016-12-27,803.57
2016-12-28,2016-12-28,795.89
2016-12-29,2016-12-29,798.49
2016-12-30,2016-12-30,789.79
2017-01-03,2017-01-03,791.46
2017-01-04,2017-01-04,793.04
2017-01-05,2017-01-05,792.0
2017-01-06,2017-01-06,792.91
2017-01-09,2017-01-09,790.34
2017-01-10,2017-01-10,793.68
2017-01-11,2017-01-11,792.0
2017-01-12,2017-01-12,790.27
2017-01-13,2017-01-13,779.81
2017-01-17,2017-01-17,782.29
2017-01-18,2017-01-18,778.3
2017-01-19,2017-01-19,769.9
2017-01-20,2017-01-20,770.02
2017-01-23,2017-01-23,739.35
2017-01-24,2017-01-24,738.43
2017-01-25,2017-01-25,735.0
2017-01-26,2017-01-26,729.89
2017-01-27,2017-01-27,730.0
2017-01-30,2017-01-30,724.41
2017-01-31,2017-01-31,724.98
2017-02-01,2017-02-01,714.99
2017-02-02,2017-02-02,725.43
2017-02-03,2017-02-03,724.72
2017-02-06,2017-02-06,720.49
2017-02-07,2017-02-07,721.66
2017-02-08,2017-02-08,741.06
2017-02-09,2017-02-09,745.94
2017-02-10,2017-02-10,740.65
2017-02-13,2017-02-13,736.09
2017-02-14,2017-02-14,735.79
2017-02-15,2017-02-15,739.5
2017-02-16,2017-02-16,737.36
2017-02-17,2017-02-17,741.05
2017-02-21,2017-02-21,740.66
2017-02-22,2017-02-22,735.33
2017-02-23,2017-02-23,727.22
2017-02-24,2017-02-24,732.75
2017-02-27,2017-02-27,740.85
2017-02-28,2017-02-28,736.55
2017-03-01,2017-03-01,738.97
2017-03-02,2017-03-02,733.53
2017-03-03,2017-03-03,725.24
2017-03-06,2017-03-06,723.91
2017-03-07,2017-03-07,712.72
2017-03-08,2017-03-08,717.67
2017-03-09,2017-03-09,715.93
2017-03-10,2017-03-10,717.03
2017-03-13,2017-03-13,728.55
2017-03-14,2017-03-14,728.99
2017-03-15,2017-03-15,716.29
2017-03-16,2017-03-16,721.85
2017-03-17,2017-03-17,730.77
2017-03-20,2017-03-20,729.79
2017-03-21,2017-03-21,725.21
2017-03-22,2017-03-22,725.35
2017-03-23,2017-03-23,725.5
2017-03-24,2017-03-24,721.16
2017-03-27,2017-03-27,714.16
2017-03-28,2017-03-28,716.99
2017-03-29,2017-03-29,722.46
2017-03-30,2017-03-30,719.08
2017-03-31,2017-03-31,723.05
2017-04-03,2017-04-03,700.69
2017-04-04,2017-04-04,696.67
2017-04-05,2017-04-05,703.03
2017-04-06,2017-04-06,702.29
2017-04-07,2017-04-07,700.44
2017-04-10,2017-04-10,703.64
2017-04-11,2017-04-11,700.59
2017-04-12,2017-04-12,693.34
2017-04-13,2017-04-13,688.46
2017-04-17,2017-04-17,687.61
2017-04-18,2017-04-18,689.07
2017-04-19,2017-04-19,697.57
2017-04-20,2017-04-20,706.3
2017-04-21,2017-04-21,707.79
2017-04-24,2017-04-24,722.45
2017-04-25,2017-04-25,712.06
2017-04-26,2017-04-26,715.12
2017-04-27,2017-04-27,703.9
2017-04-28,2017-04-28,692.19
2017-05-01,2017-05-01,682.99
2017-05-02,2017-05-02,688.94
2017-05-03,2017-05-03,697.18
2017-05-04,2017-05-04,704.58
2017-05-05,2017-05-05,705.31
2017-05-08,2017-05-08,709.98
2017-05-09,2017-05-09,707.05
2017-05-10,2017-05-10,698.03
2017-05-11,2017-05-11,693.85
2017-05-12,2017-05-12,680.72
2017-05-15,2017-05-15,681.01
2017-05-16,2017-05-16,669.83
2017-05-17,2017-05-17,664.05
2017-05-18,2017-05-18,673.79
2017-05-19,2017-05-19,673.65
2017-05-22,2017-05-22,659.49
2017-05-23,2017-05-23,581.4
2017-05-24,2017-05-24,590.99
2017-05-25,2017-05-25,607.34
2017-05-26,2017-05-26,615.62
2017-05-30,2017-05-30,612.98
2017-05-31,2017-05-31,605.92
2017-06-01,2017-06-01,623.98
2017-06-02,2017-06-02,621.7
2017-06-05,2017-06-05,617.07
2017-06-06,2017-06-06,603.88
2017-06-07,2017-06-07,606.77
2017-06-08,2017-06-08,598.96
2017-06-09,2017-06-09,606.36
2017-06-12,2017-06-12,612.02
2017-06-13,2017-06-13,612.08
2017-06-14,2017-06-14,608.38
2017-06-15,2017-06-15,613.01
2017-06-16,2017-06-16,593.81
2017-06-19,2017-06-19,596.86
2017-06-20,2017-06-20,585.2
2017-06-21,2017-06-21,574.01
2017-06-22,2017-06-22,579.63
2017-06-23,2017-06-23,574.98
2017-06-26,2017-06-26,579.61
2017-06-27,2017-06-27,578.77
2017-06-28,2017-06-28,569.02
2017-06-29,2017-06-29,559.67
2017-06-30,2017-06-30,570.46
2017-07-03,2017-07-03,571.71
2017-07-05,2017-07-05,516.83
2017-07-06,2017-07-06,507.48
2017-07-07,2017-07-07,501.39
2017-07-10,2017-07-10,507.54
2017-07-11,2017-07-11,499.57
2017-07-12,2017-07-12,493.15
2017-07-13,2017-07-13,506.81
2017-07-14,2017-07-14,506.31
2017-07-17,2017-07-17,503.66
2017-07-18,2017-07-18,495.69
2017-07-19,2017-07-19,493.44
2017-07-20,2017-07-20,502.56
