DATE,DATE,CLOSE
2016-11-01,2016-11-01,142.41
2016-11-02,2016-11-02,140.75
2016-11-03,2016-11-03,140.02
2016-11-04,2016-11-04,139.54
2016-11-07,2016-11-07,143.03
2016-11-08,2016-11-08,142.2
2016-11-09,2016-11-09,145.09
2016-11-10,2016-11-10,147.69
2016-11-11,2016-11-11,148.52
2016-11-14,2016-11-14,149.99
2016-11-15,2016-11-15,148.11
2016-11-16,2016-11-16,146.44
2016-11-17,2016-11-17,145.33
2016-11-18,2016-11-18,146.35
2016-11-21,2016-11-21,147.02
2016-11-22,2016-11-22,149.52
2016-11-23,2016-11-23,149.74
2016-11-25,2016-11-25,150.04
2016-11-28,2016-11-28,149.77
2016-11-29,2016-11-29,151.64
2016-11-30,2016-11-30,150.56
2016-12-01,2016-12-01,152.39
2016-12-02,2016-12-02,152.25
2016-12-05,2016-12-05,152.16
2016-12-06,2016-12-06,152.24
2016-12-07,2016-12-07,154.14
2016-12-08,2016-12-08,155.39
2016-12-09,2016-12-09,156.49
2016-12-12,2016-12-12,157.16
2016-12-13,2016-12-13,156.66
2016-12-14,2016-12-14,154.47
2016-12-15,2016-12-15,153.77
2016-12-16,2016-12-16,154.5
2016-12-19,2016-12-19,156.18
2016-12-20,2016-12-20,156.39
2016-12-21,2016-12-21,157.48
2016-12-22,2016-12-22,157.46
2016-12-23,2016-12-23,157.81
2016-12-27,2016-12-27,157.48
2016-12-28,2016-12-28,156.1
2016-12-29,2016-12-29,155.69
2016-12-30,2016-12-30,155.68
2017-01-03,2017-01-03,156.97
2017-01-04,2017-01-04,158.62
2017-01-05,2017-01-05,158.71
2017-01-06,2017-01-06,159.1
2017-01-09,2017-01-09,158.32
2017-01-10,2017-01-10,159.07
2017-01-11,2017-01-11,159.4
2017-01-12,2017-01-12,158.29
2017-01-13,2017-01-13,158.83
2017-01-17,2017-01-17,157.67
2017-01-18,2017-01-18,158.32
2017-01-19,2017-01-19,159.0
2017-01-20,2017-01-20,159.53
2017-01-23,2017-01-23,157.84
2017-01-24,2017-01-24,160.55
2017-01-25,2017-01-25,167.36
2017-01-26,2017-01-26,169.12
2017-01-27,2017-01-27,167.7
2017-01-30,2017-01-30,165.57
2017-01-31,2017-01-31,163.42
2017-02-01,2017-02-01,163.97
2017-02-02,2017-02-02,162.26
2017-02-03,2017-02-03,162.4
2017-02-06,2017-02-06,163.98
2017-02-07,2017-02-07,166.5
2017-02-08,2017-02-08,163.81
2017-02-09,2017-02-09,164.28
2017-02-10,2017-02-10,166.23
2017-02-13,2017-02-13,168.03
2017-02-14,2017-02-14,168.5
2017-02-15,2017-02-15,169.3
2017-02-16,2017-02-16,170.81
2017-02-17,2017-02-17,172.71
2017-02-21,2017-02-21,175.56
2017-02-22,2017-02-22,175.36
2017-02-23,2017-02-23,176.86
2017-02-24,2017-02-24,177.44
2017-02-27,2017-02-27,179.43
2017-02-28,2017-02-28,180.23
2017-03-01,2017-03-01,183.91
2017-03-02,2017-03-02,182.99
2017-03-03,2017-03-03,182.18
2017-03-06,2017-03-06,180.93
2017-03-07,2017-03-07,182.02
2017-03-08,2017-03-08,181.74
2017-03-09,2017-03-09,180.57
2017-03-10,2017-03-10,178.7
