DATE,DATE,CLOSE
2016-11-01,2016-11-01,16.61
2016-11-02,2016-11-02,16.48
2016-11-03,2016-11-03,16.48
2016-11-04,2016-11-04,16.55
2016-11-07,2016-11-07,17.01
2016-11-08,2016-11-08,17.0
2016-11-09,2016-11-09,17.97
2016-11-10,2016-11-10,18.76
2016-11-11,2016-11-11,19.02
2016-11-14,2016-11-14,20.08
2016-11-15,2016-11-15,20.16
2016-11-16,2016-11-16,19.75
2016-11-17,2016-11-17,20.08
2016-11-18,2016-11-18,20.0
2016-11-21,2016-11-21,20.33
2016-11-22,2016-11-22,20.3
2016-11-23,2016-11-23,20.56
2016-11-25,2016-11-25,20.86
2016-11-28,2016-11-28,20.3
2016-11-29,2016-11-29,20.29
2016-11-30,2016-11-30,21.12
2016-12-01,2016-12-01,21.5
2016-12-02,2016-12-02,21.23
2016-12-05,2016-12-05,21.84
2016-12-06,2016-12-06,22.16
2016-12-07,2016-12-07,22.57
2016-12-08,2016-12-08,22.95
2016-12-09,2016-12-09,23.09
2016-12-12,2016-12-12,22.61
2016-12-13,2016-12-13,22.61
2016-12-14,2016-12-14,22.67
2016-12-15,2016-12-15,23.16
2016-12-16,2016-12-16,22.66
2016-12-19,2016-12-19,22.48
2016-12-20,2016-12-20,22.71
2016-12-21,2016-12-21,22.63
2016-12-22,2016-12-22,22.54
2016-12-23,2016-12-23,22.6
2016-12-27,2016-12-27,22.61
2016-12-28,2016-12-28,22.33
2016-12-29,2016-12-29,22.0
2016-12-30,2016-12-30,22.1
2017-01-03,2017-01-03,22.53
2017-01-04,2017-01-04,22.95
2017-01-05,2017-01-05,22.68
2017-01-06,2017-01-06,22.68
2017-01-09,2017-01-09,22.55
2017-01-10,2017-01-10,22.94
2017-01-11,2017-01-11,23.07
2017-01-12,2017-01-12,22.92
2017-01-13,2017-01-13,23.01
2017-01-17,2017-01-17,22.05
2017-01-18,2017-01-18,22.63
2017-01-19,2017-01-19,22.53
2017-01-20,2017-01-20,22.64
2017-01-23,2017-01-23,22.56
2017-01-24,2017-01-24,22.95
2017-01-25,2017-01-25,23.37
2017-01-26,2017-01-26,23.44
2017-01-27,2017-01-27,23.36
2017-01-30,2017-01-30,22.95
2017-01-31,2017-01-31,22.64
2017-02-01,2017-02-01,22.89
2017-02-02,2017-02-02,22.72
2017-02-03,2017-02-03,23.29
2017-02-06,2017-02-06,23.12
2017-02-07,2017-02-07,22.9
2017-02-08,2017-02-08,22.67
2017-02-09,2017-02-09,23.12
2017-02-10,2017-02-10,23.08
2017-02-13,2017-02-13,23.4
2017-02-14,2017-02-14,24.06
2017-02-15,2017-02-15,24.58
2017-02-16,2017-02-16,24.58
2017-02-17,2017-02-17,24.52
2017-02-21,2017-02-21,24.78
2017-02-22,2017-02-22,24.79
2017-02-23,2017-02-23,24.58
2017-02-24,2017-02-24,24.23
2017-02-27,2017-02-27,24.57
2017-02-28,2017-02-28,24.68
2017-03-01,2017-03-01,25.5
2017-03-02,2017-03-02,25.23
2017-03-03,2017-03-03,25.44
2017-03-06,2017-03-06,25.25
2017-03-07,2017-03-07,25.21
2017-03-08,2017-03-08,25.26
2017-03-09,2017-03-09,25.35
2017-03-10,2017-03-10,25.31
2017-03-13,2017-03-13,25.3
2017-03-14,2017-03-14,25.32
2017-03-15,2017-03-15,25.18
2017-03-16,2017-03-16,25.22
2017-03-17,2017-03-17,24.86
2017-03-20,2017-03-20,24.44
2017-03-21,2017-03-21,23.02
