DATE,DATE,CLOSE
2016-11-01,2016-11-01,38.997644
2016-11-02,2016-11-02,38.587984
2016-11-03,2016-11-03,38.478075
2016-11-04,2016-11-04,38.218291
2016-11-07,2016-11-07,39.307387
2016-11-08,2016-11-08,38.847768
2016-11-09,2016-11-09,40.576334
2016-11-10,2016-11-10,41.385663
2016-11-11,2016-11-11,41.815306
2016-11-14,2016-11-14,42.814477
2016-11-15,2016-11-15,42.94437
2016-11-16,2016-11-16,42.784502
2016-11-17,2016-11-17,43.973516
2016-11-18,2016-11-18,44.453118
2016-11-21,2016-11-21,44.58301
2016-11-22,2016-11-22,44.46311
2016-11-23,2016-11-23,44.573018
2016-11-25,2016-11-25,44.612985
2016-11-28,2016-11-28,44.003491
2016-11-29,2016-11-29,44.1134
2016-11-30,2016-11-30,45.212488
2016-12-01,2016-12-01,45.801999
2016-12-02,2016-12-02,45.172521
2016-12-05,2016-12-05,45.492256
2016-12-06,2016-12-06,45.961866
2016-12-07,2016-12-07,46.45146
2016-12-08,2016-12-08,46.941054
2016-12-09,2016-12-09,47.21083
2016-12-12,2016-12-12,46.831145
2016-12-13,2016-12-13,47.020987
2016-12-14,2016-12-14,46.741219
2016-12-15,2016-12-15,46.92107
2016-12-16,2016-12-16,46.551377
2016-12-19,2016-12-19,46.821153
2016-12-20,2016-12-20,47.610498
2016-12-21,2016-12-21,47.360705
2016-12-22,2016-12-22,47.27078
2016-12-23,2016-12-23,47.500589
2016-12-27,2016-12-27,47.670448
2016-12-28,2016-12-28,47.160871
2016-12-29,2016-12-29,46.681269
2016-12-30,2016-12-30,46.98102
2017-01-03,2017-01-03,46.941054
2017-01-04,2017-01-04,47.300755
2017-01-05,2017-01-05,46.691261
2017-01-06,2017-01-06,47.001004
2017-01-09,2017-01-09,46.691261
2017-01-10,2017-01-10,46.621319
2017-01-11,2017-01-11,46.731228
2017-01-12,2017-01-12,46.301584
2017-01-13,2017-01-13,46.481435
2017-01-17,2017-01-17,45.522231
2017-01-18,2017-01-18,46.1617
2017-01-19,2017-01-19,45.252455
2017-01-20,2017-01-20,45.382347
2017-01-23,2017-01-23,45.362363
2017-01-24,2017-01-24,45.921899
2017-01-25,2017-01-25,46.941054
2017-01-26,2017-01-26,47.180855
2017-01-27,2017-01-27,46.931062
2017-01-30,2017-01-30,46.441468
2017-01-31,2017-01-31,46.151708
2017-02-01,2017-02-01,45.911907
2017-02-02,2017-02-02,45.772024
2017-02-03,2017-02-03,46.57136
2017-02-06,2017-02-06,46.39151
2017-02-07,2017-02-07,46.351543
2017-02-08,2017-02-08,45.75204
2017-02-09,2017-02-09,46.371526
2017-02-10,2017-02-10,46.591344
2017-02-13,2017-02-13,46.941054
2017-02-14,2017-02-14,47.830316
2017-02-15,2017-02-15,48.219992
2017-02-16,2017-02-16,47.960208
2017-02-17,2017-02-17,47.920241
2017-02-21,2017-02-21,47.950216
2017-02-22,2017-02-22,48.110084
2017-02-23,2017-02-23,48.489769
2017-02-24,2017-02-24,48.070117
2017-02-27,2017-02-27,48.140059
2017-02-28,2017-02-28,48.180026
2017-03-01,2017-03-01,49.658799
2017-03-02,2017-03-02,48.519744
2017-03-03,2017-03-03,48.599677
