DATE,DATE,CLOSE
2016-11-01,2016-11-01,38.67
2016-11-02,2016-11-02,38.39
2016-11-03,2016-11-03,38.11
2016-11-04,2016-11-04,38.19
2016-11-07,2016-11-07,39.07
2016-11-08,2016-11-08,37.99
2016-11-09,2016-11-09,38.51
2016-11-10,2016-11-10,39.98
2016-11-11,2016-11-11,38.36
2016-11-14,2016-11-14,39.94
2016-11-15,2016-11-15,39.88
2016-11-16,2016-11-16,40.45
2016-11-17,2016-11-17,45.99
2016-11-18,2016-11-18,44.79
2016-11-21,2016-11-21,45.65
2016-11-22,2016-11-22,46.6
2016-11-23,2016-11-23,46.96
2016-11-25,2016-11-25,46.58
2016-11-28,2016-11-28,45.33
2016-11-29,2016-11-29,45.62
2016-11-30,2016-11-30,45.7
2016-12-01,2016-12-01,45.45
2016-12-02,2016-12-02,45.67
2016-12-05,2016-12-05,46.82
2016-12-06,2016-12-06,46.93
2016-12-07,2016-12-07,48.52
2016-12-08,2016-12-08,49.31
2016-12-09,2016-12-09,49.0
2016-12-12,2016-12-12,48.77
2016-12-13,2016-12-13,48.66
2016-12-14,2016-12-14,48.21
2016-12-15,2016-12-15,48.16
2016-12-16,2016-12-16,47.0
2016-12-19,2016-12-19,46.56
2016-12-20,2016-12-20,47.26
2016-12-21,2016-12-21,46.82
2016-12-22,2016-12-22,45.1
2016-12-23,2016-12-23,44.77
2016-12-27,2016-12-27,44.75
2016-12-28,2016-12-28,43.71
2016-12-29,2016-12-29,43.07
2016-12-30,2016-12-30,42.67
2017-01-03,2017-01-03,42.76
2017-01-04,2017-01-04,43.77
2017-01-05,2017-01-05,42.64
2017-01-06,2017-01-06,42.77
2017-01-09,2017-01-09,43.34
2017-01-10,2017-01-10,43.86
2017-01-11,2017-01-11,43.42
2017-01-12,2017-01-12,44.23
2017-01-13,2017-01-13,43.83
2017-01-17,2017-01-17,44.88
2017-01-18,2017-01-18,44.77
2017-01-19,2017-01-19,43.63
2017-01-20,2017-01-20,43.36
2017-01-23,2017-01-23,43.54
2017-01-24,2017-01-24,44.17
2017-01-25,2017-01-25,44.67
2017-01-26,2017-01-26,45.23
2017-01-27,2017-01-27,43.47
2017-01-30,2017-01-30,44.22
2017-01-31,2017-01-31,44.52
2017-02-01,2017-02-01,44.5
2017-02-02,2017-02-02,44.31
2017-02-03,2017-02-03,44.73
2017-02-06,2017-02-06,43.96
2017-02-07,2017-02-07,43.53
2017-02-08,2017-02-08,43.87
2017-02-09,2017-02-09,44.73
2017-02-10,2017-02-10,44.68
2017-02-13,2017-02-13,43.97
2017-02-14,2017-02-14,45.29
2017-02-15,2017-02-15,45.92
2017-02-16,2017-02-16,45.37
2017-02-17,2017-02-17,45.24
2017-02-21,2017-02-21,45.98
2017-02-22,2017-02-22,45.72
2017-02-23,2017-02-23,44.31
2017-02-24,2017-02-24,45.56
2017-02-27,2017-02-27,46.15
2017-02-28,2017-02-28,44.13
2017-03-01,2017-03-01,42.14
2017-03-02,2017-03-02,44.85
2017-03-03,2017-03-03,44.65
2017-03-06,2017-03-06,43.89
2017-03-07,2017-03-07,44.55
2017-03-08,2017-03-08,45.1
2017-03-09,2017-03-09,44.84
2017-03-10,2017-03-10,44.8
2017-03-13,2017-03-13,44.85
2017-03-14,2017-03-14,44.37
2017-03-15,2017-03-15,44.41
2017-03-16,2017-03-16,44.5
2017-03-17,2017-03-17,45.74
2017-03-20,2017-03-20,45.55
2017-03-21,2017-03-21,44.06
2017-03-22,2017-03-22,45.02
2017-03-23,2017-03-23,44.62
2017-03-24,2017-03-24,44.85
2017-03-27,2017-03-27,46.2
2017-03-28,2017-03-28,46.97
2017-03-29,2017-03-29,47.77
2017-03-30,2017-03-30,48.59
2017-03-31,2017-03-31,49.15
2017-04-03,2017-04-03,48.53
2017-04-04,2017-04-04,48.65
2017-04-05,2017-04-05,47.97
2017-04-06,2017-04-06,47.99
2017-04-07,2017-04-07,48.22
2017-04-10,2017-04-10,48.55
2017-04-11,2017-04-11,48.65
2017-04-12,2017-04-12,48.36
2017-04-13,2017-04-13,48.27
2017-04-17,2017-04-17,48.36
2017-04-18,2017-04-18,48.52
2017-04-19,2017-04-19,49.38
2017-04-20,2017-04-20,50.53
2017-04-21,2017-04-21,50.64
2017-04-24,2017-04-24,51.15
2017-04-25,2017-04-25,51.77
2017-04-26,2017-04-26,52.25
2017-04-27,2017-04-27,52.35
2017-04-28,2017-04-28,51.81
2017-05-01,2017-05-01,51.46
2017-05-02,2017-05-02,51.51
2017-05-03,2017-05-03,51.65
2017-05-04,2017-05-04,50.87
2017-05-05,2017-05-05,51.62
2017-05-08,2017-05-08,51.76
2017-05-09,2017-05-09,51.82
2017-05-10,2017-05-10,52.0
2017-05-11,2017-05-11,51.97
2017-05-12,2017-05-12,51.11
2017-05-15,2017-05-15,51.16
2017-05-16,2017-05-16,51.82
2017-05-17,2017-05-17,50.61
2017-05-18,2017-05-18,50.63
2017-05-19,2017-05-19,51.33
2017-05-22,2017-05-22,51.75
2017-05-23,2017-05-23,51.55
2017-05-24,2017-05-24,50.42
2017-05-25,2017-05-25,61.25
2017-05-26,2017-05-26,58.97
2017-05-30,2017-05-30,59.28
2017-05-31,2017-05-31,59.39
2017-06-01,2017-06-01,60.3
2017-06-02,2017-06-02,59.67
2017-06-05,2017-06-05,59.52
2017-06-06,2017-06-06,58.53
2017-06-07,2017-06-07,59.38
2017-06-08,2017-06-08,59.11
2017-06-09,2017-06-09,58.13
2017-06-12,2017-06-12,57.12
2017-06-13,2017-06-13,57.85
2017-06-14,2017-06-14,57.48
2017-06-15,2017-06-15,56.55
2017-06-16,2017-06-16,55.65
2017-06-19,2017-06-19,55.79
2017-06-20,2017-06-20,54.93
2017-06-21,2017-06-21,55.17
2017-06-22,2017-06-22,55.22
2017-06-23,2017-06-23,55.18
2017-06-26,2017-06-26,56.29
2017-06-27,2017-06-27,56.18
2017-06-28,2017-06-28,56.77
2017-06-29,2017-06-29,57.26
2017-06-30,2017-06-30,57.33
2017-07-03,2017-07-03,59.22
2017-07-05,2017-07-05,58.15
2017-07-06,2017-07-06,57.42
2017-07-07,2017-07-07,57.87
2017-07-10,2017-07-10,54.23
2017-07-11,2017-07-11,53.69
2017-07-12,2017-07-12,53.3
2017-07-13,2017-07-13,54.66
2017-07-14,2017-07-14,55.26
2017-07-17,2017-07-17,56.0
2017-07-18,2017-07-18,55.79
2017-07-19,2017-07-19,56.17
2017-07-20,2017-07-20,53.96
2017-07-21,2017-07-21,54.14
2017-07-24,2017-07-24,54.8
2017-07-25,2017-07-25,55.32
2017-07-26,2017-07-26,55.57
2017-07-27,2017-07-27,57.05
2017-07-28,2017-07-28,57.64
2017-07-31,2017-07-31,58.34
2017-08-01,2017-08-01,59.48
2017-08-02,2017-08-02,59.38
2017-08-03,2017-08-03,59.69
2017-08-04,2017-08-04,60.28
2017-08-07,2017-08-07,61.76
2017-08-08,2017-08-08,61.48
2017-08-09,2017-08-09,61.07
2017-08-10,2017-08-10,59.78
2017-08-11,2017-08-11,60.07
2017-08-14,2017-08-14,60.71
2017-08-15,2017-08-15,58.97
2017-08-16,2017-08-16,60.67
2017-08-17,2017-08-17,60.15
2017-08-18,2017-08-18,59.47
2017-08-21,2017-08-21,60.45
2017-08-22,2017-08-22,61.79
2017-08-23,2017-08-23,62.1
2017-08-24,2017-08-24,61.8
2017-08-25,2017-08-25,61.87
2017-08-28,2017-08-28,62.47
2017-08-29,2017-08-29,55.02
2017-08-30,2017-08-30,54.19
2017-08-31,2017-08-31,54.26
2017-09-01,2017-09-01,54.48
2017-09-05,2017-09-05,55.26
2017-09-06,2017-09-06,55.66
2017-09-07,2017-09-07,56.01
2017-09-08,2017-09-08,55.5
2017-09-11,2017-09-11,55.96
2017-09-12,2017-09-12,56.79
2017-09-13,2017-09-13,58.6
2017-09-14,2017-09-14,58.38
2017-09-15,2017-09-15,58.61
2017-09-18,2017-09-18,57.35
2017-09-19,2017-09-19,52.76
2017-09-20,2017-09-20,52.59
2017-09-21,2017-09-21,53.95
2017-09-22,2017-09-22,53.9
2017-09-25,2017-09-25,54.17
2017-09-26,2017-09-26,54.64
2017-09-27,2017-09-27,56.67
2017-09-28,2017-09-28,56.83
2017-09-29,2017-09-29,56.96
2017-10-02,2017-10-02,57.42
2017-10-03,2017-10-03,56.91
2017-10-04,2017-10-04,57.15
2017-10-05,2017-10-05,57.49
2017-10-06,2017-10-06,58.76
2017-10-09,2017-10-09,59.04
2017-10-10,2017-10-10,57.17
2017-10-11,2017-10-11,55.47
2017-10-12,2017-10-12,55.13
2017-10-13,2017-10-13,55.1
2017-10-16,2017-10-16,54.91
2017-10-17,2017-10-17,54.65
2017-10-18,2017-10-18,55.46
2017-10-19,2017-10-19,55.46
2017-10-20,2017-10-20,55.83
2017-10-23,2017-10-23,56.02
2017-10-24,2017-10-24,56.65
2017-10-25,2017-10-25,55.17
2017-10-26,2017-10-26,55.95
2017-10-27,2017-10-27,55.2
2017-10-30,2017-10-30,55.38
2017-10-31,2017-10-31,55.98
2017-11-01,2017-11-01,56.01
2017-11-02,2017-11-02,57.34
2017-11-03,2017-11-03,56.92
2017-11-06,2017-11-06,56.39
2017-11-07,2017-11-07,55.13
2017-11-08,2017-11-08,56.55
2017-11-09,2017-11-09,55.93
2017-11-10,2017-11-10,56.68
2017-11-13,2017-11-13,56.97
2017-11-14,2017-11-14,57.2
2017-11-15,2017-11-15,57.3
2017-11-16,2017-11-16,55.25
2017-11-17,2017-11-17,55.83
2017-11-20,2017-11-20,56.35
2017-11-21,2017-11-21,56.06
2017-11-22,2017-11-22,56.49
2017-11-24,2017-11-24,57.0
2017-11-27,2017-11-27,57.02
2017-11-28,2017-11-28,58.05
2017-11-29,2017-11-29,58.83
2017-11-30,2017-11-30,59.61
2017-12-01,2017-12-01,60.35
2017-12-04,2017-12-04,62.55
2017-12-05,2017-12-05,61.98
2017-12-06,2017-12-06,60.97
2017-12-07,2017-12-07,61.49
2017-12-08,2017-12-08,63.79
2017-12-11,2017-12-11,63.62
2017-12-12,2017-12-12,63.52
2017-12-13,2017-12-13,64.39
2017-12-14,2017-12-14,63.75
2017-12-15,2017-12-15,65.32
2017-12-18,2017-12-18,67.01
2017-12-19,2017-12-19,65.8
2017-12-20,2017-12-20,66.73
2017-12-21,2017-12-21,67.08
2017-12-22,2017-12-22,67.11
2017-12-26,2017-12-26,68.02
2017-12-27,2017-12-27,68.36
2017-12-28,2017-12-28,68.42
2017-12-29,2017-12-29,68.47
2018-01-02,2018-01-02,69.16
2018-01-03,2018-01-03,68.4
2018-01-04,2018-01-04,67.28
2018-01-05,2018-01-05,68.87
2018-01-08,2018-01-08,69.69
2018-01-09,2018-01-09,69.78
2018-01-10,2018-01-10,70.34
2018-01-11,2018-01-11,71.71
2018-01-12,2018-01-12,73.25
2018-01-16,2018-01-16,72.4
2018-01-17,2018-01-17,74.26
2018-01-18,2018-01-18,74.69
2018-01-19,2018-01-19,76.86
2018-01-22,2018-01-22,78.06
2018-01-23,2018-01-23,77.52
2018-01-24,2018-01-24,76.79
2018-01-25,2018-01-25,76.27
2018-01-26,2018-01-26,77.85
2018-01-29,2018-01-29,76.59
2018-01-30,2018-01-30,76.29
2018-01-31,2018-01-31,73.06
2018-02-01,2018-02-01,73.1
2018-02-02,2018-02-02,71.24
2018-02-05,2018-02-05,68.02
2018-02-06,2018-02-06,70.3
2018-02-07,2018-02-07,71.26
2018-02-08,2018-02-08,68.79
2018-02-09,2018-02-09,70.76
2018-02-12,2018-02-12,70.35
2018-02-13,2018-02-13,70.1
2018-02-14,2018-02-14,72.52
2018-02-15,2018-02-15,73.32
2018-02-16,2018-02-16,73.18
2018-02-20,2018-02-20,71.92
2018-02-21,2018-02-21,70.79
2018-02-22,2018-02-22,71.29
2018-02-23,2018-02-23,73.17
2018-02-26,2018-02-26,72.57
2018-02-27,2018-02-27,71.49
2018-02-28,2018-02-28,72.44
2018-03-01,2018-03-01,75.3
2018-03-02,2018-03-02,73.04
2018-03-05,2018-03-05,75.06
2018-03-06,2018-03-06,76.77
2018-03-07,2018-03-07,73.64
2018-03-08,2018-03-08,73.25
2018-03-09,2018-03-09,73.82
2018-03-12,2018-03-12,72.05
2018-03-13,2018-03-13,71.52
2018-03-14,2018-03-14,69.9
2018-03-15,2018-03-15,68.99
2018-03-16,2018-03-16,69.73
2018-03-19,2018-03-19,68.53
2018-03-20,2018-03-20,70.04
2018-03-21,2018-03-21,68.44
2018-03-22,2018-03-22,67.25
2018-03-23,2018-03-23,66.68
2018-03-26,2018-03-26,69.51
2018-03-27,2018-03-27,67.74
2018-03-28,2018-03-28,68.56
2018-03-29,2018-03-29,69.99
2018-04-02,2018-04-02,68.92
2018-04-03,2018-04-03,70.34
2018-04-04,2018-04-04,72.86
2018-04-05,2018-04-05,72.12
2018-04-06,2018-04-06,70.49
2018-04-09,2018-04-09,69.82
2018-04-10,2018-04-10,71.72
2018-04-11,2018-04-11,70.91
2018-04-12,2018-04-12,71.3
2018-04-13,2018-04-13,71.13
2018-04-16,2018-04-16,71.91
2018-04-17,2018-04-17,72.75
2018-04-18,2018-04-18,75.4
2018-04-19,2018-04-19,73.34
2018-04-20,2018-04-20,72.3
2018-04-23,2018-04-23,73.5
2018-04-24,2018-04-24,73.17
2018-04-25,2018-04-25,74.38
2018-04-26,2018-04-26,75.62
2018-04-27,2018-04-27,77.04
2018-04-30,2018-04-30,76.53
2018-05-01,2018-05-01,75.38
