DATE,DATE,CLOSE
2016-11-01,2016-11-01,31.011886
2016-11-02,2016-11-02,30.533364
2016-11-03,2016-11-03,30.781827
2016-11-04,2016-11-04,31.103909
2016-11-07,2016-11-07,31.683657
2016-11-08,2016-11-08,31.518015
2016-11-09,2016-11-09,35.419807
2016-11-10,2016-11-10,34.830857
2016-11-11,2016-11-11,34.251109
2016-11-14,2016-11-14,35.63146
2016-11-15,2016-11-15,35.806305
2016-11-16,2016-11-16,35.429009
2016-11-17,2016-11-17,35.741889
2016-11-18,2016-11-18,35.7879
2016-11-21,2016-11-21,36.174399
2016-11-22,2016-11-22,36.036363
2016-11-23,2016-11-23,36.137589
2016-11-25,2016-11-25,36.183601
2016-11-28,2016-11-28,35.567044
2016-11-29,2016-11-29,35.613056
2016-11-30,2016-11-30,36.128387
2016-12-01,2016-12-01,36.404457
2016-12-02,2016-12-02,36.082375
2016-12-05,2016-12-05,36.588504
2016-12-06,2016-12-06,36.708134
2016-12-07,2016-12-07,37.379905
2016-12-08,2016-12-08,38.668233
2016-12-09,2016-12-09,37.738796
2016-12-12,2016-12-12,36.800158
2016-12-13,2016-12-13,36.800158
2016-12-14,2016-12-14,36.174399
2016-12-15,2016-12-15,36.312434
2016-12-16,2016-12-16,36.146792
2016-12-19,2016-12-19,36.597706
2016-12-20,2016-12-20,37.177454
2016-12-21,2016-12-21,37.186656
2016-12-22,2016-12-22,37.067026
2016-12-23,2016-12-23,37.251072
2016-12-27,2016-12-27,37.094633
2016-12-28,2016-12-28,36.321636
2016-12-29,2016-12-29,36.266422
2016-12-30,2016-12-30,36.422862
2017-01-03,2017-01-03,37.214263
2017-01-04,2017-01-04,38.051676
2017-01-05,2017-01-05,37.481131
2017-01-06,2017-01-06,37.499536
2017-01-09,2017-01-09,37.094633
2017-01-10,2017-01-10,37.177454
2017-01-11,2017-01-11,37.499536
2017-01-12,2017-01-12,37.251072
2017-01-13,2017-01-13,37.269477
2017-01-17,2017-01-17,36.754146
2017-01-18,2017-01-18,36.818562
2017-01-19,2017-01-19,36.680527
2017-01-20,2017-01-20,37.370703
2017-01-23,2017-01-23,37.177454
2017-01-24,2017-01-24,37.876831
2017-01-25,2017-01-25,38.520995
2017-01-26,2017-01-26,37.51794
2017-01-27,2017-01-27,37.103835
2017-01-30,2017-01-30,36.9658
2017-01-31,2017-01-31,36.570099
2017-02-01,2017-02-01,36.800158
2017-02-02,2017-02-02,36.717337
2017-02-03,2017-02-03,37.094633
2017-02-06,2017-02-06,36.800158
2017-02-07,2017-02-07,36.818562
2017-02-08,2017-02-08,36.570099
2017-02-09,2017-02-09,37.251072
2017-02-10,2017-02-10,37.619166
2017-02-13,2017-02-13,38.198913
2017-02-14,2017-02-14,38.741851
2017-02-15,2017-02-15,39.312396
2017-02-16,2017-02-16,38.916696
2017-02-17,2017-02-17,39.137552
2017-02-21,2017-02-21,39.597669
2017-02-22,2017-02-22,39.358408
2017-02-23,2017-02-23,39.514848
2017-02-24,2017-02-24,39.330801
2017-02-27,2017-02-27,39.910549
2017-02-28,2017-02-28,39.606871
2017-03-01,2017-03-01,39.974965
2017-03-02,2017-03-02,39.468836
2017-03-03,2017-03-03,39.275587
2017-03-06,2017-03-06,38.999517
2017-03-07,2017-03-07,38.999517
2017-03-08,2017-03-08,39.165159
2017-03-09,2017-03-09,39.036326
2017-03-10,2017-03-10,39.183564
2017-03-13,2017-03-13,39.174361
2017-03-14,2017-03-14,39.045529
2017-03-15,2017-03-15,39.56086
2017-03-16,2017-03-16,40.407475
2017-03-17,2017-03-17,38.852279
2017-03-20,2017-03-20,38.686637
2017-03-21,2017-03-21,38.051676
2017-03-22,2017-03-22,38.070081
2017-03-23,2017-03-23,38.152902
2017-03-24,2017-03-24,37.968855
2017-03-27,2017-03-27,37.812415
2017-03-28,2017-03-28,38.576209
2017-03-29,2017-03-29,38.10689
2017-03-30,2017-03-30,38.852279
2017-03-31,2017-03-31,38.778661
2017-04-03,2017-04-03,38.41977
2017-04-04,2017-04-04,38.254127
2017-04-05,2017-04-05,38.097688
2017-04-06,2017-04-06,38.613019
2017-04-07,2017-04-07,38.447377
2017-04-10,2017-04-10,38.686637
2017-04-11,2017-04-11,37.738796
2017-04-12,2017-04-12,37.55475
2017-04-13,2017-04-13,37.352298
2017-04-17,2017-04-17,38.070081
2017-04-18,2017-04-18,38.318544
2017-04-19,2017-04-19,37.922843
2017-04-20,2017-04-20,38.300139
2017-04-21,2017-04-21,37.738796
2017-04-24,2017-04-24,38.567007
2017-04-25,2017-04-25,38.686637
2017-04-26,2017-04-26,39.082338
2017-04-27,2017-04-27,38.907494
2017-04-28,2017-04-28,39.671288
2017-05-01,2017-05-01,39.340004
2017-05-02,2017-05-02,39.24798
2017-05-03,2017-05-03,39.321599
2017-05-04,2017-05-04,39.073136
2017-05-05,2017-05-05,39.358408
2017-05-08,2017-05-08,39.551657
2017-05-09,2017-05-09,39.965763
2017-05-10,2017-05-10,40.251035
2017-05-11,2017-05-11,39.864537
2017-05-12,2017-05-12,39.726502
2017-05-15,2017-05-15,40.103798
2017-05-16,2017-05-16,39.95656
2017-05-17,2017-05-17,38.69584
2017-05-18,2017-05-18,38.530198
2017-05-19,2017-05-19,38.686637
2017-05-22,2017-05-22,38.760256
2017-05-23,2017-05-23,38.097688
2017-05-24,2017-05-24,38.051676
2017-05-25,2017-05-25,38.373758
2017-05-26,2017-05-26,38.373758
2017-05-30,2017-05-30,38.290937
2017-05-31,2017-05-31,38.456579
2017-06-01,2017-06-01,39.340004
2017-06-02,2017-06-02,39.349206
2017-06-05,2017-06-05,39.395218
2017-06-06,2017-06-06,39.155957
2017-06-07,2017-06-07,39.119147
2017-06-08,2017-06-08,39.478039
2017-06-09,2017-06-09,40.195821
2017-06-12,2017-06-12,40.398273
2017-06-13,2017-06-13,40.619129
2017-06-14,2017-06-14,40.674343
2017-06-15,2017-06-15,40.950413
2017-06-16,2017-06-16,40.609926
2017-06-19,2017-06-19,41.263293
2017-06-20,2017-06-20,40.959615
2017-06-21,2017-06-21,40.729557
2017-06-22,2017-06-22,40.803176
2017-06-23,2017-06-23,40.471891
2017-06-26,2017-06-26,40.711152
2017-06-27,2017-06-27,40.913604
2017-06-28,2017-06-28,41.2909
2017-06-29,2017-06-29,40.996425
2017-06-30,2017-06-30,41.217281
2017-07-03,2017-07-03,41.474946
2017-07-05,2017-07-05,41.631386
2017-07-06,2017-07-06,41.336911
2017-07-07,2017-07-07,41.797028
2017-07-10,2017-07-10,41.907456
2017-07-11,2017-07-11,41.778624
2017-07-12,2017-07-12,42.312359
2017-07-13,2017-07-13,42.625239
2017-07-14,2017-07-14,42.579227
2017-07-17,2017-07-17,42.468799
2017-07-18,2017-07-18,42.55162
2017-07-19,2017-07-19,42.855297
2017-07-20,2017-07-20,43.076154
2017-07-21,2017-07-21,42.947321
2017-07-24,2017-07-24,42.938118
2017-07-25,2017-07-25,43.508664
2017-07-26,2017-07-26,43.453449
2017-07-27,2017-07-27,42.238741
2017-07-28,2017-07-28,41.125257
2017-07-31,2017-07-31,41.208079
2017-08-01,2017-08-01,41.152864
2017-08-02,2017-08-02,40.435082
2017-08-03,2017-08-03,40.333856
2017-08-04,2017-08-04,40.306249
2017-08-07,2017-08-07,40.113
2017-08-08,2017-08-08,40.168214
2017-08-09,2017-08-09,40.113
2017-08-10,2017-08-10,39.229575
2017-08-11,2017-08-11,39.340004
2017-08-14,2017-08-14,39.588467
2017-08-15,2017-08-15,39.468836
2017-08-16,2017-08-16,39.413622
2017-08-17,2017-08-17,38.705042
2017-08-18,2017-08-18,38.493388
2017-08-21,2017-08-21,38.438174
2017-08-22,2017-08-22,39.119147
2017-08-23,2017-08-23,38.97191
2017-08-24,2017-08-24,39.008719
2017-08-25,2017-08-25,39.266385
2017-08-28,2017-08-28,39.201968
2017-08-29,2017-08-29,39.017922
2017-08-30,2017-08-30,39.211171
2017-08-31,2017-08-31,39.781716
2017-09-01,2017-09-01,39.938156
2017-09-05,2017-09-05,38.401365
2017-09-06,2017-09-06,38.290937
2017-09-07,2017-09-07,37.858427
2017-09-08,2017-09-08,37.766403
2017-09-11,2017-09-11,38.401365
2017-09-12,2017-09-12,38.824672
2017-09-13,2017-09-13,38.640626
2017-09-14,2017-09-14,38.787863
2017-09-15,2017-09-15,39.09154
2017-09-18,2017-09-18,39.358408
2017-09-19,2017-09-19,39.432027
2017-09-20,2017-09-20,39.542455
2017-09-21,2017-09-21,39.183564
2017-09-22,2017-09-22,39.468836
2017-09-25,2017-09-25,39.947358
2017-09-26,2017-09-26,40.030179
2017-09-27,2017-09-27,40.932008
2017-09-28,2017-09-28,40.996425
2017-09-29,2017-09-29,40.959615
2017-10-02,2017-10-02,41.162067
2017-10-03,2017-10-03,41.198876
2017-10-04,2017-10-04,41.2909
2017-10-05,2017-10-05,41.189674
2017-10-06,2017-10-06,41.106853
2017-10-09,2017-10-09,41.143662
2017-10-10,2017-10-10,41.336911
2017-10-11,2017-10-11,41.346114
2017-10-12,2017-10-12,41.226483
2017-10-13,2017-10-13,41.079246
2017-10-16,2017-10-16,41.180472
2017-10-17,2017-10-17,40.849187
2017-10-18,2017-10-18,41.226483
2017-10-19,2017-10-19,41.2909
2017-10-20,2017-10-20,41.474946
2017-10-23,2017-10-23,40.987222
2017-10-24,2017-10-24,41.226483
2017-10-25,2017-10-25,40.628331
2017-10-26,2017-10-26,40.444284
2017-10-27,2017-10-27,39.459634
2017-10-30,2017-10-30,39.146754
2017-10-31,2017-10-31,38.769458
2017-11-01,2017-11-01,39.027124
2017-11-02,2017-11-02,39.597669
2017-11-03,2017-11-03,39.376813
2017-11-06,2017-11-06,39.192766
2017-11-07,2017-11-07,38.447377
2017-11-08,2017-11-08,38.548602
2017-11-09,2017-11-09,38.033271
2017-11-10,2017-11-10,37.849224
2017-11-13,2017-11-13,37.55475
2017-11-14,2017-11-14,37.573154
2017-11-15,2017-11-15,37.223465
2017-11-16,2017-11-16,37.315489
2017-11-17,2017-11-17,37.251072
2017-11-20,2017-11-20,37.508738
2017-11-21,2017-11-21,38.26333
2017-11-22,2017-11-22,38.097688
2017-11-24,2017-11-24,37.922843
2017-11-27,2017-11-27,37.895236
2017-11-28,2017-11-28,38.806268
2017-11-29,2017-11-29,39.689692
2017-11-30,2017-11-30,39.892144
2017-12-01,2017-12-01,40.011774
2017-12-04,2017-12-04,41.060841
2017-12-05,2017-12-05,40.628331
2017-12-06,2017-12-06,40.757164
2017-12-07,2017-12-07,40.950413
2017-12-08,2017-12-08,41.106853
2017-12-11,2017-12-11,40.582319
2017-12-12,2017-12-12,40.628331
2017-12-13,2017-12-13,40.205023
2017-12-14,2017-12-14,39.634478
2017-12-15,2017-12-15,39.99337
2017-12-18,2017-12-18,40.168214
2017-12-19,2017-12-19,40.195821
2017-12-20,2017-12-20,40.205023
2017-12-21,2017-12-21,40.343059
2017-12-22,2017-12-22,40.407475
2017-12-26,2017-12-26,40.094595
2017-12-27,2017-12-27,39.965763
2017-12-28,2017-12-28,40.057786
2017-12-29,2017-12-29,39.873739
2018-01-02,2018-01-02,39.800121
2018-01-03,2018-01-03,39.984167
2018-01-04,2018-01-04,39.846132
2018-01-05,2018-01-05,40.094595
2018-01-08,2018-01-08,40.416677
2018-01-09,2018-01-09,40.177416
2018-01-10,2018-01-10,39.818525
2018-01-11,2018-01-11,40.435082
2018-01-12,2018-01-12,40.97802
2018-01-16,2018-01-16,40.297047
2018-01-17,2018-01-17,41.318507
2018-01-18,2018-01-18,41.070043
2018-01-19,2018-01-19,41.309304
2018-01-22,2018-01-22,41.732612
2018-01-23,2018-01-23,41.879849
2018-01-24,2018-01-24,41.889052
2018-01-25,2018-01-25,41.557767
2018-01-26,2018-01-26,42.201931
2018-01-29,2018-01-29,41.520958
2018-01-30,2018-01-30,39.312396
2018-01-31,2018-01-31,39.027124
2018-02-01,2018-02-01,38.714244
2018-02-02,2018-02-02,37.619166
2018-02-05,2018-02-05,35.843114
2018-02-06,2018-02-06,36.551694
2018-02-07,2018-02-07,36.294029
2018-02-08,2018-02-08,34.968892
2018-02-09,2018-02-09,35.171343
2018-02-12,2018-02-12,35.732686
2018-02-13,2018-02-13,35.741889
2018-02-14,2018-02-14,36.634516
2018-02-15,2018-02-15,35.94434
2018-02-16,2018-02-16,35.981149
2018-02-20,2018-02-20,35.760293
2018-02-21,2018-02-21,35.953542
2018-02-22,2018-02-22,35.63146
2018-02-23,2018-02-23,36.174399
2018-02-26,2018-02-26,36.662123
2018-02-27,2018-02-27,36.036363
2018-02-28,2018-02-28,35.585449
2018-03-01,2018-03-01,35.300176
2018-03-02,2018-03-02,35.695877
2018-03-05,2018-03-05,36.238815
2018-03-06,2018-03-06,36.441266
2018-03-07,2018-03-07,36.174399
2018-03-08,2018-03-08,36.367648
2018-03-09,2018-03-09,37.232668
2018-03-12,2018-03-12,36.65292
2018-03-13,2018-03-13,36.275624
2018-03-14,2018-03-14,35.760293
2018-03-15,2018-03-15,35.576246
2018-03-16,2018-03-16,35.879924
2018-03-19,2018-03-19,35.189748
2018-03-20,2018-03-20,35.309379
2018-03-21,2018-03-21,35.603853
2018-03-22,2018-03-22,34.297121
2018-03-23,2018-03-23,33.726576
2018-03-26,2018-03-26,35.070118
2018-03-27,2018-03-27,34.610001
2018-03-28,2018-03-28,34.11
2018-03-29,2018-03-29,34.68
2018-04-02,2018-04-02,33.45
2018-04-03,2018-04-03,33.97
2018-04-04,2018-04-04,34.37
2018-04-05,2018-04-05,34.05
2018-04-06,2018-04-06,33.22
2018-04-09,2018-04-09,33.07
2018-04-10,2018-04-10,33.09
2018-04-11,2018-04-11,32.48
2018-04-12,2018-04-12,33.34
2018-04-13,2018-04-13,33.15
2018-04-16,2018-04-16,33.84
2018-04-17,2018-04-17,33.97
2018-04-18,2018-04-18,34.05
2018-04-19,2018-04-19,34.17
2018-04-20,2018-04-20,34.04
2018-04-23,2018-04-23,33.64
2018-04-24,2018-04-24,33.31
2018-04-25,2018-04-25,33.58
2018-04-26,2018-04-26,33.78
2018-04-27,2018-04-27,34.28
2018-04-30,2018-04-30,33.64
2018-05-01,2018-05-01,33.03
