DATE,DATE,CLOSE
2016-11-01,2016-11-01,260.266299
2016-11-02,2016-11-02,255.384463
2016-11-03,2016-11-03,251.911912
2016-11-04,2016-11-04,255.144977
2016-11-07,2016-11-07,272.295878
2016-11-08,2016-11-08,272.277456
2016-11-09,2016-11-09,294.623366
2016-11-10,2016-11-10,298.805164
2016-11-11,2016-11-11,293.997017
2016-11-14,2016-11-14,296.12476
2016-11-15,2016-11-15,297.128761
2016-11-16,2016-11-16,292.587733
2016-11-17,2016-11-17,294.107549
2016-11-18,2016-11-18,291.989017
2016-11-21,2016-11-21,293.20487
2016-11-22,2016-11-22,293.011439
2016-11-23,2016-11-23,281.792429
2016-11-25,2016-11-25,281.120025
2016-11-28,2016-11-28,279.812062
2016-11-29,2016-11-29,278.88175
2016-11-30,2016-11-30,270.868171
2016-12-01,2016-12-01,272.443254
2016-12-02,2016-12-02,273.742006
2016-12-05,2016-12-05,267.321932
2016-12-06,2016-12-06,268.187767
2016-12-07,2016-12-07,262.790115
2016-12-08,2016-12-08,266.695584
2016-12-09,2016-12-09,265.065235
2016-12-12,2016-12-12,263.886225
2016-12-13,2016-12-13,264.706005
2016-12-14,2016-12-14,263.665161
2016-12-15,2016-12-15,264.328354
2016-12-16,2016-12-16,263.803326
2016-12-19,2016-12-19,256.775326
2016-12-20,2016-12-20,263.057235
2016-12-21,2016-12-21,260.772904
2016-12-22,2016-12-22,260.73606
2016-12-23,2016-12-23,264.844171
2016-12-27,2016-12-27,268.150923
2016-12-28,2016-12-28,266.428464
2016-12-29,2016-12-29,264.38362
2016-12-30,2016-12-30,261.205822
2017-01-03,2017-01-03,268.694373
2017-01-04,2017-01-04,270.849749
2017-01-05,2017-01-05,270.407621
2017-01-06,2017-01-06,271.724795
2017-01-09,2017-01-09,275.427621
2017-01-10,2017-01-10,274.294667
2017-01-11,2017-01-11,264.457308
2017-01-12,2017-01-12,265.065235
2017-01-13,2017-01-13,262.28351
2017-01-17,2017-01-17,260.680794
2017-01-18,2017-01-18,261.233455
2017-01-19,2017-01-19,258.230665
2017-01-20,2017-01-20,258.516207
2017-01-23,2017-01-23,254.242298
2017-01-24,2017-01-24,252.215876
2017-01-25,2017-01-25,251.681637
2017-01-26,2017-01-26,256.885858
2017-01-27,2017-01-27,256.259509
2017-01-30,2017-01-30,254.279142
2017-01-31,2017-01-31,255.366041
