DATE,DATE,CLOSE
2016-11-01,2016-11-01,43.4
2016-11-02,2016-11-02,42.87
2016-11-03,2016-11-03,43.04
2016-11-04,2016-11-04,42.99
2016-11-07,2016-11-07,44.03
2016-11-08,2016-11-08,43.88
2016-11-09,2016-11-09,45.54
2016-11-10,2016-11-10,46.21
2016-11-11,2016-11-11,46.73
2016-11-14,2016-11-14,47.53
2016-11-15,2016-11-15,47.93
2016-11-16,2016-11-16,47.05
2016-11-17,2016-11-17,47.6
2016-11-18,2016-11-18,47.44
2016-11-21,2016-11-21,47.42
2016-11-22,2016-11-22,47.25
2016-11-23,2016-11-23,47.47
2016-11-25,2016-11-25,47.47
2016-11-28,2016-11-28,47.03
2016-11-29,2016-11-29,47.05
2016-11-30,2016-11-30,47.42
2016-12-01,2016-12-01,48.6
2016-12-02,2016-12-02,47.65
2016-12-05,2016-12-05,47.86
2016-12-06,2016-12-06,47.99
2016-12-07,2016-12-07,48.55
2016-12-08,2016-12-08,49.17
2016-12-09,2016-12-09,48.62
2016-12-12,2016-12-12,48.22
2016-12-13,2016-12-13,48.28
2016-12-14,2016-12-14,48.07
2016-12-15,2016-12-15,48.35
2016-12-16,2016-12-16,47.56
2016-12-19,2016-12-19,47.28
2016-12-20,2016-12-20,47.68
2016-12-21,2016-12-21,47.55
2016-12-22,2016-12-22,47.61
2016-12-23,2016-12-23,47.58
2016-12-27,2016-12-27,47.73
2016-12-28,2016-12-28,47.65
2016-12-29,2016-12-29,47.34
2016-12-30,2016-12-30,47.38
2017-01-03,2017-01-03,47.96
2017-01-04,2017-01-04,48.71
2017-01-05,2017-01-05,48.09
2017-01-06,2017-01-06,48.17
2017-01-09,2017-01-09,47.64
2017-01-10,2017-01-10,47.72
2017-01-11,2017-01-11,48.03
2017-01-12,2017-01-12,47.46
2017-01-13,2017-01-13,47.74
2017-01-17,2017-01-17,46.43
2017-01-18,2017-01-18,46.23
2017-01-19,2017-01-19,44.84
2017-01-20,2017-01-20,44.56
2017-01-23,2017-01-23,43.87
2017-01-24,2017-01-24,44.63
2017-01-25,2017-01-25,44.91
2017-01-26,2017-01-26,44.97
2017-01-27,2017-01-27,44.78
2017-01-30,2017-01-30,44.67
2017-01-31,2017-01-31,44.73
2017-02-01,2017-02-01,45.02
2017-02-02,2017-02-02,44.8
2017-02-03,2017-02-03,45.67
2017-02-06,2017-02-06,45.66
2017-02-07,2017-02-07,45.45
2017-02-08,2017-02-08,45.14
2017-02-09,2017-02-09,45.5
2017-02-10,2017-02-10,45.56
2017-02-13,2017-02-13,46.12
2017-02-14,2017-02-14,46.82
2017-02-15,2017-02-15,47.43
2017-02-16,2017-02-16,47.07
2017-02-17,2017-02-17,47.14
2017-02-21,2017-02-21,47.5
2017-02-22,2017-02-22,47.29
2017-02-23,2017-02-23,47.34
2017-02-24,2017-02-24,47.09
2017-02-27,2017-02-27,47.11
2017-02-28,2017-02-28,47.14
2017-03-01,2017-03-01,48.5
2017-03-02,2017-03-02,47.99
2017-03-03,2017-03-03,47.95
2017-03-06,2017-03-06,47.9
