DATE,DATE,CLOSE
2016-11-01,2016-11-01,1467.0
2016-11-02,2016-11-02,1445.33
2016-11-03,2016-11-03,1438.1
2016-11-04,2016-11-04,1424.28
2016-11-07,2016-11-07,1480.33
2016-11-08,2016-11-08,1578.13
2016-11-09,2016-11-09,1570.26
2016-11-10,2016-11-10,1554.32
2016-11-11,2016-11-11,1540.65
2016-11-14,2016-11-14,1489.18
2016-11-15,2016-11-15,1497.45
2016-11-16,2016-11-16,1503.23
2016-11-17,2016-11-17,1512.9
2016-11-18,2016-11-18,1507.35
2016-11-21,2016-11-21,1524.18
2016-11-22,2016-11-22,1535.42
2016-11-23,2016-11-23,1520.99
2016-11-25,2016-11-25,1521.68
2016-11-28,2016-11-28,1525.07
2016-11-29,2016-11-29,1520.27
2016-11-30,2016-11-30,1503.68
2016-12-01,2016-12-01,1479.66
2016-12-02,2016-12-02,1473.0
2016-12-05,2016-12-05,1499.76
2016-12-06,2016-12-06,1504.82
2016-12-07,2016-12-07,1527.04
2016-12-08,2016-12-08,1548.67
2016-12-09,2016-12-09,1557.98
2016-12-12,2016-12-12,1536.78
2016-12-13,2016-12-13,1540.11
2016-12-14,2016-12-14,1528.45
2016-12-15,2016-12-15,1501.2
2016-12-16,2016-12-16,1484.28
2016-12-19,2016-12-19,1488.83
2016-12-20,2016-12-20,1502.25
2016-12-21,2016-12-21,1505.76
2016-12-22,2016-12-22,1481.34
2016-12-23,2016-12-23,1486.2
2016-12-27,2016-12-27,1493.42
2016-12-28,2016-12-28,1480.46
2016-12-29,2016-12-29,1480.16
2016-12-30,2016-12-30,1466.06
2017-01-03,2017-01-03,1477.57
2017-01-04,2017-01-04,1487.29
2017-01-05,2017-01-05,1503.7
2017-01-06,2017-01-06,1520.57
2017-01-09,2017-01-09,1529.64
2017-01-10,2017-01-10,1535.25
2017-01-11,2017-01-11,1536.11
2017-01-12,2017-01-12,1538.59
2017-01-13,2017-01-13,1545.82
2017-01-17,2017-01-17,1540.13
2017-01-18,2017-01-18,1541.86
2017-01-19,2017-01-19,1539.02
2017-01-20,2017-01-20,1545.01
2017-01-23,2017-01-23,1554.99
2017-01-24,2017-01-24,1563.33
2017-01-25,2017-01-25,1578.82
2017-01-26,2017-01-26,1581.44
2017-01-27,2017-01-27,1602.92
2017-01-30,2017-01-30,1602.31
2017-01-31,2017-01-31,1575.13
2017-02-01,2017-02-01,1575.31
2017-02-02,2017-02-02,1574.09
2017-02-03,2017-02-03,1583.38
2017-02-06,2017-02-06,1587.18
2017-02-07,2017-02-07,1598.7
2017-02-08,2017-02-08,1601.19
2017-02-09,2017-02-09,1611.83
2017-02-10,2017-02-10,1646.51
2017-02-13,2017-02-13,1646.18
2017-02-14,2017-02-14,1637.29
2017-02-15,2017-02-15,1648.96
2017-02-16,2017-02-16,1648.88
2017-02-17,2017-02-17,1637.4
2017-02-21,2017-02-21,1647.0
2017-02-22,2017-02-22,1651.74
2017-02-23,2017-02-23,1637.26
2017-02-24,2017-02-24,1631.62
2017-02-27,2017-02-27,1632.01
2017-02-28,2017-02-28,1724.13
2017-03-01,2017-03-01,1733.18
2017-03-02,2017-03-02,1734.37
2017-03-03,2017-03-03,1735.1
2017-03-06,2017-03-06,1730.21
2017-03-07,2017-03-07,1736.46
2017-03-08,2017-03-08,1743.49
2017-03-09,2017-03-09,1749.42
2017-03-10,2017-03-10,1754.24
2017-03-13,2017-03-13,1767.12
2017-03-14,2017-03-14,1769.0
2017-03-15,2017-03-15,1767.98
2017-03-16,2017-03-16,1773.98
2017-03-17,2017-03-17,1772.63
2017-03-20,2017-03-20,1765.44
2017-03-21,2017-03-21,1747.14
2017-03-22,2017-03-22,1751.99
2017-03-23,2017-03-23,1748.33
2017-03-24,2017-03-24,1753.11
2017-03-27,2017-03-27,1772.0
2017-03-28,2017-03-28,1788.45
2017-03-29,2017-03-29,1785.05
2017-03-30,2017-03-30,1789.2
2017-03-31,2017-03-31,1779.97
2017-04-03,2017-04-03,1773.99
2017-04-04,2017-04-04,1767.38
2017-04-05,2017-04-05,1761.77
2017-04-06,2017-04-06,1773.52
2017-04-07,2017-04-07,1769.56
2017-04-10,2017-04-10,1775.97
2017-04-11,2017-04-11,1768.4
2017-04-12,2017-04-12,1750.01
2017-04-13,2017-04-13,1738.77
2017-04-17,2017-04-17,1770.61
2017-04-18,2017-04-18,1763.31
2017-04-19,2017-04-19,1763.2
2017-04-20,2017-04-20,1760.8
2017-04-21,2017-04-21,1752.01
2017-04-24,2017-04-24,1798.62
2017-04-25,2017-04-25,1799.09
2017-04-26,2017-04-26,1804.12
2017-04-27,2017-04-27,1835.87
2017-04-28,2017-04-28,1846.82
2017-05-01,2017-05-01,1869.92
2017-05-02,2017-05-02,1880.52
2017-05-03,2017-05-03,1876.79
2017-05-04,2017-05-04,1910.41
2017-05-05,2017-05-05,1903.65
2017-05-08,2017-05-08,1903.91
2017-05-09,2017-05-09,1911.13
2017-05-10,2017-05-10,1824.77
2017-05-11,2017-05-11,1813.56
2017-05-12,2017-05-12,1818.18
2017-05-15,2017-05-15,1813.81
2017-05-16,2017-05-16,1829.8
2017-05-17,2017-05-17,1795.69
2017-05-18,2017-05-18,1796.03
2017-05-19,2017-05-19,1808.28
2017-05-22,2017-05-22,1828.42
2017-05-23,2017-05-23,1827.94
2017-05-24,2017-05-24,1848.74
2017-05-25,2017-05-25,1860.43
2017-05-26,2017-05-26,1863.9
2017-05-30,2017-05-30,1857.45
2017-05-31,2017-05-31,1877.09
2017-06-01,2017-06-01,1890.82
2017-06-02,2017-06-02,1895.96
2017-06-05,2017-06-05,1891.58
2017-06-06,2017-06-06,1889.86
2017-06-07,2017-06-07,1890.37
2017-06-08,2017-06-08,1892.38
2017-06-09,2017-06-09,1842.12
2017-06-12,2017-06-12,1812.99
2017-06-13,2017-06-13,1843.52
2017-06-14,2017-06-14,1831.61
2017-06-15,2017-06-15,1809.2
2017-06-16,2017-06-16,1802.61
2017-06-19,2017-06-19,1851.6
2017-06-20,2017-06-20,1850.64
2017-06-21,2017-06-21,1867.78
2017-06-22,2017-06-22,1862.93
2017-06-23,2017-06-23,1874.28
2017-06-26,2017-06-26,1876.34
2017-06-27,2017-06-27,1858.25
2017-06-28,2017-06-28,1890.21
2017-06-29,2017-06-29,1876.99
2017-06-30,2017-06-30,1870.52
2017-07-03,2017-07-03,1843.13
2017-07-05,2017-07-05,1866.01
2017-07-06,2017-07-06,1872.3
2017-07-07,2017-07-07,1918.5
