DATE,DATE,CLOSE
2016-11-01,2016-11-01,64.13
2016-11-02,2016-11-02,64.02
2016-11-03,2016-11-03,64.12
2016-11-04,2016-11-04,64.03
2016-11-07,2016-11-07,65.18
2016-11-08,2016-11-08,65.68
2016-11-09,2016-11-09,62.15
2016-11-10,2016-11-10,60.71
2016-11-11,2016-11-11,60.63
2016-11-14,2016-11-14,60.56
2016-11-15,2016-11-15,61.0
2016-11-16,2016-11-16,62.77
2016-11-17,2016-11-17,64.89
2016-11-18,2016-11-18,65.16
2016-11-21,2016-11-21,65.68
2016-11-22,2016-11-22,65.62
2016-11-23,2016-11-23,65.9
2016-11-25,2016-11-25,65.86
2016-11-28,2016-11-28,65.94
2016-11-29,2016-11-29,66.89
2016-11-30,2016-11-30,64.74
2016-12-01,2016-12-01,64.19
2016-12-02,2016-12-02,63.51
2016-12-05,2016-12-05,64.04
2016-12-06,2016-12-06,64.1
2016-12-07,2016-12-07,65.48
2016-12-08,2016-12-08,65.61
2016-12-09,2016-12-09,65.76
2016-12-12,2016-12-12,65.16
2016-12-13,2016-12-13,65.31
2016-12-14,2016-12-14,64.93
2016-12-15,2016-12-15,65.33
2016-12-16,2016-12-16,65.48
2016-12-19,2016-12-19,65.89
2016-12-20,2016-12-20,66.34
2016-12-21,2016-12-21,65.59
2016-12-22,2016-12-22,65.59
2016-12-23,2016-12-23,66.08
2016-12-27,2016-12-27,66.29
2016-12-28,2016-12-28,66.52
2016-12-29,2016-12-29,66.85
2016-12-30,2016-12-30,66.3
2017-01-03,2017-01-03,65.93
2017-01-04,2017-01-04,66.37
2017-01-05,2017-01-05,66.03
2017-01-06,2017-01-06,66.3
2017-01-09,2017-01-09,66.15
2017-01-10,2017-01-10,66.02
2017-01-11,2017-01-11,66.11
2017-01-12,2017-01-12,66.21
2017-01-13,2017-01-13,66.22
2017-01-17,2017-01-17,66.2
2017-01-18,2017-01-18,66.11
2017-01-19,2017-01-19,65.74
2017-01-20,2017-01-20,65.86
2017-01-23,2017-01-23,65.86
2017-01-24,2017-01-24,67.01
2017-01-25,2017-01-25,67.58
2017-01-26,2017-01-26,67.39
2017-01-27,2017-01-27,67.24
2017-01-30,2017-01-30,66.41
2017-01-31,2017-01-31,66.53
2017-02-01,2017-02-01,65.87
2017-02-02,2017-02-02,67.98
2017-02-03,2017-02-03,68.56
2017-02-06,2017-02-06,68.07
2017-02-07,2017-02-07,68.49
2017-02-08,2017-02-08,68.18
2017-02-09,2017-02-09,67.18
2017-02-10,2017-02-10,67.32
2017-02-13,2017-02-13,67.88
2017-02-14,2017-02-14,67.56
2017-02-15,2017-02-15,68.16
2017-02-16,2017-02-16,68.62
2017-02-17,2017-02-17,68.58
2017-02-21,2017-02-21,69.14
2017-02-22,2017-02-22,68.86
2017-02-23,2017-02-23,68.97
2017-02-24,2017-02-24,70.36
2017-02-27,2017-02-27,69.82
2017-02-28,2017-02-28,69.33
2017-03-01,2017-03-01,70.6
2017-03-02,2017-03-02,69.95
2017-03-03,2017-03-03,69.63
2017-03-06,2017-03-06,69.07
2017-03-07,2017-03-07,68.63
2017-03-08,2017-03-08,68.3
2017-03-09,2017-03-09,68.62
2017-03-10,2017-03-10,68.5
2017-03-13,2017-03-13,68.74
2017-03-14,2017-03-14,68.77
2017-03-15,2017-03-15,68.81
2017-03-16,2017-03-16,69.29
2017-03-17,2017-03-17,69.28
2017-03-20,2017-03-20,68.48
2017-03-21,2017-03-21,67.74
2017-03-22,2017-03-22,68.36
2017-03-23,2017-03-23,68.01
2017-03-24,2017-03-24,67.76
2017-03-27,2017-03-27,67.55
2017-03-28,2017-03-28,67.84
2017-03-29,2017-03-29,67.54
2017-03-30,2017-03-30,67.9
2017-03-31,2017-03-31,67.95
2017-04-03,2017-04-03,67.64
2017-04-04,2017-04-04,66.94
2017-04-05,2017-04-05,66.89
2017-04-06,2017-04-06,66.95
2017-04-07,2017-04-07,66.66
2017-04-10,2017-04-10,66.9
2017-04-11,2017-04-11,67.79
2017-04-12,2017-04-12,67.67
2017-04-13,2017-04-13,67.03
2017-04-17,2017-04-17,67.84
2017-04-18,2017-04-18,67.94
2017-04-19,2017-04-19,68.23
2017-04-20,2017-04-20,68.47
2017-04-21,2017-04-21,68.46
2017-04-24,2017-04-24,69.37
2017-04-25,2017-04-25,69.72
2017-04-26,2017-04-26,69.72
2017-04-27,2017-04-27,70.19
2017-04-28,2017-04-28,69.94
2017-05-01,2017-05-01,69.9
2017-05-02,2017-05-02,69.96
2017-05-03,2017-05-03,69.37
2017-05-04,2017-05-04,69.17
2017-05-05,2017-05-05,68.91
2017-05-08,2017-05-08,68.38
2017-05-09,2017-05-09,68.36
2017-05-10,2017-05-10,70.76
2017-05-11,2017-05-11,70.8
2017-05-12,2017-05-12,71.07
2017-05-15,2017-05-15,72.04
2017-05-16,2017-05-16,73.05
2017-05-17,2017-05-17,72.5
2017-05-18,2017-05-18,72.33
2017-05-19,2017-05-19,73.35
2017-05-22,2017-05-22,74.14
2017-05-23,2017-05-23,74.11
2017-05-24,2017-05-24,74.88
2017-05-25,2017-05-25,75.78
2017-05-26,2017-05-26,75.16
2017-05-30,2017-05-30,75.24
2017-05-31,2017-05-31,75.89
2017-06-01,2017-06-01,77.39
2017-06-02,2017-06-02,77.65
2017-06-05,2017-06-05,76.88
2017-06-06,2017-06-06,75.85
2017-06-07,2017-06-07,76.08
2017-06-08,2017-06-08,74.74
2017-06-09,2017-06-09,74.24
2017-06-12,2017-06-12,74.5
2017-06-13,2017-06-13,75.19
2017-06-14,2017-06-14,75.16
2017-06-15,2017-06-15,75.7
2017-06-16,2017-06-16,75.36
2017-06-19,2017-06-19,76.05
2017-06-20,2017-06-20,75.65
2017-06-21,2017-06-21,75.92
2017-06-22,2017-06-22,76.21
2017-06-23,2017-06-23,76.44
2017-06-26,2017-06-26,76.53
2017-06-27,2017-06-27,75.58
2017-06-28,2017-06-28,76.02
2017-06-29,2017-06-29,75.08
2017-06-30,2017-06-30,75.56
2017-07-03,2017-07-03,75.21
2017-07-05,2017-07-05,75.62
2017-07-06,2017-07-06,74.49
2017-07-07,2017-07-07,75.23
2017-07-10,2017-07-10,74.77
2017-07-11,2017-07-11,74.52
2017-07-12,2017-07-12,75.32
2017-07-13,2017-07-13,74.82
2017-07-14,2017-07-14,75.21
2017-07-17,2017-07-17,74.8
2017-07-18,2017-07-18,74.61
2017-07-19,2017-07-19,75.53
2017-07-20,2017-07-20,75.25
2017-07-21,2017-07-21,75.26
2017-07-24,2017-07-24,75.99
2017-07-25,2017-07-25,76.66
2017-07-26,2017-07-26,76.08
2017-07-27,2017-07-27,75.5
2017-07-28,2017-07-28,75.46
2017-07-31,2017-07-31,75.86
2017-08-01,2017-08-01,76.48
2017-08-02,2017-08-02,75.71
2017-08-03,2017-08-03,76.34
2017-08-04,2017-08-04,75.66
2017-08-07,2017-08-07,75.6
2017-08-08,2017-08-08,75.06
2017-08-09,2017-08-09,74.65
2017-08-10,2017-08-10,72.28
2017-08-11,2017-08-11,74.27
2017-08-14,2017-08-14,75.73
2017-08-15,2017-08-15,76.08
2017-08-16,2017-08-16,77.09
2017-08-17,2017-08-17,76.46
2017-08-18,2017-08-18,76.3
2017-08-21,2017-08-21,76.4
2017-08-22,2017-08-22,76.89
2017-08-23,2017-08-23,76.96
2017-08-24,2017-08-24,76.59
2017-08-25,2017-08-25,76.87
2017-08-28,2017-08-28,76.91
2017-08-29,2017-08-29,76.78
2017-08-30,2017-08-30,76.76
2017-08-31,2017-08-31,78.13
2017-09-01,2017-09-01,78.01
2017-09-05,2017-09-05,78.3
2017-09-06,2017-09-06,78.54
2017-09-07,2017-09-07,79.07
2017-09-08,2017-09-08,79.08
2017-09-11,2017-09-11,80.16
2017-09-12,2017-09-12,80.48
2017-09-13,2017-09-13,79.55
2017-09-14,2017-09-14,79.3
2017-09-15,2017-09-15,79.16
2017-09-18,2017-09-18,78.82
2017-09-19,2017-09-19,79.11
2017-09-20,2017-09-20,79.69
2017-09-21,2017-09-21,79.87
2017-09-22,2017-09-22,80.93
2017-09-25,2017-09-25,81.56
2017-09-26,2017-09-26,81.34
2017-09-27,2017-09-27,81.18
2017-09-28,2017-09-28,80.62
2017-09-29,2017-09-29,80.82
2017-10-02,2017-10-02,81.1
2017-10-03,2017-10-03,81.71
2017-10-04,2017-10-04,81.71
2017-10-05,2017-10-05,81.69
2017-10-06,2017-10-06,81.68
2017-10-09,2017-10-09,82.11
2017-10-10,2017-10-10,81.95
2017-10-11,2017-10-11,82.0
2017-10-12,2017-10-12,82.21
2017-10-13,2017-10-13,82.59
2017-10-16,2017-10-16,83.1
2017-10-17,2017-10-17,82.99
2017-10-18,2017-10-18,83.61
2017-10-19,2017-10-19,83.67
2017-10-20,2017-10-20,84.36
2017-10-23,2017-10-23,84.33
2017-10-24,2017-10-24,84.38
2017-10-25,2017-10-25,84.26
2017-10-26,2017-10-26,85.08
2017-10-27,2017-10-27,85.95
2017-10-30,2017-10-30,85.64
2017-10-31,2017-10-31,85.92
2017-11-01,2017-11-01,86.42
2017-11-02,2017-11-02,86.26
2017-11-03,2017-11-03,86.84
2017-11-06,2017-11-06,87.16
2017-11-07,2017-11-07,87.37
2017-11-08,2017-11-08,90.48
2017-11-09,2017-11-09,87.83
2017-11-10,2017-11-10,88.45
2017-11-13,2017-11-13,87.58
2017-11-14,2017-11-14,89.71
2017-11-15,2017-11-15,88.72
2017-11-16,2017-11-16,88.66
2017-11-17,2017-11-17,89.25
2017-11-20,2017-11-20,89.82
2017-11-21,2017-11-21,90.7
2017-11-22,2017-11-22,88.75
2017-11-24,2017-11-24,89.34
2017-11-27,2017-11-27,89.04
2017-11-28,2017-11-28,90.21
2017-11-29,2017-11-29,89.12
2017-11-30,2017-11-30,90.26
2017-12-01,2017-12-01,90.13
2017-12-04,2017-12-04,90.17
2017-12-05,2017-12-05,88.56
2017-12-06,2017-12-06,88.65
2017-12-07,2017-12-07,89.27
2017-12-08,2017-12-08,89.53
2017-12-11,2017-12-11,89.8
2017-12-12,2017-12-12,89.38
2017-12-13,2017-12-13,89.48
2017-12-14,2017-12-14,88.84
2017-12-15,2017-12-15,90.03
2017-12-18,2017-12-18,90.92
2017-12-19,2017-12-19,91.16
2017-12-20,2017-12-20,91.16
2017-12-21,2017-12-21,91.61
2017-12-22,2017-12-22,90.95
2017-12-26,2017-12-26,90.86
2017-12-27,2017-12-27,90.83
2017-12-28,2017-12-28,90.88
2017-12-29,2017-12-29,90.58
2018-01-02,2018-01-02,90.8
2018-01-03,2018-01-03,90.72
2018-01-04,2018-01-04,91.44
2018-01-05,2018-01-05,92.56
2018-01-08,2018-01-08,93.13
2018-01-09,2018-01-09,93.31
2018-01-10,2018-01-10,92.98
2018-01-11,2018-01-11,93.45
2018-01-12,2018-01-12,94.04
2018-01-16,2018-01-16,94.07
2018-01-17,2018-01-17,95.18
2018-01-18,2018-01-18,95.13
2018-01-19,2018-01-19,95.93
2018-01-22,2018-01-22,96.86
2018-01-23,2018-01-23,96.65
2018-01-24,2018-01-24,96.18
2018-01-25,2018-01-25,96.38
2018-01-26,2018-01-26,97.43
2018-01-29,2018-01-29,96.82
2018-01-30,2018-01-30,96.42
2018-01-31,2018-01-31,96.41
2018-02-01,2018-02-01,96.18
2018-02-02,2018-02-02,94.77
2018-02-05,2018-02-05,90.62
2018-02-06,2018-02-06,90.87
2018-02-07,2018-02-07,91.64
2018-02-08,2018-02-08,90.74
2018-02-09,2018-02-09,92.19
2018-02-12,2018-02-12,93.88
2018-02-13,2018-02-13,95.49
2018-02-14,2018-02-14,97.34
2018-02-15,2018-02-15,99.0
2018-02-16,2018-02-16,98.78
2018-02-20,2018-02-20,98.59
2018-02-21,2018-02-21,99.14
2018-02-22,2018-02-22,99.85
2018-02-23,2018-02-23,101.38
2018-02-26,2018-02-26,100.97
2018-02-27,2018-02-27,100.81
2018-02-28,2018-02-28,100.38
2018-03-01,2018-03-01,99.49
2018-03-02,2018-03-02,102.34
2018-03-05,2018-03-05,103.32
2018-03-06,2018-03-06,105.55
2018-03-07,2018-03-07,106.07
2018-03-08,2018-03-08,106.78
2018-03-09,2018-03-09,108.35
2018-03-12,2018-03-12,108.57
2018-03-13,2018-03-13,108.37
2018-03-14,2018-03-14,107.81
2018-03-15,2018-03-15,107.12
2018-03-16,2018-03-16,107.28
2018-03-19,2018-03-19,106.92
2018-03-20,2018-03-20,108.9
2018-03-21,2018-03-21,108.73
2018-03-22,2018-03-22,106.33
2018-03-23,2018-03-23,104.69
2018-03-26,2018-03-26,108.0
2018-03-27,2018-03-27,107.34
2018-03-28,2018-03-28,107.14
2018-03-29,2018-03-29,109.69
2018-04-02,2018-04-02,107.51
2018-04-03,2018-04-03,107.99
2018-04-04,2018-04-04,108.58
2018-04-05,2018-04-05,109.01
2018-04-06,2018-04-06,106.55
2018-04-09,2018-04-09,106.89
2018-04-10,2018-04-10,108.15
2018-04-11,2018-04-11,107.23
2018-04-12,2018-04-12,107.2
2018-04-13,2018-04-13,107.03
2018-04-16,2018-04-16,109.71
2018-04-17,2018-04-17,112.12
2018-04-18,2018-04-18,111.7
2018-04-19,2018-04-19,110.96
2018-04-20,2018-04-20,109.85
