DATE,DATE,CLOSE
2016-11-01,2016-11-01,35.27
2016-11-02,2016-11-02,34.76
2016-11-03,2016-11-03,34.23
2016-11-04,2016-11-04,34.09
2016-11-07,2016-11-07,35.22
2016-11-08,2016-11-08,35.37
2016-11-09,2016-11-09,34.03
2016-11-10,2016-11-10,35.2
2016-11-11,2016-11-11,34.38
2016-11-14,2016-11-14,34.22
2016-11-15,2016-11-15,34.46
2016-11-16,2016-11-16,34.49
2016-11-17,2016-11-17,35.38
2016-11-18,2016-11-18,35.68
2016-11-21,2016-11-21,36.16
2016-11-22,2016-11-22,35.81
2016-11-23,2016-11-23,35.39
2016-11-25,2016-11-25,35.68
2016-11-28,2016-11-28,35.39
2016-11-29,2016-11-29,34.46
2016-11-30,2016-11-30,35.6
2016-12-01,2016-12-01,36.83
2016-12-02,2016-12-02,36.07
2016-12-05,2016-12-05,37.49
2016-12-06,2016-12-06,39.16
2016-12-07,2016-12-07,41.6
2016-12-08,2016-12-08,41.63
2016-12-09,2016-12-09,41.86
2016-12-12,2016-12-12,41.1
2016-12-13,2016-12-13,40.77
2016-12-14,2016-12-14,39.31
2016-12-15,2016-12-15,39.46
2016-12-16,2016-12-16,39.74
2016-12-19,2016-12-19,39.85
2016-12-20,2016-12-20,40.38
2016-12-21,2016-12-21,40.57
2016-12-22,2016-12-22,39.63
2016-12-23,2016-12-23,39.73
2016-12-27,2016-12-27,40.1
2016-12-28,2016-12-28,39.33
2016-12-29,2016-12-29,39.49
2016-12-30,2016-12-30,39.44
2017-01-03,2017-01-03,40.07
2017-01-04,2017-01-04,40.82
2017-01-05,2017-01-05,40.77
2017-01-06,2017-01-06,41.1
2017-01-09,2017-01-09,40.82
2017-01-10,2017-01-10,40.77
2017-01-11,2017-01-11,40.12
2017-01-12,2017-01-12,39.99
2017-01-13,2017-01-13,40.3
2017-01-17,2017-01-17,39.79
2017-01-18,2017-01-18,39.78
2017-01-19,2017-01-19,39.82
2017-01-20,2017-01-20,39.86
2017-01-23,2017-01-23,39.5
2017-01-24,2017-01-24,40.43
2017-01-25,2017-01-25,41.3
2017-01-26,2017-01-26,40.78
2017-01-27,2017-01-27,40.4
2017-01-30,2017-01-30,40.56
2017-01-31,2017-01-31,40.83
2017-02-01,2017-02-01,41.03
2017-02-02,2017-02-02,40.47
2017-02-03,2017-02-03,40.6
2017-02-06,2017-02-06,40.57
2017-02-07,2017-02-07,40.1
2017-02-08,2017-02-08,40.46
2017-02-09,2017-02-09,40.65
2017-02-10,2017-02-10,41.63
2017-02-13,2017-02-13,41.67
2017-02-14,2017-02-14,41.5
2017-02-15,2017-02-15,41.91
2017-02-16,2017-02-16,41.38
2017-02-17,2017-02-17,42.38
2017-02-21,2017-02-21,42.63
2017-02-22,2017-02-22,42.77
2017-02-23,2017-02-23,42.47
2017-02-24,2017-02-24,41.53
2017-02-27,2017-02-27,42.45
2017-02-28,2017-02-28,42.19
2017-03-01,2017-03-01,42.99
2017-03-02,2017-03-02,43.14
2017-03-03,2017-03-03,42.96
2017-03-06,2017-03-06,41.9
2017-03-07,2017-03-07,41.69
2017-03-08,2017-03-08,41.94
2017-03-09,2017-03-09,41.56
2017-03-10,2017-03-10,41.79
2017-03-13,2017-03-13,42.61
2017-03-14,2017-03-14,43.02
2017-03-15,2017-03-15,43.95
2017-03-16,2017-03-16,43.65
2017-03-17,2017-03-17,42.76
2017-03-20,2017-03-20,42.57
2017-03-21,2017-03-21,40.84
2017-03-22,2017-03-22,41.48
2017-03-23,2017-03-23,41.21
2017-03-24,2017-03-24,41.28
2017-03-27,2017-03-27,41.2
2017-03-28,2017-03-28,41.75
2017-03-29,2017-03-29,41.93
2017-03-30,2017-03-30,41.96
2017-03-31,2017-03-31,41.79
2017-04-03,2017-04-03,40.34
2017-04-04,2017-04-04,38.69
2017-04-05,2017-04-05,38.18
2017-04-06,2017-04-06,37.99
2017-04-07,2017-04-07,38.03
2017-04-10,2017-04-10,38.0
2017-04-11,2017-04-11,38.25
2017-04-12,2017-04-12,38.59
2017-04-13,2017-04-13,38.01
2017-04-17,2017-04-17,38.74
2017-04-18,2017-04-18,38.85
2017-04-19,2017-04-19,39.65
2017-04-20,2017-04-20,40.1
2017-04-21,2017-04-21,39.51
2017-04-24,2017-04-24,40.45
2017-04-25,2017-04-25,40.84
2017-04-26,2017-04-26,41.06
2017-04-27,2017-04-27,42.14
2017-04-28,2017-04-28,42.28
2017-05-01,2017-05-01,42.79
2017-05-02,2017-05-02,40.88
2017-05-03,2017-05-03,41.0
2017-05-04,2017-05-04,41.33
2017-05-05,2017-05-05,41.73
2017-05-08,2017-05-08,41.61
2017-05-09,2017-05-09,41.9
2017-05-10,2017-05-10,42.14
2017-05-11,2017-05-11,41.83
2017-05-12,2017-05-12,41.65
2017-05-15,2017-05-15,42.02
2017-05-16,2017-05-16,42.21
2017-05-17,2017-05-17,39.94
2017-05-18,2017-05-18,40.13
2017-05-19,2017-05-19,40.4
2017-05-22,2017-05-22,41.37
2017-05-23,2017-05-23,40.82
2017-05-24,2017-05-24,41.05
2017-05-25,2017-05-25,40.43
2017-05-26,2017-05-26,40.99
2017-05-30,2017-05-30,42.19
2017-05-31,2017-05-31,42.51
2017-06-01,2017-06-01,44.36
2017-06-02,2017-06-02,44.27
2017-06-05,2017-06-05,44.31
2017-06-06,2017-06-06,43.92
2017-06-07,2017-06-07,43.72
2017-06-08,2017-06-08,42.43
2017-06-09,2017-06-09,42.96
2017-06-12,2017-06-12,43.66
2017-06-13,2017-06-13,43.93
2017-06-14,2017-06-14,43.24
2017-06-15,2017-06-15,43.32
2017-06-16,2017-06-16,40.99
2017-06-19,2017-06-19,41.33
2017-06-20,2017-06-20,40.73
2017-06-21,2017-06-21,41.03
2017-06-22,2017-06-22,40.86
2017-06-23,2017-06-23,41.2
2017-06-26,2017-06-26,41.88
2017-06-27,2017-06-27,41.07
2017-06-28,2017-06-28,41.17
2017-06-29,2017-06-29,41.24
2017-06-30,2017-06-30,42.36
2017-07-03,2017-07-03,43.18
2017-07-05,2017-07-05,43.18
2017-07-06,2017-07-06,43.0
2017-07-07,2017-07-07,44.09
2017-07-10,2017-07-10,45.08
2017-07-11,2017-07-11,45.53
2017-07-12,2017-07-12,45.61
2017-07-13,2017-07-13,46.2
2017-07-14,2017-07-14,46.26
2017-07-17,2017-07-17,46.22
2017-07-18,2017-07-18,46.19
2017-07-19,2017-07-19,46.76
2017-07-20,2017-07-20,46.29
2017-07-21,2017-07-21,44.92
2017-07-24,2017-07-24,44.72
2017-07-25,2017-07-25,45.84
2017-07-26,2017-07-26,45.86
2017-07-27,2017-07-27,47.02
2017-07-28,2017-07-28,46.91
2017-07-31,2017-07-31,46.74
2017-08-01,2017-08-01,45.83
2017-08-02,2017-08-02,46.15
2017-08-03,2017-08-03,45.88
2017-08-04,2017-08-04,46.68
2017-08-07,2017-08-07,46.5
2017-08-08,2017-08-08,46.97
2017-08-09,2017-08-09,46.53
2017-08-10,2017-08-10,44.9
2017-08-11,2017-08-11,44.66
2017-08-14,2017-08-14,45.17
2017-08-15,2017-08-15,45.25
2017-08-16,2017-08-16,45.36
2017-08-17,2017-08-17,44.61
2017-08-18,2017-08-18,44.34
2017-08-21,2017-08-21,44.62
2017-08-22,2017-08-22,44.93
2017-08-23,2017-08-23,44.71
2017-08-24,2017-08-24,44.35
2017-08-25,2017-08-25,44.16
2017-08-28,2017-08-28,44.25
2017-08-29,2017-08-29,44.37
2017-08-30,2017-08-30,44.78
2017-08-31,2017-08-31,46.41
2017-09-01,2017-09-01,46.66
2017-09-05,2017-09-05,45.96
2017-09-06,2017-09-06,46.42
2017-09-07,2017-09-07,46.08
2017-09-08,2017-09-08,46.2
2017-09-11,2017-09-11,46.99
2017-09-12,2017-09-12,47.55
2017-09-13,2017-09-13,47.64
2017-09-14,2017-09-14,48.27
2017-09-15,2017-09-15,48.76
2017-09-18,2017-09-18,49.17
2017-09-19,2017-09-19,49.09
2017-09-20,2017-09-20,49.46
2017-09-21,2017-09-21,49.59
2017-09-22,2017-09-22,49.96
2017-09-25,2017-09-25,50.5
2017-09-26,2017-09-26,50.85
2017-09-27,2017-09-27,50.46
2017-09-28,2017-09-28,50.29
2017-09-29,2017-09-29,51.23
2017-10-02,2017-10-02,51.85
2017-10-03,2017-10-03,51.81
2017-10-04,2017-10-04,52.45
2017-10-05,2017-10-05,52.06
2017-10-06,2017-10-06,51.87
2017-10-09,2017-10-09,52.0
2017-10-10,2017-10-10,51.99
2017-10-11,2017-10-11,52.01
2017-10-12,2017-10-12,50.92
2017-10-13,2017-10-13,51.13
2017-10-16,2017-10-16,52.17
2017-10-17,2017-10-17,52.02
2017-10-18,2017-10-18,52.39
2017-10-19,2017-10-19,52.05
2017-10-20,2017-10-20,52.2
2017-10-23,2017-10-23,52.13
2017-10-24,2017-10-24,52.75
2017-10-25,2017-10-25,51.66
2017-10-26,2017-10-26,53.37
2017-10-27,2017-10-27,52.87
2017-10-30,2017-10-30,52.39
2017-10-31,2017-10-31,52.72
2017-11-01,2017-11-01,52.7
2017-11-02,2017-11-02,52.9
2017-11-03,2017-11-03,52.97
2017-11-06,2017-11-06,52.64
2017-11-07,2017-11-07,52.4
2017-11-08,2017-11-08,52.19
2017-11-09,2017-11-09,52.1
2017-11-10,2017-11-10,52.07
2017-11-13,2017-11-13,52.03
2017-11-14,2017-11-14,52.07
2017-11-15,2017-11-15,51.68
2017-11-16,2017-11-16,52.04
2017-11-17,2017-11-17,51.94
2017-11-20,2017-11-20,52.35
2017-11-21,2017-11-21,52.65
2017-11-22,2017-11-22,52.89
2017-11-24,2017-11-24,52.88
2017-11-27,2017-11-27,53.05
2017-11-28,2017-11-28,54.29
2017-11-29,2017-11-29,54.86
2017-11-30,2017-11-30,55.68
2017-12-01,2017-12-01,55.01
2017-12-04,2017-12-04,54.24
2017-12-05,2017-12-05,54.38
2017-12-06,2017-12-06,53.05
2017-12-07,2017-12-07,53.68
2017-12-08,2017-12-08,53.76
2017-12-11,2017-12-11,53.56
2017-12-12,2017-12-12,53.38
2017-12-13,2017-12-13,52.32
2017-12-14,2017-12-14,51.54
2017-12-15,2017-12-15,51.53
2017-12-18,2017-12-18,52.19
2017-12-19,2017-12-19,52.2
2017-12-20,2017-12-20,53.06
2017-12-21,2017-12-21,52.0
2017-12-22,2017-12-22,51.71
2017-12-26,2017-12-26,51.49
2017-12-27,2017-12-27,51.57
2017-12-28,2017-12-28,52.1
2017-12-29,2017-12-29,51.09
2018-01-02,2018-01-02,51.78
2018-01-03,2018-01-03,52.04
2018-01-04,2018-01-04,53.73
2018-01-05,2018-01-05,55.29
2018-01-08,2018-01-08,55.32
2018-01-09,2018-01-09,55.74
2018-01-10,2018-01-10,54.51
2018-01-11,2018-01-11,55.91
2018-01-12,2018-01-12,57.23
2018-01-16,2018-01-16,56.32
2018-01-17,2018-01-17,57.91
2018-01-18,2018-01-18,57.11
2018-01-19,2018-01-19,56.94
2018-01-22,2018-01-22,56.48
2018-01-23,2018-01-23,56.11
2018-01-24,2018-01-24,56.74
2018-01-25,2018-01-25,56.26
2018-01-26,2018-01-26,57.16
2018-01-29,2018-01-29,56.82
2018-01-30,2018-01-30,56.72
2018-01-31,2018-01-31,56.26
2018-02-01,2018-02-01,56.39
2018-02-02,2018-02-02,54.47
2018-02-05,2018-02-05,52.35
2018-02-06,2018-02-06,54.16
2018-02-07,2018-02-07,55.0
2018-02-08,2018-02-08,51.94
2018-02-09,2018-02-09,52.61
2018-02-12,2018-02-12,52.97
2018-02-13,2018-02-13,52.31
2018-02-14,2018-02-14,53.49
2018-02-15,2018-02-15,52.67
2018-02-16,2018-02-16,52.22
2018-02-20,2018-02-20,52.26
2018-02-21,2018-02-21,52.09
2018-02-22,2018-02-22,52.24
2018-02-23,2018-02-23,52.32
2018-02-26,2018-02-26,51.91
2018-02-27,2018-02-27,50.09
2018-02-28,2018-02-28,49.08
2018-03-01,2018-03-01,48.32
2018-03-02,2018-03-02,48.01
2018-03-05,2018-03-05,48.72
2018-03-06,2018-03-06,48.87
2018-03-07,2018-03-07,48.85
2018-03-08,2018-03-08,49.85
2018-03-09,2018-03-09,51.56
2018-03-12,2018-03-12,50.77
2018-03-13,2018-03-13,50.83
