DATE,DATE,CLOSE
2016-11-01,2016-11-01,48.94
2016-11-02,2016-11-02,48.54
2016-11-03,2016-11-03,48.19
2016-11-04,2016-11-04,48.17
2016-11-07,2016-11-07,49.82
2016-11-08,2016-11-08,49.91
2016-11-09,2016-11-09,51.59
2016-11-10,2016-11-10,53.61
2016-11-11,2016-11-11,52.83
2016-11-14,2016-11-14,54.68
2016-11-15,2016-11-15,55.45
2016-11-16,2016-11-16,54.63
2016-11-17,2016-11-17,55.45
2016-11-18,2016-11-18,55.46
2016-11-21,2016-11-21,55.54
2016-11-22,2016-11-22,56.1
2016-11-23,2016-11-23,56.69
2016-11-25,2016-11-25,56.78
2016-11-28,2016-11-28,55.47
2016-11-29,2016-11-29,55.52
2016-11-30,2016-11-30,56.39
2016-12-01,2016-12-01,57.27
2016-12-02,2016-12-02,56.02
2016-12-05,2016-12-05,57.28
2016-12-06,2016-12-06,57.92
2016-12-07,2016-12-07,59.06
2016-12-08,2016-12-08,60.15
2016-12-09,2016-12-09,60.04
2016-12-12,2016-12-12,59.55
2016-12-13,2016-12-13,59.79
2016-12-14,2016-12-14,59.45
2016-12-15,2016-12-15,60.23
2016-12-16,2016-12-16,59.75
2016-12-19,2016-12-19,59.66
2016-12-20,2016-12-20,60.8
2016-12-21,2016-12-21,60.75
2016-12-22,2016-12-22,60.49
2016-12-23,2016-12-23,60.99
2016-12-27,2016-12-27,61.09
2016-12-28,2016-12-28,60.04
2016-12-29,2016-12-29,59.38
2016-12-30,2016-12-30,59.43
2017-01-03,2017-01-03,60.59
2017-01-04,2017-01-04,61.41
2017-01-05,2017-01-05,60.34
2017-01-06,2017-01-06,60.55
2017-01-09,2017-01-09,60.22
2017-01-10,2017-01-10,60.23
2017-01-11,2017-01-11,59.96
2017-01-12,2017-01-12,59.23
2017-01-13,2017-01-13,59.63
2017-01-17,2017-01-17,58.38
2017-01-18,2017-01-18,57.39
2017-01-19,2017-01-19,56.66
2017-01-20,2017-01-20,56.11
2017-01-23,2017-01-23,55.68
2017-01-24,2017-01-24,56.74
2017-01-25,2017-01-25,57.69
2017-01-26,2017-01-26,57.36
2017-01-27,2017-01-27,57.11
2017-01-30,2017-01-30,56.61
2017-01-31,2017-01-31,55.83
2017-02-01,2017-02-01,56.05
2017-02-02,2017-02-02,55.98
2017-02-03,2017-02-03,57.76
2017-02-06,2017-02-06,57.64
2017-02-07,2017-02-07,57.19
2017-02-08,2017-02-08,56.32
2017-02-09,2017-02-09,57.26
2017-02-10,2017-02-10,57.63
2017-02-13,2017-02-13,58.95
2017-02-14,2017-02-14,59.83
2017-02-15,2017-02-15,60.5
2017-02-16,2017-02-16,60.38
2017-02-17,2017-02-17,60.17
2017-02-21,2017-02-21,60.55
2017-02-22,2017-02-22,60.62
2017-02-23,2017-02-23,60.62
2017-02-24,2017-02-24,59.56
2017-02-27,2017-02-27,60.02
2017-02-28,2017-02-28,59.81
2017-03-01,2017-03-01,61.54
2017-03-02,2017-03-02,60.63
2017-03-03,2017-03-03,61.0
2017-03-06,2017-03-06,60.28
2017-03-07,2017-03-07,60.5
2017-03-08,2017-03-08,61.11
2017-03-09,2017-03-09,61.55
2017-03-10,2017-03-10,61.49
2017-03-13,2017-03-13,61.53
2017-03-14,2017-03-14,61.44
2017-03-15,2017-03-15,60.84
2017-03-16,2017-03-16,61.15
2017-03-17,2017-03-17,60.37
2017-03-20,2017-03-20,59.59
2017-03-21,2017-03-21,58.04
2017-03-22,2017-03-22,57.77
2017-03-23,2017-03-23,58.05
2017-03-24,2017-03-24,58.07
2017-03-27,2017-03-27,58.33
2017-03-28,2017-03-28,59.42
2017-03-29,2017-03-29,59.39
2017-03-30,2017-03-30,60.51
2017-03-31,2017-03-31,59.82
2017-04-03,2017-04-03,59.68
2017-04-04,2017-04-04,59.68
2017-04-05,2017-04-05,59.59
2017-04-06,2017-04-06,59.89
2017-04-07,2017-04-07,59.43
2017-04-10,2017-04-10,59.28
2017-04-11,2017-04-11,59.03
2017-04-12,2017-04-12,58.51
2017-04-13,2017-04-13,58.04
2017-04-17,2017-04-17,58.99
2017-04-18,2017-04-18,58.42
2017-04-19,2017-04-19,57.73
2017-04-20,2017-04-20,58.41
2017-04-21,2017-04-21,57.72
2017-04-24,2017-04-24,59.44
2017-04-25,2017-04-25,60.21
2017-04-26,2017-04-26,60.1
2017-04-27,2017-04-27,59.39
2017-04-28,2017-04-28,59.12
2017-05-01,2017-05-01,59.46
2017-05-02,2017-05-02,59.71
2017-05-03,2017-05-03,60.24
2017-05-04,2017-05-04,60.21
2017-05-05,2017-05-05,60.24
2017-05-08,2017-05-08,60.5
2017-05-09,2017-05-09,60.23
2017-05-10,2017-05-10,60.37
2017-05-11,2017-05-11,60.7
2017-05-12,2017-05-12,61.07
2017-05-15,2017-05-15,61.42
2017-05-16,2017-05-16,62.49
2017-05-17,2017-05-17,59.98
2017-05-18,2017-05-18,60.08
2017-05-19,2017-05-19,61.1
2017-05-22,2017-05-22,61.06
2017-05-23,2017-05-23,61.71
2017-05-24,2017-05-24,62.27
2017-05-25,2017-05-25,61.95
2017-05-26,2017-05-26,62.07
2017-05-30,2017-05-30,61.64
2017-05-31,2017-05-31,60.54
2017-06-01,2017-06-01,61.08
2017-06-02,2017-06-02,61.11
2017-06-05,2017-06-05,61.25
2017-06-06,2017-06-06,61.01
2017-06-07,2017-06-07,61.88
2017-06-08,2017-06-08,63.21
2017-06-09,2017-06-09,64.45
2017-06-12,2017-06-12,64.32
2017-06-13,2017-06-13,64.69
2017-06-14,2017-06-14,64.72
2017-06-15,2017-06-15,64.1
2017-06-16,2017-06-16,63.89
2017-06-19,2017-06-19,64.48
2017-06-20,2017-06-20,63.91
2017-06-21,2017-06-21,63.83
2017-06-22,2017-06-22,63.62
2017-06-23,2017-06-23,63.41
2017-06-26,2017-06-26,63.78
