DATE,DATE,CLOSE
2016-11-01,2016-11-01,66.89
2016-11-02,2016-11-02,68.66
2016-11-03,2016-11-03,65.38
2016-11-04,2016-11-04,65.17
2016-11-07,2016-11-07,66.0
2016-11-08,2016-11-08,65.35
2016-11-09,2016-11-09,69.25
2016-11-10,2016-11-10,71.72
2016-11-11,2016-11-11,71.37
2016-11-14,2016-11-14,72.35
2016-11-15,2016-11-15,71.39
2016-11-16,2016-11-16,70.83
2016-11-17,2016-11-17,71.64
2016-11-18,2016-11-18,70.77
2016-11-21,2016-11-21,70.25
2016-11-22,2016-11-22,70.13
2016-11-23,2016-11-23,70.55
2016-11-25,2016-11-25,71.11
2016-11-28,2016-11-28,71.57
2016-11-29,2016-11-29,70.99
2016-11-30,2016-11-30,71.01
2016-12-01,2016-12-01,70.93
2016-12-02,2016-12-02,70.83
2016-12-05,2016-12-05,72.1
2016-12-06,2016-12-06,71.42
2016-12-07,2016-12-07,70.5
2016-12-08,2016-12-08,71.11
2016-12-09,2016-12-09,73.04
2016-12-12,2016-12-12,73.48
2016-12-13,2016-12-13,73.75
2016-12-14,2016-12-14,72.47
2016-12-15,2016-12-15,73.0
2016-12-16,2016-12-16,73.76
2016-12-19,2016-12-19,73.7
2016-12-20,2016-12-20,73.35
2016-12-21,2016-12-21,72.62
2016-12-22,2016-12-22,72.11
2016-12-23,2016-12-23,72.88
2016-12-27,2016-12-27,73.07
2016-12-28,2016-12-28,72.55
2016-12-29,2016-12-29,72.35
2016-12-30,2016-12-30,71.97
2017-01-03,2017-01-03,74.48
2017-01-04,2017-01-04,75.63
2017-01-05,2017-01-05,74.5
2017-01-06,2017-01-06,75.33
2017-01-09,2017-01-09,74.76
2017-01-10,2017-01-10,75.22
2017-01-11,2017-01-11,73.72
2017-01-12,2017-01-12,74.19
2017-01-13,2017-01-13,75.0
2017-01-17,2017-01-17,75.18
2017-01-18,2017-01-18,75.8
2017-01-19,2017-01-19,75.55
2017-01-20,2017-01-20,75.03
2017-01-23,2017-01-23,74.72
2017-01-24,2017-01-24,74.65
2017-01-25,2017-01-25,75.87
2017-01-26,2017-01-26,73.09
2017-01-27,2017-01-27,72.47
2017-01-30,2017-01-30,73.19
2017-01-31,2017-01-31,74.96
2017-02-01,2017-02-01,75.35
2017-02-02,2017-02-02,74.44
2017-02-03,2017-02-03,74.87
2017-02-06,2017-02-06,75.97
2017-02-07,2017-02-07,77.76
2017-02-08,2017-02-08,77.81
2017-02-09,2017-02-09,77.45
2017-02-10,2017-02-10,77.4
2017-02-13,2017-02-13,78.07
2017-02-14,2017-02-14,78.88
2017-02-15,2017-02-15,80.42
2017-02-16,2017-02-16,80.24
2017-02-17,2017-02-17,80.71
2017-02-21,2017-02-21,81.34
2017-02-22,2017-02-22,81.08
2017-02-23,2017-02-23,81.73
2017-02-24,2017-02-24,82.14
2017-02-27,2017-02-27,82.49
2017-02-28,2017-02-28,81.37
2017-03-01,2017-03-01,82.05
2017-03-02,2017-03-02,81.79
2017-03-03,2017-03-03,82.85
2017-03-06,2017-03-06,81.7
2017-03-07,2017-03-07,81.21
2017-03-08,2017-03-08,81.2
2017-03-09,2017-03-09,81.94
2017-03-10,2017-03-10,82.04
2017-03-13,2017-03-13,82.55
2017-03-14,2017-03-14,82.6
2017-03-15,2017-03-15,83.8
2017-03-16,2017-03-16,82.83
2017-03-17,2017-03-17,83.11
2017-03-20,2017-03-20,82.37
2017-03-21,2017-03-21,81.45
2017-03-22,2017-03-22,81.64
2017-03-23,2017-03-23,81.1
2017-03-24,2017-03-24,81.23
2017-03-27,2017-03-27,82.25
2017-03-28,2017-03-28,82.2
2017-03-29,2017-03-29,82.05
2017-03-30,2017-03-30,81.67
2017-03-31,2017-03-31,81.55
2017-04-03,2017-04-03,80.96
2017-04-04,2017-04-04,80.42
2017-04-05,2017-04-05,80.53
2017-04-06,2017-04-06,82.71
2017-04-07,2017-04-07,82.35
2017-04-10,2017-04-10,82.41
2017-04-11,2017-04-11,82.3
2017-04-12,2017-04-12,81.71
2017-04-13,2017-04-13,81.43
2017-04-17,2017-04-17,81.83
2017-04-18,2017-04-18,72.39
2017-04-19,2017-04-19,72.52
2017-04-20,2017-04-20,73.31
2017-04-21,2017-04-21,72.5
2017-04-24,2017-04-24,72.48
2017-04-25,2017-04-25,72.36
2017-04-26,2017-04-26,72.31
2017-04-27,2017-04-27,73.14
2017-04-28,2017-04-28,72.59
2017-05-01,2017-05-01,72.19
2017-05-02,2017-05-02,72.99
2017-05-03,2017-05-03,72.54
