DATE,DATE,CLOSE
2016-11-01,2016-11-01,82.24
2016-11-02,2016-11-02,81.11
2016-11-03,2016-11-03,81.27
2016-11-04,2016-11-04,82.31
2016-11-07,2016-11-07,83.75
2016-11-08,2016-11-08,84.68
2016-11-09,2016-11-09,91.2
2016-11-10,2016-11-10,93.45
2016-11-11,2016-11-11,93.01
2016-11-14,2016-11-14,94.17
2016-11-15,2016-11-15,94.44
2016-11-16,2016-11-16,93.35
2016-11-17,2016-11-17,92.78
2016-11-18,2016-11-18,92.34
2016-11-21,2016-11-21,92.9
2016-11-22,2016-11-22,93.62
2016-11-23,2016-11-23,96.18
2016-11-25,2016-11-25,95.81
2016-11-28,2016-11-28,94.9
2016-11-29,2016-11-29,94.04
2016-11-30,2016-11-30,95.56
2016-12-01,2016-12-01,96.24
2016-12-02,2016-12-02,95.14
2016-12-05,2016-12-05,94.45
2016-12-06,2016-12-06,95.22
2016-12-07,2016-12-07,97.33
2016-12-08,2016-12-08,96.27
2016-12-09,2016-12-09,95.53
2016-12-12,2016-12-12,95.08
2016-12-13,2016-12-13,96.02
2016-12-14,2016-12-14,93.74
2016-12-15,2016-12-15,94.53
2016-12-16,2016-12-16,92.58
2016-12-19,2016-12-19,92.71
2016-12-20,2016-12-20,94.34
2016-12-21,2016-12-21,93.82
2016-12-22,2016-12-22,94.12
2016-12-23,2016-12-23,94.32
2016-12-27,2016-12-27,94.55
2016-12-28,2016-12-28,93.15
2016-12-29,2016-12-29,93.29
2016-12-30,2016-12-30,92.74
2017-01-03,2017-01-03,93.99
2017-01-04,2017-01-04,93.57
2017-01-05,2017-01-05,93.0
2017-01-06,2017-01-06,93.04
2017-01-09,2017-01-09,92.37
2017-01-10,2017-01-10,93.83
2017-01-11,2017-01-11,94.65
2017-01-12,2017-01-12,93.99
2017-01-13,2017-01-13,94.48
2017-01-17,2017-01-17,93.57
2017-01-18,2017-01-18,93.33
2017-01-19,2017-01-19,93.38
2017-01-20,2017-01-20,94.58
2017-01-23,2017-01-23,94.46
2017-01-24,2017-01-24,96.24
2017-01-25,2017-01-25,98.15
2017-01-26,2017-01-26,97.22
2017-01-27,2017-01-27,98.99
2017-01-30,2017-01-30,96.79
2017-01-31,2017-01-31,95.66
2017-02-01,2017-02-01,95.11
2017-02-02,2017-02-02,93.77
2017-02-03,2017-02-03,93.28
2017-02-06,2017-02-06,92.87
2017-02-07,2017-02-07,93.31
2017-02-08,2017-02-08,92.91
2017-02-09,2017-02-09,93.96
2017-02-10,2017-02-10,96.31
2017-02-13,2017-02-13,98.5
2017-02-14,2017-02-14,98.09
2017-02-15,2017-02-15,99.02
2017-02-16,2017-02-16,98.26
2017-02-17,2017-02-17,98.85
2017-02-21,2017-02-21,98.1
2017-02-22,2017-02-22,98.2
2017-02-23,2017-02-23,95.55
2017-02-24,2017-02-24,95.48
2017-02-27,2017-02-27,97.44
2017-02-28,2017-02-28,96.66
2017-03-01,2017-03-01,98.58
2017-03-02,2017-03-02,94.36
2017-03-03,2017-03-03,95.12
2017-03-06,2017-03-06,95.66
2017-03-07,2017-03-07,95.93
2017-03-08,2017-03-08,93.23
2017-03-09,2017-03-09,91.39
2017-03-10,2017-03-10,92.31
2017-03-13,2017-03-13,92.64
2017-03-14,2017-03-14,91.86
2017-03-15,2017-03-15,93.36
2017-03-16,2017-03-16,92.85
2017-03-17,2017-03-17,92.91
2017-03-20,2017-03-20,95.4
2017-03-21,2017-03-21,92.43
2017-03-22,2017-03-22,92.43
2017-03-23,2017-03-23,92.23
2017-03-24,2017-03-24,92.15
2017-03-27,2017-03-27,91.51
2017-03-28,2017-03-28,92.95
2017-03-29,2017-03-29,92.86
2017-03-30,2017-03-30,93.22
2017-03-31,2017-03-31,92.76
