DATE,DATE,CLOSE
2016-11-01,2016-11-01,89.94
2016-11-02,2016-11-02,87.9
2016-11-03,2016-11-03,87.67
2016-11-04,2016-11-04,87.81
2016-11-07,2016-11-07,89.04
2016-11-08,2016-11-08,89.8
2016-11-09,2016-11-09,85.73
2016-11-10,2016-11-10,82.9
2016-11-11,2016-11-11,82.25
2016-11-14,2016-11-14,81.99
2016-11-15,2016-11-15,82.79
2016-11-16,2016-11-16,85.09
2016-11-17,2016-11-17,85.11
2016-11-18,2016-11-18,85.0
2016-11-21,2016-11-21,84.55
2016-11-22,2016-11-22,85.42
2016-11-23,2016-11-23,84.16
2016-11-25,2016-11-25,84.77
2016-11-28,2016-11-28,84.35
2016-11-29,2016-11-29,85.23
2016-11-30,2016-11-30,83.46
2016-12-01,2016-12-01,81.53
2016-12-02,2016-12-02,81.88
2016-12-05,2016-12-05,83.26
2016-12-06,2016-12-06,83.44
2016-12-07,2016-12-07,84.74
2016-12-08,2016-12-08,85.0
2016-12-09,2016-12-09,85.57
2016-12-12,2016-12-12,86.85
2016-12-13,2016-12-13,87.96
2016-12-14,2016-12-14,86.21
2016-12-15,2016-12-15,85.89
2016-12-16,2016-12-16,85.7
2016-12-19,2016-12-19,87.26
2016-12-20,2016-12-20,87.57
2016-12-21,2016-12-21,87.13
2016-12-22,2016-12-22,87.13
2016-12-23,2016-12-23,87.24
2016-12-27,2016-12-27,87.53
2016-12-28,2016-12-28,86.77
2016-12-29,2016-12-29,87.01
2016-12-30,2016-12-30,86.77
2017-01-03,2017-01-03,86.8
2017-01-04,2017-01-04,87.32
2017-01-05,2017-01-05,87.24
2017-01-06,2017-01-06,85.5
2017-01-09,2017-01-09,85.73
2017-01-10,2017-01-10,84.36
2017-01-11,2017-01-11,85.2
2017-01-12,2017-01-12,85.18
2017-01-13,2017-01-13,85.68
2017-01-17,2017-01-17,87.36
2017-01-18,2017-01-18,87.2
2017-01-19,2017-01-19,85.8
2017-01-20,2017-01-20,86.82
2017-01-23,2017-01-23,87.06
2017-01-24,2017-01-24,87.66
2017-01-25,2017-01-25,87.18
2017-01-26,2017-01-26,88.01
2017-01-27,2017-01-27,86.85
2017-01-30,2017-01-30,86.76
2017-01-31,2017-01-31,87.83
2017-02-01,2017-02-01,86.65
2017-02-02,2017-02-02,87.77
2017-02-03,2017-02-03,88.74
2017-02-06,2017-02-06,87.04
2017-02-07,2017-02-07,87.42
2017-02-08,2017-02-08,87.66
2017-02-09,2017-02-09,87.78
2017-02-10,2017-02-10,87.56
2017-02-13,2017-02-13,90.22
2017-02-14,2017-02-14,90.25
2017-02-15,2017-02-15,90.04
2017-02-16,2017-02-16,90.5
2017-02-17,2017-02-17,89.23
2017-02-21,2017-02-21,90.0
2017-02-22,2017-02-22,90.58
2017-02-23,2017-02-23,91.26
2017-02-24,2017-02-24,92.59
2017-02-27,2017-02-27,92.57
2017-02-28,2017-02-28,93.53
2017-03-01,2017-03-01,93.01
2017-03-02,2017-03-02,92.69
2017-03-03,2017-03-03,91.75
2017-03-06,2017-03-06,91.96
2017-03-07,2017-03-07,91.5
2017-03-08,2017-03-08,90.61
2017-03-09,2017-03-09,90.51
2017-03-10,2017-03-10,90.28
2017-03-13,2017-03-13,90.6
2017-03-14,2017-03-14,89.65
2017-03-15,2017-03-15,89.92
2017-03-16,2017-03-16,89.62
2017-03-17,2017-03-17,89.8
2017-03-20,2017-03-20,90.89
2017-03-21,2017-03-21,90.7
2017-03-22,2017-03-22,91.72
2017-03-23,2017-03-23,93.0
2017-03-24,2017-03-24,93.68
2017-03-27,2017-03-27,93.96
2017-03-28,2017-03-28,94.58
2017-03-29,2017-03-29,94.54
2017-03-30,2017-03-30,94.62
2017-03-31,2017-03-31,94.45
2017-04-03,2017-04-03,94.23
2017-04-04,2017-04-04,93.83
2017-04-05,2017-04-05,93.69
2017-04-06,2017-04-06,94.38
2017-04-07,2017-04-07,94.5
2017-04-10,2017-04-10,94.98
2017-04-11,2017-04-11,95.82
2017-04-12,2017-04-12,96.45
2017-04-13,2017-04-13,96.0
2017-04-17,2017-04-17,96.3
2017-04-18,2017-04-18,96.79
2017-04-19,2017-04-19,96.52
2017-04-20,2017-04-20,96.04
2017-04-21,2017-04-21,95.53
2017-04-24,2017-04-24,94.71
2017-04-25,2017-04-25,94.27
2017-04-26,2017-04-26,94.5
2017-04-27,2017-04-27,95.02
2017-04-28,2017-04-28,94.6
2017-05-01,2017-05-01,94.69
2017-05-02,2017-05-02,94.35
2017-05-03,2017-05-03,94.07
2017-05-04,2017-05-04,94.78
2017-05-05,2017-05-05,95.92
2017-05-08,2017-05-08,95.36
2017-05-09,2017-05-09,94.95
2017-05-10,2017-05-10,94.71
2017-05-11,2017-05-11,94.42
2017-05-12,2017-05-12,94.06
2017-05-15,2017-05-15,95.73
2017-05-16,2017-05-16,95.93
2017-05-17,2017-05-17,98.12
2017-05-18,2017-05-18,98.65
2017-05-19,2017-05-19,99.44
2017-05-22,2017-05-22,99.91
2017-05-23,2017-05-23,100.78
2017-05-24,2017-05-24,101.17
2017-05-25,2017-05-25,102.78
2017-05-26,2017-05-26,102.81
2017-05-30,2017-05-30,103.52
2017-05-31,2017-05-31,101.65
2017-06-01,2017-06-01,103.45
2017-06-02,2017-06-02,104.59
2017-06-05,2017-06-05,103.46
2017-06-06,2017-06-06,103.16
2017-06-07,2017-06-07,103.21
2017-06-08,2017-06-08,101.18
2017-06-09,2017-06-09,102.06
2017-06-12,2017-06-12,102.21
2017-06-13,2017-06-13,102.13
2017-06-14,2017-06-14,101.91
2017-06-15,2017-06-15,101.3
2017-06-16,2017-06-16,101.18
2017-06-19,2017-06-19,101.09
2017-06-20,2017-06-20,100.62
2017-06-21,2017-06-21,99.5
2017-06-22,2017-06-22,99.74
2017-06-23,2017-06-23,99.84
2017-06-26,2017-06-26,99.75
2017-06-27,2017-06-27,101.91
2017-06-28,2017-06-28,101.18
2017-06-29,2017-06-29,100.03
2017-06-30,2017-06-30,100.18
2017-07-03,2017-07-03,99.31
2017-07-05,2017-07-05,99.01
2017-07-06,2017-07-06,98.37
2017-07-07,2017-07-07,99.47
2017-07-10,2017-07-10,99.17
2017-07-11,2017-07-11,98.29
2017-07-12,2017-07-12,100.05
2017-07-13,2017-07-13,100.31
2017-07-14,2017-07-14,101.1
2017-07-17,2017-07-17,96.81
2017-07-18,2017-07-18,96.64
2017-07-19,2017-07-19,98.66
2017-07-20,2017-07-20,97.27
2017-07-21,2017-07-21,99.17
2017-07-24,2017-07-24,99.14
2017-07-25,2017-07-25,99.5
2017-07-26,2017-07-26,99.56
2017-07-27,2017-07-27,100.19
2017-07-28,2017-07-28,100.58
2017-07-31,2017-07-31,100.58
2017-08-01,2017-08-01,100.89
2017-08-02,2017-08-02,101.81
2017-08-03,2017-08-03,100.92
2017-08-04,2017-08-04,102.02
2017-08-07,2017-08-07,101.15
2017-08-08,2017-08-08,100.03
2017-08-09,2017-08-09,100.77
2017-08-10,2017-08-10,100.71
2017-08-11,2017-08-11,100.85
2017-08-14,2017-08-14,102.37
2017-08-15,2017-08-15,103.06
2017-08-16,2017-08-16,103.79
2017-08-17,2017-08-17,104.14
2017-08-18,2017-08-18,104.12
2017-08-21,2017-08-21,104.83
2017-08-22,2017-08-22,105.74
2017-08-23,2017-08-23,106.1
2017-08-24,2017-08-24,106.74
2017-08-25,2017-08-25,106.99
2017-08-28,2017-08-28,107.05
2017-08-29,2017-08-29,107.02
2017-08-30,2017-08-30,107.27
2017-08-31,2017-08-31,108.44
2017-09-01,2017-09-01,107.01
2017-09-05,2017-09-05,107.03
2017-09-06,2017-09-06,106.01
2017-09-07,2017-09-07,106.99
2017-09-08,2017-09-08,106.49
2017-09-11,2017-09-11,106.93
2017-09-12,2017-09-12,106.21
2017-09-13,2017-09-13,104.95
2017-09-14,2017-09-14,104.81
2017-09-15,2017-09-15,105.48
2017-09-18,2017-09-18,104.49
2017-09-19,2017-09-19,102.16
2017-09-20,2017-09-20,101.84
2017-09-21,2017-09-21,101.6
2017-09-22,2017-09-22,100.6
2017-09-25,2017-09-25,100.13
2017-09-26,2017-09-26,99.57
2017-09-27,2017-09-27,99.99
2017-09-28,2017-09-28,100.54
2017-09-29,2017-09-29,99.98
2017-10-02,2017-10-02,99.69
2017-10-03,2017-10-03,99.65
2017-10-04,2017-10-04,101.89
2017-10-05,2017-10-05,101.57
2017-10-06,2017-10-06,101.52
2017-10-09,2017-10-09,102.12
2017-10-10,2017-10-10,101.59
2017-10-11,2017-10-11,102.21
2017-10-12,2017-10-12,103.1
2017-10-13,2017-10-13,102.5
2017-10-16,2017-10-16,101.85
2017-10-17,2017-10-17,101.38
