DATE,DATE,CLOSE
2016-11-01,2016-11-01,48.42
2016-11-02,2016-11-02,48.27
2016-11-03,2016-11-03,48.32
2016-11-04,2016-11-04,48.04
2016-11-07,2016-11-07,48.99
2016-11-08,2016-11-08,49.82
2016-11-09,2016-11-09,49.36
2016-11-10,2016-11-10,49.92
2016-11-11,2016-11-11,49.82
2016-11-14,2016-11-14,50.78
2016-11-15,2016-11-15,50.97
2016-11-16,2016-11-16,50.94
2016-11-17,2016-11-17,51.5
2016-11-18,2016-11-18,51.5
2016-11-21,2016-11-21,51.26
2016-11-22,2016-11-22,51.77
2016-11-23,2016-11-23,52.3
2016-11-25,2016-11-25,52.55
2016-11-28,2016-11-28,52.06
2016-11-29,2016-11-29,53.22
2016-11-30,2016-11-30,51.41
2016-12-01,2016-12-01,49.88
2016-12-02,2016-12-02,50.4
2016-12-05,2016-12-05,51.63
2016-12-06,2016-12-06,52.58
2016-12-07,2016-12-07,53.16
2016-12-08,2016-12-08,52.92
2016-12-09,2016-12-09,53.34
2016-12-12,2016-12-12,52.13
2016-12-13,2016-12-13,52.15
2016-12-14,2016-12-14,52.41
2016-12-15,2016-12-15,52.96
2016-12-16,2016-12-16,51.5
2016-12-19,2016-12-19,51.32
2016-12-20,2016-12-20,52.49
2016-12-21,2016-12-21,53.09
2016-12-22,2016-12-22,52.41
2016-12-23,2016-12-23,53.03
2016-12-27,2016-12-27,52.64
2016-12-28,2016-12-28,52.19
2016-12-29,2016-12-29,51.99
2016-12-30,2016-12-30,52.06
2017-01-03,2017-01-03,52.14
2017-01-04,2017-01-04,52.82
2017-01-05,2017-01-05,53.71
2017-01-06,2017-01-06,53.65
2017-01-09,2017-01-09,53.69
2017-01-10,2017-01-10,54.25
2017-01-11,2017-01-11,54.56
2017-01-12,2017-01-12,53.64
2017-01-13,2017-01-13,53.46
2017-01-17,2017-01-17,53.09
2017-01-18,2017-01-18,53.6
2017-01-19,2017-01-19,53.45
2017-01-20,2017-01-20,53.3
2017-01-23,2017-01-23,53.77
2017-01-24,2017-01-24,54.53
2017-01-25,2017-01-25,55.83
2017-01-26,2017-01-26,56.93
2017-01-27,2017-01-27,56.29
2017-01-30,2017-01-30,55.64
2017-01-31,2017-01-31,55.38
2017-02-01,2017-02-01,55.47
2017-02-02,2017-02-02,55.31
2017-02-03,2017-02-03,55.28
2017-02-06,2017-02-06,55.5
2017-02-07,2017-02-07,55.45
2017-02-08,2017-02-08,55.59
2017-02-09,2017-02-09,56.31
2017-02-10,2017-02-10,56.25
2017-02-13,2017-02-13,56.46
2017-02-14,2017-02-14,56.37
2017-02-15,2017-02-15,56.48
2017-02-16,2017-02-16,56.03
2017-02-17,2017-02-17,55.4
2017-02-21,2017-02-21,55.89
2017-02-22,2017-02-22,55.5
2017-02-23,2017-02-23,55.92
2017-02-24,2017-02-24,56.03
2017-02-27,2017-02-27,56.05
2017-02-28,2017-02-28,55.95
2017-03-01,2017-03-01,56.5
2017-03-02,2017-03-02,56.57
2017-03-03,2017-03-03,55.72
2017-03-06,2017-03-06,55.74
2017-03-07,2017-03-07,55.53
2017-03-08,2017-03-08,55.53
2017-03-09,2017-03-09,56.2
2017-03-10,2017-03-10,57.21
2017-03-13,2017-03-13,57.11
2017-03-14,2017-03-14,56.99
2017-03-15,2017-03-15,57.37
2017-03-16,2017-03-16,57.54
2017-03-17,2017-03-17,57.64
2017-03-20,2017-03-20,57.76
2017-03-21,2017-03-21,57.79
2017-03-22,2017-03-22,58.29
2017-03-23,2017-03-23,58.52
2017-03-24,2017-03-24,58.6
2017-03-27,2017-03-27,58.87
2017-03-28,2017-03-28,59.26
2017-03-29,2017-03-29,58.96
2017-03-30,2017-03-30,59.29
2017-03-31,2017-03-31,58.91
2017-04-03,2017-04-03,58.72
2017-04-04,2017-04-04,58.64
2017-04-05,2017-04-05,58.8
2017-04-06,2017-04-06,59.06
2017-04-07,2017-04-07,58.61
2017-04-10,2017-04-10,58.44
2017-04-11,2017-04-11,57.78
2017-04-12,2017-04-12,57.73
2017-04-13,2017-04-13,57.47
2017-04-17,2017-04-17,58.46
2017-04-18,2017-04-18,58.37
2017-04-19,2017-04-19,58.68
2017-04-20,2017-04-20,59.21
2017-04-21,2017-04-21,58.96
2017-04-24,2017-04-24,59.62
2017-04-25,2017-04-25,60.03
2017-04-26,2017-04-26,60.55
2017-04-27,2017-04-27,60.98
2017-04-28,2017-04-28,61.77
2017-05-01,2017-05-01,62.55
2017-05-02,2017-05-02,62.7
2017-05-03,2017-05-03,62.64
2017-05-04,2017-05-04,62.97
2017-05-05,2017-05-05,63.02
2017-05-08,2017-05-08,62.73
2017-05-09,2017-05-09,63.22
