DATE,DATE,CLOSE
2016-11-01,2016-11-01,72.42
2016-11-02,2016-11-02,71.82
2016-11-03,2016-11-03,71.84
2016-11-04,2016-11-04,72.07
2016-11-07,2016-11-07,73.25
2016-11-08,2016-11-08,72.92
2016-11-09,2016-11-09,75.6
2016-11-10,2016-11-10,76.29
2016-11-11,2016-11-11,76.98
2016-11-14,2016-11-14,78.49
2016-11-15,2016-11-15,78.68
2016-11-16,2016-11-16,78.71
2016-11-17,2016-11-17,78.67
2016-11-18,2016-11-18,78.11
2016-11-21,2016-11-21,78.32
2016-11-22,2016-11-22,78.14
2016-11-23,2016-11-23,78.69
2016-11-25,2016-11-25,77.29
2016-11-28,2016-11-28,76.6
2016-11-29,2016-11-29,77.16
2016-11-30,2016-11-30,79.32
2016-12-01,2016-12-01,78.8
2016-12-02,2016-12-02,79.1
2016-12-05,2016-12-05,80.37
2016-12-06,2016-12-06,80.65
2016-12-07,2016-12-07,81.63
2016-12-08,2016-12-08,83.21
2016-12-09,2016-12-09,82.78
2016-12-12,2016-12-12,83.1
2016-12-13,2016-12-13,83.3
2016-12-14,2016-12-14,81.74
2016-12-15,2016-12-15,82.9
2016-12-16,2016-12-16,81.65
2016-12-19,2016-12-19,81.88
2016-12-20,2016-12-20,82.05
2016-12-21,2016-12-21,81.3
2016-12-22,2016-12-22,80.28
2016-12-23,2016-12-23,80.68
2016-12-27,2016-12-27,80.57
2016-12-28,2016-12-28,79.16
2016-12-29,2016-12-29,79.28
2016-12-30,2016-12-30,78.74
2017-01-03,2017-01-03,79.51
2017-01-04,2017-01-04,80.82
2017-01-05,2017-01-05,80.75
2017-01-06,2017-01-06,81.03
2017-01-09,2017-01-09,80.56
2017-01-10,2017-01-10,81.33
2017-01-11,2017-01-11,82.99
2017-01-12,2017-01-12,83.29
2017-01-13,2017-01-13,82.52
2017-01-17,2017-01-17,81.48
2017-01-18,2017-01-18,82.56
2017-01-19,2017-01-19,82.21
2017-01-20,2017-01-20,82.72
2017-01-23,2017-01-23,83.87
2017-01-24,2017-01-24,85.66
2017-01-25,2017-01-25,86.56
2017-01-26,2017-01-26,86.8
2017-01-27,2017-01-27,85.1
2017-01-30,2017-01-30,84.12
2017-01-31,2017-01-31,84.4
2017-02-01,2017-02-01,85.99
2017-02-02,2017-02-02,87.7
2017-02-03,2017-02-03,86.59
2017-02-06,2017-02-06,88.05
2017-02-07,2017-02-07,87.81
2017-02-08,2017-02-08,87.66
2017-02-09,2017-02-09,87.86
2017-02-10,2017-02-10,88.26
2017-02-13,2017-02-13,88.42
2017-02-14,2017-02-14,88.38
2017-02-15,2017-02-15,89.04
2017-02-16,2017-02-16,89.03
2017-02-17,2017-02-17,89.64
2017-02-21,2017-02-21,90.03
2017-02-22,2017-02-22,90.3
2017-02-23,2017-02-23,89.67
2017-02-24,2017-02-24,88.79
2017-02-27,2017-02-27,88.63
2017-02-28,2017-02-28,89.17
2017-03-01,2017-03-01,90.28
2017-03-02,2017-03-02,88.66
2017-03-03,2017-03-03,89.99
2017-03-06,2017-03-06,90.17
2017-03-07,2017-03-07,90.23
2017-03-08,2017-03-08,88.98
2017-03-09,2017-03-09,89.06
2017-03-10,2017-03-10,90.64
2017-03-13,2017-03-13,91.59
2017-03-14,2017-03-14,90.76
2017-03-15,2017-03-15,92.46
2017-03-16,2017-03-16,91.5
2017-03-17,2017-03-17,91.94
2017-03-20,2017-03-20,91.78
2017-03-21,2017-03-21,89.46
