DATE,DATE,CLOSE
2016-11-01,2016-11-01,47.59
2016-11-02,2016-11-02,47.25
2016-11-03,2016-11-03,44.12
2016-11-04,2016-11-04,43.78
2016-11-07,2016-11-07,44.43
2016-11-08,2016-11-08,45.84
2016-11-09,2016-11-09,45.54
2016-11-10,2016-11-10,43.39
2016-11-11,2016-11-11,43.71
2016-11-14,2016-11-14,43.92
2016-11-15,2016-11-15,44.57
2016-11-16,2016-11-16,44.61
2016-11-17,2016-11-17,44.43
2016-11-18,2016-11-18,44.79
2016-11-21,2016-11-21,44.82
2016-11-22,2016-11-22,44.86
2016-11-23,2016-11-23,44.66
2016-11-25,2016-11-25,45.06
2016-11-28,2016-11-28,44.86
2016-11-29,2016-11-29,44.84
2016-11-30,2016-11-30,43.79
2016-12-01,2016-12-01,42.77
2016-12-02,2016-12-02,43.41
2016-12-05,2016-12-05,44.16
2016-12-06,2016-12-06,44.75
2016-12-07,2016-12-07,44.88
2016-12-08,2016-12-08,43.79
2016-12-09,2016-12-09,44.32
2016-12-12,2016-12-12,44.47
2016-12-13,2016-12-13,44.33
2016-12-14,2016-12-14,44.75
2016-12-15,2016-12-15,44.85
2016-12-16,2016-12-16,44.96
2016-12-19,2016-12-19,44.63
2016-12-20,2016-12-20,44.74
2016-12-21,2016-12-21,44.57
2016-12-22,2016-12-22,44.51
2016-12-23,2016-12-23,44.72
2016-12-27,2016-12-27,45.03
2016-12-28,2016-12-28,44.15
2016-12-29,2016-12-29,44.82
2016-12-30,2016-12-30,44.19
2017-01-03,2017-01-03,44.34
2017-01-04,2017-01-04,44.7
2017-01-05,2017-01-05,44.89
2017-01-06,2017-01-06,44.87
2017-01-09,2017-01-09,44.3
2017-01-10,2017-01-10,43.58
2017-01-11,2017-01-11,43.56
2017-01-12,2017-01-12,43.47
2017-01-13,2017-01-13,43.78
2017-01-17,2017-01-17,44.52
2017-01-18,2017-01-18,44.74
2017-01-19,2017-01-19,44.93
2017-01-20,2017-01-20,45.55
2017-01-23,2017-01-23,45.53
2017-01-24,2017-01-24,46.09
2017-01-25,2017-01-25,46.23
2017-01-26,2017-01-26,46.1
2017-01-27,2017-01-27,45.34
2017-01-30,2017-01-30,45.31
2017-01-31,2017-01-31,45.22
2017-02-01,2017-02-01,45.25
2017-02-02,2017-02-02,45.53
2017-02-03,2017-02-03,45.81
2017-02-06,2017-02-06,45.45
2017-02-07,2017-02-07,47.27
2017-02-08,2017-02-08,47.83
2017-02-09,2017-02-09,48.07
2017-02-10,2017-02-10,48.24
2017-02-13,2017-02-13,48.42
2017-02-14,2017-02-14,48.53
2017-02-15,2017-02-15,48.79
2017-02-16,2017-02-16,48.93
2017-02-17,2017-02-17,49.7
2017-02-21,2017-02-21,49.61
2017-02-22,2017-02-22,49.69
2017-02-23,2017-02-23,49.62
2017-02-24,2017-02-24,49.53
2017-02-27,2017-02-27,49.56
2017-02-28,2017-02-28,49.84
2017-03-01,2017-03-01,50.23
2017-03-02,2017-03-02,50.19
2017-03-03,2017-03-03,49.85
2017-03-06,2017-03-06,49.67
2017-03-07,2017-03-07,49.55
2017-03-08,2017-03-08,49.51
2017-03-09,2017-03-09,49.63
2017-03-10,2017-03-10,50.03
2017-03-13,2017-03-13,49.85
2017-03-14,2017-03-14,49.75
2017-03-15,2017-03-15,50.18
2017-03-16,2017-03-16,50.11
2017-03-17,2017-03-17,50.1
2017-03-20,2017-03-20,50.19
2017-03-21,2017-03-21,50.34
2017-03-22,2017-03-22,50.28
2017-03-23,2017-03-23,50.34
2017-03-24,2017-03-24,50.22
2017-03-27,2017-03-27,50.28
2017-03-28,2017-03-28,50.26
2017-03-29,2017-03-29,50.04
2017-03-30,2017-03-30,50.03
2017-03-31,2017-03-31,49.87
2017-04-03,2017-04-03,49.89
2017-04-04,2017-04-04,49.75
2017-04-05,2017-04-05,49.57
2017-04-06,2017-04-06,49.76
2017-04-07,2017-04-07,49.55
2017-04-10,2017-04-10,49.88
2017-04-11,2017-04-11,50.01
2017-04-12,2017-04-12,50.02
2017-04-13,2017-04-13,49.8
2017-04-17,2017-04-17,50.34
2017-04-18,2017-04-18,50.7
2017-04-19,2017-04-19,50.65
2017-04-20,2017-04-20,50.27
2017-04-21,2017-04-21,50.25
2017-04-24,2017-04-24,50.39
2017-04-25,2017-04-25,50.3
2017-04-26,2017-04-26,49.79
2017-04-27,2017-04-27,49.78
2017-04-28,2017-04-28,49.53
2017-05-01,2017-05-01,49.32
2017-05-02,2017-05-02,48.83
2017-05-03,2017-05-03,48.75
2017-05-04,2017-05-04,50.85
2017-05-05,2017-05-05,50.78
2017-05-08,2017-05-08,50.62
2017-05-09,2017-05-09,50.29
2017-05-10,2017-05-10,50.87
2017-05-11,2017-05-11,50.67
2017-05-12,2017-05-12,50.2
2017-05-15,2017-05-15,50.25
2017-05-16,2017-05-16,49.48
2017-05-17,2017-05-17,49.71
2017-05-18,2017-05-18,49.68
2017-05-19,2017-05-19,49.74
2017-05-22,2017-05-22,50.02
2017-05-23,2017-05-23,50.31
2017-05-24,2017-05-24,50.73
2017-05-25,2017-05-25,51.2
2017-05-26,2017-05-26,51.1
2017-05-30,2017-05-30,51.53
2017-05-31,2017-05-31,51.66
2017-06-01,2017-06-01,52.25
2017-06-02,2017-06-02,52.57
2017-06-05,2017-06-05,52.62
2017-06-06,2017-06-06,52.82
2017-06-07,2017-06-07,53.26
2017-06-08,2017-06-08,52.82
2017-06-09,2017-06-09,53.0
2017-06-12,2017-06-12,52.9
2017-06-13,2017-06-13,52.8
2017-06-14,2017-06-14,53.18
2017-06-15,2017-06-15,53.55
2017-06-16,2017-06-16,53.2
2017-06-19,2017-06-19,53.75
2017-06-20,2017-06-20,53.53
2017-06-21,2017-06-21,53.02
2017-06-22,2017-06-22,52.84
2017-06-23,2017-06-23,53.04
2017-06-26,2017-06-26,53.09
2017-06-27,2017-06-27,52.68
2017-06-28,2017-06-28,52.58
2017-06-29,2017-06-29,51.81
2017-06-30,2017-06-30,51.88
2017-07-03,2017-07-03,52.02
2017-07-05,2017-07-05,51.78
2017-07-06,2017-07-06,51.95
2017-07-07,2017-07-07,52.0
2017-07-10,2017-07-10,52.31
2017-07-11,2017-07-11,52.18
2017-07-12,2017-07-12,51.9
2017-07-13,2017-07-13,52.0
2017-07-14,2017-07-14,52.62
2017-07-17,2017-07-17,53.33
2017-07-18,2017-07-18,53.63
2017-07-19,2017-07-19,52.95
2017-07-20,2017-07-20,52.99
2017-07-21,2017-07-21,53.26
2017-07-24,2017-07-24,52.8
2017-07-25,2017-07-25,53.33
2017-07-26,2017-07-26,53.67
2017-07-27,2017-07-27,53.8
2017-07-28,2017-07-28,53.3
2017-07-31,2017-07-31,53.35
2017-08-01,2017-08-01,53.01
2017-08-02,2017-08-02,52.73
2017-08-03,2017-08-03,51.77
2017-08-04,2017-08-04,50.39
2017-08-07,2017-08-07,50.29
2017-08-08,2017-08-08,49.7
2017-08-09,2017-08-09,49.92
2017-08-10,2017-08-10,49.58
2017-08-11,2017-08-11,49.62
2017-08-14,2017-08-14,49.98
2017-08-15,2017-08-15,49.77
2017-08-16,2017-08-16,50.27
2017-08-17,2017-08-17,49.85
2017-08-18,2017-08-18,50.05
2017-08-21,2017-08-21,50.4
2017-08-22,2017-08-22,50.37
2017-08-23,2017-08-23,50.05
2017-08-24,2017-08-24,49.6
2017-08-25,2017-08-25,49.74
2017-08-28,2017-08-28,49.74
2017-08-29,2017-08-29,49.52
2017-08-30,2017-08-30,49.6
2017-08-31,2017-08-31,50.17
2017-09-01,2017-09-01,50.21
2017-09-05,2017-09-05,50.39
2017-09-06,2017-09-06,49.82
2017-09-07,2017-09-07,49.48
2017-09-08,2017-09-08,49.12
2017-09-11,2017-09-11,49.62
2017-09-12,2017-09-12,49.43
2017-09-13,2017-09-13,49.28
2017-09-14,2017-09-14,49.66
2017-09-15,2017-09-15,50.43
2017-09-18,2017-09-18,50.61
2017-09-19,2017-09-19,50.57
2017-09-20,2017-09-20,49.69
2017-09-21,2017-09-21,48.49
2017-09-22,2017-09-22,48.61
2017-09-25,2017-09-25,48.47
2017-09-26,2017-09-26,48.74
2017-09-27,2017-09-27,48.04
2017-09-28,2017-09-28,48.12
2017-09-29,2017-09-29,48.45
2017-10-02,2017-10-02,47.93
2017-10-03,2017-10-03,47.36
2017-10-04,2017-10-04,47.64
2017-10-05,2017-10-05,47.93
2017-10-06,2017-10-06,47.45
2017-10-09,2017-10-09,47.02
2017-10-10,2017-10-10,47.38
2017-10-11,2017-10-11,47.4
2017-10-12,2017-10-12,47.72
2017-10-13,2017-10-13,47.96
2017-10-16,2017-10-16,47.86
2017-10-17,2017-10-17,47.7
2017-10-18,2017-10-18,47.41
2017-10-19,2017-10-19,47.28
2017-10-20,2017-10-20,46.18
2017-10-23,2017-10-23,46.19
2017-10-24,2017-10-24,45.72
2017-10-25,2017-10-25,45.76
2017-10-26,2017-10-26,45.76
2017-10-27,2017-10-27,45.32
2017-10-30,2017-10-30,44.81
2017-10-31,2017-10-31,45.17
2017-11-01,2017-11-01,46.18
2017-11-02,2017-11-02,45.43
2017-11-03,2017-11-03,43.92
2017-11-06,2017-11-06,43.32
2017-11-07,2017-11-07,43.76
2017-11-08,2017-11-08,44.45
2017-11-09,2017-11-09,44.0
2017-11-10,2017-11-10,44.75
2017-11-13,2017-11-13,45.54
2017-11-14,2017-11-14,45.74
2017-11-15,2017-11-15,44.41
2017-11-16,2017-11-16,45.14
2017-11-17,2017-11-17,44.75
2017-11-20,2017-11-20,44.68
2017-11-21,2017-11-21,44.8
2017-11-22,2017-11-22,44.76
2017-11-24,2017-11-24,44.82
2017-11-27,2017-11-27,45.1
2017-11-28,2017-11-28,45.65
2017-11-29,2017-11-29,46.79
2017-11-30,2017-11-30,47.09
2017-12-01,2017-12-01,46.84
2017-12-04,2017-12-04,48.35
2017-12-05,2017-12-05,48.28
2017-12-06,2017-12-06,47.79
2017-12-07,2017-12-07,48.13
2017-12-08,2017-12-08,48.4
2017-12-11,2017-12-11,47.96
2017-12-12,2017-12-12,48.39
2017-12-13,2017-12-13,48.13
2017-12-14,2017-12-14,48.46
2017-12-15,2017-12-15,49.06
2017-12-18,2017-12-18,49.26
2017-12-19,2017-12-19,49.22
2017-12-20,2017-12-20,49.48
2017-12-21,2017-12-21,49.5
2017-12-22,2017-12-22,50.05
2017-12-26,2017-12-26,50.16
2017-12-27,2017-12-27,50.06
2017-12-28,2017-12-28,50.18
2017-12-29,2017-12-29,50.17
2018-01-02,2018-01-02,49.43
2018-01-03,2018-01-03,49.11
2018-01-04,2018-01-04,49.94
2018-01-05,2018-01-05,50.07
2018-01-08,2018-01-08,50.44
2018-01-09,2018-01-09,50.39
2018-01-10,2018-01-10,49.79
2018-01-11,2018-01-11,49.37
2018-01-12,2018-01-12,49.02
2018-01-16,2018-01-16,49.25
2018-01-17,2018-01-17,49.85
2018-01-18,2018-01-18,49.47
2018-01-19,2018-01-19,49.91
2018-01-22,2018-01-22,50.11
2018-01-23,2018-01-23,49.86
2018-01-24,2018-01-24,49.11
2018-01-25,2018-01-25,49.34
2018-01-26,2018-01-26,49.11
2018-01-29,2018-01-29,48.93
2018-01-30,2018-01-30,49.1
2018-01-31,2018-01-31,48.85
2018-02-01,2018-02-01,48.49
2018-02-02,2018-02-02,46.33
2018-02-05,2018-02-05,47.42
2018-02-06,2018-02-06,47.87
2018-02-07,2018-02-07,47.37
2018-02-08,2018-02-08,47.38
2018-02-09,2018-02-09,48.56
2018-02-12,2018-02-12,48.63
2018-02-13,2018-02-13,48.64
2018-02-14,2018-02-14,48.88
2018-02-15,2018-02-15,49.71
2018-02-16,2018-02-16,49.78
2018-02-20,2018-02-20,48.38
2018-02-21,2018-02-21,47.94
2018-02-22,2018-02-22,48.17
2018-02-23,2018-02-23,49.12
2018-02-26,2018-02-26,49.99
2018-02-27,2018-02-27,49.47
2018-02-28,2018-02-28,49.19
2018-03-01,2018-03-01,49.09
2018-03-02,2018-03-02,50.03
2018-03-05,2018-03-05,50.42
2018-03-06,2018-03-06,50.77
2018-03-07,2018-03-07,49.96
2018-03-08,2018-03-08,50.98
2018-03-09,2018-03-09,50.59
2018-03-12,2018-03-12,50.56
2018-03-13,2018-03-13,50.74
2018-03-14,2018-03-14,49.84
2018-03-15,2018-03-15,49.54
2018-03-16,2018-03-16,50.01
2018-03-19,2018-03-19,50.19
2018-03-20,2018-03-20,49.68
2018-03-21,2018-03-21,48.99
2018-03-22,2018-03-22,48.38
2018-03-23,2018-03-23,47.3
2018-03-26,2018-03-26,47.37
2018-03-27,2018-03-27,48.16
2018-03-28,2018-03-28,49.24
2018-03-29,2018-03-29,50.36
2018-04-02,2018-04-02,48.93
2018-04-03,2018-04-03,49.65
2018-04-04,2018-04-04,50.47
2018-04-05,2018-04-05,49.86
2018-04-06,2018-04-06,49.5
2018-04-09,2018-04-09,49.47
2018-04-10,2018-04-10,49.68
2018-04-11,2018-04-11,49.38
2018-04-12,2018-04-12,48.8
2018-04-13,2018-04-13,48.95
2018-04-16,2018-04-16,50.1
2018-04-17,2018-04-17,50.32
2018-04-18,2018-04-18,50.27
2018-04-19,2018-04-19,48.72
2018-04-20,2018-04-20,45.84
2018-04-23,2018-04-23,45.41
2018-04-24,2018-04-24,45.46
2018-04-25,2018-04-25,45.89
2018-04-26,2018-04-26,46.14
2018-04-27,2018-04-27,46.78
2018-04-30,2018-04-30,46.2
2018-05-01,2018-05-01,46.3
