DATE,DATE,CLOSE
2016-11-01,2016-11-01,69.065679
2016-11-02,2016-11-02,68.141889
2016-11-03,2016-11-03,68.549151
2016-11-04,2016-11-04,67.80416
2016-11-07,2016-11-07,68.588884
2016-11-08,2016-11-08,69.105412
2016-11-09,2016-11-09,69.641805
2016-11-10,2016-11-10,71.201321
2016-11-11,2016-11-11,71.042389
2016-11-14,2016-11-14,71.90658
2016-11-15,2016-11-15,72.115177
2016-11-16,2016-11-16,71.678116
2016-11-17,2016-11-17,73.525694
2016-11-18,2016-11-18,73.972689
2016-11-21,2016-11-21,74.598482
2016-11-22,2016-11-22,74.77728
2016-11-23,2016-11-23,75.39314
2016-11-25,2016-11-25,76.167931
2016-11-28,2016-11-28,76.078532
2016-11-29,2016-11-29,76.595059
2016-11-30,2016-11-30,76.22753
2016-12-01,2016-12-01,76.604993
2016-12-02,2016-12-02,76.366595
2016-12-05,2016-12-05,76.316929
2016-12-06,2016-12-06,76.595059
2016-12-07,2016-12-07,77.498982
2016-12-08,2016-12-08,77.727447
2016-12-09,2016-12-09,77.687714
2016-12-12,2016-12-12,78.313506
2016-12-13,2016-12-13,77.836712
2016-12-14,2016-12-14,76.634792
2016-12-15,2016-12-15,76.763924
2016-12-16,2016-12-16,75.144809
2016-12-19,2016-12-19,75.9494
2016-12-20,2016-12-20,75.999066
2016-12-21,2016-12-21,75.681203
2016-12-22,2016-12-22,75.780535
2016-12-23,2016-12-23,75.9792
2016-12-27,2016-12-27,76.058666
2016-12-28,2016-12-28,75.452739
2016-12-29,2016-12-29,75.36334
2016-12-30,2016-12-30,75.244142
2017-01-03,2017-01-03,75.283874
2017-01-04,2017-01-04,75.562005
2017-01-05,2017-01-05,75.254075
2017-01-06,2017-01-06,75.273941
2017-01-09,2017-01-09,74.002489
2017-01-10,2017-01-10,74.022355
2017-01-11,2017-01-11,74.389885
2017-01-12,2017-01-12,69.443141
2017-01-13,2017-01-13,69.592139
2017-01-17,2017-01-17,69.274276
2017-01-18,2017-01-18,70.068934
2017-01-19,2017-01-19,69.423275
2017-01-20,2017-01-20,69.800737
2017-01-23,2017-01-23,69.264343
2017-01-24,2017-01-24,69.621939
2017-01-25,2017-01-25,70.635127
2017-01-26,2017-01-26,70.207999
2017-01-27,2017-01-27,70.1484
2017-01-30,2017-01-30,69.572273
2017-01-31,2017-01-31,70.108667
2017-02-01,2017-02-01,69.592139
2017-02-02,2017-02-02,70.178199
2017-02-03,2017-02-03,70.95299
2017-02-06,2017-02-06,70.317264
2017-02-07,2017-02-07,69.959668
2017-02-08,2017-02-08,69.870269
2017-02-09,2017-02-09,69.780871
2017-02-10,2017-02-10,70.585461
2017-02-13,2017-02-13,71.270854
2017-02-14,2017-02-14,71.90658
2017-02-15,2017-02-15,72.333708
2017-02-16,2017-02-16,72.601905
2017-02-17,2017-02-17,72.18471
2017-02-21,2017-02-21,72.363508
2017-02-22,2017-02-22,72.442973
2017-02-23,2017-02-23,72.850235
2017-02-24,2017-02-24,72.999234
2017-02-27,2017-02-27,72.572105
2017-02-28,2017-02-28,72.472773
2017-03-01,2017-03-01,74.648148
2017-03-02,2017-03-02,73.803825
2017-03-03,2017-03-03,73.471062
2017-03-06,2017-03-06,72.691304
2017-03-07,2017-03-07,72.681371
2017-03-08,2017-03-08,72.274109
2017-03-09,2017-03-09,72.929701
2017-03-10,2017-03-10,73.476028
2017-03-13,2017-03-13,73.416429
2017-03-14,2017-03-14,73.60516
2017-03-15,2017-03-15,74.449484
2017-03-16,2017-03-16,74.201153
2017-03-17,2017-03-17,74.677948
2017-03-20,2017-03-20,73.724359
2017-03-21,2017-03-21,72.293975
2017-03-22,2017-03-22,72.264176
2017-03-23,2017-03-23,72.254242
2017-03-24,2017-03-24,71.399985
2017-03-27,2017-03-27,71.181455
2017-03-28,2017-03-28,72.015845
2017-03-29,2017-03-29,71.270854
2017-03-30,2017-03-30,71.84698
2017-03-31,2017-03-31,71.787381
2017-04-03,2017-04-03,71.101989
2017-04-04,2017-04-04,71.082122
2017-04-05,2017-04-05,70.337131
2017-04-06,2017-04-06,70.376864
2017-04-07,2017-04-07,69.770937
2017-04-10,2017-04-10,70.764259
2017-04-11,2017-04-11,70.913258
2017-04-12,2017-04-12,70.39673
2017-04-13,2017-04-13,69.989468
2017-04-17,2017-04-17,71.121855
2017-04-18,2017-04-18,70.0888
2017-04-19,2017-04-19,69.572273
2017-04-20,2017-04-20,69.979535
2017-04-21,2017-04-21,69.711338
2017-04-24,2017-04-24,70.98279
2017-04-25,2017-04-25,71.340386
2017-04-26,2017-04-26,71.399985
2017-04-27,2017-04-27,72.552239
2017-04-28,2017-04-28,71.608583
2017-05-01,2017-05-01,70.645061
2017-05-02,2017-05-02,70.585461
2017-05-03,2017-05-03,70.70466
2017-05-04,2017-05-04,70.486129
2017-05-05,2017-05-05,70.356997
2017-05-08,2017-05-08,69.453074
2017-05-09,2017-05-09,68.529285
2017-05-10,2017-05-10,68.747816
2017-05-11,2017-05-11,68.91668
2017-05-12,2017-05-12,68.598817
2017-05-15,2017-05-15,69.155078
2017-05-16,2017-05-16,68.867014
2017-05-17,2017-05-17,68.231288
2017-05-18,2017-05-18,68.519352
2017-05-19,2017-05-19,68.578951
2017-05-22,2017-05-22,69.065679
2017-05-23,2017-05-23,69.105412
2017-05-24,2017-05-24,69.234543
2017-05-25,2017-05-25,69.979535
2017-05-26,2017-05-26,69.443141
2017-05-30,2017-05-30,69.065679
2017-05-31,2017-05-31,69.612006
2017-06-01,2017-06-01,70.456329
2017-06-02,2017-06-02,70.247732
2017-06-05,2017-06-05,69.870269
2017-06-06,2017-06-06,69.016013
2017-06-07,2017-06-07,69.095478
2017-06-08,2017-06-08,69.989468
2017-06-09,2017-06-09,71.300653
2017-06-12,2017-06-12,72.532372
2017-06-13,2017-06-13,72.393307
2017-06-14,2017-06-14,72.562172
2017-06-15,2017-06-15,73.396563
2017-06-16,2017-06-16,73.257498
2017-06-19,2017-06-19,72.611838
2017-06-20,2017-06-20,71.896646
2017-06-21,2017-06-21,71.141722
2017-06-22,2017-06-22,70.98279
2017-06-23,2017-06-23,70.754326
2017-06-26,2017-06-26,71.479451
2017-06-27,2017-06-27,71.439718
2017-06-28,2017-06-28,72.065511
2017-06-29,2017-06-29,71.936379
2017-06-30,2017-06-30,71.966179
2017-07-03,2017-07-03,72.611838
2017-07-05,2017-07-05,72.075444
2017-07-06,2017-07-06,71.717848
2017-07-07,2017-07-07,72.174777
2017-07-10,2017-07-10,71.668182
2017-07-11,2017-07-11,71.360252
2017-07-12,2017-07-12,71.499318
2017-07-13,2017-07-13,72.015845
2017-07-14,2017-07-14,72.204576
2017-07-17,2017-07-17,72.244309
2017-07-18,2017-07-18,71.886713
2017-07-19,2017-07-19,72.820436
2017-07-20,2017-07-20,73.565427
2017-07-21,2017-07-21,73.923023
2017-07-24,2017-07-24,74.757414
2017-07-25,2017-07-25,75.184542
2017-07-26,2017-07-26,74.489217
2017-07-27,2017-07-27,74.658082
2017-07-28,2017-07-28,75.303741
2017-07-31,2017-07-31,75.651404
2017-08-01,2017-08-01,75.9792
2017-08-02,2017-08-02,76.684458
2017-08-03,2017-08-03,79.982287
2017-08-04,2017-08-04,79.763757
2017-08-07,2017-08-07,79.376361
2017-08-08,2017-08-08,79.21743
2017-08-09,2017-08-09,79.793556
2017-08-10,2017-08-10,79.088298
2017-08-11,2017-08-11,78.472438
2017-08-14,2017-08-14,78.998899
2017-08-15,2017-08-15,78.9095
2017-08-16,2017-08-16,78.581703
2017-08-17,2017-08-17,77.131453
2017-08-18,2017-08-18,76.823523
2017-08-21,2017-08-21,76.465928
2017-08-22,2017-08-22,76.952655
2017-08-23,2017-08-23,76.336796
2017-08-24,2017-08-24,75.9196
2017-08-25,2017-08-25,76.942722
2017-08-28,2017-08-28,76.575193
2017-08-29,2017-08-29,76.267263
2017-08-30,2017-08-30,76.316929
2017-08-31,2017-08-31,76.326862
2017-09-01,2017-09-01,76.446061
2017-09-05,2017-09-05,74.270686
2017-09-06,2017-09-06,74.618349
2017-09-07,2017-09-07,73.178032
2017-09-08,2017-09-08,75.264008
2017-09-11,2017-09-11,76.008999
2017-09-12,2017-09-12,76.138131
2017-09-13,2017-09-13,75.432873
2017-09-14,2017-09-14,75.11501
2017-09-15,2017-09-15,74.717681
2017-09-18,2017-09-18,75.571938
2017-09-19,2017-09-19,75.532205
2017-09-20,2017-09-20,75.820268
2017-09-21,2017-09-21,75.075277
2017-09-22,2017-09-22,75.373273
2017-09-25,2017-09-25,75.810335
2017-09-26,2017-09-26,75.661337
2017-09-27,2017-09-27,76.386462
2017-09-28,2017-09-28,76.863256
2017-09-29,2017-09-29,76.058666
2017-10-02,2017-10-02,76.982455
2017-10-03,2017-10-03,76.644726
2017-10-04,2017-10-04,76.863256
2017-10-05,2017-10-05,76.87319
2017-10-06,2017-10-06,76.187797
2017-10-09,2017-10-09,75.850068
2017-10-10,2017-10-10,76.604993
2017-10-11,2017-10-11,76.426195
2017-10-12,2017-10-12,75.422939
2017-10-13,2017-10-13,75.959333
2017-10-16,2017-10-16,75.909667
2017-10-17,2017-10-17,75.422939
2017-10-18,2017-10-18,75.492472
2017-10-19,2017-10-19,75.681203
2017-10-20,2017-10-20,75.9494
2017-10-23,2017-10-23,75.611671
2017-10-24,2017-10-24,75.750736
2017-10-25,2017-10-25,75.244142
2017-10-26,2017-10-26,75.512338
2017-10-27,2017-10-27,70.555662
2017-10-30,2017-10-30,69.939802
2017-10-31,2017-10-31,69.701405
2017-11-01,2017-11-01,70.237799
2017-11-02,2017-11-02,72.075444
2017-11-03,2017-11-03,72.085378
2017-11-06,2017-11-06,72.780703
2017-11-07,2017-11-07,72.383374
2017-11-08,2017-11-08,72.214509
2017-11-09,2017-11-09,72.611838
2017-11-10,2017-11-10,72.909835
2017-11-13,2017-11-13,72.810503
2017-11-14,2017-11-14,73.565427
2017-11-15,2017-11-15,73.615093
2017-11-16,2017-11-16,73.098566
2017-11-17,2017-11-17,72.969434
2017-11-20,2017-11-20,72.939634
2017-11-21,2017-11-21,72.969434
2017-11-22,2017-11-22,72.174777
2017-11-24,2017-11-24,72.025778
2017-11-27,2017-11-27,72.919768
2017-11-28,2017-11-28,73.754159
2017-11-29,2017-11-29,74.370018
2017-11-30,2017-11-30,74.73
2017-12-01,2017-12-01,74.52
2017-12-04,2017-12-04,75.37
2017-12-05,2017-12-05,74.38
2017-12-06,2017-12-06,74.46
2017-12-07,2017-12-07,74.16
2017-12-08,2017-12-08,74.4
2017-12-11,2017-12-11,74.56
2017-12-12,2017-12-12,74.52
2017-12-13,2017-12-13,73.68
2017-12-14,2017-12-14,72.65
2017-12-15,2017-12-15,74.28
2017-12-18,2017-12-18,74.58
2017-12-19,2017-12-19,73.55
2017-12-20,2017-12-20,73.45
2017-12-21,2017-12-21,73.66
2017-12-22,2017-12-22,73.99
2017-12-26,2017-12-26,74.27
2017-12-27,2017-12-27,74.55
2017-12-28,2017-12-28,75.08
2017-12-29,2017-12-29,74.97
2018-01-02,2018-01-02,73.08
2018-01-03,2018-01-03,72.79
2018-01-04,2018-01-04,73.62
2018-01-05,2018-01-05,74.0
2018-01-08,2018-01-08,73.67
2018-01-09,2018-01-09,73.21
2018-01-10,2018-01-10,72.19
2018-01-11,2018-01-11,72.77
2018-01-12,2018-01-12,74.03
2018-01-16,2018-01-16,74.2
2018-01-17,2018-01-17,75.06
2018-01-18,2018-01-18,74.86
2018-01-19,2018-01-19,75.16
2018-01-22,2018-01-22,75.93
2018-01-23,2018-01-23,77.01
2018-01-24,2018-01-24,77.24
2018-01-25,2018-01-25,77.22
2018-01-26,2018-01-26,77.51
2018-01-29,2018-01-29,76.59
2018-01-30,2018-01-30,76.39
2018-01-31,2018-01-31,76.9
2018-02-01,2018-02-01,77.17
2018-02-02,2018-02-02,76.38
2018-02-05,2018-02-05,73.39
2018-02-06,2018-02-06,72.6
2018-02-07,2018-02-07,72.63
2018-02-08,2018-02-08,70.34
2018-02-09,2018-02-09,72.14
2018-02-12,2018-02-12,74.31
2018-02-13,2018-02-13,73.97
2018-02-14,2018-02-14,75.57
2018-02-15,2018-02-15,76.19
2018-02-16,2018-02-16,77.19
2018-02-20,2018-02-20,75.69
2018-02-21,2018-02-21,75.54
2018-02-22,2018-02-22,74.92
2018-02-23,2018-02-23,75.8
2018-02-26,2018-02-26,77.26
2018-02-27,2018-02-27,75.88
2018-02-28,2018-02-28,74.59
2018-03-01,2018-03-01,73.34
2018-03-02,2018-03-02,74.61
2018-03-05,2018-03-05,75.89
2018-03-06,2018-03-06,76.04
2018-03-07,2018-03-07,75.72
2018-03-08,2018-03-08,75.26
2018-03-09,2018-03-09,77.04
2018-03-12,2018-03-12,75.24
2018-03-13,2018-03-13,75.08
2018-03-14,2018-03-14,74.05
2018-03-15,2018-03-15,74.3
2018-03-16,2018-03-16,75.13
2018-03-19,2018-03-19,75.11
2018-03-20,2018-03-20,75.4
2018-03-21,2018-03-21,75.55
2018-03-22,2018-03-22,73.44
2018-03-23,2018-03-23,71.61
