DATE,DATE,CLOSE
2016-11-01,2016-11-01,70.99
2016-11-02,2016-11-02,71.18
2016-11-03,2016-11-03,70.57
2016-11-04,2016-11-04,69.57
2016-11-07,2016-11-07,70.54
2016-11-08,2016-11-08,71.59
2016-11-09,2016-11-09,70.37
2016-11-10,2016-11-10,67.2
2016-11-11,2016-11-11,67.42
2016-11-14,2016-11-14,66.58
2016-11-15,2016-11-15,66.59
2016-11-16,2016-11-16,66.74
2016-11-17,2016-11-17,65.99
2016-11-18,2016-11-18,65.86
2016-11-21,2016-11-21,66.22
2016-11-22,2016-11-22,66.33
2016-11-23,2016-11-23,65.99
2016-11-25,2016-11-25,66.53
2016-11-28,2016-11-28,66.43
2016-11-29,2016-11-29,66.53
2016-11-30,2016-11-30,65.23
2016-12-01,2016-12-01,65.08
2016-12-02,2016-12-02,64.72
2016-12-05,2016-12-05,64.63
2016-12-06,2016-12-06,65.03
2016-12-07,2016-12-07,65.93
2016-12-08,2016-12-08,65.7
2016-12-09,2016-12-09,66.29
2016-12-12,2016-12-12,66.75
2016-12-13,2016-12-13,66.89
2016-12-14,2016-12-14,65.91
2016-12-15,2016-12-15,66.23
2016-12-16,2016-12-16,66.23
2016-12-19,2016-12-19,66.06
2016-12-20,2016-12-20,66.39
2016-12-21,2016-12-21,66.05
2016-12-22,2016-12-22,66.37
2016-12-23,2016-12-23,66.27
2016-12-27,2016-12-27,66.01
2016-12-28,2016-12-28,65.61
2016-12-29,2016-12-29,65.89
2016-12-30,2016-12-30,65.44
2017-01-03,2017-01-03,65.54
2017-01-04,2017-01-04,66.26
2017-01-05,2017-01-05,66.85
2017-01-06,2017-01-06,67.36
2017-01-09,2017-01-09,66.42
2017-01-10,2017-01-10,65.39
2017-01-11,2017-01-11,65.31
2017-01-12,2017-01-12,65.85
2017-01-13,2017-01-13,65.88
2017-01-17,2017-01-17,67.1
2017-01-18,2017-01-18,67.86
2017-01-19,2017-01-19,67.04
2017-01-20,2017-01-20,67.95
2017-01-23,2017-01-23,67.55
2017-01-24,2017-01-24,68.26
2017-01-25,2017-01-25,68.43
2017-01-26,2017-01-26,68.24
2017-01-27,2017-01-27,64.68
2017-01-30,2017-01-30,64.53
2017-01-31,2017-01-31,64.58
2017-02-01,2017-02-01,64.72
2017-02-02,2017-02-02,65.68
2017-02-03,2017-02-03,65.97
2017-02-06,2017-02-06,65.49
2017-02-07,2017-02-07,66.56
2017-02-08,2017-02-08,66.59
2017-02-09,2017-02-09,66.6
2017-02-10,2017-02-10,67.72
2017-02-13,2017-02-13,67.71
2017-02-14,2017-02-14,67.74
2017-02-15,2017-02-15,68.61
2017-02-16,2017-02-16,69.0
2017-02-17,2017-02-17,71.98
2017-02-21,2017-02-21,73.18
2017-02-22,2017-02-22,73.49
2017-02-23,2017-02-23,74.44
2017-02-24,2017-02-24,73.35
2017-02-27,2017-02-27,72.65
2017-02-28,2017-02-28,72.98
2017-03-01,2017-03-01,73.46
2017-03-02,2017-03-02,73.74
2017-03-03,2017-03-03,73.59
2017-03-06,2017-03-06,73.79
2017-03-07,2017-03-07,73.72
2017-03-08,2017-03-08,73.16
2017-03-09,2017-03-09,73.37
2017-03-10,2017-03-10,74.26
2017-03-13,2017-03-13,73.9
2017-03-14,2017-03-14,73.65
2017-03-15,2017-03-15,73.94
2017-03-16,2017-03-16,73.9
2017-03-17,2017-03-17,73.96
2017-03-20,2017-03-20,73.8
2017-03-21,2017-03-21,73.7
2017-03-22,2017-03-22,73.68
2017-03-23,2017-03-23,73.92
2017-03-24,2017-03-24,73.67
2017-03-27,2017-03-27,73.43
2017-03-28,2017-03-28,73.77
2017-03-29,2017-03-29,73.56
2017-03-30,2017-03-30,73.23
2017-03-31,2017-03-31,73.19
2017-04-03,2017-04-03,73.37
2017-04-04,2017-04-04,73.62
2017-04-05,2017-04-05,73.46
2017-04-06,2017-04-06,73.13
2017-04-07,2017-04-07,73.45
2017-04-10,2017-04-10,73.73
2017-04-11,2017-04-11,73.7
2017-04-12,2017-04-12,74.0
2017-04-13,2017-04-13,73.66
2017-04-17,2017-04-17,74.07
2017-04-18,2017-04-18,74.37
2017-04-19,2017-04-19,73.39
2017-04-20,2017-04-20,73.18
2017-04-21,2017-04-21,73.02
2017-04-24,2017-04-24,73.66
2017-04-25,2017-04-25,74.22
2017-04-26,2017-04-26,73.5
