DATE,DATE,CLOSE
2016-11-01,2016-11-01,30.725
2016-11-02,2016-11-02,30.735
2016-11-03,2016-11-03,30.475
2016-11-04,2016-11-04,30.33
2016-11-07,2016-11-07,30.755
2016-11-08,2016-11-08,31.26
2016-11-09,2016-11-09,31.725
2016-11-10,2016-11-10,32.55
2016-11-11,2016-11-11,33.23
2016-11-14,2016-11-14,33.63
2016-11-15,2016-11-15,33.49
2016-11-16,2016-11-16,33.735
2016-11-17,2016-11-17,34.245
2016-11-18,2016-11-18,34.17
2016-11-21,2016-11-21,34.1
2016-11-22,2016-11-22,34.51
2016-11-23,2016-11-23,34.48
2016-11-25,2016-11-25,34.58
2016-11-28,2016-11-28,34.155
2016-11-29,2016-11-29,35.07
2016-11-30,2016-11-30,34.755
2016-12-01,2016-12-01,34.93
2016-12-02,2016-12-02,34.39
2016-12-05,2016-12-05,34.34
2016-12-06,2016-12-06,34.35
2016-12-07,2016-12-07,34.665
2016-12-08,2016-12-08,34.615
2016-12-09,2016-12-09,34.725
2016-12-12,2016-12-12,34.5
2016-12-13,2016-12-13,34.99
2016-12-14,2016-12-14,35.01
2016-12-15,2016-12-15,34.94
2016-12-16,2016-12-16,34.93
2016-12-19,2016-12-19,35.075
2016-12-20,2016-12-20,35.505
2016-12-21,2016-12-21,35.415
2016-12-22,2016-12-22,35.51
2016-12-23,2016-12-23,35.325
2016-12-27,2016-12-27,35.435
2016-12-28,2016-12-28,35.225
2016-12-29,2016-12-29,35.045
2016-12-30,2016-12-30,34.525
2017-01-03,2017-01-03,34.525
2017-01-04,2017-01-04,34.935
2017-01-05,2017-01-05,35.075
2017-01-06,2017-01-06,35.135
2017-01-09,2017-01-09,35.415
2017-01-10,2017-01-10,35.46
2017-01-11,2017-01-11,35.855
2017-01-12,2017-01-12,35.71
2017-01-13,2017-01-13,36.385
2017-01-17,2017-01-17,36.28
2017-01-18,2017-01-18,36.145
2017-01-19,2017-01-19,36.305
2017-01-20,2017-01-20,36.785
2017-01-23,2017-01-23,36.63
2017-01-24,2017-01-24,36.8
2017-01-25,2017-01-25,36.72
2017-01-26,2017-01-26,37.75
2017-01-27,2017-01-27,37.975
2017-01-30,2017-01-30,37.67
2017-01-31,2017-01-31,37.71
2017-02-01,2017-02-01,37.805
2017-02-02,2017-02-02,37.545
2017-02-03,2017-02-03,37.63
2017-02-06,2017-02-06,37.27
2017-02-07,2017-02-07,37.43
2017-02-08,2017-02-08,37.345
2017-02-09,2017-02-09,37.515
2017-02-10,2017-02-10,37.575
2017-02-13,2017-02-13,37.855
2017-02-14,2017-02-14,38.045
2017-02-15,2017-02-15,38.2975
2017-02-16,2017-02-16,37.995
2017-02-17,2017-02-17,37.66
2017-02-21,2017-02-21,37.89
2017-02-22,2017-02-22,37.94
2017-02-23,2017-02-23,37.65
2017-02-24,2017-02-24,37.89
2017-02-27,2017-02-27,37.53
2017-02-28,2017-02-28,37.42
2017-03-01,2017-03-01,37.59
2017-03-02,2017-03-02,37.45
2017-03-03,2017-03-03,37.22
2017-03-06,2017-03-06,37.44
2017-03-07,2017-03-07,37.42
2017-03-08,2017-03-08,37.11
2017-03-09,2017-03-09,37.38
2017-03-10,2017-03-10,37.32
2017-03-13,2017-03-13,37.3
2017-03-14,2017-03-14,37.41
2017-03-15,2017-03-15,37.75
2017-03-16,2017-03-16,37.68
2017-03-17,2017-03-17,37.46
2017-03-20,2017-03-20,37.48
2017-03-21,2017-03-21,37.07
2017-03-22,2017-03-22,37.04
2017-03-23,2017-03-23,37.22
2017-03-24,2017-03-24,37.38
2017-03-27,2017-03-27,37.11
