DATE,DATE,CLOSE
2016-11-01,2016-11-01,93.76978
2016-11-02,2016-11-02,95.228463
2016-11-03,2016-11-03,96.941239
2016-11-04,2016-11-04,96.790665
2016-11-07,2016-11-07,98.625782
2016-11-08,2016-11-08,99.406883
2016-11-09,2016-11-09,105.401599
2016-11-10,2016-11-10,110.154082
2016-11-11,2016-11-11,107.641383
2016-11-14,2016-11-14,108.996546
2016-11-15,2016-11-15,109.231818
2016-11-16,2016-11-16,108.309554
2016-11-17,2016-11-17,108.695399
2016-11-18,2016-11-18,107.217894
2016-11-21,2016-11-21,107.50022
2016-11-22,2016-11-22,105.674514
2016-11-23,2016-11-23,105.95684
2016-11-25,2016-11-25,106.192111
2016-11-28,2016-11-28,105.288669
2016-11-29,2016-11-29,106.032126
2016-11-30,2016-11-30,106.257987
2016-12-01,2016-12-01,108.149569
2016-12-02,2016-12-02,108.827151
2016-12-05,2016-12-05,110.963416
2016-12-06,2016-12-06,112.083308
2016-12-07,2016-12-07,113.730208
2016-12-08,2016-12-08,115.085371
2016-12-09,2016-12-09,115.50886
2016-12-12,2016-12-12,115.367697
2016-12-13,2016-12-13,116.158209
2016-12-14,2016-12-14,114.445433
2016-12-15,2016-12-15,115.123014
2016-12-16,2016-12-16,115.433573
2016-12-19,2016-12-19,115.198301
2016-12-20,2016-12-20,115.207712
2016-12-21,2016-12-21,114.050177
2016-12-22,2016-12-22,113.579634
2016-12-23,2016-12-23,113.076669
2016-12-27,2016-12-27,112.85423
2016-12-28,2016-12-28,112.148226
2016-12-29,2016-12-29,111.790388
2016-12-30,2016-12-30,111.558277
2017-01-03,2017-01-03,110.639505
2017-01-04,2017-01-04,111.722689
2017-01-05,2017-01-05,112.109541
2017-01-06,2017-01-06,113.337794
2017-01-09,2017-01-09,112.506063
2017-01-10,2017-01-10,112.47705
2017-01-11,2017-01-11,112.090198
2017-01-12,2017-01-12,112.602776
2017-01-13,2017-01-13,113.028313
2017-01-17,2017-01-17,111.887101
2017-01-18,2017-01-18,113.395822
2017-01-19,2017-01-19,112.535077
2017-01-20,2017-01-20,112.825216
2017-01-23,2017-01-23,112.419022
