DATE,DATE,CLOSE
2016-11-01,2016-11-01,359.92
2016-11-02,2016-11-02,369.63
2016-11-03,2016-11-03,374.71
2016-11-04,2016-11-04,370.43
2016-11-07,2016-11-07,382.49
2016-11-08,2016-11-08,378.54
2016-11-09,2016-11-09,369.52
2016-11-10,2016-11-10,391.83
2016-11-11,2016-11-11,397.08
2016-11-14,2016-11-14,414.18
2016-11-15,2016-11-15,400.0
2016-11-16,2016-11-16,402.9
2016-11-17,2016-11-17,402.9
2016-11-18,2016-11-18,411.8
2016-11-21,2016-11-21,412.38
2016-11-22,2016-11-22,405.99
2016-11-23,2016-11-23,410.41
2016-11-25,2016-11-25,410.28
2016-11-28,2016-11-28,399.39
2016-11-29,2016-11-29,395.11
2016-11-30,2016-11-30,396.33
2016-12-01,2016-12-01,402.38
2016-12-02,2016-12-02,400.03
2016-12-05,2016-12-05,396.27
2016-12-06,2016-12-06,366.37
2016-12-07,2016-12-07,368.06
2016-12-08,2016-12-08,369.06
2016-12-09,2016-12-09,370.0
2016-12-12,2016-12-12,382.48
2016-12-13,2016-12-13,377.22
2016-12-14,2016-12-14,375.7
2016-12-15,2016-12-15,382.35
2016-12-16,2016-12-16,392.07
2016-12-19,2016-12-19,389.5
2016-12-20,2016-12-20,389.47
2016-12-21,2016-12-21,393.5
2016-12-22,2016-12-22,391.16
2016-12-23,2016-12-23,389.77
2016-12-27,2016-12-27,388.75
2016-12-28,2016-12-28,385.37
2016-12-29,2016-12-29,376.61
2016-12-30,2016-12-30,377.32
2017-01-03,2017-01-03,374.77
2017-01-04,2017-01-04,381.86
2017-01-05,2017-01-05,391.89
2017-01-06,2017-01-06,398.44
2017-01-09,2017-01-09,395.06
2017-01-10,2017-01-10,414.48
2017-01-11,2017-01-11,413.93
2017-01-12,2017-01-12,409.35
2017-01-13,2017-01-13,410.75
2017-01-17,2017-01-17,405.87
2017-01-18,2017-01-18,409.74
2017-01-19,2017-01-19,408.87
2017-01-20,2017-01-20,405.2
2017-01-23,2017-01-23,407.72
2017-01-24,2017-01-24,417.88
2017-01-25,2017-01-25,419.54
2017-01-26,2017-01-26,418.73
2017-01-27,2017-01-27,416.6
2017-01-30,2017-01-30,417.95
2017-01-31,2017-01-31,421.44
