DATE,DATE,CLOSE
2016-11-01,2016-11-01,41.53
2016-11-02,2016-11-02,40.87
2016-11-03,2016-11-03,41.16
2016-11-04,2016-11-04,40.78
2016-11-07,2016-11-07,41.71
2016-11-08,2016-11-08,41.98
2016-11-09,2016-11-09,40.34
2016-11-10,2016-11-10,39.49
2016-11-11,2016-11-11,39.75
2016-11-14,2016-11-14,39.49
2016-11-15,2016-11-15,39.99
2016-11-16,2016-11-16,39.92
2016-11-17,2016-11-17,39.77
2016-11-18,2016-11-18,39.72
2016-11-21,2016-11-21,40.18
2016-11-22,2016-11-22,40.53
2016-11-23,2016-11-23,39.72
2016-11-25,2016-11-25,40.6
2016-11-28,2016-11-28,41.52
2016-11-29,2016-11-29,41.84
2016-11-30,2016-11-30,40.22
2016-12-01,2016-12-01,39.69
2016-12-02,2016-12-02,39.94
2016-12-05,2016-12-05,39.92
2016-12-06,2016-12-06,39.92
2016-12-07,2016-12-07,40.57
2016-12-08,2016-12-08,40.61
2016-12-09,2016-12-09,41.12
2016-12-12,2016-12-12,41.72
2016-12-13,2016-12-13,41.53
2016-12-14,2016-12-14,40.82
2016-12-15,2016-12-15,40.9
2016-12-16,2016-12-16,41.5
2016-12-19,2016-12-19,41.89
2016-12-20,2016-12-20,41.71
2016-12-21,2016-12-21,41.56
2016-12-22,2016-12-22,41.59
2016-12-23,2016-12-23,41.7
2016-12-27,2016-12-27,41.69
2016-12-28,2016-12-28,41.3
2016-12-29,2016-12-29,41.77
2016-12-30,2016-12-30,41.62
2017-01-03,2017-01-03,41.53
2017-01-04,2017-01-04,41.76
2017-01-05,2017-01-05,41.99
2017-01-06,2017-01-06,42.15
2017-01-09,2017-01-09,41.58
2017-01-10,2017-01-10,41.51
2017-01-11,2017-01-11,41.95
2017-01-12,2017-01-12,41.9
2017-01-13,2017-01-13,41.94
2017-01-17,2017-01-17,42.2
2017-01-18,2017-01-18,42.19
2017-01-19,2017-01-19,42.13
2017-01-20,2017-01-20,42.33
2017-01-23,2017-01-23,42.29
2017-01-24,2017-01-24,41.97
2017-01-25,2017-01-25,41.81
2017-01-26,2017-01-26,41.96
2017-01-27,2017-01-27,41.78
2017-01-30,2017-01-30,42.04
2017-01-31,2017-01-31,42.6
2017-02-01,2017-02-01,42.12
2017-02-02,2017-02-02,42.76
2017-02-03,2017-02-03,42.62
2017-02-06,2017-02-06,42.45
2017-02-07,2017-02-07,42.51
2017-02-08,2017-02-08,42.9
2017-02-09,2017-02-09,42.74
2017-02-10,2017-02-10,42.93
2017-02-13,2017-02-13,43.13
2017-02-14,2017-02-14,42.78
2017-02-15,2017-02-15,42.77
2017-02-16,2017-02-16,43.09
2017-02-17,2017-02-17,43.22
2017-02-21,2017-02-21,43.54
2017-02-22,2017-02-22,43.76
2017-02-23,2017-02-23,44.19
2017-02-24,2017-02-24,44.68
2017-02-27,2017-02-27,44.3
2017-02-28,2017-02-28,44.52
2017-03-01,2017-03-01,44.13
2017-03-02,2017-03-02,44.52
2017-03-03,2017-03-03,44.3
2017-03-06,2017-03-06,44.35
2017-03-07,2017-03-07,44.44
2017-03-08,2017-03-08,43.67
2017-03-09,2017-03-09,43.72
2017-03-10,2017-03-10,44.14
2017-03-13,2017-03-13,44.19
2017-03-14,2017-03-14,44.23
2017-03-15,2017-03-15,45.0
2017-03-16,2017-03-16,44.39
2017-03-17,2017-03-17,44.71
2017-03-20,2017-03-20,44.25
2017-03-21,2017-03-21,45.01
2017-03-22,2017-03-22,45.19
2017-03-23,2017-03-23,45.1
2017-03-24,2017-03-24,45.28
2017-03-27,2017-03-27,45.1
2017-03-28,2017-03-28,45.16
2017-03-29,2017-03-29,44.82
2017-03-30,2017-03-30,44.63
2017-03-31,2017-03-31,44.74
2017-04-03,2017-04-03,44.83
2017-04-04,2017-04-04,44.91
2017-04-05,2017-04-05,45.26
2017-04-06,2017-04-06,45.1
2017-04-07,2017-04-07,44.95
2017-04-10,2017-04-10,45.24
2017-04-11,2017-04-11,45.3
2017-04-12,2017-04-12,45.55
2017-04-13,2017-04-13,45.21
2017-04-17,2017-04-17,45.55
2017-04-18,2017-04-18,45.69
2017-04-19,2017-04-19,45.14
2017-04-20,2017-04-20,44.82
