DATE,DATE,CLOSE
2016-11-01,2016-11-01,73.23
2016-11-02,2016-11-02,72.61
2016-11-03,2016-11-03,72.32
2016-11-04,2016-11-04,73.1
2016-11-07,2016-11-07,74.84
2016-11-08,2016-11-08,72.84
2016-11-09,2016-11-09,76.3
2016-11-10,2016-11-10,79.23
2016-11-11,2016-11-11,80.99
2016-11-14,2016-11-14,83.76
2016-11-15,2016-11-15,82.15
2016-11-16,2016-11-16,80.22
2016-11-17,2016-11-17,81.56
2016-11-18,2016-11-18,82.01
2016-11-21,2016-11-21,83.21
2016-11-22,2016-11-22,82.59
2016-11-23,2016-11-23,84.62
2016-11-25,2016-11-25,84.57
2016-11-28,2016-11-28,83.24
2016-11-29,2016-11-29,82.6
2016-11-30,2016-11-30,84.04
2016-12-01,2016-12-01,86.61
2016-12-02,2016-12-02,86.0
2016-12-05,2016-12-05,86.71
2016-12-06,2016-12-06,87.84
2016-12-07,2016-12-07,89.58
2016-12-08,2016-12-08,90.61
2016-12-09,2016-12-09,90.45
2016-12-12,2016-12-12,89.42
2016-12-13,2016-12-13,89.45
2016-12-14,2016-12-14,88.95
2016-12-15,2016-12-15,90.36
2016-12-16,2016-12-16,89.67
2016-12-19,2016-12-19,90.04
2016-12-20,2016-12-20,90.62
2016-12-21,2016-12-21,90.44
2016-12-22,2016-12-22,89.19
2016-12-23,2016-12-23,89.68
2016-12-27,2016-12-27,89.76
2016-12-28,2016-12-28,88.19
2016-12-29,2016-12-29,87.11
2016-12-30,2016-12-30,87.24
2017-01-03,2017-01-03,88.87
2017-01-04,2017-01-04,90.3
2017-01-05,2017-01-05,88.38
2017-01-06,2017-01-06,88.6
2017-01-09,2017-01-09,87.44
2017-01-10,2017-01-10,88.98
2017-01-11,2017-01-11,89.14
2017-01-12,2017-01-12,87.89
2017-01-13,2017-01-13,88.85
2017-01-17,2017-01-17,86.37
2017-01-18,2017-01-18,87.28
2017-01-19,2017-01-19,86.72
2017-01-20,2017-01-20,87.34
2017-01-23,2017-01-23,86.87
2017-01-24,2017-01-24,88.73
2017-01-25,2017-01-25,88.38
2017-01-26,2017-01-26,89.71
2017-01-27,2017-01-27,89.15
2017-01-30,2017-01-30,88.81
2017-01-31,2017-01-31,87.39
2017-02-01,2017-02-01,87.51
2017-02-02,2017-02-02,86.34
2017-02-03,2017-02-03,87.92
2017-02-06,2017-02-06,87.62
2017-02-07,2017-02-07,88.11
2017-02-08,2017-02-08,87.54
