DATE,DATE,CLOSE
2016-11-01,2016-11-01,43.54
2016-11-02,2016-11-02,43.23
2016-11-03,2016-11-03,43.6
2016-11-04,2016-11-04,42.76
2016-11-07,2016-11-07,43.92
2016-11-08,2016-11-08,44.33
2016-11-09,2016-11-09,45.73
2016-11-10,2016-11-10,44.78
2016-11-11,2016-11-11,43.94
2016-11-14,2016-11-14,44.13
2016-11-15,2016-11-15,45.28
2016-11-16,2016-11-16,44.38
2016-11-17,2016-11-17,43.61
2016-11-18,2016-11-18,44.76
2016-11-21,2016-11-21,46.36
2016-11-22,2016-11-22,46.07
2016-11-23,2016-11-23,46.3
2016-11-25,2016-11-25,45.75
2016-11-28,2016-11-28,45.5
2016-11-29,2016-11-29,44.23
2016-11-30,2016-11-30,48.52
2016-12-01,2016-12-01,48.22
2016-12-02,2016-12-02,48.12
2016-12-05,2016-12-05,48.88
2016-12-06,2016-12-06,49.9
2016-12-07,2016-12-07,49.9
2016-12-08,2016-12-08,49.78
2016-12-09,2016-12-09,50.77
2016-12-12,2016-12-12,51.38
2016-12-13,2016-12-13,52.64
2016-12-14,2016-12-14,51.49
2016-12-15,2016-12-15,51.74
2016-12-16,2016-12-16,51.94
2016-12-19,2016-12-19,51.98
2016-12-20,2016-12-20,51.55
2016-12-21,2016-12-21,51.48
2016-12-22,2016-12-22,51.54
2016-12-23,2016-12-23,51.37
2016-12-27,2016-12-27,51.6
2016-12-28,2016-12-28,50.77
2016-12-29,2016-12-29,50.54
2016-12-30,2016-12-30,50.14
2017-01-03,2017-01-03,50.61
2017-01-04,2017-01-04,51.08
2017-01-05,2017-01-05,50.93
2017-01-06,2017-01-06,50.74
2017-01-09,2017-01-09,49.66
2017-01-10,2017-01-10,49.66
2017-01-11,2017-01-11,51.22
2017-01-12,2017-01-12,50.15
2017-01-13,2017-01-13,50.59
2017-01-17,2017-01-17,50.15
2017-01-18,2017-01-18,50.27
2017-01-19,2017-01-19,49.86
2017-01-20,2017-01-20,50.73
2017-01-23,2017-01-23,49.94
2017-01-24,2017-01-24,50.27
2017-01-25,2017-01-25,50.69
2017-01-26,2017-01-26,50.63
2017-01-27,2017-01-27,49.43
2017-01-30,2017-01-30,47.48
2017-01-31,2017-01-31,48.76
2017-02-01,2017-02-01,48.5
2017-02-02,2017-02-02,48.69
2017-02-03,2017-02-03,50.43
2017-02-06,2017-02-06,50.09
2017-02-07,2017-02-07,49.42
2017-02-08,2017-02-08,49.6
2017-02-09,2017-02-09,49.81
2017-02-10,2017-02-10,50.14
2017-02-13,2017-02-13,49.7
2017-02-14,2017-02-14,50.14
2017-02-15,2017-02-15,49.36
2017-02-16,2017-02-16,48.34
2017-02-17,2017-02-17,47.51
2017-02-21,2017-02-21,48.13
2017-02-22,2017-02-22,47.1
2017-02-23,2017-02-23,47.3
2017-02-24,2017-02-24,47.04
2017-02-27,2017-02-27,47.36
2017-02-28,2017-02-28,47.57
2017-03-01,2017-03-01,49.05
2017-03-02,2017-03-02,48.21
2017-03-03,2017-03-03,47.82
2017-03-06,2017-03-06,48.32
2017-03-07,2017-03-07,47.72
2017-03-08,2017-03-08,45.91
2017-03-09,2017-03-09,46.48
2017-03-10,2017-03-10,45.67
2017-03-13,2017-03-13,45.84
2017-03-14,2017-03-14,44.94
2017-03-15,2017-03-15,45.84
2017-03-16,2017-03-16,45.84
2017-03-17,2017-03-17,45.69
2017-03-20,2017-03-20,45.86
2017-03-21,2017-03-21,45.18
2017-03-22,2017-03-22,44.65
2017-03-23,2017-03-23,44.48
2017-03-24,2017-03-24,44.1
2017-03-27,2017-03-27,44.29
2017-03-28,2017-03-28,45.38
2017-03-29,2017-03-29,45.95
2017-03-30,2017-03-30,50.0
2017-03-31,2017-03-31,49.87
2017-04-03,2017-04-03,49.45
2017-04-04,2017-04-04,49.73
2017-04-05,2017-04-05,49.11
2017-04-06,2017-04-06,49.81
2017-04-07,2017-04-07,49.54
2017-04-10,2017-04-10,50.15
2017-04-11,2017-04-11,50.15
2017-04-12,2017-04-12,49.44
2017-04-13,2017-04-13,48.62
2017-04-17,2017-04-17,48.95
2017-04-18,2017-04-18,48.69
2017-04-19,2017-04-19,48.0
2017-04-20,2017-04-20,47.95
2017-04-21,2017-04-21,47.74
2017-04-24,2017-04-24,47.91
2017-04-25,2017-04-25,48.79
2017-04-26,2017-04-26,48.34
2017-04-27,2017-04-27,47.86
2017-04-28,2017-04-28,47.91
2017-05-01,2017-05-01,47.48
2017-05-02,2017-05-02,46.7
2017-05-03,2017-05-03,47.08
2017-05-04,2017-05-04,45.92
2017-05-05,2017-05-05,46.77
2017-05-08,2017-05-08,47.13
2017-05-09,2017-05-09,46.27
2017-05-10,2017-05-10,47.61
2017-05-11,2017-05-11,47.42
2017-05-12,2017-05-12,46.97
2017-05-15,2017-05-15,47.44
2017-05-16,2017-05-16,47.13
2017-05-17,2017-05-17,46.41
2017-05-18,2017-05-18,46.42
2017-05-19,2017-05-19,47.48
2017-05-22,2017-05-22,46.93
2017-05-23,2017-05-23,46.76
2017-05-24,2017-05-24,46.67
2017-05-25,2017-05-25,45.05
2017-05-26,2017-05-26,45.35
2017-05-30,2017-05-30,44.79
2017-05-31,2017-05-31,44.69
2017-06-01,2017-06-01,44.86
2017-06-02,2017-06-02,44.26
2017-06-05,2017-06-05,44.02
2017-06-06,2017-06-06,44.48
2017-06-07,2017-06-07,43.56
2017-06-08,2017-06-08,43.07
2017-06-09,2017-06-09,44.82
2017-06-12,2017-06-12,45.72
2017-06-13,2017-06-13,46.43
2017-06-14,2017-06-14,45.42
2017-06-15,2017-06-15,45.39
2017-06-16,2017-06-16,46.53
2017-06-19,2017-06-19,46.36
2017-06-20,2017-06-20,45.82
2017-06-21,2017-06-21,44.95
2017-06-22,2017-06-22,44.81
2017-06-23,2017-06-23,44.83
2017-06-26,2017-06-26,44.23
2017-06-27,2017-06-27,43.97
2017-06-28,2017-06-28,43.96
2017-06-29,2017-06-29,44.08
2017-06-30,2017-06-30,43.96
2017-07-03,2017-07-03,45.66
2017-07-05,2017-07-05,44.16
2017-07-06,2017-07-06,43.31
2017-07-07,2017-07-07,43.0
2017-07-10,2017-07-10,43.24
2017-07-11,2017-07-11,43.35
2017-07-12,2017-07-12,43.24
2017-07-13,2017-07-13,43.25
2017-07-14,2017-07-14,43.45
2017-07-17,2017-07-17,43.19
2017-07-18,2017-07-18,43.07
2017-07-19,2017-07-19,43.66
2017-07-20,2017-07-20,43.23
2017-07-21,2017-07-21,42.65
2017-07-24,2017-07-24,42.61
2017-07-25,2017-07-25,43.65
2017-07-26,2017-07-26,43.7
2017-07-27,2017-07-27,44.66
2017-07-28,2017-07-28,45.26
2017-07-31,2017-07-31,45.37
2017-08-01,2017-08-01,44.75
2017-08-02,2017-08-02,45.61
2017-08-03,2017-08-03,44.91
2017-08-04,2017-08-04,45.56
2017-08-07,2017-08-07,45.17
2017-08-08,2017-08-08,45.63
2017-08-09,2017-08-09,45.65
2017-08-10,2017-08-10,44.97
2017-08-11,2017-08-11,44.79
2017-08-14,2017-08-14,44.54
2017-08-15,2017-08-15,44.5
2017-08-16,2017-08-16,43.69
2017-08-17,2017-08-17,43.0
2017-08-18,2017-08-18,43.11
2017-08-21,2017-08-21,42.5
2017-08-22,2017-08-22,43.19
2017-08-23,2017-08-23,43.69
2017-08-24,2017-08-24,43.3
2017-08-25,2017-08-25,43.58
2017-08-28,2017-08-28,43.05
2017-08-29,2017-08-29,42.85
2017-08-30,2017-08-30,43.41
2017-08-31,2017-08-31,43.66
2017-09-01,2017-09-01,44.24
2017-09-05,2017-09-05,44.39
2017-09-06,2017-09-06,45.06
2017-09-07,2017-09-07,45.11
2017-09-08,2017-09-08,44.47
2017-09-11,2017-09-11,44.93
2017-09-12,2017-09-12,44.93
2017-09-13,2017-09-13,45.56
2017-09-14,2017-09-14,45.83
2017-09-15,2017-09-15,46.51
2017-09-18,2017-09-18,47.09
2017-09-19,2017-09-19,47.55
2017-09-20,2017-09-20,48.33
2017-09-21,2017-09-21,48.69
2017-09-22,2017-09-22,49.08
2017-09-25,2017-09-25,49.98
2017-09-26,2017-09-26,49.67
2017-09-27,2017-09-27,50.22
2017-09-28,2017-09-28,50.0
2017-09-29,2017-09-29,50.05
2017-10-02,2017-10-02,50.31
2017-10-03,2017-10-03,49.24
2017-10-04,2017-10-04,49.31
2017-10-05,2017-10-05,49.7
2017-10-06,2017-10-06,48.86
2017-10-09,2017-10-09,48.91
2017-10-10,2017-10-10,49.19
2017-10-11,2017-10-11,49.6
2017-10-12,2017-10-12,49.81
2017-10-13,2017-10-13,49.4
2017-10-16,2017-10-16,49.72
2017-10-17,2017-10-17,49.72
2017-10-18,2017-10-18,49.71
2017-10-19,2017-10-19,49.71
2017-10-20,2017-10-20,50.25
2017-10-23,2017-10-23,50.26
2017-10-24,2017-10-24,50.99
2017-10-25,2017-10-25,49.96
2017-10-26,2017-10-26,51.46
2017-10-27,2017-10-27,51.21
2017-10-30,2017-10-30,51.39
2017-10-31,2017-10-31,51.15
2017-11-01,2017-11-01,52.1
2017-11-02,2017-11-02,52.48
2017-11-03,2017-11-03,52.96
2017-11-06,2017-11-06,53.67
2017-11-07,2017-11-07,53.48
2017-11-08,2017-11-08,53.52
2017-11-09,2017-11-09,53.53
2017-11-10,2017-11-10,52.99
2017-11-13,2017-11-13,52.57
2017-11-14,2017-11-14,51.23
2017-11-15,2017-11-15,50.49
2017-11-16,2017-11-16,50.22
2017-11-17,2017-11-17,50.13
2017-11-20,2017-11-20,50.08
2017-11-21,2017-11-21,50.01
2017-11-22,2017-11-22,50.22
2017-11-24,2017-11-24,50.47
2017-11-27,2017-11-27,49.16
2017-11-28,2017-11-28,50.13
2017-11-29,2017-11-29,50.73
2017-11-30,2017-11-30,50.88
2017-12-01,2017-12-01,51.74
2017-12-04,2017-12-04,51.29
2017-12-05,2017-12-05,51.23
2017-12-06,2017-12-06,50.38
2017-12-07,2017-12-07,50.54
2017-12-08,2017-12-08,51.57
2017-12-11,2017-12-11,51.69
2017-12-12,2017-12-12,51.96
2017-12-13,2017-12-13,51.68
2017-12-14,2017-12-14,52.31
2017-12-15,2017-12-15,52.17
2017-12-18,2017-12-18,52.34
2017-12-19,2017-12-19,52.68
2017-12-20,2017-12-20,54.25
2017-12-21,2017-12-21,55.95
2017-12-22,2017-12-22,55.5
2017-12-26,2017-12-26,56.23
2017-12-27,2017-12-27,55.59
2017-12-28,2017-12-28,55.18
2017-12-29,2017-12-29,54.89
2018-01-02,2018-01-02,55.32
2018-01-03,2018-01-03,56.34
2018-01-04,2018-01-04,56.99
2018-01-05,2018-01-05,56.88
2018-01-08,2018-01-08,57.46
2018-01-09,2018-01-09,57.93
2018-01-10,2018-01-10,57.65
2018-01-11,2018-01-11,59.18
2018-01-12,2018-01-12,60.05
2018-01-16,2018-01-16,58.84
2018-01-17,2018-01-17,59.86
2018-01-18,2018-01-18,59.76
2018-01-19,2018-01-19,59.75
2018-01-22,2018-01-22,60.67
2018-01-23,2018-01-23,60.47
2018-01-24,2018-01-24,60.49
2018-01-25,2018-01-25,59.48
2018-01-26,2018-01-26,60.39
2018-01-29,2018-01-29,59.66
2018-01-30,2018-01-30,58.46
2018-01-31,2018-01-31,58.81
2018-02-01,2018-02-01,59.35
2018-02-02,2018-02-02,57.72
2018-02-05,2018-02-05,55.94
2018-02-06,2018-02-06,55.94
2018-02-07,2018-02-07,55.63
2018-02-08,2018-02-08,53.24
2018-02-09,2018-02-09,52.02
2018-02-12,2018-02-12,53.41
2018-02-13,2018-02-13,53.32
2018-02-14,2018-02-14,55.51
2018-02-15,2018-02-15,54.54
2018-02-16,2018-02-16,54.65
2018-02-20,2018-02-20,54.84
2018-02-21,2018-02-21,53.75
2018-02-22,2018-02-22,54.91
2018-02-23,2018-02-23,57.05
2018-02-26,2018-02-26,56.59
2018-02-27,2018-02-27,55.83
2018-02-28,2018-02-28,54.31
2018-03-01,2018-03-01,53.88
2018-03-02,2018-03-02,54.06
2018-03-05,2018-03-05,53.99
2018-03-06,2018-03-06,54.06
2018-03-07,2018-03-07,54.07
2018-03-08,2018-03-08,53.57
2018-03-09,2018-03-09,55.06
2018-03-12,2018-03-12,54.74
2018-03-13,2018-03-13,53.96
2018-03-14,2018-03-14,53.96
2018-03-15,2018-03-15,54.03
2018-03-16,2018-03-16,54.93
2018-03-19,2018-03-19,53.57
2018-03-20,2018-03-20,54.7
2018-03-21,2018-03-21,57.04
2018-03-22,2018-03-22,56.5
2018-03-23,2018-03-23,57.74
2018-03-26,2018-03-26,59.08
2018-03-27,2018-03-27,59.14
2018-03-28,2018-03-28,58.73
2018-03-29,2018-03-29,59.29
2018-04-02,2018-04-02,58.09
2018-04-03,2018-04-03,60.03
2018-04-04,2018-04-04,59.56
2018-04-05,2018-04-05,60.46
2018-04-06,2018-04-06,59.26
2018-04-09,2018-04-09,60.62
2018-04-10,2018-04-10,62.34
2018-04-11,2018-04-11,63.23
2018-04-12,2018-04-12,63.24
2018-04-13,2018-04-13,64.9
2018-04-16,2018-04-16,65.73
2018-04-17,2018-04-17,66.51
2018-04-18,2018-04-18,66.42
2018-04-19,2018-04-19,66.31
2018-04-20,2018-04-20,65.79
2018-04-23,2018-04-23,65.48
2018-04-24,2018-04-24,65.31
2018-04-25,2018-04-25,65.06
