DATE,DATE,CLOSE
2016-11-01,2016-11-01,25.965
2016-11-02,2016-11-02,25.905
2016-11-03,2016-11-03,26.025
2016-11-04,2016-11-04,25.395
2016-11-07,2016-11-07,25.935
2016-11-08,2016-11-08,26.245
2016-11-09,2016-11-09,26.67
2016-11-10,2016-11-10,26.63
2016-11-11,2016-11-11,27.035
2016-11-14,2016-11-14,27.59
2016-11-15,2016-11-15,27.585
2016-11-16,2016-11-16,27.9
2016-11-17,2016-11-17,28.32
2016-11-18,2016-11-18,28.03
2016-11-21,2016-11-21,28.12
2016-11-22,2016-11-22,26.865
2016-11-23,2016-11-23,27.255
2016-11-25,2016-11-25,27.315
2016-11-28,2016-11-28,27.16
2016-11-29,2016-11-29,27.27
2016-11-30,2016-11-30,27.36
2016-12-01,2016-12-01,27.345
2016-12-02,2016-12-02,27.195
2016-12-05,2016-12-05,27.29
2016-12-06,2016-12-06,27.41
2016-12-07,2016-12-07,27.965
2016-12-08,2016-12-08,27.865
2016-12-09,2016-12-09,27.675
2016-12-12,2016-12-12,27.885
2016-12-13,2016-12-13,28.085
2016-12-14,2016-12-14,28.01
2016-12-15,2016-12-15,28.065
2016-12-16,2016-12-16,27.925
2016-12-19,2016-12-19,27.95
2016-12-20,2016-12-20,28.275
2016-12-21,2016-12-21,28.13
2016-12-22,2016-12-22,27.685
2016-12-23,2016-12-23,27.775
2016-12-27,2016-12-27,28.005
2016-12-28,2016-12-28,27.775
2016-12-29,2016-12-29,27.765
2016-12-30,2016-12-30,27.705
2017-01-03,2017-01-03,27.86
2017-01-04,2017-01-04,28.23
2017-01-05,2017-01-05,28.2
2017-01-06,2017-01-06,28.34
2017-01-09,2017-01-09,28.265
2017-01-10,2017-01-10,28.355
2017-01-11,2017-01-11,28.655
2017-01-12,2017-01-12,28.42
2017-01-13,2017-01-13,28.7
2017-01-17,2017-01-17,28.275
2017-01-18,2017-01-18,28.33
2017-01-19,2017-01-19,28.26
2017-01-20,2017-01-20,28.475
2017-01-23,2017-01-23,28.19
2017-01-24,2017-01-24,28.69
2017-01-25,2017-01-25,28.805
2017-01-26,2017-01-26,28.535
2017-01-27,2017-01-27,28.51
2017-01-30,2017-01-30,28.465
2017-01-31,2017-01-31,28.37
2017-02-01,2017-02-01,27.98
2017-02-02,2017-02-02,27.83
2017-02-03,2017-02-03,28.265
2017-02-06,2017-02-06,28.26
2017-02-07,2017-02-07,28.415
2017-02-08,2017-02-08,28.595
2017-02-09,2017-02-09,28.91
2017-02-10,2017-02-10,29.085
2017-02-13,2017-02-13,29.35
2017-02-14,2017-02-14,29.3
2017-02-15,2017-02-15,29.64
2017-02-16,2017-02-16,29.915
2017-02-17,2017-02-17,29.505
2017-02-21,2017-02-21,30.15
2017-02-22,2017-02-22,29.225
2017-02-23,2017-02-23,29.7
2017-02-24,2017-02-24,29.495
2017-02-27,2017-02-27,29.76
2017-02-28,2017-02-28,29.57
2017-03-01,2017-03-01,30.005
2017-03-02,2017-03-02,30.06
2017-03-03,2017-03-03,30.245
2017-03-06,2017-03-06,30.32
2017-03-07,2017-03-07,30.315
2017-03-08,2017-03-08,30.285
2017-03-09,2017-03-09,30.225
2017-03-10,2017-03-10,30.28
2017-03-13,2017-03-13,30.295
2017-03-14,2017-03-14,30.205
2017-03-15,2017-03-15,30.54
2017-03-16,2017-03-16,30.635
2017-03-17,2017-03-17,30.745
2017-03-20,2017-03-20,30.9
2017-03-21,2017-03-21,30.38
2017-03-22,2017-03-22,30.605
2017-03-23,2017-03-23,30.705
2017-03-24,2017-03-24,30.66
2017-03-27,2017-03-27,31.04
2017-03-28,2017-03-28,31.2
2017-03-29,2017-03-29,31.15
2017-03-30,2017-03-30,31.04
2017-03-31,2017-03-31,30.965
2017-04-03,2017-04-03,30.4
2017-04-04,2017-04-04,29.98
2017-04-05,2017-04-05,29.84
2017-04-06,2017-04-06,30.005
2017-04-07,2017-04-07,29.84
2017-04-10,2017-04-10,30.055
2017-04-11,2017-04-11,30.12
2017-04-12,2017-04-12,29.83
2017-04-13,2017-04-13,29.65
2017-04-17,2017-04-17,29.92
2017-04-18,2017-04-18,29.82
2017-04-19,2017-04-19,29.98
2017-04-20,2017-04-20,30.23
2017-04-21,2017-04-21,30.24
2017-04-24,2017-04-24,30.68
2017-04-25,2017-04-25,30.86
2017-04-26,2017-04-26,30.99
2017-04-27,2017-04-27,31.18
2017-04-28,2017-04-28,30.9
2017-05-01,2017-05-01,30.64
2017-05-02,2017-05-02,30.65
2017-05-03,2017-05-03,30.27
2017-05-04,2017-05-04,30.52
2017-05-05,2017-05-05,30.65
2017-05-08,2017-05-08,30.5
2017-05-09,2017-05-09,30.41
2017-05-10,2017-05-10,30.17
2017-05-11,2017-05-11,29.92
2017-05-12,2017-05-12,29.89
2017-05-15,2017-05-15,29.98
2017-05-16,2017-05-16,29.97
2017-05-17,2017-05-17,29.18
2017-05-18,2017-05-18,29.34
2017-05-19,2017-05-19,29.31
2017-05-22,2017-05-22,29.7
2017-05-23,2017-05-23,30.02
2017-05-24,2017-05-24,29.98
2017-05-25,2017-05-25,31.41
2017-05-26,2017-05-26,31.05
2017-05-30,2017-05-30,30.89
2017-05-31,2017-05-31,31.19
2017-06-01,2017-06-01,31.79
2017-06-02,2017-06-02,31.72
2017-06-05,2017-06-05,31.29
2017-06-06,2017-06-06,30.98
2017-06-07,2017-06-07,31.16
2017-06-08,2017-06-08,31.07
2017-06-09,2017-06-09,31.35
2017-06-12,2017-06-12,31.44
2017-06-13,2017-06-13,31.57
