DATE,DATE,CLOSE
2016-11-01,2016-11-01,75.45
2016-11-02,2016-11-02,75.0
2016-11-03,2016-11-03,74.14
2016-11-04,2016-11-04,74.37
2016-11-07,2016-11-07,76.3
2016-11-08,2016-11-08,76.55
2016-11-09,2016-11-09,75.9
2016-11-10,2016-11-10,73.63
2016-11-11,2016-11-11,74.59
2016-11-14,2016-11-14,72.76
2016-11-15,2016-11-15,74.02
2016-11-16,2016-11-16,73.31
2016-11-17,2016-11-17,75.19
2016-11-18,2016-11-18,77.77
2016-11-21,2016-11-21,76.15
2016-11-22,2016-11-22,75.57
2016-11-23,2016-11-23,73.95
2016-11-25,2016-11-25,73.73
2016-11-28,2016-11-28,72.93
2016-11-29,2016-11-29,72.93
2016-11-30,2016-11-30,72.0
2016-12-01,2016-12-01,68.46
2016-12-02,2016-12-02,68.41
2016-12-05,2016-12-05,70.8
2016-12-06,2016-12-06,70.62
2016-12-07,2016-12-07,71.78
2016-12-08,2016-12-08,71.86
2016-12-09,2016-12-09,71.17
2016-12-12,2016-12-12,70.38
2016-12-13,2016-12-13,71.61
2016-12-14,2016-12-14,71.33
2016-12-15,2016-12-15,70.23
2016-12-16,2016-12-16,69.86
2016-12-19,2016-12-19,69.51
2016-12-20,2016-12-20,69.86
2016-12-21,2016-12-21,70.11
2016-12-22,2016-12-22,69.9
2016-12-23,2016-12-23,69.87
2016-12-27,2016-12-27,69.85
2016-12-28,2016-12-28,69.09
2016-12-29,2016-12-29,69.15
2016-12-30,2016-12-30,68.46
2017-01-03,2017-01-03,70.54
2017-01-04,2017-01-04,72.8
2017-01-05,2017-01-05,72.79
2017-01-06,2017-01-06,73.8
2017-01-09,2017-01-09,73.96
2017-01-10,2017-01-10,73.98
2017-01-11,2017-01-11,75.77
2017-01-12,2017-01-12,75.21
2017-01-13,2017-01-13,75.64
2017-01-17,2017-01-17,75.02
2017-01-18,2017-01-18,75.78
2017-01-19,2017-01-19,75.57
2017-01-20,2017-01-20,76.03
2017-01-23,2017-01-23,76.16
2017-01-24,2017-01-24,77.11
2017-01-25,2017-01-25,78.47
2017-01-26,2017-01-26,77.95
2017-01-27,2017-01-27,78.21
2017-01-30,2017-01-30,78.71
2017-01-31,2017-01-31,79.1
2017-02-01,2017-02-01,78.58
2017-02-02,2017-02-02,80.13
2017-02-03,2017-02-03,80.21
2017-02-06,2017-02-06,79.75
2017-02-07,2017-02-07,80.21
2017-02-08,2017-02-08,80.7
2017-02-09,2017-02-09,81.03
2017-02-10,2017-02-10,80.64
2017-02-13,2017-02-13,80.91
2017-02-14,2017-02-14,80.92
2017-02-15,2017-02-15,81.67
2017-02-16,2017-02-16,80.82
2017-02-17,2017-02-17,81.47
2017-02-21,2017-02-21,82.18
2017-02-22,2017-02-22,82.08
2017-02-23,2017-02-23,82.07
2017-02-24,2017-02-24,81.78
2017-02-27,2017-02-27,81.54
2017-02-28,2017-02-28,81.35
2017-03-01,2017-03-01,83.81
2017-03-02,2017-03-02,82.67
2017-03-03,2017-03-03,82.22
2017-03-06,2017-03-06,82.5
2017-03-07,2017-03-07,82.97
2017-03-08,2017-03-08,83.48
2017-03-09,2017-03-09,83.28
2017-03-10,2017-03-10,83.51
2017-03-13,2017-03-13,83.61
2017-03-14,2017-03-14,83.51
2017-03-15,2017-03-15,83.48
2017-03-16,2017-03-16,83.52
2017-03-17,2017-03-17,83.03
2017-03-20,2017-03-20,82.9
2017-03-21,2017-03-21,81.55
2017-03-22,2017-03-22,81.88
2017-03-23,2017-03-23,81.52
2017-03-24,2017-03-24,81.61
2017-03-27,2017-03-27,81.61
2017-03-28,2017-03-28,82.14
2017-03-29,2017-03-29,82.38
2017-03-30,2017-03-30,82.56
2017-03-31,2017-03-31,82.49
2017-04-03,2017-04-03,82.31
2017-04-04,2017-04-04,82.97
2017-04-05,2017-04-05,85.34
2017-04-06,2017-04-06,85.0
2017-04-07,2017-04-07,84.38
2017-04-10,2017-04-10,84.24
2017-04-11,2017-04-11,83.86
2017-04-12,2017-04-12,83.37
2017-04-13,2017-04-13,83.13
2017-04-17,2017-04-17,84.2
2017-04-18,2017-04-18,83.71
2017-04-19,2017-04-19,83.5
2017-04-20,2017-04-20,84.05
2017-04-21,2017-04-21,83.79
2017-04-24,2017-04-24,84.17
2017-04-25,2017-04-25,84.75
2017-04-26,2017-04-26,84.95
2017-04-27,2017-04-27,85.85
2017-04-28,2017-04-28,86.12
2017-05-01,2017-05-01,86.66
2017-05-02,2017-05-02,87.09
2017-05-03,2017-05-03,86.55
2017-05-04,2017-05-04,86.52
2017-05-05,2017-05-05,86.97
2017-05-08,2017-05-08,86.86
2017-05-09,2017-05-09,87.13
2017-05-10,2017-05-10,87.31
2017-05-11,2017-05-11,87.71
2017-05-12,2017-05-12,89.04
2017-05-15,2017-05-15,89.8
2017-05-16,2017-05-16,89.75
2017-05-17,2017-05-17,87.84
2017-05-18,2017-05-18,87.75
2017-05-19,2017-05-19,87.4
2017-05-22,2017-05-22,88.94
2017-05-23,2017-05-23,88.49
2017-05-24,2017-05-24,89.6
2017-05-25,2017-05-25,91.27
2017-05-26,2017-05-26,90.83
2017-05-30,2017-05-30,90.86
2017-05-31,2017-05-31,89.64
2017-06-01,2017-06-01,90.05
2017-06-02,2017-06-02,90.86
2017-06-05,2017-06-05,91.38
2017-06-06,2017-06-06,91.1
2017-06-07,2017-06-07,91.39
2017-06-08,2017-06-08,91.25
2017-06-09,2017-06-09,87.27
2017-06-12,2017-06-12,86.18
2017-06-13,2017-06-13,87.27
2017-06-14,2017-06-14,87.17
2017-06-15,2017-06-15,86.27
2017-06-16,2017-06-16,86.0
2017-06-19,2017-06-19,87.54
2017-06-20,2017-06-20,86.92
2017-06-21,2017-06-21,87.56
2017-06-22,2017-06-22,88.47
2017-06-23,2017-06-23,88.62
2017-06-26,2017-06-26,88.11
2017-06-27,2017-06-27,87.68
2017-06-28,2017-06-28,88.09
2017-06-29,2017-06-29,86.8
2017-06-30,2017-06-30,86.6
2017-07-03,2017-07-03,86.1
2017-07-05,2017-07-05,87.5
2017-07-06,2017-07-06,86.85
2017-07-07,2017-07-07,87.92
2017-07-10,2017-07-10,88.5
2017-07-11,2017-07-11,88.35
2017-07-12,2017-07-12,90.4
2017-07-13,2017-07-13,89.57
2017-07-14,2017-07-14,90.0
2017-07-17,2017-07-17,89.29
2017-07-18,2017-07-18,89.27
2017-07-19,2017-07-19,89.56
2017-07-20,2017-07-20,90.54
2017-07-21,2017-07-21,89.69
2017-07-24,2017-07-24,89.67
2017-07-25,2017-07-25,90.63
2017-07-26,2017-07-26,91.07
2017-07-27,2017-07-27,90.51
2017-07-28,2017-07-28,90.62
2017-07-31,2017-07-31,90.8
2017-08-01,2017-08-01,91.22
2017-08-02,2017-08-02,89.89
2017-08-03,2017-08-03,90.35
2017-08-04,2017-08-04,90.45
2017-08-07,2017-08-07,90.5
2017-08-08,2017-08-08,90.26
2017-08-09,2017-08-09,90.12
2017-08-10,2017-08-10,87.63
2017-08-11,2017-08-11,88.29
2017-08-14,2017-08-14,90.25
2017-08-15,2017-08-15,90.7
2017-08-16,2017-08-16,92.24
2017-08-17,2017-08-17,90.88
2017-08-18,2017-08-18,90.76
2017-08-21,2017-08-21,91.76
2017-08-22,2017-08-22,92.95
2017-08-23,2017-08-23,93.07
2017-08-24,2017-08-24,94.15
2017-08-25,2017-08-25,94.1
2017-08-28,2017-08-28,93.66
2017-08-29,2017-08-29,93.83
2017-08-30,2017-08-30,94.86
2017-08-31,2017-08-31,95.49
2017-09-01,2017-09-01,96.01
2017-09-05,2017-09-05,96.18
2017-09-06,2017-09-06,95.82
2017-09-07,2017-09-07,96.73
2017-09-08,2017-09-08,96.43
2017-09-11,2017-09-11,97.71
2017-09-12,2017-09-12,96.85
2017-09-13,2017-09-13,95.61
2017-09-14,2017-09-14,95.3
2017-09-15,2017-09-15,94.63
2017-09-18,2017-09-18,95.74
2017-09-19,2017-09-19,95.35
2017-09-20,2017-09-20,95.21
2017-09-21,2017-09-21,94.86
2017-09-22,2017-09-22,94.94
2017-09-25,2017-09-25,92.47
2017-09-26,2017-09-26,92.34
2017-09-27,2017-09-27,93.21
2017-09-28,2017-09-28,92.6
2017-09-29,2017-09-29,93.42
2017-10-02,2017-10-02,93.94
2017-10-03,2017-10-03,95.36
2017-10-04,2017-10-04,95.52
2017-10-05,2017-10-05,95.73
2017-10-06,2017-10-06,96.32
2017-10-09,2017-10-09,96.27
2017-10-10,2017-10-10,95.39
2017-10-11,2017-10-11,96.01
2017-10-12,2017-10-12,96.74
2017-10-13,2017-10-13,96.94
2017-10-16,2017-10-16,97.15
2017-10-17,2017-10-17,96.72
2017-10-18,2017-10-18,96.44
2017-10-19,2017-10-19,97.19
2017-10-20,2017-10-20,98.9
2017-10-23,2017-10-23,98.44
2017-10-24,2017-10-24,98.66
2017-10-25,2017-10-25,99.59
2017-10-26,2017-10-26,100.05
2017-10-27,2017-10-27,100.7
2017-10-30,2017-10-30,100.7
2017-10-31,2017-10-31,102.34
2017-11-01,2017-11-01,101.95
2017-11-02,2017-11-02,102.6
2017-11-03,2017-11-03,102.71
2017-11-06,2017-11-06,102.42
2017-11-07,2017-11-07,102.72
2017-11-08,2017-11-08,105.03
2017-11-09,2017-11-09,103.6
2017-11-10,2017-11-10,105.24
2017-11-13,2017-11-13,105.78
2017-11-14,2017-11-14,106.23
2017-11-15,2017-11-15,105.43
2017-11-16,2017-11-16,107.03
2017-11-17,2017-11-17,107.58
2017-11-20,2017-11-20,107.37
2017-11-21,2017-11-21,108.8
2017-11-22,2017-11-22,106.83
2017-11-24,2017-11-24,107.15
2017-11-27,2017-11-27,106.58
2017-11-28,2017-11-28,106.46
2017-11-29,2017-11-29,103.53
2017-11-30,2017-11-30,104.32
2017-12-01,2017-12-01,103.83
2017-12-04,2017-12-04,99.85
2017-12-05,2017-12-05,100.69
2017-12-06,2017-12-06,102.92
2017-12-07,2017-12-07,104.07
2017-12-08,2017-12-08,103.44
2017-12-11,2017-12-11,104.54
2017-12-12,2017-12-12,103.67
2017-12-13,2017-12-13,103.94
2017-12-14,2017-12-14,104.24
2017-12-15,2017-12-15,105.48
2017-12-18,2017-12-18,105.08
2017-12-19,2017-12-19,104.26
2017-12-20,2017-12-20,103.39
2017-12-21,2017-12-21,103.62
2017-12-22,2017-12-22,102.63
2017-12-26,2017-12-26,102.54
2017-12-27,2017-12-27,102.65
2017-12-28,2017-12-28,102.79
2017-12-29,2017-12-29,102.23
2018-01-02,2018-01-02,104.41
2018-01-03,2018-01-03,105.29
2018-01-04,2018-01-04,106.68
2018-01-05,2018-01-05,108.1
2018-01-08,2018-01-08,108.86
2018-01-09,2018-01-09,109.15
2018-01-10,2018-01-10,108.8
2018-01-11,2018-01-11,109.1
2018-01-12,2018-01-12,110.24
2018-01-16,2018-01-16,108.89
2018-01-17,2018-01-17,110.04
2018-01-18,2018-01-18,111.77
2018-01-19,2018-01-19,111.93
2018-01-22,2018-01-22,112.89
2018-01-23,2018-01-23,113.24
2018-01-24,2018-01-24,112.85
2018-01-25,2018-01-25,111.96
2018-01-26,2018-01-26,113.7
2018-01-29,2018-01-29,113.3
2018-01-30,2018-01-30,112.23
2018-01-31,2018-01-31,113.91
2018-02-01,2018-02-01,112.74
2018-02-02,2018-02-02,110.78
2018-02-05,2018-02-05,107.65
2018-02-06,2018-02-06,109.57
2018-02-07,2018-02-07,110.05
2018-02-08,2018-02-08,104.03
2018-02-09,2018-02-09,106.98
2018-02-12,2018-02-12,108.55
2018-02-13,2018-02-13,107.69
2018-02-14,2018-02-14,109.02
2018-02-15,2018-02-15,113.12
2018-02-16,2018-02-16,112.86
2018-02-20,2018-02-20,114.35
2018-02-21,2018-02-21,114.48
2018-02-22,2018-02-22,113.0
2018-02-23,2018-02-23,114.96
2018-02-26,2018-02-26,116.65
2018-02-27,2018-02-27,116.47
2018-02-28,2018-02-28,116.25
2018-03-01,2018-03-01,119.43
2018-03-02,2018-03-02,121.92
2018-03-05,2018-03-05,122.5
2018-03-06,2018-03-06,124.48
2018-03-07,2018-03-07,125.33
2018-03-08,2018-03-08,126.36
2018-03-09,2018-03-09,127.41
2018-03-12,2018-03-12,126.78
2018-03-13,2018-03-13,126.73
2018-03-14,2018-03-14,127.99
2018-03-15,2018-03-15,127.22
2018-03-16,2018-03-16,125.97
2018-03-19,2018-03-19,124.98
2018-03-20,2018-03-20,125.12
2018-03-21,2018-03-21,121.7
2018-03-22,2018-03-22,118.04
2018-03-23,2018-03-23,114.43
2018-03-26,2018-03-26,118.97
2018-03-27,2018-03-27,113.81
2018-03-28,2018-03-28,112.88
2018-03-29,2018-03-29,116.3
2018-04-02,2018-04-02,115.3
2018-04-03,2018-04-03,116.49
2018-04-04,2018-04-04,119.48
2018-04-05,2018-04-05,119.04
2018-04-06,2018-04-06,116.1
2018-04-09,2018-04-09,117.19
2018-04-10,2018-04-10,119.49
2018-04-11,2018-04-11,119.16
2018-04-12,2018-04-12,121.4
2018-04-13,2018-04-13,119.01
2018-04-16,2018-04-16,119.41
2018-04-17,2018-04-17,123.35
2018-04-18,2018-04-18,124.46
2018-04-19,2018-04-19,124.06
2018-04-20,2018-04-20,122.82
2018-04-23,2018-04-23,121.89
2018-04-24,2018-04-24,117.88
2018-04-25,2018-04-25,117.32
2018-04-26,2018-04-26,120.83
2018-04-27,2018-04-27,120.22
2018-04-30,2018-04-30,120.99
2018-05-01,2018-05-01,123.11
