DATE,DATE,CLOSE
2016-11-01,2016-11-01,30.48
2016-11-02,2016-11-02,30.39
2016-11-03,2016-11-03,30.32
2016-11-04,2016-11-04,30.19
2016-11-07,2016-11-07,30.94
2016-11-08,2016-11-08,31.0
2016-11-09,2016-11-09,31.36
2016-11-10,2016-11-10,31.0
2016-11-11,2016-11-11,31.36
2016-11-14,2016-11-14,31.37
2016-11-15,2016-11-15,31.7
2016-11-16,2016-11-16,31.57
2016-11-17,2016-11-17,30.05
2016-11-18,2016-11-18,30.18
2016-11-21,2016-11-21,30.05
2016-11-22,2016-11-22,29.89
2016-11-23,2016-11-23,29.71
2016-11-25,2016-11-25,30.09
2016-11-28,2016-11-28,29.92
2016-11-29,2016-11-29,29.83
2016-11-30,2016-11-30,29.82
2016-12-01,2016-12-01,29.45
2016-12-02,2016-12-02,29.25
2016-12-05,2016-12-05,29.53
2016-12-06,2016-12-06,29.33
2016-12-07,2016-12-07,29.95
2016-12-08,2016-12-08,29.95
2016-12-09,2016-12-09,30.06
2016-12-12,2016-12-12,30.17
2016-12-13,2016-12-13,30.59
2016-12-14,2016-12-14,30.46
2016-12-15,2016-12-15,30.63
2016-12-16,2016-12-16,30.59
2016-12-19,2016-12-19,30.75
2016-12-20,2016-12-20,30.56
2016-12-21,2016-12-21,30.42
2016-12-22,2016-12-22,30.46
2016-12-23,2016-12-23,30.53
2016-12-27,2016-12-27,30.68
2016-12-28,2016-12-28,30.42
2016-12-29,2016-12-29,30.46
2016-12-30,2016-12-30,30.22
2017-01-03,2017-01-03,30.54
2017-01-04,2017-01-04,30.1
2017-01-05,2017-01-05,30.17
2017-01-06,2017-01-06,30.23
2017-01-09,2017-01-09,30.18
2017-01-10,2017-01-10,30.38
2017-01-11,2017-01-11,30.15
2017-01-12,2017-01-12,30.04
2017-01-13,2017-01-13,30.07
2017-01-17,2017-01-17,29.99
2017-01-18,2017-01-18,30.03
2017-01-19,2017-01-19,29.98
2017-01-20,2017-01-20,30.1
2017-01-23,2017-01-23,30.27
2017-01-24,2017-01-24,30.6
2017-01-25,2017-01-25,30.7
2017-01-26,2017-01-26,30.74
2017-01-27,2017-01-27,30.98
2017-01-30,2017-01-30,30.83
2017-01-31,2017-01-31,30.72
2017-02-01,2017-02-01,30.5
2017-02-02,2017-02-02,31.18
2017-02-03,2017-02-03,31.32
2017-02-06,2017-02-06,31.3
2017-02-07,2017-02-07,31.45
2017-02-08,2017-02-08,31.27
2017-02-09,2017-02-09,31.5
2017-02-10,2017-02-10,31.51
2017-02-13,2017-02-13,31.97
2017-02-14,2017-02-14,32.31
2017-02-15,2017-02-15,32.82
2017-02-16,2017-02-16,33.6
2017-02-17,2017-02-17,33.74
2017-02-21,2017-02-21,34.13
2017-02-22,2017-02-22,34.09
2017-02-23,2017-02-23,34.04
2017-02-24,2017-02-24,34.32
2017-02-27,2017-02-27,34.26
2017-02-28,2017-02-28,34.18
2017-03-01,2017-03-01,34.44
2017-03-02,2017-03-02,34.39
2017-03-03,2017-03-03,34.29
2017-03-06,2017-03-06,34.19
2017-03-07,2017-03-07,34.2
2017-03-08,2017-03-08,34.02
2017-03-09,2017-03-09,34.07
2017-03-10,2017-03-10,34.26
2017-03-13,2017-03-13,34.1
2017-03-14,2017-03-14,34.12
2017-03-15,2017-03-15,34.24
2017-03-16,2017-03-16,34.23
2017-03-17,2017-03-17,34.23
2017-03-20,2017-03-20,34.28
2017-03-21,2017-03-21,33.88
2017-03-22,2017-03-22,34.1
2017-03-23,2017-03-23,33.96
2017-03-24,2017-03-24,34.08
2017-03-27,2017-03-27,33.99
2017-03-28,2017-03-28,34.02
2017-03-29,2017-03-29,33.74
2017-03-30,2017-03-30,33.74
2017-03-31,2017-03-31,33.8
2017-04-03,2017-04-03,33.58
2017-04-04,2017-04-04,33.41
2017-04-05,2017-04-05,33.0
2017-04-06,2017-04-06,33.08
2017-04-07,2017-04-07,32.96
2017-04-10,2017-04-10,33.01
2017-04-11,2017-04-11,32.92
2017-04-12,2017-04-12,32.62
2017-04-13,2017-04-13,32.42
2017-04-17,2017-04-17,32.61
2017-04-18,2017-04-18,32.67
2017-04-19,2017-04-19,32.65
2017-04-20,2017-04-20,32.83
2017-04-21,2017-04-21,32.82
2017-04-24,2017-04-24,33.28
2017-04-25,2017-04-25,33.42
2017-04-26,2017-04-26,33.4
2017-04-27,2017-04-27,33.75
2017-04-28,2017-04-28,34.07
2017-05-01,2017-05-01,33.97
2017-05-02,2017-05-02,34.24
2017-05-03,2017-05-03,34.25
2017-05-04,2017-05-04,34.18
2017-05-05,2017-05-05,34.39
2017-05-08,2017-05-08,34.29
2017-05-09,2017-05-09,33.9
2017-05-10,2017-05-10,33.74
2017-05-11,2017-05-11,33.63
2017-05-12,2017-05-12,33.45
2017-05-15,2017-05-15,34.23
2017-05-16,2017-05-16,34.3
2017-05-17,2017-05-17,33.82
2017-05-18,2017-05-18,31.38
2017-05-19,2017-05-19,31.21
2017-05-22,2017-05-22,31.59
2017-05-23,2017-05-23,31.76
2017-05-24,2017-05-24,31.49
2017-05-25,2017-05-25,31.44
2017-05-26,2017-05-26,31.5
2017-05-30,2017-05-30,31.68
2017-05-31,2017-05-31,31.53
2017-06-01,2017-06-01,31.82
2017-06-02,2017-06-02,31.98
2017-06-05,2017-06-05,31.76
2017-06-06,2017-06-06,31.56
2017-06-07,2017-06-07,31.61
2017-06-08,2017-06-08,31.61
2017-06-09,2017-06-09,31.37
2017-06-12,2017-06-12,31.25
2017-06-13,2017-06-13,31.7
2017-06-14,2017-06-14,31.6
2017-06-15,2017-06-15,31.58
2017-06-16,2017-06-16,31.63
2017-06-19,2017-06-19,31.99
2017-06-20,2017-06-20,31.85
2017-06-21,2017-06-21,31.84
2017-06-22,2017-06-22,31.85
2017-06-23,2017-06-23,32.09
2017-06-26,2017-06-26,32.24
2017-06-27,2017-06-27,31.76
2017-06-28,2017-06-28,32.08
2017-06-29,2017-06-29,31.41
2017-06-30,2017-06-30,31.3
2017-07-03,2017-07-03,31.33
2017-07-05,2017-07-05,31.11
2017-07-06,2017-07-06,30.72
2017-07-07,2017-07-07,30.9
2017-07-10,2017-07-10,30.98
2017-07-11,2017-07-11,31.09
2017-07-12,2017-07-12,31.16
2017-07-13,2017-07-13,31.27
2017-07-14,2017-07-14,31.42
2017-07-17,2017-07-17,31.5
2017-07-18,2017-07-18,31.51
2017-07-19,2017-07-19,31.9
2017-07-20,2017-07-20,31.86
2017-07-21,2017-07-21,31.84
2017-07-24,2017-07-24,31.86
2017-07-25,2017-07-25,32.12
2017-07-26,2017-07-26,31.66
2017-07-27,2017-07-27,31.57
2017-07-28,2017-07-28,31.52
2017-07-31,2017-07-31,31.45
2017-08-01,2017-08-01,31.65
2017-08-02,2017-08-02,31.52
2017-08-03,2017-08-03,31.56
2017-08-04,2017-08-04,31.8
2017-08-07,2017-08-07,31.84
2017-08-08,2017-08-08,31.67
2017-08-09,2017-08-09,31.62
2017-08-10,2017-08-10,31.0
2017-08-11,2017-08-11,31.47
2017-08-14,2017-08-14,31.84
2017-08-15,2017-08-15,32.09
2017-08-16,2017-08-16,32.34
2017-08-17,2017-08-17,31.04
2017-08-18,2017-08-18,30.37
2017-08-21,2017-08-21,30.68
2017-08-22,2017-08-22,31.27
2017-08-23,2017-08-23,30.92
2017-08-24,2017-08-24,31.24
2017-08-25,2017-08-25,31.44
2017-08-28,2017-08-28,31.54
2017-08-29,2017-08-29,31.48
2017-08-30,2017-08-30,31.99
