DATE,DATE,CLOSE
2016-11-01,2016-11-01,67.676602
2016-11-02,2016-11-02,66.729018
2016-11-03,2016-11-03,66.450317
2016-11-04,2016-11-04,66.291059
2016-11-07,2016-11-07,68.098635
2016-11-08,2016-11-08,67.875674
2016-11-09,2016-11-09,68.44104
2016-11-10,2016-11-10,69.054182
2016-11-11,2016-11-11,68.122524
2016-11-14,2016-11-14,66.521983
2016-11-15,2016-11-15,68.520668
2016-11-16,2016-11-16,69.014368
2016-11-17,2016-11-17,70.057506
2016-11-18,2016-11-18,69.133811
2016-11-21,2016-11-21,70.057506
2016-11-22,2016-11-22,70.407873
2016-11-23,2016-11-23,69.81862
2016-11-25,2016-11-25,70.320282
2016-11-28,2016-11-28,69.643436
2016-11-29,2016-11-29,70.025655
2016-11-30,2016-11-30,69.062145
2016-12-01,2016-12-01,68.058821
2016-12-02,2016-12-02,68.178264
2016-12-05,2016-12-05,70.861758
2016-12-06,2016-12-06,69.770842
2016-12-07,2016-12-07,70.933424
2016-12-08,2016-12-08,71.66601
2016-12-09,2016-12-09,71.124533
2016-12-12,2016-12-12,70.766203
2016-12-13,2016-12-13,72.02434
2016-12-14,2016-12-14,72.02434
2016-12-15,2016-12-15,73.067479
2016-12-16,2016-12-16,72.215449
2016-12-19,2016-12-19,72.820629
2016-12-20,2016-12-20,73.04359
2016-12-21,2016-12-21,73.306365
2016-12-22,2016-12-22,72.02434
2016-12-23,2016-12-23,72.334893
2016-12-27,2016-12-27,72.43841
2016-12-28,2016-12-28,71.729713
2016-12-29,2016-12-29,71.681936
2016-12-30,2016-12-30,71.116571
2017-01-03,2017-01-03,71.769528
2017-01-04,2017-01-04,71.881008
2017-01-05,2017-01-05,71.857119
2017-01-06,2017-01-06,72.470262
2017-01-09,2017-01-09,72.295078
2017-01-10,2017-01-10,72.183598
2017-01-11,2017-01-11,72.916184
2017-01-12,2017-01-12,72.541928
2017-01-13,2017-01-13,73.09933
2017-01-17,2017-01-17,72.38267
2017-01-18,2017-01-18,74.500799
2017-01-19,2017-01-19,73.76025
2017-01-20,2017-01-20,74.046914
2017-01-23,2017-01-23,73.616918
2017-01-24,2017-01-24,75.145793
2017-01-25,2017-01-25,76.236709
2017-01-26,2017-01-26,71.283791
2017-01-27,2017-01-27,71.873045
2017-01-30,2017-01-30,72.565817
2017-01-31,2017-01-31,72.613594
2017-02-01,2017-02-01,71.24
2017-02-02,2017-02-02,74.95
2017-02-03,2017-02-03,76.7
2017-02-06,2017-02-06,76.3
2017-02-07,2017-02-07,77.65
2017-02-08,2017-02-08,77.69
2017-02-09,2017-02-09,78.42
2017-02-10,2017-02-10,78.55
2017-02-13,2017-02-13,78.78
2017-02-14,2017-02-14,78.93
2017-02-15,2017-02-15,80.16
2017-02-16,2017-02-16,79.94
2017-02-17,2017-02-17,80.5
2017-02-21,2017-02-21,80.77
2017-02-22,2017-02-22,80.17
2017-02-23,2017-02-23,79.93
2017-02-24,2017-02-24,80.18
2017-02-27,2017-02-27,80.16
2017-02-28,2017-02-28,78.95
2017-03-01,2017-03-01,80.77
2017-03-02,2017-03-02,79.33
2017-03-03,2017-03-03,79.95
2017-03-06,2017-03-06,79.66
2017-03-07,2017-03-07,79.9
2017-03-08,2017-03-08,79.92
2017-03-09,2017-03-09,79.03
2017-03-10,2017-03-10,79.53
2017-03-13,2017-03-13,84.93
2017-03-14,2017-03-14,82.02
2017-03-15,2017-03-15,82.51
2017-03-16,2017-03-16,82.57
2017-03-17,2017-03-17,82.72
2017-03-20,2017-03-20,82.49
2017-03-21,2017-03-21,81.51
2017-03-22,2017-03-22,82.2
2017-03-23,2017-03-23,83.39
2017-03-24,2017-03-24,83.14
2017-03-27,2017-03-27,83.57
2017-03-28,2017-03-28,83.99
2017-03-29,2017-03-29,83.59
2017-03-30,2017-03-30,84.11
2017-03-31,2017-03-31,83.39
2017-04-03,2017-04-03,83.44
2017-04-04,2017-04-04,83.3
2017-04-05,2017-04-05,82.96
2017-04-06,2017-04-06,83.06
2017-04-07,2017-04-07,83.15
2017-04-10,2017-04-10,83.44
2017-04-11,2017-04-11,83.68
2017-04-12,2017-04-12,83.0
2017-04-13,2017-04-13,82.96
2017-04-17,2017-04-17,83.44
2017-04-18,2017-04-18,83.12
2017-04-19,2017-04-19,83.23
2017-04-20,2017-04-20,83.67
2017-04-21,2017-04-21,83.09
2017-04-24,2017-04-24,84.37
2017-04-25,2017-04-25,84.05
2017-04-26,2017-04-26,84.12
2017-04-27,2017-04-27,81.44
2017-04-28,2017-04-28,80.94
2017-05-01,2017-05-01,81.75
2017-05-02,2017-05-02,81.29
2017-05-03,2017-05-03,87.05
2017-05-04,2017-05-04,86.55
2017-05-05,2017-05-05,87.48
2017-05-08,2017-05-08,87.19
2017-05-09,2017-05-09,86.82
2017-05-10,2017-05-10,86.99
2017-05-11,2017-05-11,87.11
2017-05-12,2017-05-12,85.92
2017-05-15,2017-05-15,86.33
2017-05-16,2017-05-16,84.83
2017-05-17,2017-05-17,82.74
2017-05-18,2017-05-18,82.59
2017-05-19,2017-05-19,82.79
2017-05-22,2017-05-22,82.95
2017-05-23,2017-05-23,82.06
2017-05-24,2017-05-24,82.3
2017-05-25,2017-05-25,83.15
2017-05-26,2017-05-26,82.49
2017-05-30,2017-05-30,82.15
2017-05-31,2017-05-31,82.54
2017-06-01,2017-06-01,82.86
2017-06-02,2017-06-02,83.43
2017-06-05,2017-06-05,83.32
2017-06-06,2017-06-06,82.85
