DATE,DATE,CLOSE
2016-11-01,2016-11-01,83.45
2016-11-02,2016-11-02,83.95
2016-11-03,2016-11-03,81.57
2016-11-04,2016-11-04,82.31
2016-11-07,2016-11-07,83.39
2016-11-08,2016-11-08,73.53
2016-11-09,2016-11-09,76.56
2016-11-10,2016-11-10,77.28
2016-11-11,2016-11-11,75.09
2016-11-14,2016-11-14,76.0
2016-11-15,2016-11-15,75.04
2016-11-16,2016-11-16,74.56
2016-11-17,2016-11-17,74.27
2016-11-18,2016-11-18,74.04
2016-11-21,2016-11-21,74.2
2016-11-22,2016-11-22,73.59
2016-11-23,2016-11-23,73.67
2016-11-25,2016-11-25,74.06
2016-11-28,2016-11-28,74.78
2016-11-29,2016-11-29,75.88
2016-11-30,2016-11-30,76.89
2016-12-01,2016-12-01,76.76
2016-12-02,2016-12-02,77.62
2016-12-05,2016-12-05,77.99
2016-12-06,2016-12-06,79.42
2016-12-07,2016-12-07,80.53
2016-12-08,2016-12-08,78.11
2016-12-09,2016-12-09,80.13
2016-12-12,2016-12-12,79.73
2016-12-13,2016-12-13,80.15
2016-12-14,2016-12-14,78.96
2016-12-15,2016-12-15,78.29
2016-12-16,2016-12-16,79.56
2016-12-19,2016-12-19,79.93
2016-12-20,2016-12-20,79.84
2016-12-21,2016-12-21,79.85
2016-12-22,2016-12-22,78.79
2016-12-23,2016-12-23,79.14
2016-12-27,2016-12-27,79.29
2016-12-28,2016-12-28,79.04
2016-12-29,2016-12-29,79.0
2016-12-30,2016-12-30,78.91
2017-01-03,2017-01-03,80.35
2017-01-04,2017-01-04,79.75
2017-01-05,2017-01-05,81.42
2017-01-06,2017-01-06,82.2
2017-01-09,2017-01-09,81.7
2017-01-10,2017-01-10,82.67
2017-01-11,2017-01-11,82.77
2017-01-12,2017-01-12,82.6
2017-01-13,2017-01-13,81.98
2017-01-17,2017-01-17,83.92
2017-01-18,2017-01-18,83.54
2017-01-19,2017-01-19,83.2
2017-01-20,2017-01-20,81.56
2017-01-23,2017-01-23,81.25
2017-01-24,2017-01-24,81.78
2017-01-25,2017-01-25,79.49
2017-01-26,2017-01-26,79.33
2017-01-27,2017-01-27,77.75
2017-01-30,2017-01-30,78.68
2017-01-31,2017-01-31,78.81
2017-02-01,2017-02-01,77.97
2017-02-02,2017-02-02,74.8
2017-02-03,2017-02-03,75.46
2017-02-06,2017-02-06,76.07
2017-02-07,2017-02-07,76.36
2017-02-08,2017-02-08,77.03
2017-02-09,2017-02-09,77.31
2017-02-10,2017-02-10,78.53
2017-02-13,2017-02-13,78.7
2017-02-14,2017-02-14,78.67
2017-02-15,2017-02-15,79.41
2017-02-16,2017-02-16,79.45
2017-02-17,2017-02-17,79.69
2017-02-21,2017-02-21,79.76
2017-02-22,2017-02-22,80.16
2017-02-23,2017-02-23,80.86
2017-02-24,2017-02-24,81.48
2017-02-27,2017-02-27,81.41
2017-02-28,2017-02-28,80.58
2017-03-01,2017-03-01,80.7
2017-03-02,2017-03-02,81.35
2017-03-03,2017-03-03,81.02
2017-03-06,2017-03-06,80.85
2017-03-07,2017-03-07,80.81
2017-03-08,2017-03-08,81.04
2017-03-09,2017-03-09,80.7
2017-03-10,2017-03-10,80.4
2017-03-13,2017-03-13,80.44
2017-03-14,2017-03-14,79.89
2017-03-15,2017-03-15,79.73
2017-03-16,2017-03-16,79.56
2017-03-17,2017-03-17,78.88
2017-03-20,2017-03-20,78.82
2017-03-21,2017-03-21,78.61
2017-03-22,2017-03-22,78.46
2017-03-23,2017-03-23,78.3
2017-03-24,2017-03-24,78.49
2017-03-27,2017-03-27,78.51
2017-03-28,2017-03-28,78.61
2017-03-29,2017-03-29,78.76
2017-03-30,2017-03-30,78.85
2017-03-31,2017-03-31,78.5
2017-04-03,2017-04-03,78.05
2017-04-04,2017-04-04,77.87
2017-04-05,2017-04-05,77.03
2017-04-06,2017-04-06,77.01
2017-04-07,2017-04-07,77.08
2017-04-10,2017-04-10,77.81
2017-04-11,2017-04-11,78.17
2017-04-12,2017-04-12,77.96
2017-04-13,2017-04-13,77.96
2017-04-17,2017-04-17,78.73
2017-04-18,2017-04-18,78.25
2017-04-19,2017-04-19,77.83
2017-04-20,2017-04-20,79.43
2017-04-21,2017-04-21,79.28
2017-04-24,2017-04-24,80.05
2017-04-25,2017-04-25,82.17
2017-04-26,2017-04-26,82.0
2017-04-27,2017-04-27,82.79
2017-04-28,2017-04-28,82.44
2017-05-01,2017-05-01,81.96
2017-05-02,2017-05-02,79.0
2017-05-03,2017-05-03,79.7
2017-05-04,2017-05-04,81.13
2017-05-05,2017-05-05,81.06
2017-05-08,2017-05-08,81.05
2017-05-09,2017-05-09,81.1
2017-05-10,2017-05-10,80.94
2017-05-11,2017-05-11,82.28
2017-05-12,2017-05-12,80.21
2017-05-15,2017-05-15,80.47
2017-05-16,2017-05-16,79.12
2017-05-17,2017-05-17,76.33
2017-05-18,2017-05-18,76.62
2017-05-19,2017-05-19,76.32
2017-05-22,2017-05-22,76.34
2017-05-23,2017-05-23,77.27
2017-05-24,2017-05-24,76.42
2017-05-25,2017-05-25,75.95
2017-05-26,2017-05-26,76.64
2017-05-30,2017-05-30,76.77
2017-05-31,2017-05-31,76.83
2017-06-01,2017-06-01,78.29
2017-06-02,2017-06-02,79.05
2017-06-05,2017-06-05,78.79
2017-06-06,2017-06-06,77.9
2017-06-07,2017-06-07,78.16
2017-06-08,2017-06-08,78.43
2017-06-09,2017-06-09,79.71
2017-06-12,2017-06-12,79.68
2017-06-13,2017-06-13,79.85
2017-06-14,2017-06-14,80.8
2017-06-15,2017-06-15,80.09
2017-06-16,2017-06-16,77.06
2017-06-19,2017-06-19,78.1
2017-06-20,2017-06-20,77.78
2017-06-21,2017-06-21,78.16
2017-06-22,2017-06-22,77.22
2017-06-23,2017-06-23,77.41
2017-06-26,2017-06-26,80.12
2017-06-27,2017-06-27,80.49
2017-06-28,2017-06-28,81.25
2017-06-29,2017-06-29,80.27
2017-06-30,2017-06-30,80.46
2017-07-03,2017-07-03,80.62
2017-07-05,2017-07-05,79.66
2017-07-06,2017-07-06,78.71
2017-07-07,2017-07-07,78.64
2017-07-10,2017-07-10,78.14
2017-07-11,2017-07-11,77.64
2017-07-12,2017-07-12,77.45
2017-07-13,2017-07-13,77.92
2017-07-14,2017-07-14,77.93
2017-07-17,2017-07-17,78.3
2017-07-18,2017-07-18,78.0
2017-07-19,2017-07-19,77.39
2017-07-20,2017-07-20,77.16
2017-07-21,2017-07-21,77.03
2017-07-24,2017-07-24,77.1
2017-07-25,2017-07-25,78.91
2017-07-26,2017-07-26,78.29
2017-07-27,2017-07-27,78.92
2017-07-28,2017-07-28,79.75
2017-07-31,2017-07-31,79.93
2017-08-01,2017-08-01,79.7
2017-08-02,2017-08-02,79.75
2017-08-03,2017-08-03,78.6
2017-08-04,2017-08-04,77.97
2017-08-07,2017-08-07,79.12
2017-08-08,2017-08-08,78.57
2017-08-09,2017-08-09,79.43
2017-08-10,2017-08-10,79.14
2017-08-11,2017-08-11,79.41
2017-08-14,2017-08-14,79.3
2017-08-15,2017-08-15,79.11
2017-08-16,2017-08-16,79.25
2017-08-17,2017-08-17,78.89
2017-08-18,2017-08-18,77.66
2017-08-21,2017-08-21,77.64
2017-08-22,2017-08-22,77.76
2017-08-23,2017-08-23,77.61
2017-08-24,2017-08-24,75.39
2017-08-25,2017-08-25,75.35
2017-08-28,2017-08-28,75.46
2017-08-29,2017-08-29,76.09
2017-08-30,2017-08-30,76.38
2017-08-31,2017-08-31,77.34
2017-09-01,2017-09-01,77.92
2017-09-05,2017-09-05,78.69
2017-09-06,2017-09-06,79.88
2017-09-07,2017-09-07,80.41
2017-09-08,2017-09-08,79.72
2017-09-11,2017-09-11,79.72
2017-09-12,2017-09-12,82.43
2017-09-13,2017-09-13,83.08
2017-09-14,2017-09-14,82.64
2017-09-15,2017-09-15,83.17
2017-09-18,2017-09-18,83.31
2017-09-19,2017-09-19,83.1
2017-09-20,2017-09-20,80.7
2017-09-21,2017-09-21,79.56
2017-09-22,2017-09-22,79.63
2017-09-25,2017-09-25,81.37
2017-09-26,2017-09-26,81.65
2017-09-27,2017-09-27,81.47
2017-09-28,2017-09-28,81.26
2017-09-29,2017-09-29,81.32
2017-10-02,2017-10-02,80.77
2017-10-03,2017-10-03,80.91
2017-10-04,2017-10-04,80.07
2017-10-05,2017-10-05,80.9
2017-10-06,2017-10-06,76.92
2017-10-09,2017-10-09,74.3
2017-10-10,2017-10-10,74.71
2017-10-11,2017-10-11,73.9
2017-10-12,2017-10-12,73.78
2017-10-13,2017-10-13,72.6
2017-10-16,2017-10-16,72.44
2017-10-17,2017-10-17,72.63
2017-10-18,2017-10-18,74.1
2017-10-19,2017-10-19,74.63
2017-10-20,2017-10-20,76.49
2017-10-23,2017-10-23,75.91
2017-10-24,2017-10-24,76.01
2017-10-25,2017-10-25,75.53
2017-10-26,2017-10-26,73.31
2017-10-27,2017-10-27,68.99
2017-10-30,2017-10-30,68.45
2017-10-31,2017-10-31,68.53
2017-11-01,2017-11-01,69.0
2017-11-02,2017-11-02,69.38
2017-11-03,2017-11-03,69.25
2017-11-06,2017-11-06,66.8
2017-11-07,2017-11-07,68.95
2017-11-08,2017-11-08,68.99
2017-11-09,2017-11-09,69.02
2017-11-10,2017-11-10,70.99
2017-11-13,2017-11-13,71.48
2017-11-14,2017-11-14,70.44
2017-11-15,2017-11-15,69.8
2017-11-16,2017-11-16,70.26
2017-11-17,2017-11-17,70.68
2017-11-20,2017-11-20,70.38
2017-11-21,2017-11-21,71.5
2017-11-22,2017-11-22,71.48
2017-11-24,2017-11-24,70.55
2017-11-27,2017-11-27,70.4
2017-11-28,2017-11-28,72.7
2017-11-29,2017-11-29,73.4
2017-11-30,2017-11-30,76.6
2017-12-01,2017-12-01,75.12
2017-12-04,2017-12-04,71.69
2017-12-05,2017-12-05,71.01
2017-12-06,2017-12-06,71.38
2017-12-07,2017-12-07,71.09
2017-12-08,2017-12-08,73.09
2017-12-11,2017-12-11,73.08
2017-12-12,2017-12-12,72.85
2017-12-13,2017-12-13,71.62
2017-12-14,2017-12-14,70.8
2017-12-15,2017-12-15,73.08
2017-12-18,2017-12-18,71.67
2017-12-19,2017-12-19,72.31
2017-12-20,2017-12-20,73.56
2017-12-21,2017-12-21,74.64
2017-12-22,2017-12-22,73.41
2017-12-26,2017-12-26,73.68
2017-12-27,2017-12-27,72.76
2017-12-28,2017-12-28,73.05
2017-12-29,2017-12-29,72.5
2018-01-02,2018-01-02,73.52
2018-01-03,2018-01-03,73.2
2018-01-04,2018-01-04,75.13
2018-01-05,2018-01-05,78.45
2018-01-08,2018-01-08,77.77
2018-01-09,2018-01-09,77.69
2018-01-10,2018-01-10,77.44
2018-01-11,2018-01-11,79.02
2018-01-12,2018-01-12,78.78
2018-01-16,2018-01-16,79.44
2018-01-17,2018-01-17,79.5
2018-01-18,2018-01-18,79.35
2018-01-19,2018-01-19,79.86
2018-01-22,2018-01-22,80.95
2018-01-23,2018-01-23,80.44
2018-01-24,2018-01-24,80.92
2018-01-25,2018-01-25,81.58
2018-01-26,2018-01-26,82.01
2018-01-29,2018-01-29,83.63
2018-01-30,2018-01-30,80.19
2018-01-31,2018-01-31,78.69
2018-02-01,2018-02-01,78.79
2018-02-02,2018-02-02,76.45
2018-02-05,2018-02-05,73.32
2018-02-06,2018-02-06,74.02
2018-02-07,2018-02-07,74.35
2018-02-08,2018-02-08,70.55
2018-02-09,2018-02-09,69.39
2018-02-12,2018-02-12,69.87
2018-02-13,2018-02-13,70.11
2018-02-14,2018-02-14,69.79
2018-02-15,2018-02-15,70.49
2018-02-16,2018-02-16,71.9
2018-02-20,2018-02-20,70.66
2018-02-21,2018-02-21,68.76
2018-02-22,2018-02-22,68.0
2018-02-23,2018-02-23,68.16
2018-02-26,2018-02-26,68.23
2018-02-27,2018-02-27,68.25
2018-02-28,2018-02-28,67.73
2018-03-01,2018-03-01,67.15
2018-03-02,2018-03-02,67.46
2018-03-05,2018-03-05,68.31
2018-03-06,2018-03-06,67.65
2018-03-07,2018-03-07,67.51
2018-03-08,2018-03-08,68.36
2018-03-09,2018-03-09,69.27
2018-03-12,2018-03-12,69.01
2018-03-13,2018-03-13,68.25
2018-03-14,2018-03-14,67.05
2018-03-15,2018-03-15,65.86
2018-03-16,2018-03-16,65.65
2018-03-19,2018-03-19,63.63
2018-03-20,2018-03-20,62.94
2018-03-21,2018-03-21,62.42
2018-03-22,2018-03-22,61.79
2018-03-23,2018-03-23,60.86
2018-03-26,2018-03-26,61.6
2018-03-27,2018-03-27,60.6
2018-03-28,2018-03-28,62.71
2018-03-29,2018-03-29,62.21
2018-04-02,2018-04-02,61.04
2018-04-03,2018-04-03,62.58
2018-04-04,2018-04-04,64.28
2018-04-05,2018-04-05,64.66
2018-04-06,2018-04-06,63.38
2018-04-09,2018-04-09,63.31
2018-04-10,2018-04-10,63.97
2018-04-11,2018-04-11,63.07
2018-04-12,2018-04-12,64.0
2018-04-13,2018-04-13,63.43
2018-04-16,2018-04-16,66.1
2018-04-17,2018-04-17,67.11
2018-04-18,2018-04-18,66.61
2018-04-19,2018-04-19,65.86
2018-04-20,2018-04-20,65.12
2018-04-23,2018-04-23,65.68
2018-04-24,2018-04-24,66.6
2018-04-25,2018-04-25,67.73
2018-04-26,2018-04-26,68.69
2018-04-27,2018-04-27,69.95
2018-04-30,2018-04-30,69.83
2018-05-01,2018-05-01,68.0
