DATE,DATE,CLOSE
2016-11-01,2016-11-01,128.6
2016-11-02,2016-11-02,128.39
2016-11-03,2016-11-03,129.04
2016-11-04,2016-11-04,126.68
2016-11-07,2016-11-07,131.1
2016-11-08,2016-11-08,134.06
2016-11-09,2016-11-09,132.68
2016-11-10,2016-11-10,131.25
2016-11-11,2016-11-11,126.89
2016-11-14,2016-11-14,128.41
2016-11-15,2016-11-15,133.59
2016-11-16,2016-11-16,131.5
2016-11-17,2016-11-17,130.44
2016-11-18,2016-11-18,130.05
2016-11-21,2016-11-21,136.96
2016-11-22,2016-11-22,138.54
2016-11-23,2016-11-23,138.39
2016-11-25,2016-11-25,134.26
2016-11-28,2016-11-28,129.5
2016-11-29,2016-11-29,127.33
2016-11-30,2016-11-30,143.02
2016-12-01,2016-12-01,141.79
2016-12-02,2016-12-02,142.6
2016-12-05,2016-12-05,142.72
2016-12-06,2016-12-06,143.25
2016-12-07,2016-12-07,142.5
2016-12-08,2016-12-08,142.78
2016-12-09,2016-12-09,142.36
2016-12-12,2016-12-12,140.84
2016-12-13,2016-12-13,142.0
2016-12-14,2016-12-14,137.71
2016-12-15,2016-12-15,139.22
2016-12-16,2016-12-16,138.25
2016-12-19,2016-12-19,138.57
2016-12-20,2016-12-20,136.84
2016-12-21,2016-12-21,136.6
2016-12-22,2016-12-22,136.49
2016-12-23,2016-12-23,136.33
2016-12-27,2016-12-27,136.98
2016-12-28,2016-12-28,135.04
2016-12-29,2016-12-29,134.14
2016-12-30,2016-12-30,132.6
2017-01-03,2017-01-03,136.66
2017-01-04,2017-01-04,135.67
2017-01-05,2017-01-05,135.14
2017-01-06,2017-01-06,135.6
2017-01-09,2017-01-09,134.67
2017-01-10,2017-01-10,133.69
2017-01-11,2017-01-11,135.22
2017-01-12,2017-01-12,134.39
2017-01-13,2017-01-13,134.76
2017-01-17,2017-01-17,135.42
2017-01-18,2017-01-18,135.68
2017-01-19,2017-01-19,134.48
2017-01-20,2017-01-20,136.15
2017-01-23,2017-01-23,135.99
2017-01-24,2017-01-24,139.04
2017-01-25,2017-01-25,143.12
2017-01-26,2017-01-26,144.46
2017-01-27,2017-01-27,144.04
2017-01-30,2017-01-30,138.78
2017-01-31,2017-01-31,139.44
2017-02-01,2017-02-01,139.82
2017-02-02,2017-02-02,140.05
2017-02-03,2017-02-03,142.7
2017-02-06,2017-02-06,141.58
2017-02-07,2017-02-07,135.0
2017-02-08,2017-02-08,135.39
2017-02-09,2017-02-09,139.86
2017-02-10,2017-02-10,143.11
2017-02-13,2017-02-13,142.25
2017-02-14,2017-02-14,144.26
2017-02-15,2017-02-15,142.82
2017-02-16,2017-02-16,140.19
2017-02-17,2017-02-17,140.06
2017-02-21,2017-02-21,141.35
2017-02-22,2017-02-22,131.7
2017-02-23,2017-02-23,133.33
2017-02-24,2017-02-24,133.28
2017-02-27,2017-02-27,133.08
2017-02-28,2017-02-28,132.45
2017-03-01,2017-03-01,134.53
2017-03-02,2017-03-02,132.43
2017-03-03,2017-03-03,132.41
2017-03-06,2017-03-06,134.04
2017-03-07,2017-03-07,133.54
2017-03-08,2017-03-08,126.61
2017-03-09,2017-03-09,127.75
2017-03-10,2017-03-10,126.7
2017-03-13,2017-03-13,128.85
2017-03-14,2017-03-14,128.5
2017-03-15,2017-03-15,131.62
2017-03-16,2017-03-16,130.17
2017-03-17,2017-03-17,130.47
2017-03-20,2017-03-20,130.66
2017-03-21,2017-03-21,127.72
2017-03-22,2017-03-22,126.36
2017-03-23,2017-03-23,125.58
2017-03-24,2017-03-24,125.18
2017-03-27,2017-03-27,125.2
2017-03-28,2017-03-28,127.62
2017-03-29,2017-03-29,129.18
2017-03-30,2017-03-30,127.72
2017-03-31,2017-03-31,128.34
2017-04-03,2017-04-03,128.38
2017-04-04,2017-04-04,130.17
2017-04-05,2017-04-05,127.25
2017-04-06,2017-04-06,129.99
2017-04-07,2017-04-07,129.22
2017-04-10,2017-04-10,131.33
2017-04-11,2017-04-11,132.0
2017-04-12,2017-04-12,132.27
2017-04-13,2017-04-13,130.14
2017-04-17,2017-04-17,131.57
2017-04-18,2017-04-18,129.44
2017-04-19,2017-04-19,125.72
2017-04-20,2017-04-20,127.46
2017-04-21,2017-04-21,128.01
2017-04-24,2017-04-24,129.43
2017-04-25,2017-04-25,130.98
2017-04-26,2017-04-26,129.24
2017-04-27,2017-04-27,127.18
2017-04-28,2017-04-28,126.66
2017-05-01,2017-05-01,125.38
2017-05-02,2017-05-02,125.75
2017-05-03,2017-05-03,128.79
2017-05-04,2017-05-04,127.11
2017-05-05,2017-05-05,129.57
2017-05-08,2017-05-08,130.91
2017-05-09,2017-05-09,129.6
2017-05-10,2017-05-10,132.67
2017-05-11,2017-05-11,132.49
2017-05-12,2017-05-12,133.34
2017-05-15,2017-05-15,134.01
2017-05-16,2017-05-16,133.08
2017-05-17,2017-05-17,132.47
2017-05-18,2017-05-18,130.12
2017-05-19,2017-05-19,132.71
2017-05-22,2017-05-22,131.81
2017-05-23,2017-05-23,131.46
2017-05-24,2017-05-24,131.0
2017-05-25,2017-05-25,128.44
2017-05-26,2017-05-26,131.28
2017-05-30,2017-05-30,129.51
2017-05-31,2017-05-31,126.78
2017-06-01,2017-06-01,127.88
2017-06-02,2017-06-02,124.41
2017-06-05,2017-06-05,122.14
2017-06-06,2017-06-06,123.98
2017-06-07,2017-06-07,120.61
2017-06-08,2017-06-08,121.2
2017-06-09,2017-06-09,123.88
2017-06-12,2017-06-12,123.24
2017-06-13,2017-06-13,124.85
2017-06-14,2017-06-14,121.55
2017-06-15,2017-06-15,116.58
2017-06-16,2017-06-16,116.99
2017-06-19,2017-06-19,116.23
2017-06-20,2017-06-20,115.93
2017-06-21,2017-06-21,114.79
2017-06-22,2017-06-22,113.88
2017-06-23,2017-06-23,116.48
2017-06-26,2017-06-26,115.91
2017-06-27,2017-06-27,117.01
2017-06-28,2017-06-28,118.11
2017-06-29,2017-06-29,120.64
2017-06-30,2017-06-30,121.53
2017-07-03,2017-07-03,124.24
2017-07-05,2017-07-05,122.19
2017-07-06,2017-07-06,121.77
2017-07-07,2017-07-07,120.75
2017-07-10,2017-07-10,121.57
2017-07-11,2017-07-11,123.57
2017-07-12,2017-07-12,123.04
2017-07-13,2017-07-13,123.66
2017-07-14,2017-07-14,124.79
2017-07-17,2017-07-17,126.02
2017-07-18,2017-07-18,124.38
2017-07-19,2017-07-19,127.64
2017-07-20,2017-07-20,126.47
2017-07-21,2017-07-21,127.2
2017-07-24,2017-07-24,128.38
2017-07-25,2017-07-25,131.7
2017-07-26,2017-07-26,132.06
2017-07-27,2017-07-27,132.1
2017-07-28,2017-07-28,130.56
2017-07-31,2017-07-31,130.26
2017-08-01,2017-08-01,130.76
2017-08-02,2017-08-02,128.66
2017-08-03,2017-08-03,117.46
2017-08-04,2017-08-04,118.73
2017-08-07,2017-08-07,116.16
2017-08-08,2017-08-08,117.92
2017-08-09,2017-08-09,118.82
2017-08-10,2017-08-10,116.09
2017-08-11,2017-08-11,115.41
2017-08-14,2017-08-14,113.11
2017-08-15,2017-08-15,111.08
2017-08-16,2017-08-16,110.55
2017-08-17,2017-08-17,108.05
2017-08-18,2017-08-18,108.52
2017-08-21,2017-08-21,108.5
2017-08-22,2017-08-22,109.42
2017-08-23,2017-08-23,110.04
2017-08-24,2017-08-24,110.0
2017-08-25,2017-08-25,109.44
2017-08-28,2017-08-28,108.94
2017-08-29,2017-08-29,108.47
2017-08-30,2017-08-30,108.76
2017-08-31,2017-08-31,110.97
2017-09-01,2017-09-01,111.79
2017-09-05,2017-09-05,113.53
2017-09-06,2017-09-06,115.0
2017-09-07,2017-09-07,115.21
2017-09-08,2017-09-08,112.07
2017-09-11,2017-09-11,114.16
2017-09-12,2017-09-12,115.62
2017-09-13,2017-09-13,119.64
