DATE,DATE,CLOSE
2016-11-01,2016-11-01,74.46
2016-11-02,2016-11-02,74.1
2016-11-03,2016-11-03,74.35
2016-11-04,2016-11-04,73.79
2016-11-07,2016-11-07,74.72
2016-11-08,2016-11-08,75.5
2016-11-09,2016-11-09,73.22
2016-11-10,2016-11-10,71.13
2016-11-11,2016-11-11,70.76
2016-11-14,2016-11-14,69.99
2016-11-15,2016-11-15,71.24
2016-11-16,2016-11-16,71.05
2016-11-17,2016-11-17,71.03
2016-11-18,2016-11-18,71.15
2016-11-21,2016-11-21,72.25
2016-11-22,2016-11-22,73.19
2016-11-23,2016-11-23,72.87
2016-11-25,2016-11-25,73.95
2016-11-28,2016-11-28,75.17
2016-11-29,2016-11-29,76.11
2016-11-30,2016-11-30,73.29
2016-12-01,2016-12-01,72.75
2016-12-02,2016-12-02,73.78
2016-12-05,2016-12-05,73.48
2016-12-06,2016-12-06,72.71
2016-12-07,2016-12-07,73.5
2016-12-08,2016-12-08,73.5
2016-12-09,2016-12-09,74.53
2016-12-12,2016-12-12,75.46
2016-12-13,2016-12-13,75.95
2016-12-14,2016-12-14,74.12
2016-12-15,2016-12-15,74.57
2016-12-16,2016-12-16,75.87
2016-12-19,2016-12-19,76.51
2016-12-20,2016-12-20,76.51
2016-12-21,2016-12-21,76.24
2016-12-22,2016-12-22,76.63
2016-12-23,2016-12-23,76.75
2016-12-27,2016-12-27,76.67
2016-12-28,2016-12-28,76.33
2016-12-29,2016-12-29,76.99
2016-12-30,2016-12-30,76.59
2017-01-03,2017-01-03,76.25
2017-01-04,2017-01-04,76.18
2017-01-05,2017-01-05,76.28
2017-01-06,2017-01-06,76.9
2017-01-09,2017-01-09,75.72
2017-01-10,2017-01-10,75.43
2017-01-11,2017-01-11,75.63
2017-01-12,2017-01-12,75.28
2017-01-13,2017-01-13,75.21
2017-01-17,2017-01-17,76.2
2017-01-18,2017-01-18,76.17
2017-01-19,2017-01-19,75.62
2017-01-20,2017-01-20,75.79
2017-01-23,2017-01-23,75.58
2017-01-24,2017-01-24,75.47
2017-01-25,2017-01-25,75.81
2017-01-26,2017-01-26,75.69
2017-01-27,2017-01-27,75.52
2017-01-30,2017-01-30,75.26
2017-01-31,2017-01-31,76.28
2017-02-01,2017-02-01,71.85
2017-02-02,2017-02-02,71.68
2017-02-03,2017-02-03,71.7
2017-02-06,2017-02-06,72.21
2017-02-07,2017-02-07,72.35
2017-02-08,2017-02-08,73.34
2017-02-09,2017-02-09,72.15
2017-02-10,2017-02-10,73.37
2017-02-13,2017-02-13,73.73
2017-02-14,2017-02-14,73.12
2017-02-15,2017-02-15,72.38
2017-02-16,2017-02-16,73.28
2017-02-17,2017-02-17,73.77
2017-02-21,2017-02-21,74.76
2017-02-22,2017-02-22,75.35
2017-02-23,2017-02-23,76.16
2017-02-24,2017-02-24,77.0
2017-02-27,2017-02-27,76.87
2017-02-28,2017-02-28,77.64
2017-03-01,2017-03-01,76.25
2017-03-02,2017-03-02,77.22
2017-03-03,2017-03-03,76.56
2017-03-06,2017-03-06,76.24
2017-03-07,2017-03-07,76.12
2017-03-08,2017-03-08,75.13
2017-03-09,2017-03-09,74.9
2017-03-10,2017-03-10,75.67
2017-03-13,2017-03-13,76.09
2017-03-14,2017-03-14,76.33
2017-03-15,2017-03-15,77.85
2017-03-16,2017-03-16,76.8
2017-03-17,2017-03-17,77.12
2017-03-20,2017-03-20,76.83
2017-03-21,2017-03-21,78.21
2017-03-22,2017-03-22,78.65
2017-03-23,2017-03-23,78.26
2017-03-24,2017-03-24,78.26
2017-03-27,2017-03-27,77.92
2017-03-28,2017-03-28,78.06
2017-03-29,2017-03-29,77.67
2017-03-30,2017-03-30,77.41
2017-03-31,2017-03-31,77.57
2017-04-03,2017-04-03,77.74
2017-04-04,2017-04-04,77.62
2017-04-05,2017-04-05,77.96
2017-04-06,2017-04-06,78.21
2017-04-07,2017-04-07,77.59
2017-04-10,2017-04-10,77.91
2017-04-11,2017-04-11,77.48
2017-04-12,2017-04-12,77.93
2017-04-13,2017-04-13,77.53
2017-04-17,2017-04-17,77.94
2017-04-18,2017-04-18,77.99
2017-04-19,2017-04-19,77.34
2017-04-20,2017-04-20,77.36
2017-04-21,2017-04-21,77.54
