DATE,DATE,CLOSE
2016-11-01,2016-11-01,88.09
2016-11-02,2016-11-02,88.16
2016-11-03,2016-11-03,88.3
2016-11-04,2016-11-04,88.06
2016-11-07,2016-11-07,89.0
2016-11-08,2016-11-08,88.99
2016-11-09,2016-11-09,90.11
2016-11-10,2016-11-10,90.7
2016-11-11,2016-11-11,91.1
2016-11-14,2016-11-14,91.62
2016-11-15,2016-11-15,91.25
2016-11-16,2016-11-16,91.25
2016-11-17,2016-11-17,91.77
2016-11-18,2016-11-18,91.96
2016-11-21,2016-11-21,92.3
2016-11-22,2016-11-22,92.01
2016-11-23,2016-11-23,102.17
2016-11-25,2016-11-25,103.92
2016-11-28,2016-11-28,101.7
2016-11-29,2016-11-29,100.35
2016-11-30,2016-11-30,100.2
2016-12-01,2016-12-01,102.7
2016-12-02,2016-12-02,101.5
2016-12-05,2016-12-05,101.29
2016-12-06,2016-12-06,102.52
2016-12-07,2016-12-07,102.86
2016-12-08,2016-12-08,103.92
2016-12-09,2016-12-09,103.62
2016-12-12,2016-12-12,102.42
2016-12-13,2016-12-13,101.33
2016-12-14,2016-12-14,100.55
2016-12-15,2016-12-15,101.4
2016-12-16,2016-12-16,101.76
2016-12-19,2016-12-19,102.25
2016-12-20,2016-12-20,103.64
2016-12-21,2016-12-21,103.09
2016-12-22,2016-12-22,103.09
2016-12-23,2016-12-23,103.12
2016-12-27,2016-12-27,103.9
2016-12-28,2016-12-28,103.41
2016-12-29,2016-12-29,103.21
2016-12-30,2016-12-30,103.04
2017-01-03,2017-01-03,104.05
2017-01-04,2017-01-04,105.82
2017-01-05,2017-01-05,105.35
2017-01-06,2017-01-06,106.49
2017-01-09,2017-01-09,105.19
2017-01-10,2017-01-10,104.89
2017-01-11,2017-01-11,105.71
2017-01-12,2017-01-12,105.17
2017-01-13,2017-01-13,105.79
2017-01-17,2017-01-17,104.34
2017-01-18,2017-01-18,105.24
2017-01-19,2017-01-19,105.02
2017-01-20,2017-01-20,106.74
2017-01-23,2017-01-23,107.12
2017-01-24,2017-01-24,107.67
2017-01-25,2017-01-25,108.06
2017-01-26,2017-01-26,107.63
2017-01-27,2017-01-27,107.99
2017-01-30,2017-01-30,107.06
2017-01-31,2017-01-31,107.05
2017-02-01,2017-02-01,107.15
2017-02-02,2017-02-02,107.43
2017-02-03,2017-02-03,107.99
2017-02-06,2017-02-06,108.06
2017-02-07,2017-02-07,108.76
2017-02-08,2017-02-08,108.41
2017-02-09,2017-02-09,109.12
2017-02-10,2017-02-10,110.24
2017-02-13,2017-02-13,110.75
2017-02-14,2017-02-14,110.05
2017-02-15,2017-02-15,109.12
2017-02-16,2017-02-16,109.17
2017-02-17,2017-02-17,110.27
2017-02-21,2017-02-21,109.61
2017-02-22,2017-02-22,109.65
2017-02-23,2017-02-23,107.73
2017-02-24,2017-02-24,108.62
2017-02-27,2017-02-27,109.51
2017-02-28,2017-02-28,109.49
2017-03-01,2017-03-01,111.22
2017-03-02,2017-03-02,109.54
2017-03-03,2017-03-03,110.83
