DATE,DATE,CLOSE
2016-11-01,2016-11-01,56.06
2016-11-02,2016-11-02,55.72
2016-11-03,2016-11-03,56.02
2016-11-04,2016-11-04,56.07
2016-11-07,2016-11-07,57.74
2016-11-08,2016-11-08,57.26
2016-11-09,2016-11-09,60.29
2016-11-10,2016-11-10,63.6
2016-11-11,2016-11-11,64.57
2016-11-14,2016-11-14,66.7
2016-11-15,2016-11-15,66.33
2016-11-16,2016-11-16,65.25
2016-11-17,2016-11-17,66.01
2016-11-18,2016-11-18,66.24
2016-11-21,2016-11-21,66.63
2016-11-22,2016-11-22,67.16
2016-11-23,2016-11-23,68.28
2016-11-25,2016-11-25,68.41
2016-11-28,2016-11-28,67.75
2016-11-29,2016-11-29,67.62
2016-11-30,2016-11-30,67.77
2016-12-01,2016-12-01,68.06
2016-12-02,2016-12-02,67.26
2016-12-05,2016-12-05,67.45
2016-12-06,2016-12-06,68.38
2016-12-07,2016-12-07,71.62
2016-12-08,2016-12-08,72.05
2016-12-09,2016-12-09,72.82
2016-12-12,2016-12-12,71.68
2016-12-13,2016-12-13,71.84
2016-12-14,2016-12-14,71.23
2016-12-15,2016-12-15,72.47
2016-12-16,2016-12-16,71.69
2016-12-19,2016-12-19,72.18
2016-12-20,2016-12-20,73.18
2016-12-21,2016-12-21,72.89
2016-12-22,2016-12-22,72.42
2016-12-23,2016-12-23,72.64
2016-12-27,2016-12-27,72.82
2016-12-28,2016-12-28,71.91
2016-12-29,2016-12-29,71.85
2016-12-30,2016-12-30,72.09
2017-01-03,2017-01-03,72.73
2017-01-04,2017-01-04,73.94
2017-01-05,2017-01-05,72.9
2017-01-06,2017-01-06,72.06
2017-01-09,2017-01-09,71.62
2017-01-10,2017-01-10,72.11
2017-01-11,2017-01-11,71.65
2017-01-12,2017-01-12,71.31
2017-01-13,2017-01-13,71.66
2017-01-17,2017-01-17,69.9
2017-01-18,2017-01-18,70.36
2017-01-19,2017-01-19,70.0
2017-01-20,2017-01-20,70.2
2017-01-23,2017-01-23,69.28
2017-01-24,2017-01-24,69.88
2017-01-25,2017-01-25,69.21
2017-01-26,2017-01-26,69.35
2017-01-27,2017-01-27,69.06
2017-01-30,2017-01-30,69.63
2017-01-31,2017-01-31,69.28
2017-02-01,2017-02-01,68.77
2017-02-02,2017-02-02,68.06
2017-02-03,2017-02-03,69.36
2017-02-06,2017-02-06,69.29
2017-02-07,2017-02-07,68.51
2017-02-08,2017-02-08,68.16
2017-02-09,2017-02-09,68.95
2017-02-10,2017-02-10,68.82
2017-02-13,2017-02-13,69.58
2017-02-14,2017-02-14,70.85
2017-02-15,2017-02-15,70.92
2017-02-16,2017-02-16,70.84
2017-02-17,2017-02-17,71.3
2017-02-21,2017-02-21,71.29
2017-02-22,2017-02-22,71.17
2017-02-23,2017-02-23,71.46
2017-02-24,2017-02-24,71.22
2017-02-27,2017-02-27,71.63
2017-02-28,2017-02-28,71.14
2017-03-01,2017-03-01,72.4
2017-03-02,2017-03-02,71.06
2017-03-03,2017-03-03,71.4
2017-03-06,2017-03-06,70.82
2017-03-07,2017-03-07,70.98
2017-03-08,2017-03-08,71.36
2017-03-09,2017-03-09,71.29
2017-03-10,2017-03-10,71.52
2017-03-13,2017-03-13,71.32
2017-03-14,2017-03-14,71.8
2017-03-15,2017-03-15,70.63
2017-03-16,2017-03-16,71.0
2017-03-17,2017-03-17,70.31
2017-03-20,2017-03-20,69.88
2017-03-21,2017-03-21,67.6
2017-03-22,2017-03-22,67.66
2017-03-23,2017-03-23,67.42
2017-03-24,2017-03-24,67.21
2017-03-27,2017-03-27,66.79
2017-03-28,2017-03-28,67.89
2017-03-29,2017-03-29,67.66
2017-03-30,2017-03-30,68.66
2017-03-31,2017-03-31,68.39
2017-04-03,2017-04-03,67.95
2017-04-04,2017-04-04,67.05
2017-04-05,2017-04-05,66.12
2017-04-06,2017-04-06,66.53
2017-04-07,2017-04-07,65.98
2017-04-10,2017-04-10,65.43
2017-04-11,2017-04-11,66.03
2017-04-12,2017-04-12,65.47
2017-04-13,2017-04-13,64.77
2017-04-17,2017-04-17,65.68
2017-04-18,2017-04-18,65.04
2017-04-19,2017-04-19,64.97
2017-04-20,2017-04-20,66.69
2017-04-21,2017-04-21,66.23
2017-04-24,2017-04-24,66.91
2017-04-25,2017-04-25,67.28
2017-04-26,2017-04-26,65.23
2017-04-27,2017-04-27,64.32
2017-04-28,2017-04-28,62.59
2017-05-01,2017-05-01,61.97
2017-05-02,2017-05-02,61.93
2017-05-03,2017-05-03,61.14
2017-05-04,2017-05-04,60.55
2017-05-05,2017-05-05,60.3
2017-05-08,2017-05-08,60.43
2017-05-09,2017-05-09,60.7
2017-05-10,2017-05-10,60.31
2017-05-11,2017-05-11,60.24
2017-05-12,2017-05-12,60.27
2017-05-15,2017-05-15,60.81
2017-05-16,2017-05-16,60.17
2017-05-17,2017-05-17,58.84
2017-05-18,2017-05-18,59.28
2017-05-19,2017-05-19,60.11
2017-05-22,2017-05-22,59.71
2017-05-23,2017-05-23,59.74
2017-05-24,2017-05-24,59.2
2017-05-25,2017-05-25,59.04
2017-05-26,2017-05-26,59.8
2017-05-30,2017-05-30,58.86
2017-05-31,2017-05-31,58.7
2017-06-01,2017-06-01,59.07
2017-06-02,2017-06-02,58.91
2017-06-05,2017-06-05,59.02
2017-06-06,2017-06-06,58.69
2017-06-07,2017-06-07,59.37
2017-06-08,2017-06-08,59.73
2017-06-09,2017-06-09,60.57
2017-06-12,2017-06-12,60.73
2017-06-13,2017-06-13,61.36
2017-06-14,2017-06-14,60.63
2017-06-15,2017-06-15,60.72
