DATE,DATE,CLOSE
2016-11-01,2016-11-01,69.05
2016-11-02,2016-11-02,69.6
2016-11-03,2016-11-03,68.53
2016-11-04,2016-11-04,68.53
2016-11-07,2016-11-07,69.77
2016-11-08,2016-11-08,69.72
2016-11-09,2016-11-09,71.5
2016-11-10,2016-11-10,74.38
2016-11-11,2016-11-11,74.7
2016-11-14,2016-11-14,76.66
2016-11-15,2016-11-15,76.85
2016-11-16,2016-11-16,76.64
2016-11-17,2016-11-17,76.91
2016-11-18,2016-11-18,76.87
2016-11-21,2016-11-21,76.74
2016-11-22,2016-11-22,79.3
2016-11-23,2016-11-23,79.71
2016-11-25,2016-11-25,80.06
2016-11-28,2016-11-28,78.66
2016-11-29,2016-11-29,78.31
2016-11-30,2016-11-30,77.32
2016-12-01,2016-12-01,73.48
2016-12-02,2016-12-02,74.56
2016-12-05,2016-12-05,76.37
2016-12-06,2016-12-06,75.69
2016-12-07,2016-12-07,77.1
2016-12-08,2016-12-08,76.92
2016-12-09,2016-12-09,77.2
2016-12-12,2016-12-12,76.21
2016-12-13,2016-12-13,75.96
2016-12-14,2016-12-14,75.89
2016-12-15,2016-12-15,77.11
2016-12-16,2016-12-16,77.1
2016-12-19,2016-12-19,75.95
2016-12-20,2016-12-20,77.27
2016-12-21,2016-12-21,77.43
2016-12-22,2016-12-22,74.36
2016-12-23,2016-12-23,74.14
2016-12-27,2016-12-27,74.53
2016-12-28,2016-12-28,74.02
2016-12-29,2016-12-29,74.13
2016-12-30,2016-12-30,74.07
2017-01-03,2017-01-03,74.19
2017-01-04,2017-01-04,76.04
2017-01-05,2017-01-05,74.52
2017-01-06,2017-01-06,73.35
2017-01-09,2017-01-09,73.73
2017-01-10,2017-01-10,74.25
2017-01-11,2017-01-11,73.42
2017-01-12,2017-01-12,73.59
2017-01-13,2017-01-13,73.09
2017-01-17,2017-01-17,74.33
2017-01-18,2017-01-18,72.44
2017-01-19,2017-01-19,71.01
2017-01-20,2017-01-20,71.0
2017-01-23,2017-01-23,70.46
2017-01-24,2017-01-24,71.75
2017-01-25,2017-01-25,71.96
2017-01-26,2017-01-26,71.69
2017-01-27,2017-01-27,70.31
2017-01-30,2017-01-30,72.0
2017-01-31,2017-01-31,73.82
2017-02-01,2017-02-01,73.39
2017-02-02,2017-02-02,73.5
2017-02-03,2017-02-03,73.14
2017-02-06,2017-02-06,72.26
2017-02-07,2017-02-07,72.8
2017-02-08,2017-02-08,75.07
2017-02-09,2017-02-09,77.71
2017-02-10,2017-02-10,76.79
2017-02-13,2017-02-13,76.02
2017-02-14,2017-02-14,77.14
2017-02-15,2017-02-15,77.38
2017-02-16,2017-02-16,76.02
2017-02-17,2017-02-17,77.67
2017-02-21,2017-02-21,77.86
2017-02-22,2017-02-22,77.38
2017-02-23,2017-02-23,75.92
2017-02-24,2017-02-24,77.35
2017-02-27,2017-02-27,76.79
2017-02-28,2017-02-28,73.02
2017-03-01,2017-03-01,73.35
2017-03-02,2017-03-02,74.07
2017-03-03,2017-03-03,73.12
2017-03-06,2017-03-06,72.42
2017-03-07,2017-03-07,71.36
2017-03-08,2017-03-08,72.53
2017-03-09,2017-03-09,73.63
2017-03-10,2017-03-10,72.89
2017-03-13,2017-03-13,72.59
2017-03-14,2017-03-14,72.82
2017-03-15,2017-03-15,72.81
2017-03-16,2017-03-16,73.2
2017-03-17,2017-03-17,72.33
2017-03-20,2017-03-20,71.6
2017-03-21,2017-03-21,70.01
2017-03-22,2017-03-22,70.68
2017-03-23,2017-03-23,68.9
2017-03-24,2017-03-24,69.48
2017-03-27,2017-03-27,68.97
2017-03-28,2017-03-28,68.55
2017-03-29,2017-03-29,70.69
2017-03-30,2017-03-30,70.86
2017-03-31,2017-03-31,69.73
2017-04-03,2017-04-03,68.82
2017-04-04,2017-04-04,68.35
2017-04-05,2017-04-05,68.5
2017-04-06,2017-04-06,69.55
2017-04-07,2017-04-07,69.33
2017-04-10,2017-04-10,69.56
2017-04-11,2017-04-11,69.15
2017-04-12,2017-04-12,68.96
2017-04-13,2017-04-13,68.74
2017-04-17,2017-04-17,69.12
