DATE,DATE,CLOSE
2016-11-01,2016-11-01,80.53
2016-11-02,2016-11-02,80.98
2016-11-03,2016-11-03,81.3
2016-11-04,2016-11-04,81.22
2016-11-07,2016-11-07,82.47
2016-11-08,2016-11-08,83.52
2016-11-09,2016-11-09,80.42
2016-11-10,2016-11-10,81.51
2016-11-11,2016-11-11,81.46
2016-11-14,2016-11-14,85.1
2016-11-15,2016-11-15,85.2
2016-11-16,2016-11-16,84.69
2016-11-17,2016-11-17,85.79
2016-11-18,2016-11-18,85.54
2016-11-21,2016-11-21,87.29
2016-11-22,2016-11-22,86.64
2016-11-23,2016-11-23,87.82
2016-11-25,2016-11-25,88.32
2016-11-28,2016-11-28,88.23
2016-11-29,2016-11-29,88.75
2016-11-30,2016-11-30,87.46
2016-12-01,2016-12-01,87.45
2016-12-02,2016-12-02,88.0
2016-12-05,2016-12-05,88.32
2016-12-06,2016-12-06,88.67
2016-12-07,2016-12-07,88.71
2016-12-08,2016-12-08,89.68
2016-12-09,2016-12-09,91.14
2016-12-12,2016-12-12,91.71
2016-12-13,2016-12-13,91.95
2016-12-14,2016-12-14,91.05
2016-12-15,2016-12-15,91.98
2016-12-16,2016-12-16,92.31
2016-12-19,2016-12-19,92.38
2016-12-20,2016-12-20,92.6
2016-12-21,2016-12-21,92.04
2016-12-22,2016-12-22,91.81
2016-12-23,2016-12-23,92.41
2016-12-27,2016-12-27,92.51
2016-12-28,2016-12-28,91.76
2016-12-29,2016-12-29,91.87
2016-12-30,2016-12-30,91.9
2017-01-03,2017-01-03,92.45
2017-01-04,2017-01-04,93.07
2017-01-05,2017-01-05,92.69
2017-01-06,2017-01-06,92.02
2017-01-09,2017-01-09,92.43
2017-01-10,2017-01-10,93.0
2017-01-11,2017-01-11,93.27
2017-01-12,2017-01-12,93.12
2017-01-13,2017-01-13,92.7
2017-01-17,2017-01-17,92.26
2017-01-18,2017-01-18,92.96
2017-01-19,2017-01-19,91.53
2017-01-20,2017-01-20,91.0
2017-01-23,2017-01-23,91.07
2017-01-24,2017-01-24,91.34
2017-01-25,2017-01-25,91.88
2017-01-26,2017-01-26,92.89
2017-01-27,2017-01-27,92.72
2017-01-30,2017-01-30,90.54
2017-01-31,2017-01-31,91.92
2017-02-01,2017-02-01,92.55
2017-02-02,2017-02-02,92.48
2017-02-03,2017-02-03,93.31
2017-02-06,2017-02-06,92.78
2017-02-07,2017-02-07,92.62
2017-02-08,2017-02-08,93.05
2017-02-09,2017-02-09,93.77
2017-02-10,2017-02-10,93.56
2017-02-13,2017-02-13,93.96
2017-02-14,2017-02-14,94.61
2017-02-15,2017-02-15,95.39
2017-02-16,2017-02-16,95.3
2017-02-17,2017-02-17,95.64
2017-02-21,2017-02-21,95.87
2017-02-22,2017-02-22,95.6
2017-02-23,2017-02-23,95.61
2017-02-24,2017-02-24,97.31
2017-02-27,2017-02-27,97.47
2017-02-28,2017-02-28,97.44
2017-03-01,2017-03-01,98.4
2017-03-02,2017-03-02,98.27
2017-03-03,2017-03-03,98.52
2017-03-06,2017-03-06,98.37
2017-03-07,2017-03-07,98.17
2017-03-08,2017-03-08,97.92
2017-03-09,2017-03-09,98.2
2017-03-10,2017-03-10,98.78
2017-03-13,2017-03-13,98.79
2017-03-14,2017-03-14,98.66
2017-03-15,2017-03-15,99.74
2017-03-16,2017-03-16,98.72
2017-03-17,2017-03-17,99.06
2017-03-20,2017-03-20,99.17
2017-03-21,2017-03-21,98.43
2017-03-22,2017-03-22,98.57
2017-03-23,2017-03-23,98.27
2017-03-24,2017-03-24,98.7
2017-03-27,2017-03-27,98.64
2017-03-28,2017-03-28,98.84
2017-03-29,2017-03-29,98.22
2017-03-30,2017-03-30,98.37
2017-03-31,2017-03-31,98.19
2017-04-03,2017-04-03,98.01
2017-04-04,2017-04-04,97.62
2017-04-05,2017-04-05,97.89
2017-04-06,2017-04-06,97.86
2017-04-07,2017-04-07,97.85
2017-04-10,2017-04-10,98.21
2017-04-11,2017-04-11,98.23
2017-04-12,2017-04-12,98.12
2017-04-13,2017-04-13,97.25
2017-04-17,2017-04-17,97.77
2017-04-18,2017-04-18,97.11
2017-04-19,2017-04-19,98.11
2017-04-20,2017-04-20,104.03
2017-04-21,2017-04-21,103.3
2017-04-24,2017-04-24,104.09
2017-04-25,2017-04-25,105.87
2017-04-26,2017-04-26,105.76
2017-04-27,2017-04-27,105.81
2017-04-28,2017-04-28,105.51
2017-05-01,2017-05-01,106.27
2017-05-02,2017-05-02,106.8
2017-05-03,2017-05-03,106.74
2017-05-04,2017-05-04,107.22
2017-05-05,2017-05-05,107.09
2017-05-08,2017-05-08,107.19
2017-05-09,2017-05-09,107.28
2017-05-10,2017-05-10,107.85
2017-05-11,2017-05-11,107.41
2017-05-12,2017-05-12,106.47
2017-05-15,2017-05-15,107.59
2017-05-16,2017-05-16,106.39
2017-05-17,2017-05-17,105.12
2017-05-18,2017-05-18,105.65
2017-05-19,2017-05-19,105.89
2017-05-22,2017-05-22,106.55
2017-05-23,2017-05-23,106.51
2017-05-24,2017-05-24,106.54
2017-05-25,2017-05-25,108.14
2017-05-26,2017-05-26,107.98
2017-05-30,2017-05-30,107.89
2017-05-31,2017-05-31,108.77
2017-06-01,2017-06-01,109.72
2017-06-02,2017-06-02,109.94
2017-06-05,2017-06-05,109.34
2017-06-06,2017-06-06,109.14
2017-06-07,2017-06-07,108.93
2017-06-08,2017-06-08,108.32
2017-06-09,2017-06-09,108.41
2017-06-12,2017-06-12,107.44
2017-06-13,2017-06-13,108.43
2017-06-14,2017-06-14,107.23
2017-06-15,2017-06-15,107.73
2017-06-16,2017-06-16,107.67
2017-06-19,2017-06-19,108.14
2017-06-20,2017-06-20,108.34
2017-06-21,2017-06-21,109.03
2017-06-22,2017-06-22,109.56
2017-06-23,2017-06-23,109.7
2017-06-26,2017-06-26,110.05
2017-06-27,2017-06-27,109.47
2017-06-28,2017-06-28,111.11
2017-06-29,2017-06-29,110.54
2017-06-30,2017-06-30,111.16
2017-07-03,2017-07-03,110.66
2017-07-05,2017-07-05,110.79
2017-07-06,2017-07-06,109.01
2017-07-07,2017-07-07,109.73
2017-07-10,2017-07-10,108.59
2017-07-11,2017-07-11,108.56
2017-07-12,2017-07-12,108.9
2017-07-13,2017-07-13,108.67
2017-07-14,2017-07-14,109.03
2017-07-17,2017-07-17,109.66
2017-07-18,2017-07-18,109.61
2017-07-19,2017-07-19,109.93
2017-07-20,2017-07-20,109.65
2017-07-21,2017-07-21,109.39
2017-07-24,2017-07-24,109.44
2017-07-25,2017-07-25,108.18
2017-07-26,2017-07-26,108.22
2017-07-27,2017-07-27,108.99
2017-07-28,2017-07-28,109.51
2017-07-31,2017-07-31,108.31
2017-08-01,2017-08-01,108.34
2017-08-02,2017-08-02,107.97
2017-08-03,2017-08-03,107.56
2017-08-04,2017-08-04,106.97
2017-08-07,2017-08-07,106.73
2017-08-08,2017-08-08,106.21
2017-08-09,2017-08-09,106.5
2017-08-10,2017-08-10,105.61
2017-08-11,2017-08-11,106.1
2017-08-14,2017-08-14,106.46
2017-08-15,2017-08-15,106.6
2017-08-16,2017-08-16,106.75
2017-08-17,2017-08-17,105.37
2017-08-18,2017-08-18,104.87
2017-08-21,2017-08-21,105.0
2017-08-22,2017-08-22,106.84
2017-08-23,2017-08-23,106.74
2017-08-24,2017-08-24,106.57
2017-08-25,2017-08-25,107.02
2017-08-28,2017-08-28,107.04
2017-08-29,2017-08-29,106.79
2017-08-30,2017-08-30,107.26
2017-08-31,2017-08-31,108.35
2017-09-01,2017-09-01,108.17
2017-09-05,2017-09-05,107.42
2017-09-06,2017-09-06,107.26
2017-09-07,2017-09-07,107.29
2017-09-08,2017-09-08,107.54
2017-09-11,2017-09-11,108.23
2017-09-12,2017-09-12,107.53
2017-09-13,2017-09-13,106.89
2017-09-14,2017-09-14,105.6
2017-09-15,2017-09-15,104.96
2017-09-18,2017-09-18,103.86
2017-09-19,2017-09-19,101.86
2017-09-20,2017-09-20,101.8
2017-09-21,2017-09-21,101.55
2017-09-22,2017-09-22,102.11
2017-09-25,2017-09-25,94.57
2017-09-26,2017-09-26,94.3
2017-09-27,2017-09-27,93.09
2017-09-28,2017-09-28,91.96
2017-09-29,2017-09-29,93.64
2017-10-02,2017-10-02,93.57
2017-10-03,2017-10-03,92.89
2017-10-04,2017-10-04,92.96
2017-10-05,2017-10-05,92.44
2017-10-06,2017-10-06,92.42
2017-10-09,2017-10-09,91.06
2017-10-10,2017-10-10,90.86
2017-10-11,2017-10-11,91.45
2017-10-12,2017-10-12,91.52
2017-10-13,2017-10-13,91.06
2017-10-16,2017-10-16,91.53
2017-10-17,2017-10-17,92.18
2017-10-18,2017-10-18,92.05
2017-10-19,2017-10-19,93.23
2017-10-20,2017-10-20,95.08
2017-10-23,2017-10-23,95.2
2017-10-24,2017-10-24,95.27
2017-10-25,2017-10-25,94.21
2017-10-26,2017-10-26,94.8
2017-10-27,2017-10-27,95.68
2017-10-30,2017-10-30,93.78
2017-10-31,2017-10-31,93.78
2017-11-01,2017-11-01,93.1
2017-11-02,2017-11-02,93.75
2017-11-03,2017-11-03,94.09
2017-11-06,2017-11-06,93.15
2017-11-07,2017-11-07,92.66
2017-11-08,2017-11-08,93.15
2017-11-09,2017-11-09,93.02
2017-11-10,2017-11-10,92.05
2017-11-13,2017-11-13,92.0
2017-11-14,2017-11-14,92.42
2017-11-15,2017-11-15,91.85
2017-11-16,2017-11-16,92.94
2017-11-17,2017-11-17,93.04
2017-11-20,2017-11-20,92.41
2017-11-21,2017-11-21,92.46
2017-11-22,2017-11-22,92.52
2017-11-24,2017-11-24,91.62
2017-11-27,2017-11-27,92.5
2017-11-28,2017-11-28,93.35
2017-11-29,2017-11-29,97.33
2017-11-30,2017-11-30,98.46
2017-12-01,2017-12-01,99.21
2017-12-04,2017-12-04,100.24
2017-12-05,2017-12-05,97.87
2017-12-06,2017-12-06,97.39
2017-12-07,2017-12-07,96.62
2017-12-08,2017-12-08,97.09
2017-12-11,2017-12-11,97.1
2017-12-12,2017-12-12,97.01
2017-12-13,2017-12-13,97.14
2017-12-14,2017-12-14,97.12
2017-12-15,2017-12-15,98.99
2017-12-18,2017-12-18,98.73
2017-12-19,2017-12-19,99.48
2017-12-20,2017-12-20,99.04
2017-12-21,2017-12-21,99.15
2017-12-22,2017-12-22,99.24
2017-12-26,2017-12-26,99.27
2017-12-27,2017-12-27,99.2
2017-12-28,2017-12-28,99.13
2017-12-29,2017-12-29,98.49
2018-01-02,2018-01-02,98.9
2018-01-03,2018-01-03,99.25
2018-01-04,2018-01-04,99.08
2018-01-05,2018-01-05,99.91
2018-01-08,2018-01-08,99.69
2018-01-09,2018-01-09,101.14
2018-01-10,2018-01-10,100.37
2018-01-11,2018-01-11,101.02
2018-01-12,2018-01-12,101.63
