DATE,DATE,CLOSE
2016-11-01,2016-11-01,28.66
2016-11-02,2016-11-02,28.61
2016-11-03,2016-11-03,28.29
2016-11-04,2016-11-04,28.75
2016-11-07,2016-11-07,29.37
2016-11-08,2016-11-08,27.77
2016-11-09,2016-11-09,27.54
2016-11-10,2016-11-10,27.52
2016-11-11,2016-11-11,27.33
2016-11-14,2016-11-14,27.97
2016-11-15,2016-11-15,28.31
2016-11-16,2016-11-16,27.79
2016-11-17,2016-11-17,28.57
2016-11-18,2016-11-18,28.54
2016-11-21,2016-11-21,28.91
2016-11-22,2016-11-22,28.72
2016-11-23,2016-11-23,28.81
2016-11-25,2016-11-25,28.88
2016-11-28,2016-11-28,28.49
2016-11-29,2016-11-29,28.84
2016-11-30,2016-11-30,27.72
2016-12-01,2016-12-01,27.31
2016-12-02,2016-12-02,27.28
2016-12-05,2016-12-05,27.51
2016-12-06,2016-12-06,28.05
2016-12-07,2016-12-07,28.78
2016-12-08,2016-12-08,29.49
2016-12-09,2016-12-09,28.86
2016-12-12,2016-12-12,29.15
2016-12-13,2016-12-13,29.25
2016-12-14,2016-12-14,28.48
2016-12-15,2016-12-15,27.89
2016-12-16,2016-12-16,28.04
2016-12-19,2016-12-19,28.02
2016-12-20,2016-12-20,28.07
2016-12-21,2016-12-21,28.15
2016-12-22,2016-12-22,27.76
2016-12-23,2016-12-23,27.56
2016-12-27,2016-12-27,27.93
2016-12-28,2016-12-28,27.61
2016-12-29,2016-12-29,27.53
2016-12-30,2016-12-30,27.33
2017-01-03,2017-01-03,27.56
2017-01-04,2017-01-04,28.23
2017-01-05,2017-01-05,28.35
2017-01-06,2017-01-06,27.85
2017-01-09,2017-01-09,27.96
2017-01-10,2017-01-10,28.15
2017-01-11,2017-01-11,28.61
2017-01-12,2017-01-12,28.69
2017-01-13,2017-01-13,28.5
2017-01-17,2017-01-17,28.57
2017-01-18,2017-01-18,28.5
2017-01-19,2017-01-19,28.01
2017-01-20,2017-01-20,28.31
2017-01-23,2017-01-23,28.74
2017-01-24,2017-01-24,30.64
2017-01-25,2017-01-25,31.37
2017-01-26,2017-01-26,31.35
2017-01-27,2017-01-27,30.94
2017-01-30,2017-01-30,30.71
2017-01-31,2017-01-31,29.91
2017-02-01,2017-02-01,29.68
2017-02-02,2017-02-02,29.88
2017-02-03,2017-02-03,29.89
2017-02-06,2017-02-06,29.49
2017-02-07,2017-02-07,29.42
2017-02-08,2017-02-08,29.89
2017-02-09,2017-02-09,30.12
2017-02-10,2017-02-10,30.82
2017-02-13,2017-02-13,30.42
2017-02-14,2017-02-14,30.11
2017-02-15,2017-02-15,30.76
2017-02-16,2017-02-16,30.43
2017-02-17,2017-02-17,30.49
2017-02-21,2017-02-21,30.9
2017-02-22,2017-02-22,31.0
2017-02-23,2017-02-23,30.98
2017-02-24,2017-02-24,31.39
2017-02-27,2017-02-27,32.03
2017-02-28,2017-02-28,32.0
2017-03-01,2017-03-01,32.6
2017-03-02,2017-03-02,32.51
2017-03-03,2017-03-03,32.55
2017-03-06,2017-03-06,32.41
2017-03-07,2017-03-07,32.85
2017-03-08,2017-03-08,33.3
2017-03-09,2017-03-09,33.05
2017-03-10,2017-03-10,33.57
2017-03-13,2017-03-13,33.18
2017-03-14,2017-03-14,32.9
2017-03-15,2017-03-15,33.27
2017-03-16,2017-03-16,33.85
2017-03-17,2017-03-17,33.66
2017-03-20,2017-03-20,33.54
2017-03-21,2017-03-21,33.16
2017-03-22,2017-03-22,32.98
2017-03-23,2017-03-23,33.25
2017-03-24,2017-03-24,33.22
2017-03-27,2017-03-27,33.05
2017-03-28,2017-03-28,33.27
2017-03-29,2017-03-29,33.37
2017-03-30,2017-03-30,33.43
2017-03-31,2017-03-31,33.31
2017-04-03,2017-04-03,33.37
2017-04-04,2017-04-04,33.29
2017-04-05,2017-04-05,33.23
2017-04-06,2017-04-06,33.29
2017-04-07,2017-04-07,33.12
2017-04-10,2017-04-10,33.19
2017-04-11,2017-04-11,33.74
2017-04-12,2017-04-12,33.44
2017-04-13,2017-04-13,33.69
2017-04-17,2017-04-17,34.16
2017-04-18,2017-04-18,34.28
2017-04-19,2017-04-19,33.95
2017-04-20,2017-04-20,33.1
2017-04-21,2017-04-21,32.87
2017-04-24,2017-04-24,33.05
2017-04-25,2017-04-25,32.65
2017-04-26,2017-04-26,32.99
2017-04-27,2017-04-27,33.25
2017-04-28,2017-04-28,32.89
2017-05-01,2017-05-01,32.75
2017-05-02,2017-05-02,32.28
2017-05-03,2017-05-03,32.38
2017-05-04,2017-05-04,32.51
2017-05-05,2017-05-05,32.6
2017-05-08,2017-05-08,32.66
2017-05-09,2017-05-09,33.21
2017-05-10,2017-05-10,33.16
2017-05-11,2017-05-11,33.25
2017-05-12,2017-05-12,33.07
2017-05-15,2017-05-15,33.45
2017-05-16,2017-05-16,33.56
2017-05-17,2017-05-17,32.86
2017-05-18,2017-05-18,33.25
2017-05-19,2017-05-19,33.79
2017-05-22,2017-05-22,33.91
2017-05-23,2017-05-23,33.37
2017-05-24,2017-05-24,33.6
2017-05-25,2017-05-25,33.22
2017-05-26,2017-05-26,33.11
2017-05-30,2017-05-30,32.93
2017-05-31,2017-05-31,32.69
2017-06-01,2017-06-01,33.1
2017-06-02,2017-06-02,33.79
2017-06-05,2017-06-05,33.29
2017-06-06,2017-06-06,33.21
2017-06-07,2017-06-07,33.7
2017-06-08,2017-06-08,33.54
2017-06-09,2017-06-09,33.62
2017-06-12,2017-06-12,33.39
2017-06-13,2017-06-13,33.98
2017-06-14,2017-06-14,34.37
2017-06-15,2017-06-15,33.82
2017-06-16,2017-06-16,33.65
2017-06-19,2017-06-19,33.85
2017-06-20,2017-06-20,34.17
2017-06-21,2017-06-21,33.97
2017-06-22,2017-06-22,33.47
2017-06-23,2017-06-23,33.88
2017-06-26,2017-06-26,33.95
2017-06-27,2017-06-27,33.77
2017-06-28,2017-06-28,34.27
2017-06-29,2017-06-29,33.79
2017-06-30,2017-06-30,34.57
2017-07-03,2017-07-03,34.36
2017-07-05,2017-07-05,34.63
2017-07-06,2017-07-06,34.49
2017-07-07,2017-07-07,35.79
2017-07-10,2017-07-10,37.17
2017-07-11,2017-07-11,36.98
2017-07-12,2017-07-12,36.58
2017-07-13,2017-07-13,36.5
2017-07-14,2017-07-14,36.7
2017-07-17,2017-07-17,36.68
2017-07-18,2017-07-18,36.41
2017-07-19,2017-07-19,36.64
2017-07-20,2017-07-20,36.33
2017-07-21,2017-07-21,36.61
2017-07-24,2017-07-24,36.56
2017-07-25,2017-07-25,37.0
2017-07-26,2017-07-26,36.29
2017-07-27,2017-07-27,36.07
2017-07-28,2017-07-28,35.85
2017-07-31,2017-07-31,35.69
2017-08-01,2017-08-01,36.08
2017-08-02,2017-08-02,36.45
2017-08-03,2017-08-03,36.33
2017-08-04,2017-08-04,36.59
2017-08-07,2017-08-07,36.41
2017-08-08,2017-08-08,36.25
2017-08-09,2017-08-09,36.37
2017-08-10,2017-08-10,35.89
2017-08-11,2017-08-11,36.09
2017-08-14,2017-08-14,36.62
2017-08-15,2017-08-15,36.78
2017-08-16,2017-08-16,36.83
2017-08-17,2017-08-17,36.05
2017-08-18,2017-08-18,35.69
2017-08-21,2017-08-21,35.78
2017-08-22,2017-08-22,35.57
2017-08-23,2017-08-23,35.44
2017-08-24,2017-08-24,35.38
2017-08-25,2017-08-25,35.78
2017-08-28,2017-08-28,35.31
2017-08-29,2017-08-29,35.28
2017-08-30,2017-08-30,35.44
2017-08-31,2017-08-31,36.15
2017-09-01,2017-09-01,36.24
2017-09-05,2017-09-05,35.71
2017-09-06,2017-09-06,36.1
2017-09-07,2017-09-07,35.97
2017-09-08,2017-09-08,36.25
2017-09-11,2017-09-11,36.93
2017-09-12,2017-09-12,37.74
2017-09-13,2017-09-13,37.16
2017-09-14,2017-09-14,37.33
2017-09-15,2017-09-15,37.17
2017-09-18,2017-09-18,37.49
2017-09-19,2017-09-19,37.57
2017-09-20,2017-09-20,37.05
2017-09-21,2017-09-21,36.86
2017-09-22,2017-09-22,36.9
2017-09-25,2017-09-25,37.08
2017-09-26,2017-09-26,37.44
2017-09-27,2017-09-27,38.15
2017-09-28,2017-09-28,38.98
2017-09-29,2017-09-29,39.93
2017-10-02,2017-10-02,39.98
2017-10-03,2017-10-03,40.27
2017-10-04,2017-10-04,40.84
2017-10-05,2017-10-05,40.62
2017-10-06,2017-10-06,41.08
2017-10-09,2017-10-09,41.23
2017-10-10,2017-10-10,41.28
2017-10-11,2017-10-11,41.48
2017-10-12,2017-10-12,41.28
2017-10-13,2017-10-13,41.34
2017-10-16,2017-10-16,41.37
2017-10-17,2017-10-17,41.49
2017-10-18,2017-10-18,41.51
2017-10-19,2017-10-19,42.53
2017-10-20,2017-10-20,42.67
2017-10-23,2017-10-23,42.87
2017-10-24,2017-10-24,43.32
2017-10-25,2017-10-25,43.26
2017-10-26,2017-10-26,44.0
2017-10-27,2017-10-27,44.3
2017-10-30,2017-10-30,44.31
2017-10-31,2017-10-31,44.21
2017-11-01,2017-11-01,44.73
2017-11-02,2017-11-02,44.63
2017-11-03,2017-11-03,44.32
2017-11-06,2017-11-06,44.84
2017-11-07,2017-11-07,44.95
2017-11-08,2017-11-08,45.41
2017-11-09,2017-11-09,45.99
2017-11-10,2017-11-10,46.0
2017-11-13,2017-11-13,47.09
2017-11-14,2017-11-14,47.64
2017-11-15,2017-11-15,47.53
2017-11-16,2017-11-16,47.52
2017-11-17,2017-11-17,48.13
2017-11-20,2017-11-20,48.2
2017-11-21,2017-11-21,49.35
2017-11-22,2017-11-22,49.58
2017-11-24,2017-11-24,50.0
2017-11-27,2017-11-27,49.47
2017-11-28,2017-11-28,50.11
2017-11-29,2017-11-29,50.66
2017-11-30,2017-11-30,51.0
2017-12-01,2017-12-01,50.43
2017-12-04,2017-12-04,50.58
2017-12-05,2017-12-05,50.24
2017-12-06,2017-12-06,49.71
2017-12-07,2017-12-07,50.16
2017-12-08,2017-12-08,50.78
2017-12-11,2017-12-11,50.47
2017-12-12,2017-12-12,50.0
2017-12-13,2017-12-13,49.81
2017-12-14,2017-12-14,50.34
2017-12-15,2017-12-15,50.58
2017-12-18,2017-12-18,51.45
2017-12-19,2017-12-19,50.8
2017-12-20,2017-12-20,50.78
2017-12-21,2017-12-21,50.93
2017-12-22,2017-12-22,50.83
2017-12-26,2017-12-26,50.97
2017-12-27,2017-12-27,51.02
2017-12-28,2017-12-28,51.34
2017-12-29,2017-12-29,51.07
2018-01-02,2018-01-02,51.06
2018-01-03,2018-01-03,52.86
2018-01-04,2018-01-04,52.07
2018-01-05,2018-01-05,52.49
2018-01-08,2018-01-08,52.87
2018-01-09,2018-01-09,52.83
2018-01-10,2018-01-10,50.97
2018-01-11,2018-01-11,52.04
2018-01-12,2018-01-12,51.91
2018-01-16,2018-01-16,50.83
2018-01-17,2018-01-17,52.1
2018-01-18,2018-01-18,50.94
2018-01-19,2018-01-19,51.48
2018-01-22,2018-01-22,52.37
2018-01-23,2018-01-23,52.38
2018-01-24,2018-01-24,51.85
2018-01-25,2018-01-25,50.35
2018-01-26,2018-01-26,50.35
2018-01-29,2018-01-29,48.32
2018-01-30,2018-01-30,48.53
2018-01-31,2018-01-31,49.05
2018-02-01,2018-02-01,48.08
2018-02-02,2018-02-02,46.37
2018-02-05,2018-02-05,44.74
2018-02-06,2018-02-06,46.11
2018-02-07,2018-02-07,46.29
2018-02-08,2018-02-08,44.55
2018-02-09,2018-02-09,44.08
2018-02-12,2018-02-12,44.84
2018-02-13,2018-02-13,44.85
2018-02-14,2018-02-14,45.42
2018-02-15,2018-02-15,45.11
2018-02-16,2018-02-16,45.57
2018-02-20,2018-02-20,45.16
2018-02-21,2018-02-21,44.93
2018-02-22,2018-02-22,44.26
2018-02-23,2018-02-23,44.47
2018-02-26,2018-02-26,44.3
2018-02-27,2018-02-27,43.35
2018-02-28,2018-02-28,41.9
2018-03-01,2018-03-01,42.28
2018-03-02,2018-03-02,42.05
2018-03-05,2018-03-05,42.22
2018-03-06,2018-03-06,43.44
2018-03-07,2018-03-07,43.45
2018-03-08,2018-03-08,43.59
2018-03-09,2018-03-09,43.8
2018-03-12,2018-03-12,44.34
2018-03-13,2018-03-13,44.76
2018-03-14,2018-03-14,44.39
2018-03-15,2018-03-15,43.45
2018-03-16,2018-03-16,43.76
2018-03-19,2018-03-19,43.54
