DATE,DATE,CLOSE
2016-11-01,2016-11-01,77.03
2016-11-02,2016-11-02,76.74
2016-11-03,2016-11-03,76.54
2016-11-04,2016-11-04,76.94
2016-11-07,2016-11-07,78.2
2016-11-08,2016-11-08,78.93
2016-11-09,2016-11-09,80.23
2016-11-10,2016-11-10,80.24
2016-11-11,2016-11-11,80.94
2016-11-14,2016-11-14,79.1
2016-11-15,2016-11-15,79.63
2016-11-16,2016-11-16,80.21
2016-11-17,2016-11-17,79.97
2016-11-18,2016-11-18,78.99
2016-11-21,2016-11-21,79.22
2016-11-22,2016-11-22,78.42
2016-11-23,2016-11-23,79.16
2016-11-25,2016-11-25,79.56
2016-11-28,2016-11-28,79.03
2016-11-29,2016-11-29,79.13
2016-11-30,2016-11-30,78.17
2016-12-01,2016-12-01,77.02
2016-12-02,2016-12-02,77.32
2016-12-05,2016-12-05,77.11
2016-12-06,2016-12-06,77.38
2016-12-07,2016-12-07,76.97
2016-12-08,2016-12-08,77.74
2016-12-09,2016-12-09,78.1
2016-12-12,2016-12-12,77.83
2016-12-13,2016-12-13,79.24
2016-12-14,2016-12-14,78.71
2016-12-15,2016-12-15,79.73
2016-12-16,2016-12-16,79.22
2016-12-19,2016-12-19,78.61
2016-12-20,2016-12-20,78.85
2016-12-21,2016-12-21,78.36
2016-12-22,2016-12-22,78.33
2016-12-23,2016-12-23,78.95
2016-12-27,2016-12-27,78.82
2016-12-28,2016-12-28,78.13
2016-12-29,2016-12-29,78.22
2016-12-30,2016-12-30,77.84
2017-01-03,2017-01-03,78.78
2017-01-04,2017-01-04,79.28
2017-01-05,2017-01-05,80.01
2017-01-06,2017-01-06,80.43
2017-01-09,2017-01-09,80.59
2017-01-10,2017-01-10,81.1
2017-01-11,2017-01-11,81.35
2017-01-12,2017-01-12,81.29
2017-01-13,2017-01-13,81.36
2017-01-17,2017-01-17,80.91
2017-01-18,2017-01-18,81.19
2017-01-19,2017-01-19,80.6
2017-01-20,2017-01-20,80.53
2017-01-23,2017-01-23,80.0
2017-01-24,2017-01-24,80.03
2017-01-25,2017-01-25,81.03
2017-01-26,2017-01-26,80.79
2017-01-27,2017-01-27,80.96
2017-01-30,2017-01-30,80.36
2017-01-31,2017-01-31,83.92
2017-02-01,2017-02-01,83.54
2017-02-02,2017-02-02,83.7
2017-02-03,2017-02-03,83.69
2017-02-06,2017-02-06,82.99
2017-02-07,2017-02-07,83.08
2017-02-08,2017-02-08,82.98
2017-02-09,2017-02-09,83.76
2017-02-10,2017-02-10,83.98
2017-02-13,2017-02-13,84.19
2017-02-14,2017-02-14,84.1
2017-02-15,2017-02-15,84.61
2017-02-16,2017-02-16,84.25
2017-02-17,2017-02-17,84.05
2017-02-21,2017-02-21,84.75
2017-02-22,2017-02-22,84.8
2017-02-23,2017-02-23,85.13
2017-02-24,2017-02-24,86.08
2017-02-27,2017-02-27,86.13
2017-02-28,2017-02-28,85.55
2017-03-01,2017-03-01,87.26
2017-03-02,2017-03-02,86.62
2017-03-03,2017-03-03,86.83
2017-03-06,2017-03-06,86.09
2017-03-07,2017-03-07,86.07
2017-03-08,2017-03-08,86.62
2017-03-09,2017-03-09,87.31
2017-03-10,2017-03-10,87.76
2017-03-13,2017-03-13,87.5
