DATE,DATE,CLOSE
2016-11-01,2016-11-01,92.39
2016-11-02,2016-11-02,91.91
2016-11-03,2016-11-03,93.37
2016-11-04,2016-11-04,92.45
2016-11-07,2016-11-07,94.43
2016-11-08,2016-11-08,94.38
2016-11-09,2016-11-09,94.64
2016-11-10,2016-11-10,94.96
2016-11-11,2016-11-11,97.68
2016-11-14,2016-11-14,97.92
2016-11-15,2016-11-15,97.7
2016-11-16,2016-11-16,99.12
2016-11-17,2016-11-17,99.37
2016-11-18,2016-11-18,98.24
2016-11-21,2016-11-21,97.63
2016-11-22,2016-11-22,97.71
2016-11-23,2016-11-23,98.26
2016-11-25,2016-11-25,98.82
2016-11-28,2016-11-28,98.97
2016-11-29,2016-11-29,99.67
2016-11-30,2016-11-30,99.12
2016-12-01,2016-12-01,98.94
2016-12-02,2016-12-02,98.5
2016-12-05,2016-12-05,99.96
2016-12-06,2016-12-06,100.66
2016-12-07,2016-12-07,101.99
2016-12-08,2016-12-08,103.38
2016-12-09,2016-12-09,104.86
2016-12-12,2016-12-12,104.06
2016-12-13,2016-12-13,103.85
2016-12-14,2016-12-14,104.05
2016-12-15,2016-12-15,104.39
2016-12-16,2016-12-16,103.91
2016-12-19,2016-12-19,105.3
2016-12-20,2016-12-20,105.46
2016-12-21,2016-12-21,105.56
2016-12-22,2016-12-22,105.42
2016-12-23,2016-12-23,105.15
2016-12-27,2016-12-27,105.17
2016-12-28,2016-12-28,104.3
2016-12-29,2016-12-29,104.56
2016-12-30,2016-12-30,104.22
2017-01-03,2017-01-03,106.08
2017-01-04,2017-01-04,107.44
2017-01-05,2017-01-05,107.38
2017-01-06,2017-01-06,108.98
2017-01-09,2017-01-09,108.36
2017-01-10,2017-01-10,108.38
2017-01-11,2017-01-11,109.44
2017-01-12,2017-01-12,107.53
2017-01-13,2017-01-13,108.06
2017-01-17,2017-01-17,107.97
2017-01-18,2017-01-18,108.16
2017-01-19,2017-01-19,107.28
2017-01-20,2017-01-20,107.66
2017-01-23,2017-01-23,107.12
2017-01-24,2017-01-24,107.9
2017-01-25,2017-01-25,108.04
2017-01-26,2017-01-26,108.06
2017-01-27,2017-01-27,109.3
2017-01-30,2017-01-30,110.94
2017-01-31,2017-01-31,110.65
2017-02-01,2017-02-01,111.3
2017-02-02,2017-02-02,110.61
2017-02-03,2017-02-03,110.3
2017-02-06,2017-02-06,109.57
2017-02-07,2017-02-07,109.0
2017-02-08,2017-02-08,109.0
2017-02-09,2017-02-09,109.49
2017-02-10,2017-02-10,109.26
2017-02-13,2017-02-13,109.65
2017-02-14,2017-02-14,110.33
2017-02-15,2017-02-15,110.18
2017-02-16,2017-02-16,110.71
2017-02-17,2017-02-17,110.06
2017-02-21,2017-02-21,110.01
2017-02-22,2017-02-22,110.12
2017-02-23,2017-02-23,109.73
2017-02-24,2017-02-24,110.32
2017-02-27,2017-02-27,110.23
2017-02-28,2017-02-28,110.09
2017-03-01,2017-03-01,111.04
2017-03-02,2017-03-02,110.59
2017-03-03,2017-03-03,111.24
2017-03-06,2017-03-06,110.67
2017-03-07,2017-03-07,110.86
2017-03-08,2017-03-08,110.84
2017-03-09,2017-03-09,111.03
2017-03-10,2017-03-10,110.92
2017-03-13,2017-03-13,111.52
