DATE,DATE,CLOSE
2016-11-01,2016-11-01,24.627026
2016-11-02,2016-11-02,24.180673
2016-11-03,2016-11-03,23.957497
2016-11-04,2016-11-04,23.9672
2016-11-07,2016-11-07,24.34563
2016-11-08,2016-11-08,24.733763
2016-11-09,2016-11-09,23.957497
2016-11-10,2016-11-10,22.948352
2016-11-11,2016-11-11,22.686362
2016-11-14,2016-11-14,22.948352
2016-11-15,2016-11-15,23.161825
2016-11-16,2016-11-16,23.268561
2016-11-17,2016-11-17,23.025978
2016-11-18,2016-11-18,23.549958
2016-11-21,2016-11-21,23.685804
2016-11-22,2016-11-22,23.90898
2016-11-23,2016-11-23,23.99631
2016-11-25,2016-11-25,24.238893
2016-11-28,2016-11-28,24.627026
2016-11-29,2016-11-29,25.044269
2016-11-30,2016-11-30,24.675543
2016-12-01,2016-12-01,24.40385
2016-12-02,2016-12-02,24.791983
2016-12-05,2016-12-05,25.015159
2016-12-06,2016-12-06,25.228632
2016-12-07,2016-12-07,25.810831
2016-12-08,2016-12-08,25.859348
2016-12-09,2016-12-09,25.772018
2016-12-12,2016-12-12,25.849644
2016-12-13,2016-12-13,25.936974
2016-12-14,2016-12-14,25.073379
2016-12-15,2016-12-15,24.908422
2016-12-16,2016-12-16,25.403292
2016-12-19,2016-12-19,25.374182
2016-12-20,2016-12-20,25.374182
2016-12-21,2016-12-21,25.218929
2016-12-22,2016-12-22,25.180115
2016-12-23,2016-12-23,25.189819
2016-12-27,2016-12-27,25.131599
2016-12-28,2016-12-28,24.898719
2016-12-29,2016-12-29,25.325665
2016-12-30,2016-12-30,25.772018
2017-01-03,2017-01-03,25.830238
2017-01-04,2017-01-04,26.412437
2017-01-05,2017-01-05,26.305701
2017-01-06,2017-01-06,26.228074
2017-01-09,2017-01-09,26.082524
2017-01-10,2017-01-10,25.936974
2017-01-11,2017-01-11,25.733205
2017-01-12,2017-01-12,25.810831
2017-01-13,2017-01-13,25.810831
2017-01-17,2017-01-17,25.781721
2017-01-18,2017-01-18,26.004898
2017-01-19,2017-01-19,25.830238
2017-01-20,2017-01-20,25.772018
2017-01-23,2017-01-23,25.781721
2017-01-24,2017-01-24,25.529435
2017-01-25,2017-01-25,25.325665
2017-01-26,2017-01-26,24.481476
2017-01-27,2017-01-27,23.588771
2017-01-30,2017-01-30,23.326781
2017-01-31,2017-01-31,23.608178
2017-02-01,2017-02-01,23.501441
2017-02-02,2017-02-02,24.006014
2017-02-03,2017-02-03,24.22919
2017-02-06,2017-02-06,24.306817
2017-02-07,2017-02-07,24.132157
2017-02-08,2017-02-08,24.40385
2017-02-09,2017-02-09,24.365037
2017-02-10,2017-02-10,24.510586
2017-02-13,2017-02-13,24.559103
2017-02-14,2017-02-14,24.365037
2017-02-15,2017-02-15,24.22919
2017-02-16,2017-02-16,24.510586
2017-02-17,2017-02-17,24.46207
2017-02-21,2017-02-21,24.772576
2017-02-22,2017-02-22,24.5494
2017-02-23,2017-02-23,24.840499
2017-02-24,2017-02-24,25.005456
2017-02-27,2017-02-27,25.228632
2017-02-28,2017-02-28,24.879312
2017-03-01,2017-03-01,24.927829
2017-03-02,2017-03-02,25.218929
2017-03-03,2017-03-03,25.422698
2017-03-06,2017-03-06,25.053972
2017-03-07,2017-03-07,25.102489
2017-03-08,2017-03-08,24.753169
2017-03-09,2017-03-09,24.442663
2017-03-10,2017-03-10,24.500883
2017-03-13,2017-03-13,24.31652
2017-03-14,2017-03-14,24.190377
2017-03-15,2017-03-15,24.733763
2017-03-16,2017-03-16,24.724059
2017-03-17,2017-03-17,24.859906
2017-03-20,2017-03-20,25.015159
2017-03-21,2017-03-21,24.889016
2017-03-22,2017-03-22,24.966642
2017-03-23,2017-03-23,25.209225
