DATE,DATE,CLOSE
2016-11-01,2016-11-01,57.82
2016-11-02,2016-11-02,57.97
2016-11-03,2016-11-03,58.46
2016-11-04,2016-11-04,58.63
2016-11-07,2016-11-07,57.85
2016-11-08,2016-11-08,58.02
2016-11-09,2016-11-09,59.33
2016-11-10,2016-11-10,59.98
2016-11-11,2016-11-11,59.53
2016-11-14,2016-11-14,60.59
2016-11-15,2016-11-15,60.3
2016-11-16,2016-11-16,60.43
2016-11-17,2016-11-17,61.99
2016-11-18,2016-11-18,61.52
2016-11-21,2016-11-21,62.85
2016-11-22,2016-11-22,63.03
2016-11-23,2016-11-23,63.36
2016-11-25,2016-11-25,63.33
2016-11-28,2016-11-28,63.2
2016-11-29,2016-11-29,63.66
2016-11-30,2016-11-30,63.35
2016-12-01,2016-12-01,64.59
2016-12-02,2016-12-02,64.23
2016-12-05,2016-12-05,64.11
2016-12-06,2016-12-06,64.1
2016-12-07,2016-12-07,64.01
2016-12-08,2016-12-08,66.28
2016-12-09,2016-12-09,66.49
2016-12-12,2016-12-12,66.59
2016-12-13,2016-12-13,65.37
2016-12-14,2016-12-14,63.8
2016-12-15,2016-12-15,64.12
2016-12-16,2016-12-16,64.94
2016-12-19,2016-12-19,65.19
2016-12-20,2016-12-20,64.87
2016-12-21,2016-12-21,64.67
2016-12-22,2016-12-22,64.85
2016-12-23,2016-12-23,65.2
2016-12-27,2016-12-27,65.01
2016-12-28,2016-12-28,64.31
2016-12-29,2016-12-29,64.36
2016-12-30,2016-12-30,64.2
2017-01-03,2017-01-03,65.09
2017-01-04,2017-01-04,66.31
2017-01-05,2017-01-05,65.71
2017-01-06,2017-01-06,65.79
2017-01-09,2017-01-09,63.38
2017-01-10,2017-01-10,63.63
2017-01-11,2017-01-11,63.19
2017-01-12,2017-01-12,63.41
2017-01-13,2017-01-13,63.93
2017-01-17,2017-01-17,63.85
2017-01-18,2017-01-18,63.89
2017-01-19,2017-01-19,62.9
2017-01-20,2017-01-20,63.02
2017-01-23,2017-01-23,63.12
2017-01-24,2017-01-24,63.56
2017-01-25,2017-01-25,64.08
2017-01-26,2017-01-26,65.21
2017-01-27,2017-01-27,64.55
2017-01-30,2017-01-30,63.35
2017-01-31,2017-01-31,63.75
2017-02-01,2017-02-01,64.63
2017-02-02,2017-02-02,64.78
