DATE,DATE,CLOSE
2016-11-01,2016-11-01,46.075567
2016-11-02,2016-11-02,46.058268
2016-11-03,2016-11-03,46.257205
2016-11-04,2016-11-04,48.142783
2016-11-07,2016-11-07,49.803476
2016-11-08,2016-11-08,49.872671
2016-11-09,2016-11-09,50.677069
2016-11-10,2016-11-10,51.031696
2016-11-11,2016-11-11,52.692388
2016-11-14,2016-11-14,52.35506
2016-11-15,2016-11-15,52.917274
2016-11-16,2016-11-16,53.12486
2016-11-17,2016-11-17,53.929258
2016-11-18,2016-11-18,53.799517
2016-11-21,2016-11-21,53.427591
2016-11-22,2016-11-22,52.415606
2016-11-23,2016-11-23,53.332447
2016-11-25,2016-11-25,53.245953
2016-11-28,2016-11-28,52.692388
2016-11-29,2016-11-29,53.358395
2016-11-30,2016-11-30,52.441555
2016-12-01,2016-12-01,51.28253
2016-12-02,2016-12-02,51.178736
2016-12-05,2016-12-05,51.559312
2016-12-06,2016-12-06,51.455519
2016-12-07,2016-12-07,52.82213
2016-12-08,2016-12-08,53.540034
2016-12-09,2016-12-09,52.562647
2016-12-12,2016-12-12,52.502101
2016-12-13,2016-12-13,52.735636
2016-12-14,2016-12-14,52.450204
2016-12-15,2016-12-15,53.081613
2016-12-16,2016-12-16,52.095577
2016-12-19,2016-12-19,52.692388
2016-12-20,2016-12-20,53.315148
2016-12-21,2016-12-21,52.804831
2016-12-22,2016-12-22,52.476152
2016-12-23,2016-12-23,52.657791
2016-12-27,2016-12-27,52.839429
2016-12-28,2016-12-28,51.567961
2016-12-29,2016-12-29,51.663105
2016-12-30,2016-12-30,51.394972
2017-01-03,2017-01-03,49.561291
2017-01-04,2017-01-04,51.446869
2017-01-05,2017-01-05,51.317128
2017-01-06,2017-01-06,51.836094
2017-01-09,2017-01-09,51.732301
2017-01-10,2017-01-10,52.372359
2017-01-11,2017-01-11,52.545348
2017-01-12,2017-01-12,52.450204
2017-01-13,2017-01-13,53.877362
2017-01-17,2017-01-17,53.410292
2017-01-18,2017-01-18,53.799517
2017-01-19,2017-01-19,53.860063
2017-01-20,2017-01-20,54.050351
2017-01-23,2017-01-23,50.798161
2017-01-24,2017-01-24,52.164773
2017-01-25,2017-01-25,52.848078
2017-01-26,2017-01-26,52.856728
2017-01-27,2017-01-27,53.60058
2017-01-30,2017-01-30,53.021067
2017-01-31,2017-01-31,53.799517
2017-02-01,2017-02-01,53.842764
2017-02-02,2017-02-02,54.448225
2017-02-03,2017-02-03,60.502833
2017-02-06,2017-02-06,61.739703
2017-02-07,2017-02-07,61.142891
2017-02-08,2017-02-08,61.212087
2017-02-09,2017-02-09,61.411024
2017-02-10,2017-02-10,61.255334
2017-02-13,2017-02-13,60.883408
2017-02-14,2017-02-14,60.667172
2017-02-15,2017-02-15,60.719069
2017-02-16,2017-02-16,61.272633
2017-02-17,2017-02-17,61.030449
2017-02-21,2017-02-21,61.462921
2017-02-22,2017-02-22,61.177489
2017-02-23,2017-02-23,60.329844
2017-02-24,2017-02-24,59.76763
2017-02-27,2017-02-27,59.300561
2017-02-28,2017-02-28,59.300561
2017-03-01,2017-03-01,61.047748
2017-03-02,2017-03-02,60.572028
2017-03-03,2017-03-03,60.416338
2017-03-06,2017-03-06,59.387055
2017-03-07,2017-03-07,59.067026
2017-03-08,2017-03-08,59.326509
2017-03-09,2017-03-09,59.681136
2017-03-10,2017-03-10,59.733033
