DATE,DATE,CLOSE
2016-11-01,2016-11-01,28.38
2016-11-02,2016-11-02,28.26
2016-11-03,2016-11-03,28.06
2016-11-04,2016-11-04,27.95
2016-11-07,2016-11-07,28.24
2016-11-08,2016-11-08,28.03
2016-11-09,2016-11-09,28.29
2016-11-10,2016-11-10,28.16
2016-11-11,2016-11-11,28.64
2016-11-14,2016-11-14,27.89
2016-11-15,2016-11-15,28.49
2016-11-16,2016-11-16,28.33
2016-11-17,2016-11-17,28.87
2016-11-18,2016-11-18,28.69
2016-11-21,2016-11-21,29.0
2016-11-22,2016-11-22,29.06
2016-11-23,2016-11-23,28.9
2016-11-25,2016-11-25,28.95
2016-11-28,2016-11-28,28.57
2016-11-29,2016-11-29,28.51
2016-11-30,2016-11-30,27.81
2016-12-01,2016-12-01,27.39
2016-12-02,2016-12-02,28.42
2016-12-05,2016-12-05,28.35
2016-12-06,2016-12-06,28.21
2016-12-07,2016-12-07,28.91
2016-12-08,2016-12-08,29.42
2016-12-09,2016-12-09,29.97
2016-12-12,2016-12-12,30.21
2016-12-13,2016-12-13,29.82
2016-12-14,2016-12-14,29.82
2016-12-15,2016-12-15,29.73
2016-12-16,2016-12-16,29.61
2016-12-19,2016-12-19,29.38
2016-12-20,2016-12-20,29.26
2016-12-21,2016-12-21,29.36
2016-12-22,2016-12-22,29.54
2016-12-23,2016-12-23,29.79
2016-12-27,2016-12-27,30.24
2016-12-28,2016-12-28,30.01
2016-12-29,2016-12-29,29.98
2016-12-30,2016-12-30,29.69
2017-01-03,2017-01-03,29.84
2017-01-04,2017-01-04,29.76
2017-01-05,2017-01-05,30.01
2017-01-06,2017-01-06,31.05
2017-01-09,2017-01-09,30.75
2017-01-10,2017-01-10,30.25
2017-01-11,2017-01-11,30.41
2017-01-12,2017-01-12,30.35
2017-01-13,2017-01-13,30.29
2017-01-17,2017-01-17,30.29
2017-01-18,2017-01-18,30.39
2017-01-19,2017-01-19,30.72
2017-01-20,2017-01-20,30.64
2017-01-23,2017-01-23,30.27
2017-01-24,2017-01-24,29.99
2017-01-25,2017-01-25,30.23
2017-01-26,2017-01-26,31.74
2017-01-27,2017-01-27,32.51
2017-01-30,2017-01-30,32.17
2017-01-31,2017-01-31,31.83
2017-02-01,2017-02-01,32.18
2017-02-02,2017-02-02,31.97
2017-02-03,2017-02-03,32.07
2017-02-06,2017-02-06,32.03
2017-02-07,2017-02-07,32.43
2017-02-08,2017-02-08,33.25
2017-02-09,2017-02-09,33.12
2017-02-10,2017-02-10,33.63
2017-02-13,2017-02-13,33.79
2017-02-14,2017-02-14,33.63
2017-02-15,2017-02-15,34.01
2017-02-16,2017-02-16,33.54
2017-02-17,2017-02-17,33.76
2017-02-21,2017-02-21,33.92
2017-02-22,2017-02-22,33.82
2017-02-23,2017-02-23,33.6
2017-02-24,2017-02-24,34.06
2017-02-27,2017-02-27,34.28
2017-02-28,2017-02-28,33.9
2017-03-01,2017-03-01,34.27
2017-03-02,2017-03-02,33.91
2017-03-03,2017-03-03,33.74
2017-03-06,2017-03-06,33.64
2017-03-07,2017-03-07,33.47
2017-03-08,2017-03-08,33.32
2017-03-09,2017-03-09,33.18
2017-03-10,2017-03-10,33.13
2017-03-13,2017-03-13,32.81
2017-03-14,2017-03-14,32.86
2017-03-15,2017-03-15,32.89
2017-03-16,2017-03-16,33.1
2017-03-17,2017-03-17,33.7
2017-03-20,2017-03-20,33.81
2017-03-21,2017-03-21,33.19
2017-03-22,2017-03-22,33.53
2017-03-23,2017-03-23,33.52
2017-03-24,2017-03-24,33.4
2017-03-27,2017-03-27,33.43
2017-03-28,2017-03-28,33.53
2017-03-29,2017-03-29,33.65
2017-03-30,2017-03-30,33.7
2017-03-31,2017-03-31,33.57
2017-04-03,2017-04-03,33.76
2017-04-04,2017-04-04,34.14
2017-04-05,2017-04-05,33.81
2017-04-06,2017-04-06,34.16
2017-04-07,2017-04-07,33.91
2017-04-10,2017-04-10,34.06
2017-04-11,2017-04-11,33.99
2017-04-12,2017-04-12,34.27
2017-04-13,2017-04-13,34.33
2017-04-17,2017-04-17,34.44
2017-04-18,2017-04-18,34.02
2017-04-19,2017-04-19,33.855
2017-04-20,2017-04-20,32.53
2017-04-21,2017-04-21,32.18
2017-04-24,2017-04-24,32.05
2017-04-25,2017-04-25,32.81
2017-04-26,2017-04-26,33.01
2017-04-27,2017-04-27,33.06
2017-04-28,2017-04-28,33.41
2017-05-01,2017-05-01,33.31
2017-05-02,2017-05-02,33.51
2017-05-03,2017-05-03,33.26
2017-05-04,2017-05-04,33.51
2017-05-05,2017-05-05,33.5
2017-05-08,2017-05-08,33.24
2017-05-09,2017-05-09,33.72
2017-05-10,2017-05-10,33.88
2017-05-11,2017-05-11,34.12
2017-05-12,2017-05-12,34.07
2017-05-15,2017-05-15,34.18
2017-05-16,2017-05-16,34.81
2017-05-17,2017-05-17,33.58
2017-05-18,2017-05-18,33.73
2017-05-19,2017-05-19,33.83
2017-05-22,2017-05-22,33.86
2017-05-23,2017-05-23,34.61
2017-05-24,2017-05-24,34.82
2017-05-25,2017-05-25,35.22
2017-05-26,2017-05-26,34.9
