DATE,DATE,CLOSE
2016-11-01,2016-11-01,123.64
2016-11-02,2016-11-02,122.43
2016-11-03,2016-11-03,122.97
2016-11-04,2016-11-04,123.61
2016-11-07,2016-11-07,126.09
2016-11-08,2016-11-08,127.07
2016-11-09,2016-11-09,122.53
2016-11-10,2016-11-10,116.23
2016-11-11,2016-11-11,114.03
2016-11-14,2016-11-14,115.14
2016-11-15,2016-11-15,118.15
2016-11-16,2016-11-16,119.5
2016-11-17,2016-11-17,121.81
2016-11-18,2016-11-18,121.56
2016-11-21,2016-11-21,121.6
2016-11-22,2016-11-22,120.24
2016-11-23,2016-11-23,120.07
2016-11-25,2016-11-25,120.06
2016-11-28,2016-11-28,119.19
2016-11-29,2016-11-29,119.32
2016-11-30,2016-11-30,114.45
2016-12-01,2016-12-01,111.54
2016-12-02,2016-12-02,114.03
2016-12-05,2016-12-05,114.33
2016-12-06,2016-12-06,113.5
2016-12-07,2016-12-07,115.99
2016-12-08,2016-12-08,117.6
2016-12-09,2016-12-09,117.16
2016-12-12,2016-12-12,117.03
2016-12-13,2016-12-13,116.48
2016-12-14,2016-12-14,115.85
2016-12-15,2016-12-15,117.13
2016-12-16,2016-12-16,116.97
2016-12-19,2016-12-19,116.02
2016-12-20,2016-12-20,116.09
2016-12-21,2016-12-21,118.65
2016-12-22,2016-12-22,118.91
2016-12-23,2016-12-23,119.65
2016-12-27,2016-12-27,118.59
2016-12-28,2016-12-28,118.48
2016-12-29,2016-12-29,118.67
2016-12-30,2016-12-30,118.23
2017-01-03,2017-01-03,118.76
2017-01-04,2017-01-04,119.34
2017-01-05,2017-01-05,119.98
2017-01-06,2017-01-06,121.0
2017-01-09,2017-01-09,119.84
2017-01-10,2017-01-10,120.04
2017-01-11,2017-01-11,120.52
2017-01-12,2017-01-12,120.86
2017-01-13,2017-01-13,120.31
2017-01-17,2017-01-17,120.66
2017-01-18,2017-01-18,120.26
2017-01-19,2017-01-19,120.18
2017-01-20,2017-01-20,118.08
2017-01-23,2017-01-23,118.18
2017-01-24,2017-01-24,118.87
2017-01-25,2017-01-25,118.63
2017-01-26,2017-01-26,117.84
2017-01-27,2017-01-27,118.09
2017-01-30,2017-01-30,117.34
2017-01-31,2017-01-31,117.28
2017-02-01,2017-02-01,117.21
2017-02-02,2017-02-02,118.05
2017-02-03,2017-02-03,120.35
2017-02-06,2017-02-06,120.53
2017-02-07,2017-02-07,121.14
2017-02-08,2017-02-08,121.99
2017-02-09,2017-02-09,128.13
2017-02-10,2017-02-10,130.56
2017-02-13,2017-02-13,130.12
2017-02-14,2017-02-14,130.32
2017-02-15,2017-02-15,130.06
2017-02-16,2017-02-16,129.93
2017-02-17,2017-02-17,130.14
2017-02-21,2017-02-21,129.36
2017-02-22,2017-02-22,129.06
2017-02-23,2017-02-23,129.22
2017-02-24,2017-02-24,129.38
2017-02-27,2017-02-27,130.81
2017-02-28,2017-02-28,131.11
2017-03-01,2017-03-01,133.18
2017-03-02,2017-03-02,132.91
2017-03-03,2017-03-03,132.8
2017-03-06,2017-03-06,132.06
2017-03-07,2017-03-07,131.37
2017-03-08,2017-03-08,131.81
2017-03-09,2017-03-09,132.55
2017-03-10,2017-03-10,133.26
2017-03-13,2017-03-13,133.38
2017-03-14,2017-03-14,133.49
2017-03-15,2017-03-15,135.19
2017-03-16,2017-03-16,135.04
2017-03-17,2017-03-17,136.12
2017-03-20,2017-03-20,135.7
2017-03-21,2017-03-21,135.1
2017-03-22,2017-03-22,136.98
2017-03-23,2017-03-23,135.64
2017-03-24,2017-03-24,135.93
2017-03-27,2017-03-27,135.55
2017-03-28,2017-03-28,136.29
2017-03-29,2017-03-29,135.68
2017-03-30,2017-03-30,136.56
2017-03-31,2017-03-31,136.74
2017-04-03,2017-04-03,136.1
2017-04-04,2017-04-04,135.81
2017-04-05,2017-04-05,136.4
2017-04-06,2017-04-06,136.07
2017-04-07,2017-04-07,136.22
2017-04-10,2017-04-10,135.59
2017-04-11,2017-04-11,135.74
2017-04-12,2017-04-12,135.31
2017-04-13,2017-04-13,134.86
2017-04-17,2017-04-17,137.03
2017-04-18,2017-04-18,137.29
2017-04-19,2017-04-19,136.4
2017-04-20,2017-04-20,137.31
2017-04-21,2017-04-21,137.33
2017-04-24,2017-04-24,139.24
2017-04-25,2017-04-25,139.47
2017-04-26,2017-04-26,138.74
2017-04-27,2017-04-27,136.19
2017-04-28,2017-04-28,135.31
2017-05-01,2017-05-01,135.0
2017-05-02,2017-05-02,136.48
2017-05-03,2017-05-03,136.08
2017-05-04,2017-05-04,136.86
2017-05-05,2017-05-05,138.81
2017-05-08,2017-05-08,137.23
2017-05-09,2017-05-09,135.87
2017-05-10,2017-05-10,135.91
2017-05-11,2017-05-11,135.65
2017-05-12,2017-05-12,135.05
2017-05-15,2017-05-15,136.63
2017-05-16,2017-05-16,135.68
2017-05-17,2017-05-17,134.23
2017-05-18,2017-05-18,135.27
2017-05-19,2017-05-19,136.37
2017-05-22,2017-05-22,137.3
2017-05-23,2017-05-23,136.76
2017-05-24,2017-05-24,136.39
2017-05-25,2017-05-25,137.13
2017-05-26,2017-05-26,136.43
2017-05-30,2017-05-30,136.71
2017-05-31,2017-05-31,136.8
2017-06-01,2017-06-01,137.89
2017-06-02,2017-06-02,137.61
2017-06-05,2017-06-05,138.16
2017-06-06,2017-06-06,137.13
2017-06-07,2017-06-07,137.38
2017-06-08,2017-06-08,135.45
2017-06-09,2017-06-09,135.52
2017-06-12,2017-06-12,136.83
2017-06-13,2017-06-13,140.34
2017-06-14,2017-06-14,141.01
2017-06-15,2017-06-15,141.62
2017-06-16,2017-06-16,142.58
2017-06-19,2017-06-19,141.8
2017-06-20,2017-06-20,139.56
2017-06-21,2017-06-21,139.03
2017-06-22,2017-06-22,138.93
2017-06-23,2017-06-23,139.39
2017-06-26,2017-06-26,139.43
2017-06-27,2017-06-27,138.35
2017-06-28,2017-06-28,139.51
2017-06-29,2017-06-29,137.15
2017-06-30,2017-06-30,137.42
2017-07-03,2017-07-03,138.01
2017-07-05,2017-07-05,139.55
2017-07-06,2017-07-06,137.22
2017-07-07,2017-07-07,138.37
2017-07-10,2017-07-10,139.0
2017-07-11,2017-07-11,138.93
2017-07-12,2017-07-12,139.8
2017-07-13,2017-07-13,139.13
2017-07-14,2017-07-14,139.77
2017-07-17,2017-07-17,140.06
2017-07-18,2017-07-18,141.52
