DATE,DATE,CLOSE
2016-11-01,2016-11-01,51.0
2016-11-02,2016-11-02,50.04
2016-11-03,2016-11-03,49.84
2016-11-04,2016-11-04,49.41
2016-11-07,2016-11-07,50.39
2016-11-08,2016-11-08,51.33
2016-11-09,2016-11-09,53.39
2016-11-10,2016-11-10,55.75
2016-11-11,2016-11-11,55.5
2016-11-14,2016-11-14,55.51
2016-11-15,2016-11-15,55.78
2016-11-16,2016-11-16,54.97
2016-11-17,2016-11-17,54.7
2016-11-18,2016-11-18,54.2
2016-11-21,2016-11-21,54.51
2016-11-22,2016-11-22,54.35
2016-11-23,2016-11-23,55.06
2016-11-25,2016-11-25,55.24
2016-11-28,2016-11-28,54.43
2016-11-29,2016-11-29,54.4
2016-11-30,2016-11-30,56.44
2016-12-01,2016-12-01,56.77
2016-12-02,2016-12-02,56.35
2016-12-05,2016-12-05,56.93
2016-12-06,2016-12-06,56.57
2016-12-07,2016-12-07,58.26
2016-12-08,2016-12-08,57.6
2016-12-09,2016-12-09,57.49
2016-12-12,2016-12-12,57.09
2016-12-13,2016-12-13,56.77
2016-12-14,2016-12-14,56.27
2016-12-15,2016-12-15,56.18
2016-12-16,2016-12-16,55.73
2016-12-19,2016-12-19,56.31
2016-12-20,2016-12-20,57.31
2016-12-21,2016-12-21,56.92
2016-12-22,2016-12-22,56.69
2016-12-23,2016-12-23,56.8
2016-12-27,2016-12-27,57.17
2016-12-28,2016-12-28,56.3
2016-12-29,2016-12-29,56.2
2016-12-30,2016-12-30,55.75
2017-01-03,2017-01-03,56.95
2017-01-04,2017-01-04,56.61
2017-01-05,2017-01-05,56.14
2017-01-06,2017-01-06,56.4
2017-01-09,2017-01-09,56.19
2017-01-10,2017-01-10,56.69
2017-01-11,2017-01-11,57.57
2017-01-12,2017-01-12,57.47
2017-01-13,2017-01-13,57.12
2017-01-17,2017-01-17,56.31
2017-01-18,2017-01-18,57.22
2017-01-19,2017-01-19,58.43
2017-01-20,2017-01-20,58.83
2017-01-23,2017-01-23,58.29
2017-01-24,2017-01-24,59.11
2017-01-25,2017-01-25,60.26
2017-01-26,2017-01-26,60.08
2017-01-27,2017-01-27,60.14
2017-01-30,2017-01-30,59.14
2017-01-31,2017-01-31,58.66
2017-02-01,2017-02-01,58.78
2017-02-02,2017-02-02,58.88
2017-02-03,2017-02-03,59.54
2017-02-06,2017-02-06,59.86
2017-02-07,2017-02-07,62.54
2017-02-08,2017-02-08,62.41
2017-02-09,2017-02-09,62.71
2017-02-10,2017-02-10,63.26
2017-02-13,2017-02-13,64.15
2017-02-14,2017-02-14,64.14
2017-02-15,2017-02-15,63.73
2017-02-16,2017-02-16,62.9
2017-02-17,2017-02-17,61.89
2017-02-21,2017-02-21,62.17
2017-02-22,2017-02-22,61.82
2017-02-23,2017-02-23,60.61
2017-02-24,2017-02-24,60.48
2017-02-27,2017-02-27,60.43
2017-02-28,2017-02-28,60.1
2017-03-01,2017-03-01,60.88
2017-03-02,2017-03-02,60.31
2017-03-03,2017-03-03,60.37
2017-03-06,2017-03-06,60.33
