DATE,DATE,CLOSE
2016-11-01,2016-11-01,91.16
2016-11-02,2016-11-02,90.94
2016-11-03,2016-11-03,92.08
2016-11-04,2016-11-04,91.8
2016-11-07,2016-11-07,93.43
2016-11-08,2016-11-08,93.36
2016-11-09,2016-11-09,93.43
2016-11-10,2016-11-10,92.63
2016-11-11,2016-11-11,91.41
2016-11-14,2016-11-14,92.68
2016-11-15,2016-11-15,94.57
2016-11-16,2016-11-16,95.22
2016-11-17,2016-11-17,92.34
2016-11-18,2016-11-18,93.15
2016-11-21,2016-11-21,95.67
2016-11-22,2016-11-22,95.27
2016-11-23,2016-11-23,97.0
2016-11-25,2016-11-25,95.98
2016-11-28,2016-11-28,93.47
2016-11-29,2016-11-29,92.44
2016-11-30,2016-11-30,102.52
2016-12-01,2016-12-01,104.75
2016-12-02,2016-12-02,103.74
2016-12-05,2016-12-05,104.46
2016-12-06,2016-12-06,103.97
2016-12-07,2016-12-07,103.53
2016-12-08,2016-12-08,104.93
2016-12-09,2016-12-09,106.45
2016-12-12,2016-12-12,105.83
2016-12-13,2016-12-13,108.01
2016-12-14,2016-12-14,104.21
2016-12-15,2016-12-15,103.92
2016-12-16,2016-12-16,104.0
2016-12-19,2016-12-19,103.48
2016-12-20,2016-12-20,103.16
2016-12-21,2016-12-21,102.55
2016-12-22,2016-12-22,103.13
2016-12-23,2016-12-23,102.03
2016-12-27,2016-12-27,102.54
2016-12-28,2016-12-28,101.65
2016-12-29,2016-12-29,101.28
2016-12-30,2016-12-30,101.1
2017-01-03,2017-01-03,103.54
2017-01-04,2017-01-04,103.62
2017-01-05,2017-01-05,104.18
2017-01-06,2017-01-06,105.21
2017-01-09,2017-01-09,103.02
2017-01-10,2017-01-10,103.4
2017-01-11,2017-01-11,104.92
2017-01-12,2017-01-12,105.37
2017-01-13,2017-01-13,105.39
2017-01-17,2017-01-17,105.48
2017-01-18,2017-01-18,105.4
2017-01-19,2017-01-19,105.19
2017-01-20,2017-01-20,105.47
2017-01-23,2017-01-23,103.46
2017-01-24,2017-01-24,103.68
2017-01-25,2017-01-25,103.9
2017-01-26,2017-01-26,104.39
2017-01-27,2017-01-27,102.9
2017-01-30,2017-01-30,101.2
2017-01-31,2017-01-31,101.58
2017-02-01,2017-02-01,101.0
2017-02-02,2017-02-02,99.71
2017-02-03,2017-02-03,100.94
2017-02-06,2017-02-06,99.7
2017-02-07,2017-02-07,97.19
2017-02-08,2017-02-08,98.14
2017-02-09,2017-02-09,99.81
2017-02-10,2017-02-10,101.44
2017-02-13,2017-02-13,100.35
2017-02-14,2017-02-14,101.23
2017-02-15,2017-02-15,100.75
2017-02-16,2017-02-16,100.17
2017-02-17,2017-02-17,99.03
2017-02-21,2017-02-21,99.47
2017-02-22,2017-02-22,97.53
2017-02-23,2017-02-23,97.57
2017-02-24,2017-02-24,96.3
2017-02-27,2017-02-27,97.91
2017-02-28,2017-02-28,96.99
2017-03-01,2017-03-01,100.05
2017-03-02,2017-03-02,98.47
2017-03-03,2017-03-03,98.57
2017-03-06,2017-03-06,100.07
2017-03-07,2017-03-07,99.53
2017-03-08,2017-03-08,94.83
2017-03-09,2017-03-09,95.7
2017-03-10,2017-03-10,94.79
2017-03-13,2017-03-13,94.95
2017-03-14,2017-03-14,94.59
2017-03-15,2017-03-15,97.06
2017-03-16,2017-03-16,95.83
2017-03-17,2017-03-17,96.43
2017-03-20,2017-03-20,96.22
2017-03-21,2017-03-21,94.53
2017-03-22,2017-03-22,94.65
2017-03-23,2017-03-23,94.81
2017-03-24,2017-03-24,94.86
2017-03-27,2017-03-27,93.38
2017-03-28,2017-03-28,95.29
2017-03-29,2017-03-29,97.0
2017-03-30,2017-03-30,97.17
2017-03-31,2017-03-31,97.55
2017-04-03,2017-04-03,96.96
2017-04-04,2017-04-04,98.25
2017-04-05,2017-04-05,97.58
2017-04-06,2017-04-06,98.05
2017-04-07,2017-04-07,97.36
2017-04-10,2017-04-10,98.57
2017-04-11,2017-04-11,97.88
2017-04-12,2017-04-12,97.49
2017-04-13,2017-04-13,95.64
2017-04-17,2017-04-17,95.74
2017-04-18,2017-04-18,94.83
2017-04-19,2017-04-19,93.29
2017-04-20,2017-04-20,93.3
2017-04-21,2017-04-21,93.58
2017-04-24,2017-04-24,93.74
2017-04-25,2017-04-25,95.27
2017-04-26,2017-04-26,94.31
2017-04-27,2017-04-27,93.0
2017-04-28,2017-04-28,92.5
2017-05-01,2017-05-01,92.03
2017-05-02,2017-05-02,91.87
2017-05-03,2017-05-03,91.76
2017-05-04,2017-05-04,88.6
2017-05-05,2017-05-05,90.88
2017-05-08,2017-05-08,91.69
2017-05-09,2017-05-09,91.64
2017-05-10,2017-05-10,94.54
2017-05-11,2017-05-11,94.28
2017-05-12,2017-05-12,94.7
2017-05-15,2017-05-15,94.73
2017-05-16,2017-05-16,93.83
2017-05-17,2017-05-17,92.95
2017-05-18,2017-05-18,91.69
2017-05-19,2017-05-19,93.81
2017-05-22,2017-05-22,93.11
2017-05-23,2017-05-23,92.53
2017-05-24,2017-05-24,92.67
2017-05-25,2017-05-25,91.02
2017-05-26,2017-05-26,91.22
2017-05-30,2017-05-30,89.62
2017-05-31,2017-05-31,90.31
2017-06-01,2017-06-01,90.4
2017-06-02,2017-06-02,89.68
2017-06-05,2017-06-05,89.2
2017-06-06,2017-06-06,90.83
2017-06-07,2017-06-07,88.15
2017-06-08,2017-06-08,88.11
2017-06-09,2017-06-09,90.08
2017-06-12,2017-06-12,89.88
2017-06-13,2017-06-13,90.56
2017-06-14,2017-06-14,88.93
2017-06-15,2017-06-15,87.04
2017-06-16,2017-06-16,88.52
2017-06-19,2017-06-19,88.07
2017-06-20,2017-06-20,87.85
2017-06-21,2017-06-21,87.12
2017-06-22,2017-06-22,87.69
2017-06-23,2017-06-23,87.79
2017-06-26,2017-06-26,87.39
2017-06-27,2017-06-27,88.0
2017-06-28,2017-06-28,89.02
2017-06-29,2017-06-29,90.0
2017-06-30,2017-06-30,90.52
2017-07-03,2017-07-03,92.37
2017-07-05,2017-07-05,90.3
2017-07-06,2017-07-06,88.63
2017-07-07,2017-07-07,88.44
2017-07-10,2017-07-10,89.62
2017-07-11,2017-07-11,90.63
2017-07-12,2017-07-12,90.57
2017-07-13,2017-07-13,91.81
2017-07-14,2017-07-14,91.87
2017-07-17,2017-07-17,91.9
2017-07-18,2017-07-18,91.7
2017-07-19,2017-07-19,94.31
2017-07-20,2017-07-20,93.66
2017-07-21,2017-07-21,92.91
2017-07-24,2017-07-24,93.31
2017-07-25,2017-07-25,94.87
2017-07-26,2017-07-26,94.75
2017-07-27,2017-07-27,95.98
2017-07-28,2017-07-28,95.42
2017-07-31,2017-07-31,95.14
2017-08-01,2017-08-01,94.46
2017-08-02,2017-08-02,92.32
2017-08-03,2017-08-03,88.9
2017-08-04,2017-08-04,90.45
2017-08-07,2017-08-07,89.67
2017-08-08,2017-08-08,91.15
2017-08-09,2017-08-09,90.35
2017-08-10,2017-08-10,89.12
2017-08-11,2017-08-11,88.53
2017-08-14,2017-08-14,87.99
2017-08-15,2017-08-15,87.02
2017-08-16,2017-08-16,84.98
2017-08-17,2017-08-17,83.38
2017-08-18,2017-08-18,84.09
2017-08-21,2017-08-21,83.69
2017-08-22,2017-08-22,84.24
2017-08-23,2017-08-23,85.11
2017-08-24,2017-08-24,84.62
2017-08-25,2017-08-25,84.51
2017-08-28,2017-08-28,83.4
2017-08-29,2017-08-29,83.15
2017-08-30,2017-08-30,83.67
2017-08-31,2017-08-31,84.99
2017-09-01,2017-09-01,85.65
2017-09-05,2017-09-05,85.87
2017-09-06,2017-09-06,87.85
2017-09-07,2017-09-07,88.6
2017-09-08,2017-09-08,86.78
2017-09-11,2017-09-11,87.93
2017-09-12,2017-09-12,88.47
2017-09-13,2017-09-13,91.1
2017-09-14,2017-09-14,91.78
2017-09-15,2017-09-15,93.22
2017-09-18,2017-09-18,93.05
2017-09-19,2017-09-19,93.13
2017-09-20,2017-09-20,94.18
2017-09-21,2017-09-21,93.89
2017-09-22,2017-09-22,94.55
2017-09-25,2017-09-25,96.29
2017-09-26,2017-09-26,96.87
2017-09-27,2017-09-27,97.32
2017-09-28,2017-09-28,96.82
2017-09-29,2017-09-29,96.74
2017-10-02,2017-10-02,97.18
2017-10-03,2017-10-03,96.5
2017-10-04,2017-10-04,96.33
2017-10-05,2017-10-05,96.55
2017-10-06,2017-10-06,96.19
2017-10-09,2017-10-09,96.5
2017-10-10,2017-10-10,96.78
2017-10-11,2017-10-11,96.93
2017-10-12,2017-10-12,96.65
2017-10-13,2017-10-13,96.62
2017-10-16,2017-10-16,97.21
2017-10-17,2017-10-17,97.45
2017-10-18,2017-10-18,96.66
2017-10-19,2017-10-19,95.76
2017-10-20,2017-10-20,96.84
2017-10-23,2017-10-23,96.97
2017-10-24,2017-10-24,96.48
2017-10-25,2017-10-25,96.15
2017-10-26,2017-10-26,96.92
2017-10-27,2017-10-27,98.47
2017-10-30,2017-10-30,99.53
2017-10-31,2017-10-31,99.87
2017-11-01,2017-11-01,102.29
2017-11-02,2017-11-02,102.95
2017-11-03,2017-11-03,104.5
2017-11-06,2017-11-06,106.96
2017-11-07,2017-11-07,106.09
2017-11-08,2017-11-08,104.33
2017-11-09,2017-11-09,104.78
2017-11-10,2017-11-10,104.58
2017-11-13,2017-11-13,104.46
2017-11-14,2017-11-14,102.47
2017-11-15,2017-11-15,101.36
2017-11-16,2017-11-16,101.43
2017-11-17,2017-11-17,101.64
2017-11-20,2017-11-20,101.44
2017-11-21,2017-11-21,101.66
2017-11-22,2017-11-22,101.59
2017-11-24,2017-11-24,101.66
2017-11-27,2017-11-27,99.82
2017-11-28,2017-11-28,99.84
2017-11-29,2017-11-29,100.5
2017-11-30,2017-11-30,102.32
2017-12-01,2017-12-01,102.91
2017-12-04,2017-12-04,101.05
2017-12-05,2017-12-05,100.9
2017-12-06,2017-12-06,98.86
2017-12-07,2017-12-07,99.72
2017-12-08,2017-12-08,100.39
2017-12-11,2017-12-11,101.21
2017-12-12,2017-12-12,100.28
2017-12-13,2017-12-13,99.94
2017-12-14,2017-12-14,99.64
2017-12-15,2017-12-15,98.55
2017-12-18,2017-12-18,99.91
2017-12-19,2017-12-19,101.43
2017-12-20,2017-12-20,103.54
2017-12-21,2017-12-21,106.35
2017-12-22,2017-12-22,107.11
2017-12-26,2017-12-26,109.41
2017-12-27,2017-12-27,108.36
2017-12-28,2017-12-28,108.45
2017-12-29,2017-12-29,107.91
2018-01-02,2018-01-02,109.3
2018-01-03,2018-01-03,110.93
2018-01-04,2018-01-04,110.95
2018-01-05,2018-01-05,112.17
2018-01-08,2018-01-08,112.71
2018-01-09,2018-01-09,111.71
2018-01-10,2018-01-10,112.01
2018-01-11,2018-01-11,115.14
2018-01-12,2018-01-12,115.7
2018-01-16,2018-01-16,113.39
2018-01-17,2018-01-17,113.53
2018-01-18,2018-01-18,114.24
2018-01-19,2018-01-19,114.37
2018-01-22,2018-01-22,116.82
2018-01-23,2018-01-23,117.84
2018-01-24,2018-01-24,118.47
2018-01-25,2018-01-25,117.45
2018-01-26,2018-01-26,117.76
2018-01-29,2018-01-29,116.58
2018-01-30,2018-01-30,115.17
2018-01-31,2018-01-31,115.0
2018-02-01,2018-02-01,116.52
2018-02-02,2018-02-02,112.83
2018-02-05,2018-02-05,109.56
2018-02-06,2018-02-06,108.27
2018-02-07,2018-02-07,105.78
2018-02-08,2018-02-08,101.04
2018-02-09,2018-02-09,100.07
2018-02-12,2018-02-12,103.14
2018-02-13,2018-02-13,102.47
2018-02-14,2018-02-14,106.76
2018-02-15,2018-02-15,107.69
2018-02-16,2018-02-16,107.64
2018-02-20,2018-02-20,107.96
2018-02-21,2018-02-21,105.81
2018-02-22,2018-02-22,107.09
2018-02-23,2018-02-23,108.83
2018-02-26,2018-02-26,109.49
2018-02-27,2018-02-27,106.94
2018-02-28,2018-02-28,101.42
2018-03-01,2018-03-01,101.18
2018-03-02,2018-03-02,101.45
2018-03-05,2018-03-05,101.81
2018-03-06,2018-03-06,101.01
2018-03-07,2018-03-07,100.87
2018-03-08,2018-03-08,100.59
2018-03-09,2018-03-09,102.8
2018-03-12,2018-03-12,100.65
2018-03-13,2018-03-13,100.05
2018-03-14,2018-03-14,99.89
2018-03-15,2018-03-15,98.65
2018-03-16,2018-03-16,100.45
2018-03-19,2018-03-19,98.47
2018-03-20,2018-03-20,101.33
2018-03-21,2018-03-21,104.78
2018-03-22,2018-03-22,104.29
2018-03-23,2018-03-23,105.86
2018-03-26,2018-03-26,107.57
2018-03-27,2018-03-27,106.33
2018-03-28,2018-03-28,103.82
2018-03-29,2018-03-29,105.27
