DATE,DATE,CLOSE
2016-11-01,2016-11-01,347.71
2016-11-02,2016-11-02,346.17
2016-11-03,2016-11-03,338.71
2016-11-04,2016-11-04,340.52
2016-11-07,2016-11-07,350.14
2016-11-08,2016-11-08,356.25
2016-11-09,2016-11-09,347.93
2016-11-10,2016-11-10,330.8
2016-11-11,2016-11-11,325.05
2016-11-14,2016-11-14,330.2
2016-11-15,2016-11-15,336.34
2016-11-16,2016-11-16,335.98
2016-11-17,2016-11-17,331.14
2016-11-18,2016-11-18,333.24
2016-11-21,2016-11-21,335.94
2016-11-22,2016-11-22,343.96
2016-11-23,2016-11-23,338.21
2016-11-25,2016-11-25,339.76
2016-11-28,2016-11-28,341.23
2016-11-29,2016-11-29,343.39
2016-11-30,2016-11-30,338.76
2016-12-01,2016-12-01,329.42
2016-12-02,2016-12-02,330.68
2016-12-05,2016-12-05,332.08
2016-12-06,2016-12-06,329.49
2016-12-07,2016-12-07,339.0
2016-12-08,2016-12-08,346.46
2016-12-09,2016-12-09,346.03
2016-12-12,2016-12-12,357.22
2016-12-13,2016-12-13,361.39
2016-12-14,2016-12-14,354.59
2016-12-15,2016-12-15,349.81
2016-12-16,2016-12-16,350.0
2016-12-19,2016-12-19,354.49
2016-12-20,2016-12-20,354.74
2016-12-21,2016-12-21,350.02
2016-12-22,2016-12-22,351.04
2016-12-23,2016-12-23,356.61
2016-12-27,2016-12-27,356.72
2016-12-28,2016-12-28,353.86
2016-12-29,2016-12-29,357.09
2016-12-30,2016-12-30,357.41
2017-01-03,2017-01-03,358.72
2017-01-04,2017-01-04,365.91
2017-01-05,2017-01-05,369.75
2017-01-06,2017-01-06,370.49
2017-01-09,2017-01-09,373.19
2017-01-10,2017-01-10,370.03
2017-01-11,2017-01-11,371.58
2017-01-12,2017-01-12,374.15
2017-01-13,2017-01-13,374.95
2017-01-17,2017-01-17,376.13
2017-01-18,2017-01-18,376.73
2017-01-19,2017-01-19,381.15
2017-01-20,2017-01-20,383.27
2017-01-23,2017-01-23,385.35
2017-01-24,2017-01-24,389.66
2017-01-25,2017-01-25,384.43
2017-01-26,2017-01-26,384.21
2017-01-27,2017-01-27,382.96
2017-01-30,2017-01-30,386.37
2017-01-31,2017-01-31,384.98
2017-02-01,2017-02-01,381.3
2017-02-02,2017-02-02,383.08
2017-02-03,2017-02-03,384.82
2017-02-06,2017-02-06,381.67
2017-02-07,2017-02-07,380.64
2017-02-08,2017-02-08,383.97
2017-02-09,2017-02-09,385.8
2017-02-10,2017-02-10,386.45
2017-02-13,2017-02-13,386.69
2017-02-14,2017-02-14,382.64
2017-02-15,2017-02-15,380.76
2017-02-16,2017-02-16,373.18
2017-02-17,2017-02-17,374.28
2017-02-21,2017-02-21,371.34
2017-02-22,2017-02-22,373.32
2017-02-23,2017-02-23,370.85
2017-02-24,2017-02-24,379.64
2017-02-27,2017-02-27,377.24
2017-02-28,2017-02-28,376.07
2017-03-01,2017-03-01,377.99
2017-03-02,2017-03-02,372.73
2017-03-03,2017-03-03,375.69
2017-03-06,2017-03-06,377.55
2017-03-07,2017-03-07,375.24
2017-03-08,2017-03-08,363.43
2017-03-09,2017-03-09,376.01
2017-03-10,2017-03-10,379.16
2017-03-13,2017-03-13,380.32
2017-03-14,2017-03-14,381.38
2017-03-15,2017-03-15,383.78
2017-03-16,2017-03-16,378.17
2017-03-17,2017-03-17,375.64
2017-03-20,2017-03-20,383.57
2017-03-21,2017-03-21,383.41
2017-03-22,2017-03-22,387.47
2017-03-23,2017-03-23,388.05
2017-03-24,2017-03-24,388.09
2017-03-27,2017-03-27,384.0
2017-03-28,2017-03-28,384.86
2017-03-29,2017-03-29,394.0
2017-03-30,2017-03-30,397.14
2017-03-31,2017-03-31,400.37
2017-04-03,2017-04-03,402.47
2017-04-04,2017-04-04,399.98
2017-04-05,2017-04-05,400.04
2017-04-06,2017-04-06,402.18
2017-04-07,2017-04-07,401.74
2017-04-10,2017-04-10,400.93
2017-04-11,2017-04-11,399.84
2017-04-12,2017-04-12,399.76
2017-04-13,2017-04-13,399.11
2017-04-17,2017-04-17,403.01
2017-04-18,2017-04-18,402.95
2017-04-19,2017-04-19,403.96
2017-04-20,2017-04-20,405.13
2017-04-21,2017-04-21,401.84
2017-04-24,2017-04-24,404.03
2017-04-25,2017-04-25,406.55
2017-04-26,2017-04-26,407.33
2017-04-27,2017-04-27,410.94
2017-04-28,2017-04-28,417.7
2017-05-01,2017-05-01,420.18
2017-05-02,2017-05-02,422.86
2017-05-03,2017-05-03,423.18
2017-05-04,2017-05-04,424.28
2017-05-05,2017-05-05,426.25
2017-05-08,2017-05-08,426.64
2017-05-09,2017-05-09,425.91
2017-05-10,2017-05-10,425.05
2017-05-11,2017-05-11,428.77
2017-05-12,2017-05-12,431.07
2017-05-15,2017-05-15,429.81
2017-05-16,2017-05-16,427.64
2017-05-17,2017-05-17,426.97
2017-05-18,2017-05-18,425.76
2017-05-19,2017-05-19,426.74
2017-05-22,2017-05-22,434.68
2017-05-23,2017-05-23,435.79
2017-05-24,2017-05-24,440.43
2017-05-25,2017-05-25,444.97
2017-05-26,2017-05-26,441.22
2017-05-30,2017-05-30,439.91
2017-05-31,2017-05-31,441.01
2017-06-01,2017-06-01,436.93
2017-06-02,2017-06-02,444.32
2017-06-05,2017-06-05,444.21
2017-06-06,2017-06-06,442.31
2017-06-07,2017-06-07,440.69
2017-06-08,2017-06-08,440.39
2017-06-09,2017-06-09,439.21
2017-06-12,2017-06-12,425.01
2017-06-13,2017-06-13,430.54
2017-06-14,2017-06-14,432.1
2017-06-15,2017-06-15,433.96
2017-06-16,2017-06-16,427.28
2017-06-19,2017-06-19,432.22
2017-06-20,2017-06-20,433.94
2017-06-21,2017-06-21,436.49
2017-06-22,2017-06-22,440.29
2017-06-23,2017-06-23,434.07
2017-06-26,2017-06-26,438.49
2017-06-27,2017-06-27,433.65
2017-06-28,2017-06-28,430.76
2017-06-29,2017-06-29,421.28
2017-06-30,2017-06-30,429.16
2017-07-03,2017-07-03,422.76
2017-07-05,2017-07-05,424.08
2017-07-06,2017-07-06,418.43
2017-07-07,2017-07-07,423.3
2017-07-10,2017-07-10,427.085
2017-07-11,2017-07-11,431.04
2017-07-12,2017-07-12,437.11
2017-07-13,2017-07-13,436.24
2017-07-14,2017-07-14,437.7
2017-07-17,2017-07-17,435.48
2017-07-18,2017-07-18,438.28
2017-07-19,2017-07-19,440.5
2017-07-20,2017-07-20,441.21
2017-07-21,2017-07-21,441.44
2017-07-24,2017-07-24,441.6
2017-07-25,2017-07-25,436.96
2017-07-26,2017-07-26,440.04
2017-07-27,2017-07-27,442.87
2017-07-28,2017-07-28,447.9
2017-07-31,2017-07-31,450.73
2017-08-01,2017-08-01,453.08
2017-08-02,2017-08-02,455.47
2017-08-03,2017-08-03,449.36
2017-08-04,2017-08-04,445.58
2017-08-07,2017-08-07,444.23
2017-08-08,2017-08-08,441.53
2017-08-09,2017-08-09,447.81
2017-08-10,2017-08-10,439.48
2017-08-11,2017-08-11,438.39
2017-08-14,2017-08-14,449.49
2017-08-15,2017-08-15,448.33
2017-08-16,2017-08-16,454.79
2017-08-17,2017-08-17,451.55
2017-08-18,2017-08-18,450.0
2017-08-21,2017-08-21,450.29
2017-08-22,2017-08-22,456.29
2017-08-23,2017-08-23,461.8
2017-08-24,2017-08-24,463.53
2017-08-25,2017-08-25,466.19
2017-08-28,2017-08-28,462.91
2017-08-29,2017-08-29,466.24
2017-08-30,2017-08-30,465.67
2017-08-31,2017-08-31,468.41
2017-09-01,2017-09-01,465.96
